Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;0,319129;23.669.061;187.555.683
Apr;10;2019;0,351244;21.772.056;206.430.020
Apr;9;2019;0,358662;25.531.764;210.789.830
Apr;8;2019;0,349616;25.068.719;205.422.221
Apr;7;2019;0,356219;28.228.595;209.301.552
Apr;6;2019;0,353617;25.716.451;207.773.066
Apr;5;2019;0,358358;27.274.287;210.558.180
Apr;4;2019;0,336743;33.212.775;197.857.968
Apr;3;2019;0,354311;35.796.385;208.180.490
Apr;2;2019;0,376557;38.696.273;221.251.529
Apr;1;2019;0,333060;24.212.475;195.694.354
Mar;31;2019;0,322990;19.447.696;189.777.200
Mar;30;2019;0,309907;20.758.824;182.090.627
Mar;29;2019;0,304548;17.130.757;178.941.788
Mar;28;2019;0,305677;18.408.638;179.605.000
Mar;27;2019;0,305429;26.111.657;179.459.523
Mar;26;2019;0,291927;24.933.357;171.525.696
Mar;25;2019;0,277691;32.257.531;163.161.443
Mar;24;2019;0,291931;30.018.237;171.528.464
Mar;23;2019;0,270224;16.115.409;158.389.639
Mar;22;2019;0,273589;16.276.019;160.361.594
Mar;21;2019;0,261246;16.134.263;153.127.310
Mar;20;2019;0,272446;15.836.005;159.691.983
Mar;19;2019;0,270196;14.269.894;158.373.292
Mar;18;2019;0,262272;13.842.637;153.666.555
Mar;17;2019;0,265864;14.087.728;155.771.096
Mar;16;2019;0,271635;16.356.815;159.152.262
Mar;15;2019;0,272333;19.518.346;159.560.977
Mar;14;2019;0,267273;16.706.743;156.596.241
Mar;13;2019;0,269558;21.037.384;157.903.355
Mar;12;2019;0,271719;17.975.836;158.737.035
Mar;11;2019;0,258165;18.977.581;150.819.085
Mar;10;2019;0,269993;24.915.855;157.728.714
Mar;9;2019;0,250911;17.508.823;146.581.351
Mar;8;2019;0,236528;12.972.342;138.178.574
Mar;7;2019;0,239988;10.998.177;140.199.933
Mar;6;2019;0,245743;10.193.506;143.561.902
Mar;5;2019;0,239612;10.087.240;139.980.418
Mar;4;2019;0,228644;12.592.691;133.573.023
Mar;3;2019;0,242196;8.899.829;141.490.160
Mar;2;2019;0,244611;9.746.584;142.900.797
Mar;1;2019;0,249029;11.071.657;145.490.917
Feb;28;2019;0,250048;18.130.208;146.085.945
Feb;27;2019;0,260829;34.958.001;152.386.589
Feb;26;2019;0,246753;13.410.191;144.162.536
Feb;25;2019;0,242113;10.055.370;141.462.648
Feb;24;2019;0,235511;14.171.584;137.605.524
Feb;23;2019;0,255832;10.719.348;149.479.816
Feb;22;2019;0,251462;9.088.283;146.926.799
Feb;21;2019;0,249357;8.975.790;145.696.799
Feb;20;2019;0,255431;9.852.847;149.245.624
Feb;19;2019;0,251840;13.830.669;147.147.495
Feb;18;2019;0,253907;16.742.104;148.295.359
Feb;17;2019;0,241034;14.793.250;140.776.579
Feb;16;2019;0,232061;9.457.648;135.535.714
Feb;15;2019;0,227542;7.956.245;132.896.728
Feb;14;2019;0,227937;9.117.975;133.127.085
Feb;13;2019;0,233417;7.747.967;136.328.236
