Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;0,180367;16.703.436;50.502.793
Apr;10;2019;0,199576;10.977.530;55.881.176
Apr;9;2019;0,203298;12.702.595;56.923.452
Apr;8;2019;0,213379;13.711.806;59.746.238
Apr;7;2019;0,223350;12.556.900;62.538.052
Apr;6;2019;0,222752;8.931.730;62.370.592
Apr;5;2019;0,225978;14.435.560;63.273.894
Apr;4;2019;0,224177;28.008.773;62.769.680
Apr;3;2019;0,197425;19.615.800;55.278.884
Apr;2;2019;0,197836;18.456.425;55.393.975
Apr;1;2019;0,186018;11.626.054;52.084.911
Mar;31;2019;0,182544;8.405.690;51.112.303
Mar;30;2019;0,184572;7.277.670;51.680.259
Mar;29;2019;0,183452;12.418.119;51.366.451
Mar;28;2019;0,191170;10.857.652;53.527.540
Mar;27;2019;0,184221;7.103.412;51.581.842
Mar;26;2019;0,175685;7.287.093;49.191.868
Mar;25;2019;0,175233;7.351.955;49.065.292
Mar;24;2019;0,179550;7.652.458;50.274.018
Mar;23;2019;0,172538;4.629.276;48.310.568
Mar;22;2019;0,173079;4.790.205;48.462.030
Mar;21;2019;0,170114;9.628.315;47.631.952
Mar;20;2019;0,174022;5.971.635;48.726.037
Mar;19;2019;0,170363;4.796.511;47.701.759
Mar;18;2019;0,168179;10.604.865;47.090.064
Mar;17;2019;0,172797;4.837.990;48.383.287
Mar;16;2019;0,170362;4.837.467;47.701.327
Mar;15;2019;0,170609;4.363.332;47.770.645
Mar;14;2019;0,170096;6.426.984;47.626.786
Mar;13;2019;0,175136;11.261.151;49.038.139
Mar;12;2019;0,172412;9.299.314;48.275.338
Mar;11;2019;0,172307;10.911.665;48.246.007
Mar;10;2019;0,168218;7.589.524;47.101.139
Mar;9;2019;0,169852;14.000.992;47.558.576
Mar;8;2019;0,161977;10.043.371;45.353.615
Mar;7;2019;0,157643;7.558.597;44.140.151
Mar;6;2019;0,152182;5.505.871;42.611.097
Mar;5;2019;0,147062;6.856.659;41.177.269
Mar;4;2019;0,138977;8.491.412;38.913.637
Mar;3;2019;0,148303;4.946.282;41.524.879
Mar;2;2019;0,154828;6.026.515;43.351.724
Mar;1;2019;0,161095;6.486.433;45.106.522
Feb;28;2019;0,153669;7.646.872;43.027.324
Feb;27;2019;0,159578;13.609.625;44.681.813
Feb;26;2019;0,170388;20.546.716;47.708.581
Feb;25;2019;0,143817;7.998.406;40.268.759
Feb;24;2019;0,132594;15.442.927;37.126.333
Feb;23;2019;0,145856;11.718.723;40.839.632
Feb;22;2019;0,137403;3.398.693;38.472.867
Feb;21;2019;0,135563;7.286.659;37.957.605
Feb;20;2019;0,142609;12.190.062;39.930.633
Feb;19;2019;0,127904;5.109.179;35.813.024
Feb;18;2019;0,127840;6.092.257;35.795.107
Feb;17;2019;0,122482;15.117.175;34.294.972
Feb;16;2019;0,137649;32.049.289;38.541.587
Feb;15;2019;0,112006;4.559.144;31.361.746
Feb;14;2019;0,108693;2.393.537;30.434.038
Feb;13;2019;0,108809;2.510.236;30.466.481
Feb;12;2019;0,108344;2.381.648;30.336.446
Feb;11;2019;0,108088;2.468.604;30.264.635
