Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;0,560146;35.322.441;144.792.836
Apr;10;2019;0,632388;33.818.730;163.350.474
Apr;9;2019;0,614607;38.669.688;158.642.397
Apr;8;2019;0,637086;47.802.896;164.328.173
Apr;7;2019;0,675090;42.991.015;174.004.182
Apr;6;2019;0,663468;50.814.016;170.887.693
Apr;5;2019;0,642781;36.066.465;165.440.915
Apr;4;2019;0,619473;56.192.625;159.328.234
Apr;3;2019;0,618482;51.532.623;158.958.207
Apr;2;2019;0,588288;45.202.852;151.084.985
Apr;1;2019;0,535463;38.071.057;137.417.154
Mar;31;2019;0,531720;48.356.640;136.357.391
Mar;30;2019;0,507019;48.482.634;129.929.274
Mar;29;2019;0,481589;35.013.058;123.321.383
Mar;28;2019;0,476432;42.542.692;121.909.828
Mar;27;2019;0,485353;30.304.528;124.100.999
Mar;26;2019;0,458439;39.486.523;117.133.087
Mar;25;2019;0,460255;45.122.848;117.510.388
Mar;24;2019;0,477398;32.517.532;121.797.896
Mar;23;2019;0,484730;34.651.090;123.576.162
Mar;22;2019;0,479118;55.594.181;122.053.108
Mar;21;2019;0,470040;73.581.211;119.653.020
Mar;20;2019;0,477945;79.106.501;121.572.814
Mar;19;2019;0,465471;49.570.602;118.310.386
Mar;18;2019;0,461484;70.609.062;117.208.699
Mar;17;2019;0,462861;67.126.212;117.468.490
Mar;16;2019;0,473751;67.134.648;120.141.109
Mar;15;2019;0,469308;75.798.141;118.925.310
Mar;14;2019;0,457216;63.927.859;115.771.269
Mar;13;2019;0,439181;71.928.778;111.120.014
Mar;12;2019;0,440875;69.100.234;111.461.115
Mar;11;2019;0,430236;61.382.255;108.689.212
Mar;10;2019;0,439705;66.555.784;110.995.937
Mar;9;2019;0,442615;65.756.412;111.644.328
Mar;8;2019;0,431502;60.462.233;108.757.083
Mar;7;2019;0,430193;55.165.035;108.342.943
Mar;6;2019;0,433946;57.460.522;109.202.605
Mar;5;2019;0,440420;52.922.009;110.746.974
Mar;4;2019;0,422021;49.796.695;106.036.205
Mar;3;2019;0,444406;55.486.507;103.555.631
Mar;2;2019;0,449103;54.569.471;104.650.078
Mar;1;2019;0,458840;60.339.581;106.919.032
Feb;28;2019;0,461860;63.038.195;107.622.891
Feb;27;2019;0,452011;59.844.450;105.327.808
Feb;26;2019;0,432586;44.774.751;100.801.295
Feb;25;2019;0,428467;64.518.769;99.841.555
Feb;24;2019;0,423747;61.466.838;98.741.620
Feb;23;2019;0,468988;57.939.775;109.283.828
Feb;22;2019;0,441035;50.975.804;102.770.297
Feb;21;2019;0,421525;42.353.721;98.224.016
Feb;20;2019;0,440451;46.492.805;102.634.088
Feb;19;2019;0,435517;45.068.307;101.484.407
Feb;18;2019;0,440313;37.480.214;102.601.991
Feb;17;2019;0,410966;44.359.968;95.763.496
Feb;16;2019;0,412475;50.003.912;96.115.161
Feb;15;2019;0,394550;43.186.105;91.938.133
Feb;14;2019;0,384276;43.470.904;89.544.250
Feb;13;2019;0,386436;41.119.796;90.047.461
Feb;12;2019;0,389962;43.021.253;90.869.024
Feb;11;2019;0,387543;42.564.090;90.305.435
Feb;10;2019;0,394485;28.637.585;91.923.197
Feb;9;2019;0,401183;26.019.876;93.483.888
Feb;8;2019;0,392337;27.742.617;91.422.641
Feb;7;2019;0,362809;15.868.243;84.541.961
Feb;6;2019;0,360188;17.511.235;83.931.101
Feb;5;2019;0,369694;14.065.331;86.146.182
Feb;4;2019;0,369244;10.736.709;86.041.454
Feb;3;2019;0,371895;17.925.924;86.659.197
Feb;2;2019;0,376092;39.687.288;87.637.222
Feb;1;2019;0,370899;71.765.778;86.427.076
Jan;31;2019;0,367659;62.461.599;85.672.071
Jan;30;2019;0,377980;84.138.678;88.077.155
Jan;29;2019;0,375541;62.094.866;87.508.717
Jan;28;2019;0,369587;60.940.837;86.121.272
Jan;27;2019;0,391185;76.689.186;91.154.066
Jan;26;2019;0,411633;54.837.127;95.918.853
Jan;25;2019;0,415994;64.919.307;96.935.154
Jan;24;2019;0,416829;60.809.257;97.129.684
Jan;23;2019;0,417070;51.995.113;97.185.944
Jan;22;2019;0,420725;51.303.720;98.037.545
Jan;21;2019;0,424847;7.674.517;98.998.064
Jan;20;2019;0,434262;8.083.421;101.192.015
Jan;19;2019;0,444603;10.108.552;103.601.548
Jan;18;2019;0,432302;12.268.097;100.735.275
Jan;17;2019;0,468461;22.254.984;109.161.092
Jan;16;2019;0,525667;55.679.154;122.491.252
Jan;15;2019;0,414164;67.551.410;96.508.663
Jan;14;2019;0,371338;67.080.809;86.529.455
Jan;13;2019;0,353306;54.349.657;82.327.433
Jan;12;2019;0,379010;60.552.521;88.317.123
Jan;11;2019;0,371636;4.084.194;86.598.901
Jan;10;2019;0,371537;19.333.183;86.575.783
Jan;9;2019;0,409640;3.401.006;95.454.405
Jan;8;2019;0,403801;2.996.784;94.093.914
Jan;7;2019;0,407981;4.202.976;95.067.820
Jan;6;2019;0,416285;12.818.145;97.002.893
Jan;5;2019;0,396700;2.993.270;92.439.187
Jan;4;2019;0,391558;3.146.472;91.240.942
Jan;3;2019;0,395935;3.012.462;92.261.027
Jan;2;2019;0,414944;4.224.764;96.690.484
Jan;1;2019;0,400219;2.777.715;93.259.302
Dec;31;2018;0,388751;3.100.314;90.586.907
Dec;30;2018;0,406613;3.221.237;94.749.244
Dec;29;2018;0,408279;4.159.618;95.137.263
Dec;28;2018;0,418670;4.346.004;97.558.653
Dec;27;2018;0,376048;4.233.601;87.626.898
Dec;26;2018;0,425275;5.204.535;99.097.828
Dec;25;2018;0,408939;6.471.993;95.291.222
Dec;24;2018;0,481183;8.186.822;112.125.494
Dec;23;2018;0,470947;6.609.651;109.740.239
Dec;22;2018;0,457742;5.544.372;106.663.203
Dec;21;2018;0,453481;11.029.777;105.670.274
Dec;20;2018;0,424033;6.037.660;98.808.461
Dec;19;2018;0,399440;7.179.593;93.077.689
Dec;18;2018;0,389707;4.969.505;90.809.670
Dec;17;2018;0,377751;4.450.855;88.023.735
Dec;16;2018;0,337337;3.325.681;78.606.529
Dec;15;2018;0,340526;4.019.638;79.349.440
Dec;14;2018;0,330879;4.764.991;77.101.467
Dec;13;2018;0,371319;3.643.571;86.524.966
Dec;12;2018;0,395619;4.767.994;92.187.307
Dec;11;2018;0,382781;4.519.597;89.195.739
Dec;10;2018;0,396430;5.787.336;92.376.409
Dec;9;2018;0,428854;7.122.841;99.931.748
Dec;8;2018;0,389502;8.325.544;90.761.971
Dec;7;2018;0,357208;6.927.462;83.236.757
Dec;6;2018;0,354883;7.388.161;82.694.921
Dec;5;2018;0,441033;5.703.721;102.769.621
Dec;4;2018;0,511695;5.427.586;119.235.383
Dec;3;2018;0,530658;5.392.997;123.654.143
Dec;2;2018;0,556319;5.308.969;129.633.827
Dec;1;2018;0,573718;4.917.736;133.688.076
Nov;30;2018;0,553444;6.165.590;128.963.843
Nov;29;2018;0,600312;5.799.246;139.884.892
Nov;28;2018;0,617843;7.795.350;143.970.068
Nov;27;2018;0,530749;4.202.070;123.675.383
Nov;26;2018;0,544008;5.296.420;126.765.001
Nov;25;2018;0,582393;6.725.080;135.709.492
Nov;24;2018;0,574118;7.467.560;133.781.247
Nov;23;2018;0,598712;4.189.120;139.512.153
Nov;22;2018;0,599417;3.609.720;139.676.432
Nov;21;2018;0,662860;4.929.100;154.459.950
Nov;20;2018;0,600378;10.048.800;139.900.365
Nov;19;2018;0,738096;6.670.580;171.991.478
Nov;18;2018;0,883765;5.931.060;205.935.338
Nov;17;2018;0,886400;7.403.360;206.549.346
Nov;16;2018;0,888302;4.384.130;206.992.551
Nov;15;2018;0,932691;7.827.080;217.336.097
Nov;14;2018;0,941166;7.472.910;219.310.946
Nov;13;2018;1,12;4.525.070;261.966.275
Nov;12;2018;1,15;5.086.740;267.397.982
Nov;11;2018;1,16;4.387.300;269.248.165
Nov;10;2018;1,17;4.771.910;273.286.410
Nov;9;2018;1,16;5.386.200;271.065.725
Nov;8;2018;1,16;5.133.580;270.760.468
Nov;7;2018;1,30;12.449.400;302.071.429
Nov;6;2018;1,20;5.913.640;280.822.292
Nov;5;2018;1,19;12.559.000;278.203.142
Nov;4;2018;1,17;6.134.960;273.023.097
Nov;3;2018;1,19;4.814.720;276.998.426
Nov;2;2018;1,19;4.615.220;276.669.867
Nov;1;2018;1,18;4.996.010;275.171.545
Oct;31;2018;1,14;4.287.940;266.253.852
Oct;30;2018;1,14;7.014.420;265.853.057
Oct;29;2018;1,18;8.554.310;275.199.508
Oct;28;2018;1,28;5.669.330;298.436.309
Oct;27;2018;1,25;4.080.210;292.387.098
Oct;26;2018;1,28;8.256.250;298.322.129
Oct;25;2018;1,26;5.881.570;293.657.059
Oct;24;2018;1,29;6.371.100;301.076.431
Oct;23;2018;1,30;9.524.670;302.847.387
Oct;22;2018;1,29;12.515.600;300.130.368
Oct;21;2018;1,38;9.684.750;320.971.719
Oct;20;2018;1,42;20.153.200;331.550.849
Oct;19;2018;1,36;9.382.160;315.856.920
Oct;18;2018;1,24;8.594.530;290.007.959
Oct;17;2018;1,26;13.630.900;294.232.620
Oct;16;2018;1,19;7.316.560;278.093.622
Oct;15;2018;1,18;13.623.500;274.754.439
Oct;14;2018;1,14;8.014.960;265.692.273
Oct;13;2018;1,11;8.355.600;257.629.764
Oct;12;2018;1,12;8.578.590;260.768.550
Oct;11;2018;1,08;19.495.500;250.921.105
Oct;10;2018;1,32;32.338.100;307.048.746
Oct;9;2018;1,08;5.877.390;252.743.325
Oct;8;2018;1,07;4.624.690;248.791.298
Oct;7;2018;1,06;4.958.620;246.694.113
Oct;6;2018;1,06;4.812.020;246.430.800
Oct;5;2018;1,06;4.889.260;247.954.754
Oct;4;2018;1,06;4.594.480;246.109.232
Oct;3;2018;1,06;5.638.700;246.239.723
Oct;2;2018;1,05;7.158.970;245.808.636
Oct;1;2018;1,08;9.948.200;250.611.188
Sep;30;2018;1,07;7.739.710;249.112.866
Sep;29;2018;1,09;6.502.250;254.463.016
Sep;28;2018;0,999351;4.814.910;232.869.242
Sep;27;2018;1,01;5.092.940;235.833.029
Sep;26;2018;0,968896;6.870.160;225.772.603
Sep;25;2018;0,963156;5.883.500;224.435.066
Sep;24;2018;0,975978;5.187.410;227.422.854
Sep;23;2018;1,02;5.590.280;237.478.154
Sep;22;2018;1,01;7.263.840;235.380.969
Sep;21;2018;1,05;8.081.370;245.319.293
Sep;20;2018;0,984592;4.814.290;229.430.093
Sep;19;2018;0,937182;4.685.850;218.382.592
Sep;18;2018;0,946182;4.414.580;220.479.776
Sep;17;2018;0,910160;4.932.990;212.085.913
Sep;16;2018;0,988406;4.584.330;230.318.833
Sep;15;2018;1,01;5.412.740;236.296.740
Sep;14;2018;0,978467;8.942.980;228.002.842
Sep;13;2018;0,915175;5.229.720;213.254.511
Sep;12;2018;0,860509;4.300.740;200.516.213
Sep;11;2018;0,874707;3.545.440;203.824.638
Sep;10;2018;0,902874;3.323.650;210.388.126
Sep;9;2018;0,928855;3.526.990;216.442.231
Sep;8;2018;0,912286;3.023.600;212.581.314
Sep;7;2018;0,967573;5.657.200;225.464.317
Sep;6;2018;0,995309;9.349.190;231.927.373
Sep;5;2018;0,992171;9.805.330;231.196.155
Sep;4;2018;1,18;18.850.600;274.847.647
Sep;3;2018;1,18;5.384.020;275.325.339
Sep;2;2018;1,17;6.708.540;272.512.782
Sep;1;2018;1,20;5.621.970;279.855.257
Aug;31;2018;1,15;5.125.600;268.290.451
Aug;30;2018;1,10;5.302.950;255.481.315
Aug;29;2018;1,14;7.318.490;266.214.238
