Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;0,184392;5.031.470;55.451.099
Apr;10;2019;0,214614;4.311.598;64.539.513
Apr;09;2019;0,207401;5.160.597;62.370.412
Apr;08;2019;0,210670;6.170.933;63.353.425
Apr;07;2019;0,216868;4.891.568;65.217.322
Apr;06;2019;0,221281;5.088.520;66.544.507
Apr;05;2019;0,221518;4.972.061;66.615.729
Apr;04;2019;0,215686;6.879.634;64.861.910
Apr;03;2019;0,212679;10.832.142;63.957.676
Apr;02;2019;0,202938;6.310.822;61.028.216
Apr;01;2019;0,169883;3.169.556;52.592.603
Mar;31;2019;0,172328;4.897.898;50.296.717
Mar;30;2019;0,166644;2.827.976;48.637.708
Mar;29;2019;0,156641;2.358.789;45.718.242
Mar;28;2019;0,157679;5.670.953;46.021.135
Mar;27;2019;0,151968;4.973.569;44.354.265
Mar;26;2019;0,137742;2.470.285;40.202.361
Mar;25;2019;0,137738;2.395.285;40.201.049
Mar;24;2019;0,142435;2.081.394;41.572.144
Mar;23;2019;0,145954;2.402.306;42.599.120
Mar;22;2019;0,138655;1.749.810;40.468.629
Mar;21;2019;0,142107;3.173.145;41.476.417
Mar;20;2019;0,146215;3.202.026;42.675.294
Mar;19;2019;0,145473;2.884.433;42.458.634
Mar;18;2019;0,140297;1.850.461;40.947.895
Mar;17;2019;0,143664;2.016.128;41.930.874
Mar;16;2019;0,145099;2.663.020;42.349.459
Mar;15;2019;0,146450;2.618.049;42.743.824
Mar;14;2019;0,145433;2.932.697;42.447.005
Mar;13;2019;0,146134;3.208.874;42.651.533
Mar;12;2019;0,142725;2.842.130;41.656.612
Mar;11;2019;0,137385;2.485.768;40.098.100
Mar;10;2019;0,136484;2.735.680;39.835.090
Mar;09;2019;0,135373;3.076.261;39.510.994
Mar;08;2019;0,129724;4.842.685;37.861.979
Mar;07;2019;0,119527;1.864.004;34.885.873
Mar;06;2019;0,118867;1.897.250;34.693.204
Mar;05;2019;0,118468;2.101.777;34.576.814
Mar;04;2019;0,112265;1.912.462;32.766.363
Mar;03;2019;0,121412;3.026.019;35.436.089
Mar;02;2019;0,119591;2.545.203;34.904.551
Mar;01;2019;0,114890;2.820.102;33.532.623
Feb;28;2019;0,115002;2.397.875;33.565.185
Feb;27;2019;0,112449;3.032.317;32.819.975
Feb;26;2019;0,120415;2.499.009;35.145.214
Feb;25;2019;0,109816;1.557.692;32.051.767
Feb;24;2019;0,106899;1.538.709;31.200.122
Feb;23;2019;0,120228;1.722.212;35.090.423
Feb;22;2019;0,117274;1.485.196;34.228.422
Feb;21;2019;0,115394;1.766.678;32.657.534
Feb;20;2019;0,120340;1.570.820;34.057.264
Feb;19;2019;0,117192;2.509.866;33.166.497
Feb;18;2019;0,124208;1.907.753;35.152.087
Feb;17;2019;0,118613;1.051.108;33.568.468
Feb;16;2019;0,116793;1.077.607;33.053.450
Feb;15;2019;0,117407;2.150.099;33.227.321
Feb;14;2019;0,122744;2.696.062;34.737.757
Feb;13;2019;0,125479;3.814.804;35.511.752
Feb;12;2019;0,120845;2.249.962;34.200.335
Feb;11;2019;0,119853;1.728.677;33.919.596
Feb;10;2019;0,121042;1.717.889;34.255.887
Feb;09;2019;0,119630;2.578.107;33.856.486
Feb;08;2019;0,121909;2.369.050;34.501.454
Feb;07;2019;0,110352;1.875.422;31.230.718
Feb;06;2019;0,108324;944.269;30.656.685
Feb;05;2019;0,109557;994.513;31.005.730
Feb;04;2019;0,113660;767.053;32.166.767
Feb;03;2019;0,112019;942.272;31.702.379
Feb;02;2019;0,115021;952.212;32.551.860
Feb;01;2019;0,116002;1.632.394;32.829.496
Jan;31;2019;0,115892;1.463.272;31.772.077
Jan;30;2019;0,123361;1.403.224;33.819.518
Jan;29;2019;0,120186;2.009.386;32.949.307
Jan;28;2019;0,124734;1.754.127;34.195.933
Jan;27;2019;0,129373;2.056.577;35.467.773
Jan;26;2019;0,134242;1.566.123;36.802.696
Jan;25;2019;0,137779;2.126.028;37.772.429
Jan;24;2019;0,134704;1.733.136;36.929.327
Jan;23;2019;0,132346;1.592.143;36.282.746
Jan;22;2019;0,134347;1.766.050;36.831.587
Jan;21;2019;0,131200;1.568.324;35.968.583
Jan;20;2019;0,133531;1.973.911;36.607.812
Jan;19;2019;0,146663;4.336.859;40.207.848
Jan;18;2019;0,142939;3.222.937;39.186.986
Jan;17;2019;0,137778;2.726.146;37.772.020
Jan;16;2019;0,134488;2.955.545;36.870.034
Jan;15;2019;0,124892;1.942.593;34.239.221
Jan;14;2019;0,131647;1.628.550;36.091.290
Jan;13;2019;0,123029;1.155.267;33.728.567
Jan;12;2019;0,132217;1.527.963;36.247.598
Jan;11;2019;0,136248;2.667.621;37.352.619
Jan;10;2019;0,142583;3.767.566;39.089.275
Jan;09;2019;0,160639;1.620.887;44.039.387
Jan;08;2019;0,155954;2.194.080;42.754.934
Jan;07;2019;0,163936;2.133.448;44.943.253
Jan;06;2019;0,166484;2.738.687;45.641.916
Jan;05;2019;0,154974;1.941.190;42.486.284
Jan;04;2019;0,151886;1.985.380;41.639.732
Jan;03;2019;0,148377;1.361.226;40.677.916
Jan;02;2019;0,152791;1.767.921;40.534.500
Jan;01;2019;0,147665;2.059.987;39.174.719
Dec;31;2018;0,141624;1.477.228;37.572.075
Dec;30;2018;0,152336;1.575.378;40.413.907
Dec;29;2018;0,149927;1.641.826;39.774.776
Dec;28;2018;0,157128;2.875.472;41.685.091
Dec;27;2018;0,145641;2.287.309;38.637.763
Dec;26;2018;0,160818;2.201.244;42.664.145
Dec;25;2018;0,161097;2.835.934;42.738.019
Dec;24;2018;0,178995;4.662.895;47.486.227
Dec;23;2018;0,169828;3.380.285;45.054.478
Dec;22;2018;0,162707;3.209.994;43.165.294
Dec;21;2018;0,161773;5.799.361;42.917.552
Dec;20;2018;0,185424;7.723.050;49.191.888
Dec;19;2018;0,134719;3.361.345;35.740.175
Dec;18;2018;0,126568;1.076.891;33.577.670
Dec;17;2018;0,123761;1.479.283;32.833.118
Dec;16;2018;0,111379;802.800;29.548.208
Dec;15;2018;0,112472;636.419;29.838.188
Dec;14;2018;0,114983;1.503.975;30.504.413
Dec;13;2018;0,119912;1.041.285;31.812.049
Dec;12;2018;0,121069;1.422.341;32.119.028
Dec;11;2018;0,117457;1.023.608;31.160.736
Dec;10;2018;0,123091;1.111.465;32.655.418
Dec;09;2018;0,132600;1.136.615;35.178.003
Dec;08;2018;0,128330;1.390.863;34.045.271
Dec;07;2018;0,130170;1.648.856;34.533.262
Dec;06;2018;0,130182;1.924.012;34.536.436
Dec;05;2018;0,148582;2.764.033;39.028.649
Dec;04;2018;0,166250;2.441.136;43.669.488
Dec;03;2018;0,147396;1.778.753;38.716.947
Dec;02;2018;0,161010;1.710.367;42.293.014
Dec;01;2018;0,165158;1.757.659;43.382.612
Nov;30;2018;0,154799;3.656.672;40.661.520
Nov;29;2018;0,168955;4.222.560;44.380.004
Nov;28;2018;0,148329;2.486.280;38.962.065
Nov;27;2018;0,132063;2.555.680;34.689.421
Nov;26;2018;0,124683;2.449.830;32.750.892
Nov;25;2018;0,132957;2.390.710;34.924.251
Nov;24;2018;0,135931;3.155.790;35.705.442
Nov;23;2018;0,163227;2.471.320;42.875.371
Nov;22;2018;0,168186;2.244.200;43.873.323
Nov;21;2018;0,182537;1.868.010;47.616.952
Nov;20;2018;0,166869;3.230.400;43.529.768
Nov;19;2018;0,213580;4.237.340;55.714.889
Nov;18;2018;0,279937;1.802.920;73.024.903
Nov;17;2018;0,273528;1.695.710;71.353.039
Nov;16;2018;0,283611;2.172.800;73.983.310
Nov;15;2018;0,294147;3.686.680;76.319.338
Nov;14;2018;0,323036;3.638.340;83.814.874
Nov;13;2018;0,383293;1.951.210;96.831.687
Nov;12;2018;0,392457;2.100.670;99.146.797
Nov;11;2018;0,393293;1.664.080;99.357.997
Nov;10;2018;0,397041;1.633.750;100.304.858
Nov;09;2018;0,395787;1.673.760;99.988.058
Nov;08;2018;0,401942;1.843.230;97.594.045
Nov;07;2018;0,410765;2.199.980;99.736.324
Nov;06;2018;0,407006;2.399.280;98.564.298
Nov;05;2018;0,394727;2.361.470;95.842.197
Nov;04;2018;0,404995;2.555.800;98.335.332
Nov;03;2018;0,407984;3.360.550;99.061.080
Nov;02;2018;0,424998;1.759.160;103.192.186
Nov;01;2018;0,419041;2.114.300;101.745.789
Oct;31;2018;0,405416;2.073.010;98.437.554
Oct;30;2018;0,403909;3.457.890;98.071.644
Oct;29;2018;0,400976;3.399.110;97.359.494
Oct;28;2018;0,416370;4.713.700;101.097.254
Oct;27;2018;0,422911;2.997.010;102.685.450
Oct;26;2018;0,440926;3.748.230;107.059.605
Oct;25;2018;0,415028;3.766.490;100.771.408
Oct;24;2018;0,423679;3.418.470;102.871.925
Oct;23;2018;0,418549;3.346.960;101.626.329
Oct;22;2018;0,418566;2.763.380;101.630.456
Oct;21;2018;0,425132;3.967.020;103.224.722
Oct;20;2018;0,448298;3.432.560;108.849.573
Oct;19;2018;0,426625;3.241.730;103.587.232
Oct;18;2018;0,424283;2.468.890;103.018.580
Oct;17;2018;0,433051;2.241.620;105.147.505
Oct;16;2018;0,434801;2.576.870;105.572.416
Oct;15;2018;0,453987;5.000.740;109.614.459
Oct;14;2018;0,429238;7.326.170;100.707.640
Oct;13;2018;0,448424;9.187.830;105.209.051
Oct;12;2018;0,372549;1.889.440;87.407.290
Oct;11;2018;0,376927;2.725.420;88.434.455
Oct;10;2018;0,441728;1.362.330;99.298.195
Oct;09;2018;0,448563;1.374.390;100.834.668
Oct;08;2018;0,446295;2.300.260;100.324.834
Oct;07;2018;0,435007;1.357.790;97.787.349
Oct;06;2018;0,441701;1.819.650;99.292.126
Oct;05;2018;0,446812;3.131.440;100.441.053
Oct;04;2018;0,422195;1.849.630;94.907.277
Oct;03;2018;0,410113;2.506.850;92.191.305
Oct;02;2018;0,423568;4.067.510;95.215.920
Oct;01;2018;0,422602;2.456.140;94.998.768
Sep;30;2018;0,416852;1.413.870;93.706.198
Sep;29;2018;0,419475;2.104.850;94.295.835
Sep;28;2018;0,420120;1.163.590;94.440.828
Sep;27;2018;0,427399;1.037.810;96.077.110
Sep;26;2018;0,411663;1.645.480;92.539.737
Sep;25;2018;0,413524;1.850.110;92.958.080
Sep;24;2018;0,439992;2.314.010;98.907.952
Sep;23;2018;0,461561;918.077;103.223.762
Sep;22;2018;0,453247;1.316.060;101.364.414
Sep;21;2018;0,478113;2.038.810;106.925.460
Sep;20;2018;0,462788;2.022.400;103.498.168
Sep;19;2018;0,430477;1.745.000;96.272.118
Sep;18;2018;0,411753;1.722.960;92.084.672
Sep;17;2018;0,399340;1.749.150;89.308.622
Sep;16;2018;0,451935;1.732.090;101.070.997
Sep;15;2018;0,446407;1.470.700;96.786.256
Sep;14;2018;0,441841;2.055.710;95.796.293
Sep;13;2018;0,436464;2.343.260;94.630.497
Sep;12;2018;0,414354;1.336.660;89.836.791
Sep;11;2018;0,393985;1.176.760;85.420.553
Sep;10;2018;0,428359;655.509;92.873.238
Sep;09;2018;0,432509;1.158.130;89.523.738
Sep;08;2018;0,422992;1.677.970;87.553.843
Sep;07;2018;0,460504;1.927.940;95.318.339
Sep;06;2018;0,467263;1.932.790;96.717.364
Sep;05;2018;0,454508;2.226.560;94.077.245
Sep;04;2018;0,588839;1.459.700;121.882.015
Sep;03;2018;0,579602;2.360.510;119.970.076
Sep;02;2018;0,606288;2.371.490;125.493.731
Sep;01;2018;0,619635;3.751.050;128.256.386
Aug;31;2018;0,603255;3.539.100;124.865.939
Aug;30;2018;0,581955;2.860.100;120.457.116
Aug;29;2018;0,608760;2.942.390;126.005.403
Aug;28;2018;0,658886;1.704.530;136.380.833
Aug;27;2018;0,668685;4.010.880;138.409.098
Aug;26;2018;0,634914;4.244.940;131.418.940
Aug;25;2018;0,644420;3.474.340;133.386.559
Aug;24;2018;0,580363;3.559.350;120.127.593
Aug;23;2018;0,485252;1.134.840;100.440.853
Aug;22;2018;0,435618;1.792.000;90.167.260
Aug;21;2018;0,471399;1.798.970;97.573.462
Aug;20;2018;0,463601;1.882.120;95.234.234
Aug;19;2018;0,518089;3.391.320;106.427.314
Aug;18;2018;0,489668;5.495.630;100.588.991
Aug;17;2018;0,505550;3.402.810;103.851.517
Aug;16;2018;0,399337;1.211.150;82.032.941
Aug;15;2018;0,368826;1.217.450;73.246.618
Aug;14;2018;0,363543;1.753.260;72.197.446
Aug;13;2018;0,366575;1.185.640;72.799.583
Aug;12;2018;0,428803;1.036.020;84.257.288
Aug;11;2018;0,426238;1.177.180;80.460.637
Aug;10;2018;0,467474;2.402.300;88.244.727
Aug;09;2018;0,541217;1.583.310;102.165.139
Aug;08;2018;0,486472;1.710.170;91.830.965
Aug;07;2018;0,547017;2.100.510;103.260.001
Aug;06;2018;0,589949;1.190.310;111.364.243
Aug;05;2018;0,623788;952.564;117.752.007
Aug;04;2018;0,574728;1.875.420;108.490.986
Aug;03;2018;0,630410;2.469.280;119.002.037
Aug;02;2018;0,615850;2.091.370;116.253.556
Aug;01;2018;0,681305;2.016.300;128.609.449
Jul;31;2018;0,718006;1.677.580;135.537.470
Jul;30;2018;0,809121;2.073.640;152.737.182
Jul;29;2018;0,849312;1.822.450;160.324.008
Jul;28;2018;0,846971;1.666.550;159.882.099
Jul;27;2018;0,863170;2.938.110;162.939.972
Jul;26;2018;0,802245;2.870.110;151.439.205
Jul;25;2018;0,900712;3.606.620;170.026.748
Jul;24;2018;0,825448;4.591.100;155.819.218
Jul;23;2018;0,839026;2.866.310;158.257.813
Jul;22;2018;0,895579;2.558.980;168.924.889
Jul;21;2018;0,911441;3.090.910;171.916.793
Jul;20;2018;0,882159;3.555.330;166.393.597
Jul;19;2018;0,995214;3.502.760;183.252.877
Jul;18;2018;1,05;5.687.160;192.663.237
Jul;17;2018;1,11;3.971.970;204.245.274
Jul;16;2018;1,04;3.876.100;191.668.912
Jul;15;2018;0,941805;1.652.770;166.986.990
Jul;14;2018;0,949407;1.883.360;168.334.864
Jul;13;2018;0,903479;2.612.990;160.191.588
Jul;12;2018;0,872170;3.778.510;152.431.936
Jul;11;2018;0,959735;4.525.800;160.736.970
Jul;10;2018;0,870135;1.979.300;145.730.710
Jul;09;2018;0,952771;2.362.760;159.570.635
Jul;08;2018;1,09;1.890.970;182.848.593
Jul;07;2018;1,10;1.537.210;183.948.940
Jul;06;2018;1,07;2.260.800;179.656.413
Jul;05;2018;1,07;4.261.490;179.691.584
Jul;04;2018;1,11;2.078.420;185.334.004
Jul;03;2018;1,06;4.047.140;177.129.131
Jul;02;2018;1,12;3.607.960;187.767.497
Jul;01;2018;1,03;2.131.780;172.071.218
Jun;30;2018;0,977379;2.721.320;163.691.997
Jun;29;2018;0,978241;3.836.470;163.836.365
Jun;28;2018;0,845475;4.009.790;141.600.639
Jun;27;2018;0,995406;2.745.580;166.711.169
Jun;26;2018;1,05;2.074.480;175.610.082
Jun;25;2018;1,11;2.293.390;185.499.810
Jun;24;2018;1,08;1.887.930;180.508.889
Jun;23;2018;1,12;1.253.930;186.874.826
Jun;22;2018;1,12;3.532.960;186.839.655
Jun;21;2018;1,34;2.021.760;223.764.097
Jun;20;2018;1,37;3.334.350;229.178.744
Jun;19;2018;1,43;3.376.030;239.418.506
Jun;18;2018;1,51;2.896.740;242.508.563
Jun;17;2018;1,44;1.734.230;231.311.140
Jun;16;2018;1,46;2.009.090;234.826.199
Jun;15;2018;1,47;3.514.910;236.737.954
Jun;14;2018;1,60;5.972.020;257.384.911
Jun;13;2018;1,48;7.001.210;237.261.679
Jun;12;2018;1,53;3.348.780;245.662.156
Jun;11;2018;1,70;4.181.560;256.638.185
Jun;10;2018;1,78;4.149.670;267.846.140
Jun;09;2018;1,99;1.985.720;300.881.780
Jun;08;2018;2,05;2.478.490;309.712.701
Jun;07;2018;2,08;3.416.460;314.356.665
Jun;06;2018;2,11;2.674.970;318.637.135
Jun;05;2018;2,15;3.898.370;322.324.814
Jun;04;2018;2,18;7.318.110;327.030.734
Jun;03;2018;2,29;4.421.090;343.006.606
Jun;02;2018;2,16;3.445.670;324.009.243
Jun;01;2018;2,06;2.273.300;308.632.280
May;31;2018;2,08;2.938.480;311.779.541
May;30;2018;2,03;2.702.250;303.950.316
May;29;2018;2,07;3.083.860;309.238.674
May;28;2018;1,86;2.621.520;278.531.162
May;27;2018;2,01;1.401.800;300.722.202
May;26;2018;2,05;2.023.640;307.512.322
May;25;2018;2,10;2.668.550;314.342.868
May;24;2018;2,24;3.277.580;334.758.145
May;23;2018;2,11;4.317.690;316.491.450
May;22;2018;2,19;3.214.820;328.047.381
May;21;2018;2,48;3.562.730;371.306.507
May;20;2018;2,58;3.604.580;386.502.301
May;19;2018;2,51;3.246.520;375.828.263
May;18;2018;2,57;2.759.320;384.931.665
May;17;2018;2,46;4.032.190;351.105.002
May;16;2018;2,63;4.905.500;375.187.624
May;15;2018;2,80;6.932.900;400.361.988
May;14;2018;3,03;9.315.450;433.097.093
May;13;2018;3,17;5.798.390;441.368.686
May;12;2018;3,01;6.168.430;400.439.270
May;11;2018;2,82;7.017.540;374.690.890
May;10;2018;2,93;10.940.800;389.782.749
May;09;2018;3,03;10.011.200;403.772.759
May;08;2018;3,17;5.799.460;421.766.950
May;07;2018;3,38;6.060.160;449.929.282
May;06;2018;3,45;5.580.090;459.119.333
May;05;2018;3,66;7.297.350;486.825.223
May;04;2018;3,67;11.430.800;488.869.231
May;03;2018;3,84;13.318.800;510.536.249
May;02;2018;3,92;23.939.900;521.923.343
May;01;2018;3,79;8.445.370;503.726.881
Apr;30;2018;3,70;8.774.070;492.744.330
Apr;29;2018;3,89;8.301.740;517.445.422
Apr;28;2018;3,85;7.309.130;511.847.022
Apr;27;2018;3,56;6.763.640;473.754.750
Apr;26;2018;3,73;7.635.250;496.204.239
Apr;25;2018;3,45;17.131.600;458.765.358
Apr;24;2018;4,07;16.040.300;541.336.096
Apr;23;2018;3,94;14.820.600;519.789.267
Apr;22;2018;3,97;20.240.700;523.380.264
Apr;21;2018;3,73;27.122.600;492.469.445
Apr;20;2018;3,35;12.882.000;442.079.347
Apr;19;2018;3,27;12.220.900;409.446.739
Apr;18;2018;3,09;10.898.000;387.010.821
Apr;17;2018;2,95;14.259.400;368.758.486
Apr;16;2018;3,04;12.993.000;380.610.928
Apr;15;2018;2,99;12.582.300;373.985.775
Apr;14;2018;2,74;11.587.000;342.600.769
Apr;13;2018;2,64;13.997.200;330.210.206
Apr;12;2018;2,81;15.358.900;324.051.144
Apr;11;2018;2,35;14.421.400;271.288.843
Apr;10;2018;2,13;9.613.100;245.816.990
Apr;09;2018;2,08;7.648.710;239.761.544
Apr;08;2018;2,14;9.224.210;247.011.704
Apr;07;2018;2,02;13.349.200;232.564.431
Apr;06;2018;1,85;6.019.930;213.203.377
Apr;05;2018;1,93;6.746.830;222.613.479
Apr;04;2018;1,95;6.966.130;225.087.090
Apr;03;2018;2,21;9.079.620;255.363.169
Apr;02;2018;2,09;7.628.410;240.672.571
Apr;01;2018;1,93;7.798.500;222.176.417
Mar;31;2018;2,01;8.095.720;232.070.862
Mar;30;2018;2,01;7.960.780;232.052.410
Mar;29;2018;2,08;8.734.720;239.616.241
Mar;28;2018;2,41;9.569.080;277.852.850
Mar;27;2018;2,43;9.755.060;279.851.344
Mar;26;2018;2,54;10.717.600;293.416.420
Mar;25;2018;2,73;12.101.300;314.366.581
Mar;24;2018;2,88;12.010.700;332.263.072
Mar;23;2018;2,78;13.428.800;320.463.543
Mar;22;2018;2,97;12.338.600;342.396.229
Mar;21;2018;3,12;15.123.400;360.122.046
Mar;20;2018;2,83;10.819.600;325.928.551
Mar;19;2018;2,73;12.853.700;289.670.275
Mar;18;2018;2,54;12.385.300;269.158.040
Mar;17;2018;2,26;10.819.600;239.763.705
Mar;16;2018;2,60;23.713.000;275.185.066
Mar;15;2018;2,70;35.087.700;286.522.699
Mar;14;2018;2,18;3.572.270;209.711.294
Mar;13;2018;2,36;1.847.310;226.815.501
Mar;12;2018;2,34;1.714.070;224.697.221
Mar;11;2018;2,47;1.478.910;237.764.591
Mar;10;2018;2,32;1.906.220;223.015.483
Mar;09;2018;2,45;2.096.300;235.473.234
Mar;08;2018;2,48;4.268.540;238.083.823
Mar;07;2018;2,63;3.815.490;252.929.086
Mar;06;2018;2,91;2.337.060;279.644.598
Mar;05;2018;3,23;2.551.950;310.098.588
