Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;0,077756;1.463.516;77.678.486
Apr;10;2019;0,085365;1.278.646;85.279.720
Apr;09;2019;0,085550;805.354;85.464.172
Apr;08;2019;0,089056;890.584;88.966.847
Apr;07;2019;0,090667;853.585;90.575.927
Apr;06;2019;0,088834;997.027;88.744.786
Apr;05;2019;0,088702;883.678;88.612.940
Apr;04;2019;0,086993;1.398.253;86.905.491
Apr;03;2019;0,087190;1.898.771;87.102.438
Apr;02;2019;0,087155;2.193.845;87.067.625
Apr;01;2019;0,082073;1.258.247;81.990.914
Mar;31;2019;0,081604;3.498.329;81.522.626
Mar;30;2019;0,079343;1.696.969;79.263.439
Mar;29;2019;0,080874;1.351.699;80.793.447
Mar;28;2019;0,081215;1.465.171;81.134.122
Mar;27;2019;0,080877;4.795.235;80.795.992
Mar;26;2019;0,075614;1.815.494;75.538.725
Mar;25;2019;0,075875;6.291.175;75.799.121
Mar;24;2019;0,072693;1.268.435;72.620.764
Mar;23;2019;0,070957;764.147;70.886.262
Mar;22;2019;0,070261;1.043.318;70.190.335
Mar;21;2019;0,071108;4.389.008;71.037.023
Mar;20;2019;0,070083;2.046.514;70.012.961
Mar;19;2019;0,068663;1.195.680;68.594.097
Mar;18;2019;0,068937;762.428;68.868.148
Mar;17;2019;0,068734;836.982;68.665.224
Mar;16;2019;0,068432;913.164;68.363.765
Mar;15;2019;0,067755;3.291.980;67.686.899
Mar;14;2019;0,064075;2.094.829;64.011.245
Mar;13;2019;0,066193;5.885.474;66.127.016
Mar;12;2019;0,063725;21.004.368;63.661.336
Mar;11;2019;0,059666;2.617.876;59.606.592
Mar;10;2019;0,059610;757.971;59.550.055
Mar;09;2019;0,060190;1.329.027;60.129.836
Mar;08;2019;0,060773;979.966;60.712.419
Mar;07;2019;0,060710;1.427.523;60.648.890
Mar;06;2019;0,058251;387.698;58.192.687
Mar;05;2019;0,058882;570.889;58.823.056
Mar;04;2019;0,056454;667.744;56.397.170
Mar;03;2019;0,057588;434.879;57.530.117
Mar;02;2019;0,057041;407.957;56.984.215
Mar;01;2019;0,056971;737.328;56.914.223
Feb;28;2019;0,056635;392.836;56.578.534
Feb;27;2019;0,056807;720.599;56.750.411
Feb;26;2019;0,056179;531.098;56.122.827
Feb;25;2019;0,055731;440.955;55.674.878
Feb;24;2019;0,054159;810.466;54.104.727
Feb;23;2019;0,059981;713.432;59.921.415
Feb;22;2019;0,058441;668.567;58.382.110
Feb;21;2019;0,057315;521.989;57.257.264
Feb;20;2019;0,058571;706.677;58.512.659
Feb;19;2019;0,058764;1.259.432;58.704.782
Feb;18;2019;0,059343;1.155.964;59.283.316
Feb;17;2019;0,056255;2.030.110;56.198.351
Feb;16;2019;0,054257;2.229.162;54.202.273
Feb;15;2019;0,052329;404.077;52.276.571
Feb;14;2019;0,051726;493.480;51.674.128
Feb;13;2019;0,052039;283.390;51.986.745
Feb;12;2019;0,052345;452.245;52.292.209
Feb;11;2019;0,053126;968.837;53.073.302
