Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;0,618272;1.323.593;67.739.746
Apr;10;2019;0,661211;1.189.393;72.430.043
Apr;9;2019;0,673802;955.745;73.794.680
Apr;8;2019;0,670565;1.464.776;73.425.744
Apr;7;2019;0,691121;929.953;75.661.668
Apr;6;2019;0,676896;894.365;74.089.724
Apr;5;2019;0,705974;1.367.794;77.257.277
Apr;4;2019;0,676906;1.982.872;74.061.603
Apr;3;2019;0,679192;2.460.413;74.297.014
Apr;2;2019;0,720196;3.348.736;78.766.925
Apr;1;2019;0,693203;1.695.006;75.799.865
Mar;31;2019;0,720903;3.915.585;78.813.187
Mar;30;2019;0,693014;1.370.284;75.749.269
Mar;29;2019;0,671686;1.189.989;73.403.446
Mar;28;2019;0,677690;2.118.343;74.045.047
Mar;27;2019;0,664244;1.782.432;72.561.512
Mar;26;2019;0,636431;1.303.735;69.509.473
Mar;25;2019;0,610103;765.886;66.620.850
Mar;24;2019;0,632327;560.118;69.033.957
Mar;23;2019;0,627897;509.878;68.536.784
Mar;22;2019;0,631105;1.264.889;68.873.341
Mar;21;2019;0,615616;5.325.737;67.169.751
Mar;20;2019;0,633653;896.955;69.124.030
Mar;19;2019;0,628159;989.045;68.511.152
Mar;18;2019;0,630126;751.615;68.712.128
Mar;17;2019;0,638265;640.867;69.585.881
Mar;16;2019;0,648378;1.273.268;70.674.335
Mar;15;2019;0,666479;1.245.140;72.633.059
Mar;14;2019;0,668699;7.088.415;72.860.552
Mar;13;2019;0,646686;8.225.038;70.448.057
Mar;12;2019;0,611327;3.045.406;66.583.039
Mar;11;2019;0,628813;10.995.530;68.473.989
Mar;10;2019;0,606802;2.353.067;66.064.036
Mar;9;2019;0,571345;1.099.058;62.191.501
Mar;8;2019;0,548150;1.064.671;59.654.778
Mar;7;2019;0,562408;1.653.977;61.194.344
Mar;6;2019;0,553922;620.569;60.259.053
Mar;5;2019;0,567281;599.827;61.700.298
Mar;4;2019;0,528914;671.588;57.517.347
Mar;3;2019;0,561715;515.111;61.072.180
Mar;2;2019;0,574433;723.010;62.442.545
Mar;1;2019;0,573133;886.842;62.288.846
Feb;28;2019;0,578954;3.232.309;62.908.915
Feb;27;2019;0,575818;4.296.342;62.555.794
Feb;26;2019;0,567318;1.805.426;61.620.122
Feb;25;2019;0,563607;2.024.489;61.204.858
Feb;24;2019;0,563294;2.978.046;61.158.659
Feb;23;2019;0,639981;1.197.261;69.470.999
Feb;22;2019;0,638787;1.217.709;69.327.658
Feb;21;2019;0,616218;1.867.600;66.864.909
Feb;20;2019;0,643240;4.606.393;69.783.116
Feb;19;2019;0,640674;5.693.034;69.490.969
Feb;18;2019;0,662634;33.163.309;71.858.550
Feb;17;2019;0,605567;47.544.338;65.656.946
Feb;16;2019;0,468529;1.249.751;50.788.850
Feb;15;2019;0,478856;1.224.480;51.897.983
Feb;14;2019;0,495938;1.277.421;53.738.560
Feb;13;2019;0,513699;5.976.584;55.652.301
Feb;12;2019;0,488213;1.763.786;52.880.754
Feb;11;2019;0,514726;3.975.757;49.025.253
Feb;10;2019;0,546167;23.965.605;59.135.197
Feb;9;2019;0,416986;2.119.587;45.139.376
Feb;8;2019;0,448522;9.082.903;48.543.545
Feb;7;2019;0,348600;436.288;37.721.454
Feb;6;2019;0,344165;212.881;37.234.155
Feb;5;2019;0,365415;158.048;39.525.154
Feb;4;2019;0,379469;283.385;41.037.140
Feb;3;2019;0,394384;105.064;42.641.630
Feb;2;2019;0,396194;109.444;42.828.720
Feb;1;2019;0,389778;102.159;42.126.805
Jan;31;2019;0,377305;318.396;40.770.602
Jan;30;2019;0,404523;192.585;43.703.006
Jan;29;2019;0,390063;275.680;42.132.412
Jan;28;2019;0,392381;835.625;42.374.296
Jan;27;2019;0,427517;658.036;46.159.444
Jan;26;2019;0,401953;146.596;43.390.582
Jan;25;2019;0,404502;580.988;43.657.143
Jan;24;2019;0,408933;238.138;44.126.476
Jan;23;2019;0,397347;192.618;42.867.740
Jan;22;2019;0,404407;179.861;43.620.722
Jan;21;2019;0,404904;238.677;43.665.573
Jan;20;2019;0,402603;350.553;43.408.686
Jan;19;2019;0,435312;438.145;46.926.008
Jan;18;2019;0,415458;695.637;44.776.797
Jan;17;2019;0,404763;528.836;43.615.353
Jan;16;2019;0,391480;323.324;42.175.640
Jan;15;2019;0,376737;212.584;40.579.114
Jan;14;2019;0,392981;277.026;42.320.413
Jan;13;2019;0,366920;184.433;39.505.945
Jan;12;2019;0,394335;196.998;42.449.225
Jan;11;2019;0,393899;370.281;42.393.772
Jan;10;2019;0,415694;505.257;44.730.581
Jan;9;2019;0,469988;216.485;50.562.811
Jan;8;2019;0,450940;237.042;48.503.890
Jan;7;2019;0,450194;207.881;48.413.921
Jan;6;2019;0,472016;254.687;50.750.533
Jan;5;2019;0,442012;352.217;47.515.001
Jan;4;2019;0,457297;1.613.020;49.148.168
Jan;3;2019;0,416201;167.860;44.722.414
Jan;2;2019;0,416028;259.098;44.694.789
Jan;1;2019;0,392077;114.290;42.113.279
Dec;31;2018;0,383208;223.166;41.152.355
Dec;30;2018;0,410667;316.696;44.092.257
Dec;29;2018;0,398491;750.272;42.776.397
Dec;28;2018;0,398079;342.623;42.723.613
Dec;27;2018;0,362458;246.189;38.892.833
Dec;26;2018;0,384385;224.699;41.237.319
Dec;25;2018;0,379816;316.087;40.738.990
Dec;24;2018;0,423616;633.840;45.427.736
Dec;23;2018;0,406566;239.790;43.590.582
Dec;22;2018;0,407747;251.746;43.708.436
Dec;21;2018;0,385968;328.792;41.365.501
Dec;20;2018;0,409125;722.637;43.838.425
Dec;19;2018;0,374849;568.958;40.157.653
Dec;18;2018;0,355549;359.905;38.082.383
Dec;17;2018;0,348707;383.655;37.342.036
Dec;16;2018;0,311043;156.771;33.301.918
Dec;15;2018;0,306397;138.322;32.797.899
Dec;14;2018;0,302895;351.598;32.416.447
Dec;13;2018;0,305388;251.568;32.676.679
Dec;12;2018;0,308736;132.752;33.028.247
Dec;11;2018;0,301936;522.137;32.294.328
Dec;10;2018;0,305769;118.891;32.697.653
Dec;9;2018;0,337067;125.206;36.037.243
Dec;8;2018;0,325443;161.301;34.787.479
Dec;7;2018;0,324946;321.179;34.727.432
Dec;6;2018;0,340866;477.839;36.421.371
Dec;5;2018;0,372653;624.014;39.809.791
Dec;4;2018;0,414205;1.728.572;44.239.864
Dec;3;2018;0,399795;424.960;42.692.230
Dec;2;2018;0,414947;197.576;44.301.621
Dec;1;2018;0,425523;379.430;45.421.594
Nov;30;2018;0,392667;321.552;41.906.033
Nov;29;2018;0,419315;651.056;44.740.894
Nov;28;2018;0,428842;671.446;45.748.172
Nov;27;2018;0,398664;646.552;42.520.225
Nov;26;2018;0,372351;686.171;39.705.790
Nov;25;2018;0,400217;922.991;42.668.654
Nov;24;2018;0,375285;707.986;40.002.458
Nov;23;2018;0,451660;1.459.820;48.133.689
Nov;22;2018;0,477923;2.360.990;50.922.232
Nov;21;2018;0,424371;2.527.600;45.207.188
Nov;20;2018;0,400027;1.058.370;42.605.356
Nov;19;2018;0,387363;821.321;41.248.309
Nov;18;2018;0,507232;211.797;54.001.640
Nov;17;2018;0,497440;239.061;52.948.416
Nov;16;2018;0,509705;302.502;54.242.922
Nov;15;2018;0,522531;947.660;55.596.597
Nov;14;2018;0,567299;1.126.420;60.347.608
Nov;13;2018;0,675310;333.458;71.823.008
Nov;12;2018;0,721715;436.111;76.742.880
Nov;11;2018;0,710994;289.569;75.587.527
Nov;10;2018;0,719139;379.462;76.437.933
Nov;9;2018;0,727143;415.868;77.272.985
Nov;8;2018;0,762446;514.432;81.008.166
Nov;7;2018;0,763798;319.761;81.135.333
Nov;6;2018;0,770052;520.892;81.398.302
Nov;5;2018;0,775134;433.627;82.306.041
Nov;4;2018;0,810504;274.659;86.044.241
Nov;3;2018;0,799304;256.372;84.837.979
Nov;2;2018;0,819956;506.979;87.012.274
Nov;1;2018;0,799350;398.756;84.808.549
Oct;31;2018;0,799343;288.151;84.790.553
Oct;30;2018;0,794575;934.362;84.267.633
Oct;29;2018;0,768478;942.546;81.483.356
Oct;28;2018;0,793608;413.630;84.130.827
Oct;27;2018;0,771977;337.385;81.821.047
Oct;26;2018;0,802927;748.142;85.084.168
Oct;25;2018;0,805652;1.539.910;85.355.536
Oct;24;2018;0,822760;1.049.590;87.150.381
Oct;23;2018;0,766444;347.656;81.168.616
Oct;22;2018;0,771266;482.950;81.662.628
Oct;21;2018;0,756072;691.434;80.037.551
Oct;20;2018;0,771632;378.195;81.668.088
Oct;19;2018;0,739670;329.178;78.269.319
Oct;18;2018;0,747768;642.662;79.110.144
Oct;17;2018;0,785931;1.097.600;83.130.676
Oct;16;2018;0,760052;797.603;80.376.958
Oct;15;2018;0,715085;768.863;75.606.174
Oct;14;2018;0,697774;377.656;73.760.810
Oct;13;2018;0,704697;421.951;74.477.984
Oct;12;2018;0,676935;360.220;71.532.191
Oct;11;2018;0,669608;769.311;70.756.599
Oct;10;2018;0,764618;1.397.990;80.789.425
Oct;9;2018;0,750964;797.961;79.342.326
Oct;8;2018;0,729514;548.975;77.071.753
Oct;7;2018;0,730561;516.995;77.166.826
Oct;6;2018;0,698596;257.895;73.775.548
Oct;5;2018;0,699095;233.097;73.813.150
Oct;4;2018;0,699487;261.598;73.839.455
Oct;3;2018;0,693976;239.540;73.243.579
Oct;2;2018;0,715635;527.122;75.515.408
Oct;1;2018;0,723538;276.687;76.333.951
Sep;30;2018;0,713016;1.098.460;75.208.511
Sep;29;2018;0,721113;316.344;76.047.070
Sep;28;2018;0,716394;239.308;75.533.991
Sep;27;2018;0,736520;743.610;77.640.120
Sep;26;2018;0,695635;458.011;73.315.224
Sep;25;2018;0,684960;419.225;72.175.409
Sep;24;2018;0,718473;380.109;75.697.062
Sep;23;2018;0,733304;715.417;77.254.207
Sep;22;2018;0,713736;284.528;75.177.393
Sep;21;2018;0,737857;776.102;77.702.146
Sep;20;2018;0,703629;212.983;74.082.487
Sep;19;2018;0,665393;417.607;70.042.407
Sep;18;2018;0,681064;220.431;71.677.317
Sep;17;2018;0,659741;456.217;69.419.009
Sep;16;2018;0,727121;753.058;76.493.148
Sep;15;2018;0,675059;237.538;71.001.662
Sep;14;2018;0,652807;701.478;68.647.171
Sep;13;2018;0,645493;319.794;67.864.111
Sep;12;2018;0,589716;318.354;61.987.250
Sep;11;2018;0,613393;195.001;64.462.812
Sep;10;2018;0,625105;224.338;65.680.302
Sep;9;2018;0,619352;391.623;65.062.505
Sep;8;2018;0,631276;295.333;66.301.500
Sep;7;2018;0,697653;412.433;73.257.938
Sep;6;2018;0,689810;447.216;72.419.525
Sep;5;2018;0,711929;607.882;74.726.360
Sep;4;2018;0,877722;259.014;92.109.646
Sep;3;2018;0,864135;408.279;90.665.376
Sep;2;2018;0,877172;510.933;92.001.912
Sep;1;2018;0,931962;416.307;97.754.072
Aug;31;2018;0,909580;501.183;95.386.871
Aug;30;2018;0,902546;1.289.770;94.630.058
Aug;29;2018;0,989596;859.385;103.735.822
Aug;28;2018;0,949118;693.109;99.472.227
Aug;27;2018;0,907986;502.601;95.141.791
Aug;26;2018;0,846488;498.989;88.679.632
Aug;25;2018;0,863796;954.372;90.474.287
Aug;24;2018;0,806302;601.918;84.435.262
Aug;23;2018;0,738219;633.068;77.289.880
Aug;22;2018;0,671428;464.229;70.282.604
Aug;21;2018;0,679654;411.619;71.129.469
Aug;20;2018;0,662264;1.135.870;69.295.831
Aug;19;2018;0,685868;350.310;71.751.565
Aug;18;2018;0,671155;372.832;70.197.924
Aug;17;2018;0,753047;725.995;78.747.166
Aug;16;2018;0,633500;240.007;66.232.373
Aug;15;2018;0,603085;462.845;63.039.494
Aug;14;2018;0,592005;2.386.710;61.868.547
Aug;13;2018;0,648046;506.733;67.711.254
Aug;12;2018;0,775642;157.847;81.026.432
Aug;11;2018;0,762470;655.466;79.634.238
Aug;10;2018;0,792291;550.482;82.731.820
Aug;9;2018;0,845724;882.970;88.293.232
Aug;8;2018;0,779582;841.237;81.371.246
Aug;7;2018;0,840992;487.292;87.762.992
Aug;6;2018;0,864868;273.076;90.235.961
Aug;5;2018;0,898646;300.374;93.740.802
Aug;4;2018;0,880251;352.831;91.803.239
Aug;3;2018;0,938634;1.168.820;97.871.925
Aug;2;2018;0,927627;1.721.580;96.704.375
Aug;1;2018;0,994787;1.107.050;103.684.401
Jul;31;2018;1,01;1.456.300;105.204.445
Jul;30;2018;1,17;610.393;122.199.223
Jul;29;2018;1,25;352.557;130.170.538
Jul;28;2018;1,27;866.612;131.989.008
Jul;27;2018;1,25;1.270.750;129.791.060
Jul;26;2018;1,22;5.169.040;127.062.938
Jul;25;2018;1,32;3.303.020;137.409.676
Jul;24;2018;1,27;3.667.240;131.960.802
Jul;23;2018;1,28;845.515;132.730.473
Jul;22;2018;1,34;1.024.970;139.387.209
Jul;21;2018;1,36;1.112.520;141.853.177
Jul;20;2018;1,33;775.131;138.122.300
Jul;19;2018;1,50;819.154;155.950.367
Jul;18;2018;1,52;2.846.230;158.398.896
Jul;17;2018;1,52;1.473.630;158.441.898
Jul;16;2018;1,40;825.191;145.442.987
Jul;15;2018;1,27;1.072.100;131.750.602
Jul;14;2018;1,23;454.741;127.583.253
Jul;13;2018;1,25;695.214;129.513.807
Jul;12;2018;1,21;1.149.160;125.541.418
Jul;11;2018;1,30;1.552.100;134.665.735
Jul;10;2018;1,38;1.720.100;142.792.156
Jul;9;2018;1,60;764.203;165.760.496
Jul;8;2018;1,55;1.330.050;161.188.869
Jul;7;2018;1,53;538.073;158.241.727
Jul;6;2018;1,62;1.772.750;168.212.465
Jul;5;2018;1,48;502.155;153.056.790
Jul;4;2018;1,58;973.346;163.868.055
Jul;3;2018;1,50;994.995;154.965.623
Jul;2;2018;1,55;987.534;160.056.533
Jul;1;2018;1,43;2.131.820;148.354.031
Jun;30;2018;1,33;768.569;137.829.916
Jun;29;2018;1,23;600.908;127.557.422
Jun;28;2018;1,22;309.504;125.782.645
Jun;27;2018;1,29;517.062;133.223.744
Jun;26;2018;1,29;368.643;133.118.420
Jun;25;2018;1,37;518.710;141.475.417
Jun;24;2018;1,34;724.140;138.229.650
Jun;23;2018;1,41;494.703;145.912.444
Jun;22;2018;1,39;443.429;143.513.785
Jun;21;2018;1,56;800.130;161.647.806
Jun;20;2018;1,58;1.156.360;162.966.246
Jun;19;2018;1,56;674.563;160.695.596
Jun;18;2018;1,59;901.146;164.608.791
Jun;17;2018;1,58;353.752;163.461.331
Jun;16;2018;1,61;375.087;165.923.662
Jun;15;2018;1,64;1.033.740;169.123.421
Jun;14;2018;1,71;1.802.570;176.925.984
