Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;18,30;7.211.710;201.265.194
Apr;10;2019;19,96;7.320.435;219.546.708
Apr;9;2019;20,62;11.014.996;226.811.963
Apr;8;2019;22,33;15.197.081;245.683.423
Apr;7;2019;22,23;10.439.479;244.544.177
Apr;6;2019;21,32;10.244.198;234.470.362
Apr;5;2019;19,69;5.651.695;216.586.466
Apr;4;2019;19,31;9.085.287;212.438.892
Apr;3;2019;19,88;40.568.382;218.730.253
Apr;2;2019;17,62;13.041.345;193.851.606
Apr;1;2019;15,81;6.008.447;173.959.453
Mar;31;2019;15,43;9.195.623;169.773.701
Mar;30;2019;15,74;17.331.031;173.154.033
Mar;29;2019;14,71;6.409.033;161.838.170
Mar;28;2019;15,38;6.271.212;169.187.264
Mar;27;2019;15,37;7.810.772;169.034.158
Mar;26;2019;14,95;6.014.777;164.493.247
Mar;25;2019;15,11;6.905.638;166.228.457
Mar;24;2019;15,35;8.126.447;168.827.536
Mar;23;2019;15,51;8.574.344;170.625.285
Mar;22;2019;15,21;6.133.690;167.294.865
Mar;21;2019;14,68;4.100.667;161.461.749
Mar;20;2019;15,06;3.149.314;165.664.892
Mar;19;2019;14,80;2.615.604;162.792.283
Mar;18;2019;14,99;5.046.732;164.864.106
Mar;17;2019;14,79;2.002.428;162.644.577
Mar;16;2019;13,98;2.717.289;153.794.196
Mar;15;2019;14,63;6.181.198;160.882.154
Mar;14;2019;14,34;7.304.766;157.714.483
Mar;13;2019;14,05;4.628.884;154.500.934
Mar;12;2019;13,98;4.564.034;153.807.044
Mar;11;2019;14,57;11.217.766;160.231.167
Mar;10;2019;13,62;3.867.538;149.849.247
Mar;9;2019;13,14;4.369.766;144.592.915
Mar;8;2019;12,76;3.714.109;140.343.726
Mar;7;2019;12,93;3.459.717;142.206.615
Mar;6;2019;12,68;2.500.229;139.450.641
Mar;5;2019;12,76;3.197.996;140.399.208
Mar;4;2019;12,29;2.491.384;135.192.438
Mar;3;2019;12,87;3.638.249;141.623.613
Mar;2;2019;12,70;2.091.569;139.688.071
Mar;1;2019;12,78;2.321.389;140.606.278
Feb;28;2019;12,60;2.805.205;138.621.770
Feb;27;2019;12,82;2.881.651;141.050.248
Feb;26;2019;13,02;2.891.414;143.192.300
Feb;25;2019;13,19;2.767.870;145.130.639
Feb;24;2019;12,69;3.879.587;139.637.683
Feb;23;2019;14,14;2.793.803;155.557.201
Feb;22;2019;13,95;2.759.728;153.478.964
Feb;21;2019;13,76;2.771.967;151.390.289
Feb;20;2019;14,17;2.255.007;155.857.711
Feb;19;2019;14,06;4.388.359;154.703.302
Feb;18;2019;14,20;7.277.431;156.189.839
Feb;17;2019;13,73;3.859.828;151.056.805
Feb;16;2019;13,49;3.004.478;148.408.354
Feb;15;2019;13,51;3.332.507;148.617.012
Feb;14;2019;13,50;5.332.898;148.544.001
Feb;13;2019;13,48;5.535.578;148.311.616
Feb;12;2019;13,67;8.881.958;150.395.617
Feb;11;2019;13,46;3.720.041;148.109.890
Feb;10;2019;13,66;4.995.696;150.257.509
Feb;9;2019;13,80;6.548.315;151.852.285
Feb;8;2019;13,88;6.220.303;152.720.639
Feb;7;2019;13,11;3.841.882;144.159.765
Feb;6;2019;13,07;6.303.464;143.790.615
Feb;5;2019;13,47;5.328.049;148.153.472
Feb;4;2019;13,60;7.595.679;149.607.830
Feb;3;2019;14,35;13.786.129;157.811.077
Feb;2;2019;14,69;13.585.620;161.569.163
Feb;1;2019;12,79;6.280.103;140.668.038
Jan;31;2019;12,59;7.396.405;138.489.945
Jan;30;2019;12,03;8.282.652;132.341.204
Jan;29;2019;12,07;12.289.386;132.813.822
Jan;28;2019;11,34;8.480.045;124.697.363
Jan;27;2019;13,05;6.005.782;143.544.683
Jan;26;2019;13,75;4.372.328;151.252.816
Jan;25;2019;14,10;4.913.817;155.117.092
Jan;24;2019;14,92;7.189.135;164.167.036
Jan;23;2019;14,53;8.050.956;159.844.331
Jan;22;2019;15,28;12.216.862;168.101.008
Jan;21;2019;16,85;9.856.852;185.314.730
Jan;20;2019;18,05;30.189.856;198.531.023
Jan;19;2019;17,36;26.960.278;190.953.572
Jan;18;2019;15,16;37.905.348;166.716.725
Jan;17;2019;15,01;48.628.471;165.104.942
Jan;16;2019;13,86;20.203.495;152.498.270
Jan;15;2019;9,75;6.560.342;107.220.668
Jan;14;2019;10,19;6.402.885;112.113.390
Jan;13;2019;8,19;1.018.466;90.135.530
Jan;12;2019;9,09;878.283;100.034.389
Jan;11;2019;9,40;1.729.512;103.372.775
Jan;10;2019;9,12;2.045.211;100.315.319
Jan;9;2019;9,91;1.763.867;109.064.388
Jan;8;2019;10,05;1.692.448;110.532.117
Jan;7;2019;9,40;1.053.619;103.347.051
Jan;6;2019;9,53;1.201.691;104.799.749
Jan;5;2019;9,30;2.594.611;102.283.128
Jan;4;2019;9,25;1.036.512;101.704.442
Jan;3;2019;8,64;2.918.027;95.028.923
Jan;2;2019;8,87;1.476.538;97.553.509
Jan;1;2019;8,20;1.625.569;90.147.231
Dec;31;2018;7,82;816.974;86.035.432
Dec;30;2018;8,20;1.165.475;90.148.421
Dec;29;2018;8,23;3.897.387;90.475.244
Dec;28;2018;8,20;2.240.598;90.153.170
Dec;27;2018;7,35;1.487.239;80.886.348
Dec;26;2018;8,12;879.862;89.274.445
Dec;25;2018;7,84;1.515.243;86.219.459
Dec;24;2018;8,79;4.601.218;96.708.256
Dec;23;2018;8,48;4.359.344;93.289.950
Dec;22;2018;7,59;632.353;83.492.995
Dec;21;2018;7,14;1.221.952;78.567.917
Dec;20;2018;7,52;1.771.339;82.682.181
Dec;19;2018;6,91;3.030.166;75.993.558
Dec;18;2018;6,50;3.621.776;71.481.356
Dec;17;2018;6,25;617.830;68.741.881
Dec;16;2018;5,69;767.943;62.571.992
Dec;15;2018;5,60;1.502.657;61.605.432
Dec;14;2018;5,78;1.547.866;63.600.372
Dec;13;2018;6,19;1.337.168;68.128.416
Dec;12;2018;6,91;2.344.598;76.057.466
Dec;11;2018;6,23;1.368.109;68.543.386
Dec;10;2018;6,01;915.784;66.115.057
Dec;9;2018;6,45;534.773;70.996.890
Dec;8;2018;6,29;791.608;69.136.499
Dec;7;2018;6,40;2.319.947;70.434.907
Dec;6;2018;6,83;1.458.756;75.098.475
Dec;5;2018;7,44;767.738;81.828.191
Dec;4;2018;8,16;1.029.733;89.708.757
Dec;3;2018;7,85;872.937;86.349.527
Dec;2;2018;8,47;1.332.011;93.188.110
Dec;1;2018;8,74;1.122.270;96.109.229
Nov;30;2018;8,18;1.032.955;89.977.135
Nov;29;2018;8,67;888.585;95.340.273
Nov;28;2018;8,64;1.370.480;95.060.900
Nov;27;2018;7,76;904.229;85.360.110
Nov;26;2018;7,57;1.613.700;83.222.920
Nov;25;2018;7,89;1.548.470;86.841.370
Nov;24;2018;8,27;844.394;91.013.560
Nov;23;2018;9,32;3.115.910;102.548.380
Nov;22;2018;10,03;2.361.280;110.382.800
Nov;21;2018;9,06;871.758;99.654.170
Nov;20;2018;8,22;1.768.240;90.417.250
Nov;19;2018;8,83;2.071.130;97.152.440
Nov;18;2018;10,99;619.788;120.925.200
Nov;17;2018;10,84;549.677;119.254.300
Nov;16;2018;11,09;1.166.260;122.041.700
Nov;15;2018;11,15;1.203.700;122.644.500
Nov;14;2018;11,21;1.266.160;123.271.500
Nov;13;2018;13,13;1.014.150;144.432.200
Nov;12;2018;13,48;1.129.430;148.322.900
Nov;11;2018;13,84;1.426.720;152.208.100
Nov;10;2018;14,64;1.518.950;161.030.100
Nov;9;2018;14,69;1.628.590;161.603.200
Nov;8;2018;14,73;1.112.480;162.006.900
Nov;7;2018;14,81;1.530.160;162.892.400
Nov;6;2018;14,71;1.360.630;161.584.500
Nov;5;2018;14,55;1.233.270;160.086.300
Nov;4;2018;14,83;1.714.570;163.131.100
Nov;3;2018;15,33;1.931.450;168.643.200
Nov;2;2018;14,42;2.216.450;158.623.300
Nov;1;2018;14,22;1.487.140;156.438.700
Oct;31;2018;14,22;1.162.040;156.422.200
Oct;30;2018;14,42;1.632.220;158.667.300
Oct;29;2018;14,23;2.647.500;156.524.500
Oct;28;2018;14,80;3.045.010;162.767.000
Oct;27;2018;13,97;2.917.950;153.707.400
Oct;26;2018;13,66;1.795.060;150.217.100
Oct;25;2018;13,69;2.651.940;150.587.800
Oct;24;2018;14,21;11.003.700;156.346.300
Oct;23;2018;13,56;1.285.580;149.143.500
Oct;22;2018;13,17;1.379.620;144.870.000
Oct;21;2018;13,11;1.914.960;144.158.300
Oct;20;2018;12,59;1.136.850;138.435.000
Oct;19;2018;12,35;1.720.060;135.880.800
Oct;18;2018;12,51;1.688.880;137.630.900
Oct;17;2018;12,62;2.567.780;138.864.000
Oct;16;2018;12,64;1.219.080;139.082.900
Oct;15;2018;12,29;1.994.620;135.201.000
Oct;14;2018;12,05;1.343.420;132.599.500
Oct;13;2018;12,46;3.820.300;137.071.000
Oct;12;2018;11,79;2.121.750;129.697.700
Oct;11;2018;11,71;2.316.060;128.836.400
Oct;10;2018;13,29;2.505.790;146.237.300
Oct;9;2018;13,16;1.841.010;144.750.100
Oct;8;2018;13,16;1.561.390;144.749.000
Oct;7;2018;12,76;1.867.270;140.411.700
