Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;0,015924;2.035.734;104.178.220
Apr;10;2019;0,016502;2.151.615;107.962.541
Apr;9;2019;0,017648;2.285.704;115.457.119
Apr;8;2019;0,015472;1.943.053;101.223.881
Apr;7;2019;0,015822;2.369.560;103.510.244
Apr;6;2019;0,018555;3.029.804;121.394.875
Apr;5;2019;0,018812;3.472.494;123.072.364
Apr;4;2019;0,012403;2.029.345;81.141.984
Apr;3;2019;0,013433;2.304.879;87.880.961
Apr;2;2019;0,014222;2.234.374;93.042.676
Apr;1;2019;0,013118;2.036.125;85.824.508
Mar;31;2019;0,014692;1.882.143;96.119.201
Mar;30;2019;0,013365;2.237.651;87.439.735
Mar;29;2019;0,013696;2.438.195;89.604.050
Mar;28;2019;0,013578;2.509.897;88.829.402
Mar;27;2019;0,013229;2.679.805;86.548.962
Mar;26;2019;0,012761;2.557.953;83.486.032
Mar;25;2019;0,014252;2.822.897;93.241.036
Mar;24;2019;0,015946;2.403.230;104.322.838
Mar;23;2019;0,015926;2.420.108;104.191.456
Mar;22;2019;0,014915;2.376.918;97.578.769
Mar;21;2019;0,013723;1.849.809;89.777.578
Mar;20;2019;0,013615;1.537.308;89.073.833
Mar;19;2019;0,013803;1.397.755;90.301.789
Mar;18;2019;0,014821;1.761.568;96.964.980
Mar;17;2019;0,014192;1.787.521;92.849.798
Mar;16;2019;0,014191;1.821.115;92.838.974
Mar;15;2019;0,015406;2.120.132;100.793.531
Mar;14;2019;0,014117;1.966.729;92.359.026
Mar;13;2019;0,016762;3.666.077;109.663.928
Mar;12;2019;0,015358;3.416.138;100.473.950
Mar;11;2019;0,015765;3.674.209;103.141.728
Mar;10;2019;0,016196;4.521.698;105.958.255
Mar;9;2019;0,018402;4.595.012;120.391.347
Mar;8;2019;0,016333;4.828.654;106.858.583
Mar;7;2019;0,012098;3.317.731;79.146.587
Mar;6;2019;0,010088;2.376.681;65.999.135
Mar;5;2019;0,008847;2.638.472;57.882.373
Mar;4;2019;0,009103;2.257.490;59.554.398
Mar;3;2019;0,007790;995.715;50.967.808
Mar;2;2019;0,007755;1.452.173;50.732.908
Mar;1;2019;0,006934;1.594.293;45.365.037
Feb;28;2019;0,006932;1.598.697;45.352.838
Feb;27;2019;0,007808;2.072.331;51.083.580
Feb;26;2019;0,006435;1.667.538;42.099.120
Feb;25;2019;0,008718;2.030.166;57.037.823
Feb;24;2019;0,007371;2.037.965;48.221.068
Feb;23;2019;0,008344;2.455.055;54.587.364
Feb;22;2019;0,007336;2.118.677;47.991.523
Feb;21;2019;0,005718;1.698.423;37.408.117
Feb;20;2019;0,006155;1.736.398;40.269.205
Feb;19;2019;0,007202;1.905.371;47.119.879
Feb;18;2019;0,006147;1.736.070;40.212.479
Feb;17;2019;0,005864;1.659.222;38.361.386
Feb;16;2019;0,006124;1.616.200;40.066.504
Feb;15;2019;0,006316;1.718.800;41.324.325
Feb;14;2019;0,006425;1.685.462;42.034.514
Feb;13;2019;0,005965;1.614.906;39.023.344
Feb;12;2019;0,007280;2.000.049;47.630.774
Feb;11;2019;0,007514;1.745.652;49.156.200
Feb;10;2019;0,007180;1.553.391;46.976.478
Feb;9;2019;0,008425;1.839.336;55.121.804
Feb;8;2019;0,008070;1.747.671;52.797.831
Feb;7;2019;0,007548;1.899.378;49.380.417
Feb;6;2019;0,007884;1.957.616;51.576.940
Feb;5;2019;0,008664;2.230.579;56.679.879
Feb;4;2019;0,006343;1.518.527;41.500.348
Feb;3;2019;0,006610;1.780.844;43.246.825
Feb;2;2019;0,008287;2.159.336;54.216.794
Feb;1;2019;0,008015;1.989.593;52.438.645
Jan;31;2019;0,007631;1.880.364;49.921.953
Jan;30;2019;0,007691;2.025.122;50.314.734
Jan;29;2019;0,007576;1.793.981;49.564.513
Jan;28;2019;0,007675;2.209.738;50.213.809
Jan;27;2019;0,008737;2.216.880;57.158.850
Jan;26;2019;0,007283;1.903.734;47.647.725
Jan;25;2019;0,007449;1.937.772;48.734.890
Jan;24;2019;0,008070;1.909.601;52.797.739
Jan;23;2019;0,008712;2.039.802;56.995.035
Jan;22;2019;0,009130;1.763.586;59.732.823
Jan;21;2019;0,009903;1.789.463;64.788.918
Jan;20;2019;0,010557;2.256.921;69.065.346
Jan;19;2019;0,011201;2.464.426;73.282.708
Jan;18;2019;0,009825;2.144.910;64.275.215
Jan;17;2019;0,009950;1.745.678;65.094.965
Jan;16;2019;0,011003;2.245.742;71.985.660
Jan;15;2019;0,010843;2.587.231;70.941.354
Jan;14;2019;0,010289;2.376.208;67.314.596
Jan;13;2019;0,009989;2.059.777;65.349.723
Jan;12;2019;0,009899;2.059.758;64.763.023
Jan;11;2019;0,009921;2.125.731;64.903.228
Jan;10;2019;0,011047;3.109.391;72.270.232
Jan;9;2019;0,009890;2.584.148;64.700.415
Jan;8;2019;0,009022;1.914.710;59.025.795
Jan;7;2019;0,009813;1.253.738;64.199.565
Jan;6;2019;0,010871;1.862.157;71.121.127
Jan;5;2019;0,010772;1.909.745;70.474.950
Jan;4;2019;0,010687;1.639.601;69.917.886
Jan;3;2019;0,011176;1.637.057;73.117.622
Jan;2;2019;0,011714;2.281.194;76.636.363
Jan;1;2019;0,010559;2.199.986;69.079.794
Dec;31;2018;0,011683;2.362.204;76.433.236
Dec;30;2018;0,011864;2.450.467;77.615.279
Dec;29;2018;0,010832;2.314.747;70.866.948
Dec;28;2018;0,010556;2.589.237;69.061.644
Dec;27;2018;0,010306;1.700.350;67.422.221
Dec;26;2018;0,010304;1.476.668;67.412.070
Dec;25;2018;0,010565;1.127.040;69.119.596
Dec;24;2018;0,013458;929.858;88.049.126
Dec;23;2018;0,012260;359.525;80.209.397
Dec;22;2018;0,012923;368.127;84.545.238
Dec;21;2018;0,012396;371.139;81.098.180
Dec;20;2018;0,014575;577.364;95.357.705
Dec;19;2018;0,012872;476.816;84.215.056
Dec;18;2018;0,013643;436.626;89.257.058
Dec;17;2018;0,012782;505.177;83.623.291
Dec;16;2018;0,012622;296.138;82.575.101
Dec;15;2018;0,013142;426.026;85.979.060
Dec;14;2018;0,012778;276.347;83.600.046
Dec;13;2018;0,013788;542.470;90.208.005
Dec;12;2018;0,014944;382.960;97.767.241
Dec;11;2018;0,014408;384.352;94.259.591
Dec;10;2018;0,015230;529.118;99.639.610
Dec;9;2018;0,015853;459.306;103.714.802
Dec;8;2018;0,015134;391.584;99.014.257
Dec;7;2018;0,014646;573.180;95.818.735
Dec;6;2018;0,015339;471.160;100.350.360
Dec;5;2018;0,016200;606.645;105.982.662
Dec;4;2018;0,017175;546.663;112.366.561
Dec;3;2018;0,017084;503.783;111.771.246
Dec;2;2018;0,017726;513.237;115.971.431
Dec;1;2018;0,018345;659.875;120.020.672
Nov;30;2018;0,017962;586.695;117.513.659
Nov;29;2018;0,019235;814.062;125.838.713
Nov;28;2018;0,019849;753.630;129.855.440
Nov;27;2018;0,017934;563.921;117.329.495
Nov;26;2018;0,017712;706.304;115.875.135
Nov;25;2018;0,018997;1.138.540;124.282.029
Nov;24;2018;0,019587;664.183;128.145.929
Nov;23;2018;0,021609;782.565;141.371.904
Nov;22;2018;0,021400;773.127;140.006.519
Nov;21;2018;0,019945;555.654;130.488.738
Nov;20;2018;0,019049;882.606;124.625.501
Nov;19;2018;0,020889;803.671;136.662.734
Nov;18;2018;0,023434;735.591;153.315.582
Nov;17;2018;0,023265;733.980;152.205.348
Nov;16;2018;0,023199;755.611;151.773.554
Nov;15;2018;0,023395;807.178;153.058.468
Nov;14;2018;0,024222;933.326;158.470.284
Nov;13;2018;0,026793;1.011.700;175.289.960
Nov;12;2018;0,027061;731.966;177.042.650
Nov;11;2018;0,027341;819.282;178.871.886
Nov;10;2018;0,027815;1.065.880;181.971.642
Nov;9;2018;0,027825;648.496;182.041.645
Nov;8;2018;0,028305;473.732;185.178.038
Nov;7;2018;0,028181;691.819;184.372.023
Nov;6;2018;0,027602;674.769;174.734.516
Nov;5;2018;0,025967;631.812;169.886.650
Nov;4;2018;0,026339;871.433;172.317.780
Nov;3;2018;0,025759;464.510;168.525.191
Nov;2;2018;0,027071;353.432;177.110.036
Nov;1;2018;0,027404;868.248;179.285.361
Oct;31;2018;0,027218;1.242.410;178.069.142
Oct;30;2018;0,027002;1.371.640;176.657.307
Oct;29;2018;0,026377;1.472.870;172.563.771
Oct;28;2018;0,026818;770.548;175.454.173
Oct;27;2018;0,026366;773.054;172.493.807
Oct;26;2018;0,025768;690.732;168.579.633
Oct;25;2018;0,024391;708.719;159.572.882
Oct;24;2018;0,025034;647.222;113.707.547
Oct;23;2018;0,025311;1.104.340;114.967.557
Oct;22;2018;0,026129;658.090;92.555.568
Oct;21;2018;0,026659;630.897;94.431.836
Oct;20;2018;0,026090;706.856;92.415.963
Oct;19;2018;0,026632;671.135;94.340.538
Oct;18;2018;0,026128;573.508;92.552.020
Oct;17;2018;0,025985;697.521;91.942.394
Oct;16;2018;0,026211;790.542;92.707.646
Oct;15;2018;0,025942;780.184;91.757.024
Oct;14;2018;0,020347;580.078;71.964.450
Oct;13;2018;0,021105;430.925;74.640.756
Oct;12;2018;0,020980;468.526;72.633.932
Oct;11;2018;0,020693;669.398;71.639.818
Oct;10;2018;0,023897;683.857;82.722.490
Oct;9;2018;0,024586;972.024;85.102.929
Oct;8;2018;0,025767;573.516;89.189.810
Oct;7;2018;0,026312;821.359;91.074.511
Oct;6;2018;0,025964;699.029;89.869.963
Oct;5;2018;0,026679;841.417;92.345.939
Oct;4;2018;0,026205;838.793;90.704.036
