Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;0,246350;46.061.566;112.701.297
Apr;10;2019;0,280935;52.749.086;128.523.627
Apr;09;2019;0,339912;45.536.745;155.504.523
Apr;08;2019;0,188483;34.713.092;86.228.143
Apr;07;2019;0,184409;47.539.653;84.364.530
Apr;06;2019;0,178657;43.375.760;81.732.929
Apr;05;2019;0,184969;41.605.299;84.620.666
Apr;04;2019;0,188270;42.873.485;86.130.558
Apr;03;2019;0,199514;41.450.713;91.274.448
Apr;02;2019;0,187213;44.735.893;85.647.126
Apr;01;2019;0,174615;31.254.990;79.883.462
Mar;31;2019;0,149976;38.432.791;68.611.730
Mar;30;2019;0,167223;36.658.444;76.502.001
Mar;29;2019;0,179954;35.741.545;82.326.227
Mar;28;2019;0,191935;37.591.258;87.807.257
Mar;27;2019;0,203032;35.014.293;92.883.796
Mar;26;2019;0,205983;38.861.430;94.233.735
Mar;25;2019;0,224949;47.955.268;102.910.317
Mar;24;2019;0,228008;38.873.034;104.309.745
Mar;23;2019;0,186688;34.103.570;85.406.411
Mar;22;2019;0,220152;38.133.294;100.715.415
Mar;21;2019;0,250460;40.091.888;114.580.442
Mar;20;2019;0,257978;40.168.640;118.019.551
Mar;19;2019;0,273131;32.607.944;124.951.572
Mar;18;2019;0,283186;42.424.962;129.551.208
Mar;17;2019;0,337797;37.182.834;154.534.507
Mar;16;2019;0,361307;35.798.391;165.289.319
Mar;15;2019;0,358913;40.831.554;164.193.830
Mar;14;2019;0,385846;36.171.959;176.514.990
Mar;13;2019;0,385936;38.849.670;164.977.688
Mar;12;2019;0,386210;33.212.493;165.094.642
Mar;11;2019;0,478075;44.231.292;203.527.704
Mar;10;2019;0,492482;43.229.481;209.661.176
Mar;09;2019;0,495005;37.227.018;210.735.246
Mar;08;2019;0,486196;35.856.993;206.985.029
Mar;07;2019;0,476524;39.785.704;190.760.266
Mar;06;2019;0,448922;38.365.866;177.690.676
Mar;05;2019;0,347598;37.470.268;137.584.989
Mar;04;2019;0,311999;29.725.529;123.806.156
Mar;03;2019;0,322207;40.284.431;127.856.750
Mar;02;2019;0,288358;31.474.642;114.425.047
Mar;01;2019;0,338911;28.848.575;134.485.388
Feb;28;2019;0,406813;25.004.124;161.429.828
Feb;27;2019;0,162824;25.966.787;64.611.284
Feb;26;2019;0,126982;23.789.404;50.388.627
Feb;25;2019;0,107724;22.104.380;-
Feb;24;2019;0,098365;17.869.091;-
Feb;23;2019;0,106049;21.403.900;-
Feb;22;2019;0,100885;22.120.982;-
Feb;21;2019;0,104986;21.765.996;-
Feb;20;2019;0,089405;20.208.367;-
Feb;19;2019;0,067356;17.375.602;-
Feb;18;2019;0,066122;17.145.167;-
Feb;17;2019;0,064309;18.866.658;-
Feb;16;2019;0,064841;19.938.863;-
Feb;15;2019;0,068007;19.545.728;-
Feb;14;2019;0,063004;19.320.506;-
Feb;13;2019;0,064240;15.738.834;-
Feb;12;2019;0,066153;15.965.817;-
Feb;11;2019;0,068835;11.842.287;-
Feb;10;2019;0,056068;14.497.777;-
Feb;09;2019;0,062961;22.858.290;-
Feb;08;2019;0,063870;21.923.709;-
Feb;07;2019;0,060350;13.276.599;-
Feb;06;2019;0,063400;10.541.285;-
Feb;05;2019;0,068271;9.586.140;-
Feb;04;2019;0,066355;4.670.366;-
Feb;03;2019;0,068388;10.544.961;-
Feb;02;2019;0,071223;13.810.996;-
Feb;01;2019;0,051048;12.226.904;-
Jan;31;2019;0,043112;9.220.568;-
Jan;30;2019;0,043710;11.703.237;-
Jan;29;2019;0,045329;11.517.591;-
Jan;28;2019;0,055143;13.693.299;-
Jan;27;2019;0,051520;15.058.922;-
Jan;26;2019;0,051098;16.519.766;-
Jan;25;2019;0,055485;10.455.246;-
Jan;24;2019;0,051737;12.840.934;-
Jan;23;2019;0,055149;15.164.862;-
Jan;22;2019;0,055273;13.171.152;-
Jan;21;2019;0,054392;14.365.532;-
Jan;20;2019;0,058107;15.728.707;-
Jan;19;2019;0,063076;16.660.202;-
Jan;18;2019;0,066636;17.040.484;-
Jan;17;2019;0,067827;19.240.115;-
Jan;16;2019;0,066008;18.749.824;-
Jan;15;2019;0,064005;14.912.701;-
Jan;14;2019;0,067049;18.030.572;-
Jan;13;2019;0,066969;16.925.839;-
Jan;12;2019;0,068282;17.576.494;-
Jan;11;2019;0,069848;12.737.760;-
Jan;10;2019;0,070769;17.525.936;-
Jan;09;2019;0,075967;17.654.824;-
Jan;08;2019;0,076135;15.412.124;-
Jan;07;2019;0,076405;15.047.994;-
Jan;06;2019;0,077209;14.052.635;-
Jan;05;2019;0,068515;7.360.599;-
Jan;04;2019;0,071244;9.064.535;-
Jan;03;2019;0,070188;10.741.977;-
Jan;02;2019;0,071705;11.024.039;-
Jan;01;2019;0,073178;9.401.517;-
Dec;31;2018;0,070093;9.443.915;-
Dec;30;2018;0,073618;9.724.228;-
Dec;29;2018;0,074627;8.523.928;-
Dec;28;2018;0,078787;10.054.121;-
Dec;27;2018;0,075419;10.734.300;-
Dec;26;2018;0,083465;13.802.197;-
Dec;25;2018;0,077392;10.454.491;-
Dec;24;2018;0,083777;11.233.690;-
Dec;23;2018;0,079736;14.228.825;-
Dec;22;2018;0,081553;9.072.728;-
Dec;21;2018;0,089540;11.244.845;-
Dec;20;2018;0,102852;13.199.926;-
Dec;19;2018;0,087867;11.397.535;-
Dec;18;2018;0,090127;11.150.994;-
Dec;17;2018;0,079906;12.613.946;-
Dec;16;2018;0,084425;19.033.661;-
Dec;15;2018;0,088571;10.685.251;-
Dec;14;2018;0,096739;13.849.438;-
Dec;13;2018;0,085153;13.001.356;-
Dec;12;2018;0,058694;6.475.604;-
Dec;11;2018;0,043295;5.018.893;-
Dec;10;2018;0,042637;5.274.302;-
Dec;09;2018;0,042916;6.156.417;-
Dec;08;2018;0,038230;6.330.703;-
Dec;07;2018;0,042220;5.677.168;-
Dec;06;2018;0,035071;3.542.793;-
Dec;05;2018;0,033036;4.810.333;-
