Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;0,486123;7.966.598;170.142.918
Apr;10;2019;0,520257;8.226.906;182.089.916
Apr;09;2019;0,534680;7.970.929;187.137.933
Apr;08;2019;0,568899;9.889.748;199.114.822
Apr;07;2019;0,577119;6.038.857;201.991.507
Apr;06;2019;0,570110;7.641.845;199.538.351
Apr;05;2019;0,577468;7.928.035;202.113.893
Apr;04;2019;0,542240;11.153.064;189.784.007
Apr;03;2019;0,565453;13.494.096;197.908.509
Apr;02;2019;0,584279;16.414.974;204.497.754
Apr;01;2019;0,556138;11.605.651;194.648.237
Mar;31;2019;0,507613;9.259.723;177.664.598
Mar;30;2019;0,494278;3.395.827;172.997.221
Mar;29;2019;0,499502;4.239.835;174.825.731
Mar;28;2019;0,503459;6.329.645;176.210.776
Mar;27;2019;0,499871;6.237.410;174.954.769
Mar;26;2019;0,463601;6.231.819;162.260.295
Mar;25;2019;0,476395;8.467.627;166.738.405
Mar;24;2019;0,456405;3.100.039;159.741.728
Mar;23;2019;0,463084;2.494.600;162.079.235
Mar;22;2019;0,466446;3.835.633;163.256.018
Mar;21;2019;0,461061;4.652.789;161.371.279
Mar;20;2019;0,486086;3.511.170;170.130.073
Mar;19;2019;0,485391;2.894.766;169.886.753
Mar;18;2019;0,480714;3.415.764;168.249.917
Mar;17;2019;0,483685;7.196.927;169.289.685
Mar;16;2019;0,485599;7.199.555;169.959.638
Mar;15;2019;0,490087;3.912.307;171.530.373
Mar;14;2019;0,491097;10.961.574;171.884.118
Mar;13;2019;0,484510;6.203.981;169.578.470
Mar;12;2019;0,488552;9.177.232;170.993.152
Mar;11;2019;0,467490;11.191.637;163.621.430
Mar;10;2019;0,501768;14.548.536;175.618.843
Mar;09;2019;0,477456;7.457.248;167.109.642
Mar;08;2019;0,466202;14.303.158;163.170.755
Mar;07;2019;0,455832;7.330.127;159.541.169
Mar;06;2019;0,431821;4.082.793;151.137.385
Mar;05;2019;0,432997;6.561.919;151.549.045
Mar;04;2019;0,407811;3.710.145;142.733.863
Mar;03;2019;0,424169;1.849.996;148.459.049
Mar;02;2019;0,427787;2.339.649;149.725.369
Mar;01;2019;0,431785;3.667.815;151.124.739
Feb;28;2019;0,427421;3.941.979;149.597.202
Feb;27;2019;0,431479;3.696.949;151.017.630
Feb;26;2019;0,437432;6.553.450;153.101.366
Feb;25;2019;0,470638;7.817.871;164.723.462
Feb;24;2019;0,410640;6.649.844;143.724.138
Feb;23;2019;0,461889;4.318.600;161.661.081
Feb;22;2019;0,452029;4.048.573;158.210.223
Feb;21;2019;0,445463;6.437.539;155.911.935
Feb;20;2019;0,466110;6.379.429;163.138.410
Feb;19;2019;0,458156;6.259.916;160.354.681
Feb;18;2019;0,474333;6.753.508;166.016.565
Feb;17;2019;0,457499;6.623.800;160.124.725
Feb;16;2019;0,440511;2.715.140;154.178.777
Feb;15;2019;0,432969;3.006.564;151.539.099
Feb;14;2019;0,428376;3.914.369;149.931.672
Feb;13;2019;0,444044;4.517.365;155.415.427
Feb;12;2019;0,425395;4.205.375;148.888.416
Feb;11;2019;0,429451;5.928.665;150.307.799
Feb;10;2019;0,452186;7.950.326;158.265.149
Feb;09;2019;0,464334;6.382.735;162.516.967
Feb;08;2019;0,436519;6.900.024;152.781.612
Feb;07;2019;0,401474;3.171.282;140.515.984
Feb;06;2019;0,399620;5.378.906;139.866.994
Feb;05;2019;0,421776;5.865.307;147.621.682
Feb;04;2019;0,394452;4.850.155;138.058.129
Feb;03;2019;0,396142;3.856.282;138.649.652
Feb;02;2019;0,414927;4.128.147;145.224.462
Feb;01;2019;0,419263;5.696.881;146.742.214
