Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;123,12;298.104.060;1.076.781.436
Apr;10;2019;129,96;301.080.748;1.136.415.532
Apr;09;2019;132,30;262.351.291;1.156.675.787
Apr;08;2019;136,32;347.993.408;1.191.564.654
Apr;07;2019;135,26;390.843.775;1.182.064.054
Apr;06;2019;130,95;276.748.770;1.144.152.824
Apr;05;2019;132,77;304.180.972;1.159.794.935
Apr;04;2019;123,90;367.863.314;1.082.087.564
Apr;03;2019;124,77;547.500.260;1.089.416.745
Apr;02;2019;124,68;467.984.068;1.088.410.240
Apr;01;2019;113,09;325.590.768;986.356.520
Mar;31;2019;108,17;307.273.197;943.250.363
Mar;30;2019;99,98;256.931.847;871.664.841
Mar;29;2019;98,05;235.901.173;854.617.092
Mar;28;2019;96,92;273.847.360;844.603.730
Mar;27;2019;95,49;251.629.903;831.945.584
Mar;26;2019;89,83;260.086.788;782.510.893
Mar;25;2019;90,15;272.531.942;785.077.793
Mar;24;2019;92,61;263.565.364;806.372.695
Mar;23;2019;92,69;252.859.798;806.856.519
Mar;22;2019;91,54;327.115.992;796.697.589
Mar;21;2019;91,16;289.562.774;793.229.410
Mar;20;2019;93,68;274.517.715;814.957.512
Mar;19;2019;92,38;279.417.894;803.479.141
Mar;18;2019;92,64;253.632.816;805.601.753
Mar;17;2019;93,56;228.317.131;813.463.650
Mar;16;2019;93,04;244.470.262;808.777.009
Mar;15;2019;90,70;261.122.554;788.189.556
Mar;14;2019;89,96;279.643.710;781.640.856
Mar;13;2019;91,45;286.758.977;794.438.027
Mar;12;2019;92,04;290.981.988;799.329.753
Mar;11;2019;83,55;238.933.542;725.454.942
Mar;10;2019;83,73;242.454.512;726.887.779
Mar;09;2019;84,13;260.715.166;730.236.104
Mar;08;2019;81,59;245.870.485;708.009.683
Mar;07;2019;83,60;249.706.447;725.265.429
Mar;06;2019;84,12;234.883.905;729.645.561
Mar;05;2019;83,94;267.697.097;727.959.459
Mar;04;2019;79,80;246.707.029;691.855.858
Mar;03;2019;81,95;234.980.698;710.428.400
Mar;02;2019;83,26;217.459.848;721.571.991
Mar;01;2019;83,40;214.590.927;722.159.553
Feb;28;2019;83,40;268.500.969;722.011.351
Feb;27;2019;82,47;258.637.442;713.794.772
Feb;26;2019;83,13;263.760.475;719.334.227
Feb;25;2019;84,12;228.964.736;727.766.422
Feb;24;2019;81,52;279.762.301;705.066.679
Feb;23;2019;90,08;250.962.022;778.987.549
Feb;22;2019;86,76;245.055.088;750.148.022
Feb;21;2019;85,61;236.314.511;739.973.582
Feb;20;2019;87,91;260.540.777;759.738.059
Feb;19;2019;88,16;285.735.176;761.705.059
Feb;18;2019;86,56;289.853.373;747.764.090
Feb;17;2019;79,75;206.403.616;688.790.081
Feb;16;2019;79,60;193.025.119;687.304.075
Feb;15;2019;79,15;215.175.325;683.308.137
Feb;14;2019;78,52;196.698.077;677.708.050
Feb;13;2019;80,53;215.409.826;694.937.603
Feb;12;2019;82,68;236.892.784;713.282.004
Feb;11;2019;80,16;227.879.067;691.438.368
Feb;10;2019;75,50;177.539.073;651.066.069
Feb;09;2019;74,23;169.940.905;640.025.451
Feb;08;2019;73,85;181.160.600;636.630.491
Feb;07;2019;67,25;151.346.662;579.584.088
Feb;06;2019;65,71;188.686.597;566.179.473
Feb;05;2019;68,16;159.410.275;587.172.496
Feb;04;2019;67,02;158.567.871;577.259.676
Feb;03;2019;66,90;161.289.431;576.039.391
Feb;02;2019;67,97;152.279.085;585.201.223
Feb;01;2019;67,49;179.787.292;580.896.463
Jan;31;2019;68,26;140.199.493;587.415.758
Jan;30;2019;69,30;153.059.006;595.813.352
Jan;29;2019;68,25;166.904.205;586.660.032
Jan;28;2019;68,13;941.544.091;585.522.248
Jan;27;2019;71,40;162.049.523;613.474.381
Jan;26;2019;74,16;160.830.169;637.016.967
Jan;25;2019;73,83;170.704.889;634.060.854
Jan;24;2019;73,06;165.476.902;627.345.653
Jan;23;2019;71,07;173.653.586;610.130.559
Jan;22;2019;71,72;138.943.879;615.524.471
Jan;21;2019;69,91;163.197.554;599.881.626
Jan;20;2019;69,89;242.808.317;599.612.574
Jan;19;2019;73,97;173.266.129;634.435.314
Jan;18;2019;71,61;198.778.864;614.067.356
Jan;17;2019;72,41;160.688.846;620.807.031
Jan;16;2019;71,28;157.274.044;611.007.487
Jan;15;2019;70,72;170.689.876;606.097.142
Jan;14;2019;72,98;137.162.317;625.302.585
Jan;13;2019;70,26;128.458.987;601.912.036
Jan;12;2019;73,61;123.278.278;630.439.544
Jan;11;2019;73,78;115.955.105;631.783.615
Jan;10;2019;73,78;136.869.558;631.644.094
Jan;09;2019;85,80;107.500.924;734.366.601
Jan;08;2019;81,68;97.001.749;698.952.596
Jan;07;2019;83,34;115.327.298;713.013.313
Jan;06;2019;85,84;108.093.796;734.199.904
Jan;05;2019;80,61;116.893.026;689.352.809
Jan;04;2019;81,20;88.034.486;694.238.320
Jan;03;2019;80,86;107.808.623;691.215.796
Jan;02;2019;84,00;97.837.934;717.906.996
Jan;01;2019;81,05;88.078.738;692.537.857
Dec;31;2018;79,06;108.299.749;674.947.452
Dec;30;2018;81,79;103.433.722;698.091.183
Dec;29;2018;80,35;107.080.371;685.592.694
Dec;28;2018;83,82;121.544.934;715.093.574
Dec;27;2018;76,40;135.210.655;651.681.733
Dec;26;2018;84,55;128.734.179;720.992.055
Dec;25;2018;83,96;128.516.889;715.788.368
Dec;24;2018;92,44;164.735.127;787.975.283
Dec;23;2018;90,23;131.821.218;768.904.932
Dec;22;2018;87,58;147.573.455;746.230.905
Dec;21;2018;85,62;160.660.461;729.380.032
Dec;20;2018;99,23;184.639.844;845.083.716
Dec;19;2018;74,42;147.010.895;633.626.897
Dec;18;2018;73,50;119.681.350;625.677.906
Dec;17;2018;71,28;141.113.375;606.672.088
Dec;16;2018;63,14;106.671.272;537.290.073
Dec;15;2018;62,49;112.585.020;531.579.384
Dec;14;2018;59,69;88.936.827;507.711.640
Dec;13;2018;61,21;114.651.080;520.511.825
Dec;12;2018;65,48;99.204.303;556.736.454
Dec;11;2018;64,11;156.411.314;544.955.290
Dec;10;2018;68,80;150.275.092;584.654.430
Dec;09;2018;76,51;156.384.716;650.016.794
Dec;08;2018;69,09;155.676.914;586.870.923
Dec;07;2018;67,63;177.956.763;574.337.061
Dec;06;2018;66,02;180.559.293;560.562.874
Dec;05;2018;77,90;207.834.874;661.320.766
Dec;04;2018;85,49;174.190.427;725.531.607
Dec;03;2018;84,82;190.219.025;719.733.058
Dec;02;2018;93,04;187.696.265;789.324.067
Dec;01;2018;95,35;183.221.199;808.121.723
Nov;30;2018;91,87;170.464.251;778.485.613
Nov;29;2018;96,66;165.236.103;818.918.585
Nov;28;2018;99,51;199.504.000;842.897.092
Nov;27;2018;89,13;126.986.000;754.732.417
Nov;26;2018;88,93;102.231.000;752.903.721
Nov;25;2018;91,45;215.597.000;774.064.956
Nov;24;2018;92,66;135.284.000;784.179.370
Nov;23;2018;99,32;216.622.000;840.306.522
Nov;22;2018;103,34;125.393.000;874.150.568
Nov;21;2018;114,31;168.913.000;966.764.525
Nov;20;2018;104,58;127.655.000;884.249.626
Nov;19;2018;109,69;179.060.000;927.247.572
Nov;18;2018;132,78;140.238.000;1.122.196.360
Nov;17;2018;132,63;209.353.000;1.120.686.774
Nov;16;2018;137,06;173.701.000;1.157.858.333
Nov;15;2018;138,44;208.017.000;1.169.319.667
Nov;14;2018;143,65;153.849.000;1.213.070.013
Nov;13;2018;161,17;155.883.000;1.360.714.704
Nov;12;2018;163,05;198.078.000;1.376.230.076
Nov;11;2018;160,11;317.344.000;1.350.880.369
Nov;10;2018;161,72;320.383.000;1.364.443.572
Nov;09;2018;159,99;210.843.000;1.349.561.475
Nov;08;2018;164,29;139.714.000;1.385.511.418
Nov;07;2018;166,45;190.695.000;1.403.421.907
Nov;06;2018;170,47;167.367.000;1.428.094.259
Nov;05;2018;164,23;153.372.000;1.384.092.326
Nov;04;2018;162,96;191.731.000;1.373.101.248
Nov;03;2018;154,70;122.982.000;1.303.245.341
Nov;02;2018;154,32;198.045.000;1.299.718.548
Nov;01;2018;153,52;179.048.000;1.292.740.465
Oct;31;2018;151,75;156.270.000;1.276.664.197
Oct;30;2018;153,12;154.155.000;1.287.889.585
Oct;29;2018;150,06;151.064.000;1.261.893.344
Oct;28;2018;156,44;99.202.700;1.315.197.669
Oct;27;2018;153,07;188.644.000;1.286.585.096
Oct;26;2018;155,20;174.752.000;1.304.271.869
Oct;25;2018;154,98;168.704.000;1.302.059.168
Oct;24;2018;156,24;163.230.000;1.312.359.963
Oct;23;2018;153,94;165.491.000;1.292.799.937
Oct;22;2018;151,72;104.357.000;1.273.911.881
Oct;21;2018;154,56;137.353.000;1.297.464.930
Oct;20;2018;154,77;152.333.000;1.298.944.514
Oct;19;2018;152,90;167.318.000;1.282.938.546
Oct;18;2018;154,82;171.415.000;1.298.773.603
Oct;17;2018;159,59;170.806.000;1.338.494.855
Oct;16;2018;163,10;195.519.000;1.367.650.991
Oct;15;2018;164,98;167.932.000;1.383.069.764
Oct;14;2018;157,42;147.540.000;1.319.412.536
Oct;13;2018;160,86;109.154.000;1.347.993.791
Oct;12;2018;157,82;191.719.000;1.322.221.583
Oct;11;2018;157,14;150.780.000;1.316.214.775
Oct;10;2018;178,52;252.133.000;1.494.940.468
Oct;09;2018;181,03;147.767.000;1.515.688.709
Oct;08;2018;182,15;150.222.000;1.524.731.889
Oct;07;2018;180,25;207.284.000;1.508.481.418
Oct;06;2018;180,39;275.432.000;1.509.290.054
Oct;05;2018;182,05;216.765.000;1.522.871.443
Oct;04;2018;180,45;309.359.000;1.509.191.364
Oct;03;2018;177,56;303.071.000;1.484.652.287
Oct;02;2018;182,24;222.211.000;1.523.433.382
Oct;01;2018;186,92;368.119.000;1.561.107.655
Sep;30;2018;187,65;281.672.000;1.566.842.505
Sep;29;2018;188,51;297.395.000;1.573.719.003
Sep;28;2018;187,45;224.084.000;1.564.507.714
Sep;27;2018;194,48;243.512.000;1.622.805.786
Sep;26;2018;184,53;179.411.000;1.539.474.075
Sep;25;2018;189,65;150.086.000;1.581.864.396
Sep;24;2018;197,81;164.016.000;1.649.510.819
Sep;23;2018;204,90;156.285.000;1.708.248.903
Sep;22;2018;204,40;169.790.000;1.703.731.964
Sep;21;2018;208,52;206.347.000;1.737.698.840
Sep;20;2018;200,49;210.051.000;1.670.431.363
Sep;19;2018;191,19;194.043.000;1.592.589.653
Sep;18;2018;190,83;262.497.000;1.589.242.953
Sep;17;2018;184,31;213.697.000;1.534.588.201
Sep;16;2018;192,62;293.870.000;1.603.460.439
Sep;15;2018;191,78;171.229.000;1.596.126.624
Sep;14;2018;191,30;215.844.000;1.591.768.918
Sep;13;2018;193,27;171.149.000;1.607.795.466
Sep;12;2018;185,26;231.141.000;1.540.839.564
Sep;11;2018;187,26;144.562.000;1.557.076.976
Sep;10;2018;201,13;197.999.000;1.672.042.900
Sep;09;2018;193,36;239.540.000;1.607.096.101
Sep;08;2018;185,90;270.179.000;1.544.769.298
Sep;07;2018;187,56;247.866.000;1.558.267.992
Sep;06;2018;180,90;198.834.000;1.502.531.076
Sep;05;2018;174,44;186.626.000;1.448.553.895
Sep;04;2018;216,57;160.185.000;1.798.017.926
Sep;03;2018;217,29;177.073.000;1.803.668.745
Sep;02;2018;212,33;246.093.000;1.762.071.640
Sep;01;2018;220,74;234.140.000;1.830.092.176
Aug;31;2018;194,62;315.329.000;1.613.163.708
Aug;30;2018;183,40;299.466.000;1.519.862.678
