Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;0,128206;1.836.142;94.552.272
Apr;10;2019;0,141178;2.499.508;104.118.442
Apr;09;2019;0,126712;1.272.055;93.449.972
Apr;08;2019;0,123546;1.397.647;91.115.116
Apr;07;2019;0,118957;949.736;87.731.144
Apr;06;2019;0,113930;1.211.230;84.023.508
Apr;05;2019;0,115743;1.101.997;85.360.136
Apr;04;2019;0,107292;1.299.359;79.127.952
Apr;03;2019;0,108056;1.575.885;79.691.447
Apr;02;2019;0,123310;1.821.076;90.941.163
Apr;01;2019;0,104857;1.505.794;77.332.079
Mar;31;2019;0,090133;967.543;66.472.826
Mar;30;2019;0,086984;743.623;64.150.337
Mar;29;2019;0,084176;697.411;62.080.150
Mar;28;2019;0,079825;813.898;58.870.759
Mar;27;2019;0,081344;912.499;59.991.519
Mar;26;2019;0,079562;850.845;58.676.870
Mar;25;2019;0,078205;900.165;57.676.201
Mar;24;2019;0,071480;774.355;52.716.735
Mar;23;2019;0,071752;1.014.293;52.917.296
Mar;22;2019;0,074353;912.626;54.835.681
Mar;21;2019;0,074350;1.083.385;54.833.033
Mar;20;2019;0,075498;1.013.132;55.679.458
Mar;19;2019;0,077889;1.203.037;57.442.789
Mar;18;2019;0,077863;1.262.511;57.423.916
Mar;17;2019;0,080382;1.423.600;59.281.977
Mar;16;2019;0,081620;1.620.647;60.194.849
Mar;15;2019;0,085245;2.045.871;62.867.851
Mar;14;2019;0,077516;1.874.287;57.168.124
Mar;13;2019;0,072153;2.160.821;53.212.552
Mar;12;2019;0,065806;2.062.795;48.532.096
Mar;11;2019;0,074551;14.440.014;54.981.553
Mar;10;2019;0,085106;1.924.612;62.765.430
Mar;09;2019;0,085928;2.091.368;63.372.085
Mar;08;2019;0,081474;3.009.770;60.087.272
Mar;07;2019;0,074173;2.911.249;54.702.625
Mar;06;2019;0,065329;3.440.403;48.180.216
Mar;05;2019;0,056867;3.099.318;41.939.415
Mar;04;2019;0,053337;3.263.722;39.335.986
Mar;03;2019;0,054237;2.663.005;40.000.154
Mar;02;2019;0,053619;2.787.963;39.544.277
Mar;01;2019;0,047907;3.798.987;35.331.280
Feb;28;2019;0,045485;3.168.667;33.545.513
Feb;27;2019;0,042682;2.444.784;31.477.622
Feb;26;2019;0,038996;1.940.551;28.759.430
Feb;25;2019;0,035992;1.343.334;26.543.827
Feb;24;2019;0,034260;776.026;25.266.562
Feb;23;2019;0,038632;546.002;28.490.916
Feb;22;2019;0,037740;480.361;27.832.977
Feb;21;2019;0,036913;418.992;27.223.224
Feb;20;2019;0,036239;363.750;26.726.480
Feb;19;2019;0,037600;380.763;27.729.737
Feb;18;2019;0,036194;447.908;26.692.843
Feb;17;2019;0,036243;362.908;26.729.486
Feb;16;2019;0,034902;379.306;25.740.417
Feb;15;2019;0,034945;366.345;25.771.754
Feb;14;2019;0,033876;342.739;24.983.218
Feb;13;2019;0,033224;374.927;24.502.440
Feb;12;2019;0,035124;384.239;25.903.920
Feb;11;2019;0,034502;339.615;25.445.360
Feb;10;2019;0,036855;402.419;27.180.794
Feb;09;2019;0,036682;356.014;27.053.170
Feb;08;2019;0,035623;336.556;26.271.625
Feb;07;2019;0,033013;305.399;24.346.985
Feb;06;2019;0,032261;274.279;23.792.503
Feb;05;2019;0,032782;375.307;24.176.846
Feb;04;2019;0,033571;352.227;24.758.779
Feb;03;2019;0,035132;328.299;25.910.134
Feb;02;2019;0,036092;241.014;26.617.764
Feb;01;2019;0,034298;351.127;25.295.024
Jan;31;2019;0,033086;355.691;24.401.177
Jan;30;2019;0,034851;318.651;25.702.882
Jan;29;2019;0,034112;334.188;25.157.834
Jan;28;2019;0,034202;350.433;25.223.824
Jan;27;2019;0,035588;371.998;26.246.267
Jan;26;2019;0,038462;383.025;28.365.818
Jan;25;2019;0,035012;358.139;25.821.503
Jan;24;2019;0,033522;333.377;24.722.474
Jan;23;2019;0,033470;392.283;24.683.777
Jan;22;2019;0,032381;465.755;23.880.911
Jan;21;2019;0,032755;346.457;24.156.650
Jan;20;2019;0,033355;341.912;24.599.198
Jan;19;2019;0,036002;339.857;26.551.736
Jan;18;2019;0,033834;412.072;24.952.805
Jan;17;2019;0,035412;451.052;26.116.519
Jan;16;2019;0,036669;691.467;27.043.112
Jan;15;2019;0,040882;378.641;29.894.703
Jan;14;2019;0,044968;411.084;32.882.746
Jan;13;2019;0,042029;360.604;30.733.535
Jan;12;2019;0,045733;382.695;33.442.069
Jan;11;2019;0,045764;413.585;33.464.961
Jan;10;2019;0,044079;432.561;32.232.849
Jan;09;2019;0,050622;443.060;37.017.153
Jan;08;2019;0,051006;542.771;37.298.128
Jan;07;2019;0,050517;502.178;36.940.432
Jan;06;2019;0,048618;553.073;35.551.583
Jan;05;2019;0,041558;563.742;30.389.519
Jan;04;2019;0,048277;700.273;35.302.776
Jan;03;2019;0,050902;718.664;37.222.196
Jan;02;2019;0,049699;671.068;36.342.385
Jan;01;2019;0,061904;355.314;45.267.140
Dec;31;2018;0,061394;378.185;44.894.524
Dec;30;2018;0,065064;444.132;47.577.701
Dec;29;2018;0,063796;472.388;46.650.461
Dec;28;2018;0,067249;395.468;49.175.484
Dec;27;2018;0,057986;338.553;42.402.491
Dec;26;2018;0,061758;411.973;45.160.312
Dec;25;2018;0,059582;358.658;43.569.631
Dec;24;2018;0,063308;501.790;46.294.142
Dec;23;2018;0,059756;510.920;43.696.842
Dec;22;2018;0,056670;360.822;41.439.809
Dec;21;2018;0,051388;405.091;37.577.829
Dec;20;2018;0,059303;526.233;43.365.025
Dec;19;2018;0,049333;508.078;36.074.547
Dec;18;2018;0,054105;480.941;39.564.160
Dec;17;2018;0,042219;367.446;30.872.982
Dec;16;2018;0,036209;308.511;26.477.814
Dec;15;2018;0,034021;303.188;24.878.093
Dec;14;2018;0,031345;315.430;22.920.820
Dec;13;2018;0,033020;262.569;24.146.208
Dec;12;2018;0,033610;279.654;24.577.118
Dec;11;2018;0,033913;250.719;24.798.639
Dec;10;2018;0,036261;282.307;26.515.673
Dec;09;2018;0,037781;320.955;27.627.209
Dec;08;2018;0,033146;296.358;24.238.169
Dec;07;2018;0,034085;381.866;24.924.469
Dec;06;2018;0,034790;283.359;25.440.130
Dec;05;2018;0,039813;274.258;29.113.002
Dec;04;2018;0,043641;349.453;31.912.653
Dec;03;2018;0,043737;313.843;31.982.524
Dec;02;2018;0,047025;291.714;34.387.298
Dec;01;2018;0,046869;291.294;34.272.746
Nov;30;2018;0,043166;257.032;31.565.369
Nov;29;2018;0,045938;326.633;33.592.341
Nov;28;2018;0,045129;382.506;33.000.435
Nov;27;2018;0,040351;342.171;29.506.376
Nov;26;2018;0,039380;350.843;28.796.479
Nov;25;2018;0,045148;560.648;33.014.183
Nov;24;2018;0,047969;357.091;35.076.966
Nov;23;2018;0,049339;378.800;36.078.998
Nov;22;2018;0,053351;325.444;39.012.773
Nov;21;2018;0,054897;383.821;40.143.212
Nov;20;2018;0,051677;534.062;37.788.441
Nov;19;2018;0,061126;561.415;44.698.314
Nov;18;2018;0,075402;875.094;55.137.420
