Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;0,002789;45.881.209;332.037.825
Apr;10;2019;0,003021;50.718.761;359.651.120
Apr;09;2019;0,002884;53.210.703;343.234.839
Apr;08;2019;0,003045;62.195.173;362.309.890
Apr;07;2019;0,003418;50.224.984;406.652.917
Apr;06;2019;0,003439;46.343.810;409.155.293
Apr;05;2019;0,003590;63.331.136;427.026.548
Apr;04;2019;0,003697;164.634.741;439.749.414
Apr;03;2019;0,003164;89.863.287;376.346.599
Apr;02;2019;0,002795;60.298.362;332.358.223
Apr;01;2019;0,002461;49.116.894;292.641.811
Mar;31;2019;0,002080;18.785.300;247.350.012
Mar;30;2019;0,002080;19.212.788;247.321.175
Mar;29;2019;0,002087;21.582.049;248.123.447
Mar;28;2019;0,002074;20.558.761;246.454.838
Mar;27;2019;0,002085;23.194.502;247.769.700
Mar;26;2019;0,002054;19.354.498;244.056.902
Mar;25;2019;0,002043;17.555.818;242.770.806
Mar;24;2019;0,002054;16.541.721;243.962.932
Mar;23;2019;0,002064;15.724.762;245.183.328
Mar;22;2019;0,002052;17.243.548;243.742.933
Mar;21;2019;0,002054;18.961.937;243.873.315
Mar;20;2019;0,002061;17.912.276;244.693.571
Mar;19;2019;0,002091;20.549.162;248.260.771
Mar;18;2019;0,002083;21.958.793;247.277.160
Mar;17;2019;0,002081;17.683.010;246.984.847
Mar;16;2019;0,002077;17.262.660;246.562.176
Mar;15;2019;0,002048;14.469.793;243.069.198
Mar;14;2019;0,002039;12.675.418;241.919.027
Mar;13;2019;0,002025;17.366.462;240.262.326
Mar;12;2019;0,002012;20.817.165;238.641.759
Mar;11;2019;0,001966;20.212.258;233.158.765
Mar;10;2019;0,001999;14.597.178;237.074.916
Mar;09;2019;0,001998;17.348.833;236.946.257
Mar;08;2019;0,001980;17.551.404;234.803.751
Mar;07;2019;0,001991;17.976.088;236.034.181
Mar;06;2019;0,001983;17.375.079;235.065.672
Mar;05;2019;0,001985;19.420.739;235.312.822
Mar;04;2019;0,001982;16.744.533;234.927.106
Mar;03;2019;0,001999;15.753.983;236.922.047
Mar;02;2019;0,002003;17.330.550;237.292.659
Mar;01;2019;0,001994;18.777.567;236.294.434
Feb;28;2019;0,001976;18.191.276;234.089.209
Feb;27;2019;0,002019;19.512.740;239.107.350
Feb;26;2019;0,002023;19.292.966;239.562.466
Feb;25;2019;0,002030;20.965.852;240.373.595
Feb;24;2019;0,001974;25.171.947;233.678.259
Feb;23;2019;0,002083;20.487.004;246.661.869
Feb;22;2019;0,002056;19.850.028;243.372.976
Feb;21;2019;0,002028;18.308.575;240.071.970
Feb;20;2019;0,002079;20.976.083;246.042.747
Feb;19;2019;0,002067;26.883.836;244.633.573
Feb;18;2019;0,002114;26.457.493;250.094.072
Feb;17;2019;0,001992;19.208.659;235.719.871
Feb;16;2019;0,001924;14.351.257;227.597.790
Feb;15;2019;0,001908;14.754.160;225.621.219
Feb;14;2019;0,001897;16.879.422;224.325.154
Feb;13;2019;0,001893;15.440.451;223.902.917
Feb;12;2019;0,001894;16.971.098;223.946.349
Feb;11;2019;0,001906;15.220.889;225.276.851
Feb;10;2019;0,001946;15.828.371;229.995.070
Feb;09;2019;0,001949;14.455.529;230.403.927
Feb;08;2019;0,001956;17.956.052;231.202.756
Feb;07;2019;0,001845;14.228.248;218.008.800
Feb;06;2019;0,001866;15.246.340;220.417.140
Feb;05;2019;0,001888;13.983.316;223.012.093
Feb;04;2019;0,001896;13.169.126;223.945.017
Feb;03;2019;0,001904;15.354.409;224.849.259
Feb;02;2019;0,001936;13.184.663;228.611.251
Feb;01;2019;0,001916;17.411.751;226.308.067
Jan;31;2019;0,001925;13.824.059;227.283.335
Jan;30;2019;0,001961;11.813.018;231.532.343
Jan;29;2019;0,001927;14.809.844;227.482.733
Jan;28;2019;0,001944;16.265.136;229.396.886
Jan;27;2019;0,002027;16.233.338;239.272.756
Jan;26;2019;0,002083;15.588.079;245.748.560
Jan;25;2019;0,002118;15.953.121;249.905.438
Jan;24;2019;0,002039;15.825.805;240.547.776
Jan;23;2019;0,002043;15.672.115;240.979.399
Jan;22;2019;0,002057;18.971.837;242.632.498
Jan;21;2019;0,002101;17.205.921;247.737.175
Jan;20;2019;0,002119;16.178.008;249.843.275
Jan;19;2019;0,002153;16.088.820;253.903.206
Jan;18;2019;0,002106;12.471.672;248.304.914
Jan;17;2019;0,002094;13.882.217;246.798.932
Jan;16;2019;0,002138;13.656.181;251.931.605
Jan;15;2019;0,002111;15.986.348;248.720.213
Jan;14;2019;0,002183;18.534.843;257.213.741
Jan;13;2019;0,002094;18.059.306;246.733.656
Jan;12;2019;0,002148;14.167.258;253.082.186
Jan;11;2019;0,002129;17.187.243;250.754.770
Jan;10;2019;0,002132;21.174.109;251.103.615
Jan;09;2019;0,002266;17.010.797;266.854.314
Jan;08;2019;0,002276;20.994.417;267.977.607
Jan;07;2019;0,002285;15.899.004;269.018.283
Jan;06;2019;0,002328;18.175.111;274.056.601
Jan;05;2019;0,002319;17.148.586;272.996.564
Jan;04;2019;0,002315;19.530.100;272.494.770
Jan;03;2019;0,002360;17.619.234;277.679.885
Jan;02;2019;0,002407;18.015.392;283.171.751
Jan;01;2019;0,002392;17.364.744;281.442.717
Dec;31;2018;0,002346;18.724.788;275.928.512
Dec;30;2018;0,002367;16.846.019;278.470.304
Dec;29;2018;0,002403;16.985.015;282.658.119
Dec;28;2018;0,002434;19.439.895;286.240.348
Dec;27;2018;0,002364;19.224.932;277.947.392
Dec;26;2018;0,002474;17.477.619;290.868.131
Dec;25;2018;0,002404;19.340.547;282.621.316
Dec;24;2018;0,002540;24.536.966;298.584.294
Dec;23;2018;0,002542;20.041.491;298.792.070
Dec;22;2018;0,002502;18.456.616;294.025.343
