Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;3,79;5.743.897;57.560.674
Apr;10;2019;4,33;4.126.224;65.634.035
Apr;09;2019;4,30;4.710.908;65.021.678
Apr;08;2019;4,31;7.549.552;65.124.771
Apr;07;2019;4,41;6.911.328;66.654.527
Apr;06;2019;4,18;4.018.584;63.167.087
Apr;05;2019;4,21;4.504.396;63.559.374
Apr;04;2019;4,11;4.286.830;62.081.188
Apr;03;2019;4,27;6.059.035;61.084.221
Apr;02;2019;4,31;11.482.691;64.992.612
Apr;01;2019;3,86;9.809.648;58.220.535
Mar;31;2019;4,03;30.402.613;60.818.662
Mar;30;2019;3,15;5.431.941;47.466.556
Mar;29;2019;3,03;6.276.772;45.600.736
Mar;28;2019;2,91;3.699.400;43.816.320
Mar;27;2019;2,77;2.528.363;41.801.957
Mar;26;2019;2,63;2.144.118;39.646.183
Mar;25;2019;2,64;2.366.958;39.760.207
Mar;24;2019;2,71;1.761.094;40.848.764
Mar;23;2019;2,72;2.189.372;40.913.688
Mar;22;2019;2,69;2.079.688;40.562.945
Mar;21;2019;2,66;4.505.694;40.069.623
Mar;20;2019;2,87;2.843.436;43.277.533
Mar;19;2019;2,83;5.003.801;42.684.534
Mar;18;2019;2,74;4.304.140;41.254.122
Mar;17;2019;2,75;1.077.644;41.464.220
Mar;16;2019;2,65;958.089;39.864.300
Mar;15;2019;2,52;852.426;37.894.941
Mar;14;2019;2,54;1.716.630;38.297.610
Mar;13;2019;2,54;2.626.252;38.169.267
Mar;12;2019;2,45;3.026.197;36.939.273
Mar;11;2019;2,40;1.835.395;36.121.649
Mar;10;2019;2,48;5.893.252;37.342.903
Mar;09;2019;2,65;8.834.748;39.813.535
Mar;08;2019;2,21;2.388.829;33.233.919
Mar;07;2019;2,04;1.807.155;30.517.658
Mar;06;2019;2,03;1.070.624;30.429.940
Mar;05;2019;2,04;1.353.207;30.544.217
Mar;04;2019;2,00;1.196.315;29.948.384
Mar;03;2019;2,07;1.166.747;30.301.453
Mar;02;2019;2,08;900.299;30.463.999
Mar;01;2019;2,11;1.119.667;30.914.962
Feb;28;2019;2,13;1.144.396;31.132.349
Feb;27;2019;2,14;1.944.214;31.390.253
Feb;26;2019;2,12;1.410.692;31.056.929
Feb;25;2019;2,10;3.067.500;30.718.558
Feb;24;2019;2,03;2.537.290;29.728.534
Feb;23;2019;2,23;1.926.204;32.601.664
Feb;22;2019;2,08;1.643.575;30.459.182
Feb;21;2019;2,01;2.605.662;29.362.027
Feb;20;2019;2,07;1.775.966;30.224.958
Feb;19;2019;2,07;2.010.610;30.193.669
Feb;18;2019;2,10;1.663.246;30.652.368
Feb;17;2019;2,06;1.505.804;30.144.498
Feb;16;2019;1,96;1.877.615;28.603.702
Feb;15;2019;1,90;2.085.912;27.654.121
Feb;14;2019;2,02;1.818.301;29.390.017
Feb;13;2019;2,06;1.748.248;30.072.665
Feb;12;2019;2,13;4.491.415;31.063.428
Feb;11;2019;2,25;825.674;32.779.845
Feb;10;2019;2,36;1.038.737;34.322.470
Feb;09;2019;2,28;503.749;33.125.031
Feb;08;2019;2,30;1.124.742;33.426.019
Feb;07;2019;2,11;408.356;30.614.038
Feb;06;2019;2,10;415.502;30.567.153
Feb;05;2019;2,13;432.625;30.991.163
Feb;04;2019;2,12;779.290;30.739.452
Feb;03;2019;2,12;453.942;30.822.661
Feb;02;2019;2,19;524.706;31.731.722
Feb;01;2019;2,14;943.846;31.083.526
Jan;31;2019;2,13;689.510;30.919.496
Jan;30;2019;2,16;606.446;31.385.105
Jan;29;2019;2,14;1.005.011;31.065.332
Jan;28;2019;2,15;1.303.775;31.184.548
Jan;27;2019;2,30;2.278.320;33.379.586
Jan;26;2019;2,30;1.005.348;33.359.499
Jan;25;2019;2,35;1.614.696;34.131.016
Jan;24;2019;2,23;884.182;32.323.029
Jan;23;2019;2,18;1.338.852;31.681.757
Jan;22;2019;2,20;1.391.219;31.883.532
Jan;21;2019;2,17;1.061.723;31.409.125
Jan;20;2019;2,13;1.784.923;30.928.974
Jan;19;2019;2,22;2.786.122;32.228.510
Jan;18;2019;2,21;610.248;32.018.180
Jan;17;2019;2,26;1.031.749;32.815.230
Jan;16;2019;2,29;996.421;33.224.205
Jan;15;2019;2,22;1.764.660;32.143.638
Jan;14;2019;2,30;1.682.931;33.282.386
Jan;13;2019;2,21;1.758.469;32.046.573
Jan;12;2019;2,24;1.033.211;32.382.815
Jan;11;2019;2,24;1.236.728;32.498.167
Jan;10;2019;2,29;4.274.530;33.051.472
Jan;09;2019;2,55;2.708.390;36.629.024
Jan;08;2019;2,53;8.388.114;36.252.941
Jan;07;2019;2,73;2.928.491;39.108.774
Jan;06;2019;2,74;2.830.287;39.361.101
Jan;05;2019;2,72;2.332.117;38.946.531
Jan;04;2019;2,73;1.596.073;39.137.770
Jan;03;2019;2,68;1.352.849;38.392.345
Jan;02;2019;2,84;2.478.501;40.644.546
Jan;01;2019;2,79;1.020.780;40.023.550
Dec;31;2018;2,63;936.876;37.627.087
Dec;30;2018;2,72;739.601;38.925.140
Dec;29;2018;2,74;1.169.362;39.208.836
Dec;28;2018;2,83;1.375.512;40.603.257
Dec;27;2018;2,59;867.104;37.138.371
Dec;26;2018;2,79;886.918;39.987.554
Dec;25;2018;2,71;1.941.103;38.704.798
Dec;24;2018;3,06;2.841.956;43.798.346
Dec;23;2018;2,96;1.926.566;42.346.543
Dec;22;2018;2,99;1.155.502;42.756.219
Dec;21;2018;2,87;1.676.785;41.071.252
Dec;20;2018;3,05;2.288.172;43.608.906
Dec;19;2018;2,90;1.245.246;41.431.694
Dec;18;2018;2,92;873.962;41.688.671
Dec;17;2018;2,75;1.029.394;39.296.083
Dec;16;2018;2,55;911.608;36.384.030
Dec;15;2018;2,50;568.972;35.799.237
Dec;14;2018;2,52;782.596;36.042.710
Dec;13;2018;2,49;951.058;35.510.644
Dec;12;2018;2,59;1.242.608;36.993.152
Dec;11;2018;2,52;520.148;35.964.918
Dec;10;2018;2,64;1.306.968;37.638.017
Dec;09;2018;2,63;1.500.973;37.452.742
Dec;08;2018;2,58;1.579.149;36.836.927
Dec;07;2018;2,58;2.492.475;36.760.675
Dec;06;2018;2,65;1.393.108;37.804.617
Dec;05;2018;2,85;1.493.820;40.369.099
Dec;04;2018;2,93;959.360;41.548.551
Dec;03;2018;3,01;1.514.514;42.457.618
Dec;02;2018;3,11;1.183.034;43.929.182
Dec;01;2018;3,22;1.508.870;45.374.847
Nov;30;2018;2,93;1.731.479;41.391.445
Nov;29;2018;3,10;1.737.103;43.741.054
Nov;28;2018;3,17;2.336.340;44.651.422
Nov;27;2018;2,86;1.676.310;27.442.761
Nov;26;2018;2,75;1.660.080;26.374.687
Nov;25;2018;2,97;1.799.330;28.518.323
Nov;24;2018;2,88;1.310.780;27.658.373
Nov;23;2018;3,23;1.303.170;31.020.799
Nov;22;2018;3,30;1.991.600;31.661.394
Nov;21;2018;3,51;4.064.180;33.664.105
Nov;20;2018;3,20;16.197.200;30.712.358
Nov;19;2018;5,04;2.997.190;48.388.953
Nov;18;2018;5,80;1.392.640;55.665.218
Nov;17;2018;5,77;1.948.980;55.353.321
Nov;16;2018;5,71;1.779.330;54.808.820
Nov;15;2018;5,67;2.135.020;54.420.508
Nov;14;2018;5,62;2.498.660;53.902.887
Nov;13;2018;6,31;1.029.700;60.613.820
Nov;12;2018;6,42;1.729.850;49.571.061
Nov;11;2018;6,65;2.181.890;51.327.253
Nov;10;2018;6,79;1.632.100;52.423.733
Nov;09;2018;6,50;1.916.590;50.176.948
Nov;08;2018;6,64;2.609.280;51.280.147
Nov;07;2018;7,05;3.818.510;54.457.308
Nov;06;2018;6,89;5.487.670;53.581.683
Nov;05;2018;6,17;8.451.000;47.663.205
Nov;04;2018;5,59;2.313.250;43.140.212
Nov;03;2018;5,92;1.953.550;45.745.464
Nov;02;2018;5,94;3.053.270;45.900.604
Nov;01;2018;5,88;1.708.640;45.436.111
Oct;31;2018;5,91;1.308.620;45.649.554
Oct;30;2018;6,00;1.656.330;46.328.107
Oct;29;2018;5,93;2.493.860;45.766.159
Oct;28;2018;6,21;1.346.220;47.956.341
Oct;27;2018;6,28;2.215.840;48.460.912
Oct;26;2018;6,19;5.299.390;47.805.448
Oct;25;2018;6,49;8.046.330;50.109.533
Oct;24;2018;7,13;9.748.250;55.065.512
Oct;23;2018;8,72;1.868.160;67.301.863
Oct;22;2018;8,83;2.508.790;68.209.998
Oct;21;2018;8,90;1.199.670;68.763.297
Oct;20;2018;9,19;1.559.560;70.959.810
Oct;19;2018;9,35;2.402.850;72.194.210
Oct;18;2018;9,67;2.923.080;74.700.617
Oct;17;2018;10,01;4.138.170;77.273.359
Oct;16;2018;9,32;3.384.450;71.980.536
Oct;15;2018;8,92;5.042.930;68.898.976
Oct;14;2018;8,10;1.483.240;62.580.177
Oct;13;2018;8,29;1.162.160;64.017.672
Oct;12;2018;8,10;4.173.600;62.518.090
Oct;11;2018;7,93;3.852.480;61.222.684
Oct;10;2018;8,95;4.151.080;69.111.415
Oct;09;2018;9,23;3.955.340;71.280.515
Oct;08;2018;7,99;1.723.550;61.738.762
Oct;07;2018;7,94;1.017.050;61.332.931
Oct;06;2018;7,77;1.176.090;59.975.354
Oct;05;2018;7,93;2.039.420;61.197.934
Oct;04;2018;8,06;3.706.730;62.207.985
Oct;03;2018;7,88;3.360.820;60.830.911
Oct;02;2018;7,47;2.847.950;57.656.364
Oct;01;2018;7,15;1.351.040;55.174.867
Sep;30;2018;7,13;1.276.010;54.992.823
Sep;29;2018;7,04;2.022.340;54.291.793
Sep;28;2018;7,08;1.751.060;54.570.716
Sep;27;2018;7,23;1.174.000;55.739.876
Sep;26;2018;6,80;1.111.280;52.444.667
Sep;25;2018;6,83;1.506.190;52.611.680
Sep;24;2018;7,06;1.477.960;54.436.499
Sep;23;2018;7,36;1.507.580;56.692.876
Sep;22;2018;7,05;1.719.710;54.291.737
Sep;21;2018;7,46;3.626.910;57.426.475
Sep;20;2018;6,99;4.582.650;53.853.079
Sep;19;2018;7,17;1.825.940;55.164.194
Sep;18;2018;7,44;1.991.040;57.150.896
Sep;17;2018;7,47;3.025.390;57.075.597
Sep;16;2018;8,22;1.237.850;62.786.245
Sep;15;2018;8,07;1.580.710;61.676.534
Sep;14;2018;8,26;3.964.840;63.101.147
Sep;13;2018;8,14;2.262.800;62.146.704
Sep;12;2018;7,51;2.604.390;57.294.227
Sep;11;2018;7,25;1.053.360;55.278.332
Sep;10;2018;7,51;749.298;57.011.635
Sep;09;2018;7,45;1.004.390;59.880.180
Sep;08;2018;7,62;1.148.900;61.298.857
Sep;07;2018;7,93;928.018;63.795.518
Sep;06;2018;8,13;1.895.090;65.293.571
Sep;05;2018;8,06;4.820.440;64.745.362
Sep;04;2018;9,99;3.659.360;79.502.816
Sep;03;2018;9,91;3.065.440;78.694.481
Sep;02;2018;10,08;3.644.670;79.987.700
Sep;01;2018;10,29;3.091.700;81.574.673
Aug;31;2018;10,04;2.954.050;79.582.898
Aug;30;2018;9,81;4.905.950;77.724.423
Aug;29;2018;9,97;5.947.610;78.973.535
Aug;28;2018;10,93;4.424.290;86.495.757
Aug;27;2018;10,59;4.298.860;83.824.065
Aug;26;2018;10,85;4.880.140;85.761.364
Aug;25;2018;10,99;4.632.860;86.821.467
Aug;24;2018;10,57;4.635.520;83.534.840
Aug;23;2018;9,72;2.485.420;76.834.533
Aug;22;2018;8,72;2.421.160;68.877.954
Aug;21;2018;9,32;2.215.410;73.597.436
Aug;20;2018;9,25;3.218.980;68.795.794
Aug;19;2018;9,89;2.382.770;73.586.102
Aug;18;2018;9,48;4.318.110;70.529.924
Aug;17;2018;10,66;4.947.720;79.257.364
Aug;16;2018;7,24;2.512.830;53.832.610
Aug;15;2018;6,79;2.291.490;50.249.307
Aug;14;2018;6,28;2.534.420;46.495.160
Aug;13;2018;6,59;1.974.290;48.741.389
Aug;12;2018;7,15;2.935.860;52.852.814
Aug;11;2018;7,06;4.655.710;52.195.416
Aug;10;2018;8,10;3.847.950;59.848.898
Aug;09;2018;9,25;4.177.020;67.755.202
Aug;08;2018;8,83;4.033.030;64.713.177
Aug;07;2018;10,03;4.327.980;73.477.691
Aug;06;2018;9,99;4.304.920;73.183.568
Aug;05;2018;10,97;4.062.600;80.339.043
Aug;04;2018;10,86;3.983.560;79.591.817
Aug;03;2018;12,11;3.985.210;88.702.180
Aug;02;2018;12,40;4.730.030;90.080.621
Aug;01;2018;12,79;8.965.800;92.915.018
Jul;31;2018;14,90;4.207.270;79.500.904
Jul;30;2018;16,08;4.214.460;85.700.145
Jul;29;2018;16,21;10.226.900;86.407.991
Jul;28;2018;16,29;9.584.550;86.806.157
Jul;27;2018;16,81;9.876.810;89.606.520
Jul;26;2018;16,29;9.407.740;86.820.988
Jul;25;2018;18,09;11.462.900;96.422.142
Jul;24;2018;17,18;12.090.300;91.555.257
Jul;23;2018;16,69;10.941.700;88.974.357
Jul;22;2018;16,73;6.524.810;88.123.615
Jul;21;2018;17,01;1.603.170;89.569.853
Jul;20;2018;16,52;2.076.850;87.004.497
Jul;19;2018;18,77;2.663.360;98.874.291
Jul;18;2018;20,11;6.102.600;105.931.717
Jul;17;2018;21,16;6.973.350;111.455.517
Jul;16;2018;19,72;4.905.580;103.840.390
Jul;15;2018;17,21;4.670.650;90.654.184
Jul;14;2018;16,66;2.576.400;87.487.073
Jul;13;2018;16,64;6.032.210;87.402.433
Jul;12;2018;15,93;6.534.590;83.694.794
Jul;11;2018;17,26;5.803.660;90.634.931
Jul;10;2018;17,71;4.225.790;93.025.882
Jul;09;2018;21,33;7.253.490;112.014.717
Jul;08;2018;21,51;6.934.970;112.974.257
Jul;07;2018;23,48;6.724.880;123.307.620
Jul;06;2018;23,37;6.189.560;122.729.870
Jul;05;2018;23,70;8.216.950;124.239.977
Jul;04;2018;23,81;6.425.240;124.821.332
Jul;03;2018;23,27;7.805.690;121.965.014
Jul;02;2018;23,11;5.400.450;121.158.295
Jul;01;2018;21,23;3.915.840;111.305.535
Jun;30;2018;20,00;2.712.400;104.853.743
Jun;29;2018;19,67;1.872.020;103.098.744
Jun;28;2018;18,40;2.941.300;96.183.215
Jun;27;2018;19,97;3.449.760;104.368.339
Jun;26;2018;19,21;5.148.950;100.400.694
Jun;25;2018;20,35;5.121.590;106.369.951
Jun;24;2018;19,37;6.288.850;101.208.140
Jun;23;2018;20,15;6.617.530;105.323.709
Jun;22;2018;22,53;10.282.000;117.726.307
Jun;21;2018;27,63;7.124.960;144.417.071
Jun;20;2018;28,11;7.232.350;146.598.772
Jun;19;2018;28,94;6.114.820;150.917.474
Jun;18;2018;29,37;7.398.430;153.153.484
Jun;17;2018;28,96;6.803.100;151.005.098
Jun;16;2018;30,41;7.395.410;158.563.603
Jun;15;2018;28,56;7.591.450;148.940.154
Jun;14;2018;30,48;8.224.800;158.955.762
Jun;13;2018;29,96;9.089.900;154.530.776
Jun;12;2018;31,00;7.734.350;159.941.248
Jun;11;2018;35,37;7.887.740;182.449.245
Jun;10;2018;35,68;12.289.500;184.046.922
Jun;09;2018;41,40;11.235.100;213.587.283
Jun;08;2018;42,88;11.345.400;221.200.019
Jun;07;2018;43,08;11.272.700;221.960.549
Jun;06;2018;42,60;12.754.900;215.061.345
Jun;05;2018;43,26;14.357.700;218.399.237
Jun;04;2018;40,25;15.507.600;203.217.052
Jun;03;2018;42,34;17.841.600;213.758.626
Jun;02;2018;42,34;18.535.200;213.766.220
Jun;01;2018;42,51;18.124.900;214.614.974
May;31;2018;39,16;17.237.800;197.712.017
May;30;2018;38,97;16.928.600;195.830.644
May;29;2018;38,94;21.941.900;195.642.538
May;28;2018;37,25;15.807.000;187.191.490
May;27;2018;40,24;14.512.300;202.219.771
May;26;2018;38,70;13.226.500;194.488.430
May;25;2018;39,06;11.182.200;196.280.337
May;24;2018;38,69;11.583.500;194.389.974
May;23;2018;37,43;11.728.200;194.542.315
May;22;2018;43,54;9.926.440;226.250.956
May;21;2018;45,62;10.315.400;237.068.927
May;20;2018;46,50;11.187.600;241.660.447
May;19;2018;44,78;12.793.000;232.727.967
May;18;2018;44,19;13.853.700;228.342.833
May;17;2018;43,77;14.123.300;226.166.470
May;16;2018;46,32;14.422.500;238.752.347
May;15;2018;47,92;17.291.500;247.044.997
May;14;2018;50,35;20.247.700;259.313.855
May;13;2018;48,32;17.074.200;248.816.393
May;12;2018;46,58;22.561.800;239.871.614
May;11;2018;49,28;25.046.200;253.791.738
May;10;2018;55,33;23.065.400;284.926.845
May;09;2018;56,97;18.069.700;293.168.663
May;08;2018;56,18;19.702.000;288.156.525
May;07;2018;57,04;24.993.000;292.582.607
May;06;2018;60,64;34.011.700;311.044.408
May;05;2018;59,57;32.156.500;305.525.871
May;04;2018;47,73;18.449.100;244.803.072
May;03;2018;47,50;22.499.100;243.635.683
May;02;2018;47,00;18.024.900;241.091.585
May;01;2018;47,08;15.365.000;241.170.098
Apr;30;2018;46,34;22.024.400;237.397.851
Apr;29;2018;51,98;29.011.100;266.255.366
Apr;28;2018;44,86;17.459.200;229.815.472
Apr;27;2018;40,83;15.338.000;209.154.618
Apr;26;2018;42,78;17.648.000;219.147.230
Apr;25;2018;40,14;20.490.700;202.721.987
Apr;24;2018;47,46;22.853.700;239.727.412
Apr;23;2018;44,50;17.715.400;224.764.446
Apr;22;2018;44,15;20.006.600;223.003.305
Apr;21;2018;44,53;26.744.800;224.892.763
Apr;20;2018;43,59;26.385.600;220.136.096
Apr;19;2018;39,00;17.683.900;196.957.772
