Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;8,09;221.645;76.286.127
Apr;10;2019;8,88;79.063;83.708.543
Apr;09;2019;8,90;233.204;83.879.957
Apr;08;2019;9,41;222.189;88.764.567
Apr;07;2019;9,07;264.591;85.524.279
Apr;06;2019;8,60;105.580;81.095.144
Apr;05;2019;8,44;100.874;79.501.476
Apr;04;2019;8,25;174.354;77.752.518
Apr;03;2019;7,97;470.592;75.126.703
Apr;02;2019;8,28;522.778;78.047.296
Apr;01;2019;7,60;285.842;71.560.883
Mar;31;2019;6,99;232.387;65.880.385
Mar;30;2019;7,10;116.774;66.841.382
Mar;29;2019;6,77;174.679;63.789.027
Mar;28;2019;6,90;309.415;65.012.932
Mar;27;2019;6,95;388.079;65.392.425
Mar;26;2019;6,23;64.378;58.623.202
Mar;25;2019;6,14;80.046;57.794.802
Mar;24;2019;6,26;33.381;58.957.112
Mar;23;2019;6,24;171.632;58.695.509
Mar;22;2019;6,21;52.168;58.434.270
Mar;21;2019;6,18;78.702;58.193.033
Mar;20;2019;6,46;56.596;60.819.044
Mar;19;2019;6,44;95.897;60.607.885
Mar;18;2019;6,53;107.745;61.405.090
Mar;17;2019;6,51;101.642;61.184.294
Mar;16;2019;6,56;53.640;61.733.841
Mar;15;2019;6,61;42.066;62.195.485
Mar;14;2019;6,47;85.148;60.875.297
Mar;13;2019;6,53;115.925;61.391.231
Mar;12;2019;6,49;145.071;60.991.860
Mar;11;2019;6,55;95.244;61.593.887
Mar;10;2019;6,54;92.501;61.435.970
Mar;09;2019;6,59;152.885;61.894.003
Mar;08;2019;6,20;72.652;58.217.124
Mar;07;2019;6,33;42.077;59.474.758
Mar;06;2019;6,32;76.693;59.375.619
Mar;05;2019;6,16;137.793;57.822.079
Mar;04;2019;5,90;59.672;55.385.443
Mar;03;2019;6,10;82.412;57.303.260
Mar;02;2019;5,85;357.879;54.961.682
Mar;01;2019;6,19;56.508;57.276.069
Feb;28;2019;6,32;40.974;58.471.853
Feb;27;2019;6,30;80.766;55.052.114
Feb;26;2019;6,49;149.230;56.777.513
Feb;25;2019;6,65;74.096;58.131.001
Feb;24;2019;6,52;227.116;56.998.072
Feb;23;2019;6,91;32.608;60.402.237
Feb;22;2019;6,81;189.129;59.529.921
Feb;21;2019;6,49;155.218;56.739.674
Feb;20;2019;6,89;261.799;60.242.902
Feb;19;2019;6,38;91.106;55.782.412
Feb;18;2019;6,27;123.404;54.822.485
Feb;17;2019;6,03;79.812;52.748.227
Feb;16;2019;6,03;31.872;52.749.773
Feb;15;2019;5,94;38.822;51.969.486
Feb;14;2019;5,98;59.197;52.331.322
Feb;13;2019;6,07;61.943;53.051.578
Feb;12;2019;6,03;70.031;52.766.644
Feb;11;2019;6,21;70.036;54.347.084
Feb;10;2019;6,38;113.031;55.809.003
Feb;09;2019;6,16;144.507;53.829.141
Feb;08;2019;6,13;175.841;53.612.426
Feb;07;2019;5,83;112.822;50.988.255
Feb;06;2019;6,00;216.964;52.489.493
Feb;05;2019;6,03;292.014;52.702.551
Feb;04;2019;5,91;87.597;51.702.407
Feb;03;2019;5,87;61.800;51.297.564
Feb;02;2019;6,14;184.071;53.658.407
Feb;01;2019;5,89;165.676;51.510.756
Jan;31;2019;5,91;165.991;51.657.911
Jan;30;2019;6,01;280.691;52.557.170
Jan;29;2019;5,84;338.548;51.109.518
Jan;28;2019;5,75;774.076;50.314.530
Jan;27;2019;6,67;331.708;58.333.469
Jan;26;2019;6,75;160.470;59.006.874
Jan;25;2019;7,01;342.634;61.277.326
Jan;24;2019;7,59;222.266;66.416.326
Jan;23;2019;7,84;604.814;68.569.973
Jan;22;2019;8,69;2.037.174;75.990.913
Jan;21;2019;7,44;626.483;65.086.418
Jan;20;2019;6,40;169.671;55.960.521
Jan;19;2019;6,62;167.939;57.850.267
Jan;18;2019;6,19;81.961;54.150.236
Jan;17;2019;6,17;141.416;53.953.967
Jan;16;2019;6,14;451.324;53.723.372
Jan;15;2019;6,11;291.796;53.473.919
Jan;14;2019;6,80;68.182;59.426.889
Jan;13;2019;6,63;53.228;57.977.723
Jan;12;2019;6,87;30.383;60.099.814
Jan;11;2019;6,99;137.431;61.089.951
Jan;10;2019;6,76;181.050;59.089.311
