Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;0,325326;17.935.769;904.254.175
Apr;10;2019;0,349140;17.751.170;970.444.264
Apr;09;2019;0,349172;15.235.293;970.535.071
Apr;08;2019;0,357375;27.200.523;993.334.929
Apr;07;2019;0,362487;21.625.357;1.007.543.918
Apr;06;2019;0,346157;17.277.211;962.152.575
Apr;05;2019;0,353373;19.320.318;982.211.369
Apr;04;2019;0,337164;22.852.344;937.156.621
Apr;03;2019;0,339947;45.000.458;944.894.078
Apr;02;2019;0,351769;32.985.377;977.753.638
Apr;01;2019;0,322734;19.088.504;897.048.916
Mar;31;2019;0,307515;10.899.122;854.747.405
Mar;30;2019;0,307419;11.198.596;854.479.853
Mar;29;2019;0,308698;11.512.366;858.035.701
Mar;28;2019;0,306314;11.875.270;851.409.269
Mar;27;2019;0,308503;13.025.515;857.492.573
Mar;26;2019;0,296285;11.224.152;823.534.244
Mar;25;2019;0,299162;13.642.992;831.530.625
Mar;24;2019;0,309225;10.429.370;859.499.944
Mar;23;2019;0,312610;14.808.539;868.908.756
Mar;22;2019;0,311170;26.155.335;864.905.630
Mar;21;2019;0,314025;28.818.816;872.842.614
Mar;20;2019;0,300116;13.295.692;834.181.966
Mar;19;2019;0,297605;10.672.512;827.202.735
Mar;18;2019;0,295902;21.287.448;822.469.426
Mar;17;2019;0,298161;18.281.347;828.748.903
Mar;16;2019;0,306825;25.832.330;852.828.449
Mar;15;2019;0,301415;9.682.709;837.792.384
Mar;14;2019;0,297486;18.120.826;826.870.176
Mar;13;2019;0,287148;12.297.258;798.136.496
Mar;12;2019;0,285031;9.469.474;792.251.160
Mar;11;2019;0,279697;9.612.307;777.426.420
Mar;10;2019;0,282177;6.479.838;784.319.091
Mar;09;2019;0,284135;10.359.967;789.761.907
Mar;08;2019;0,275802;11.843.575;766.601.031
Mar;07;2019;0,279641;9.134.559;777.269.681
Mar;06;2019;0,279603;8.504.834;777.163.819
Mar;05;2019;0,283411;7.445.048;787.750.192
Mar;04;2019;0,275567;7.086.079;765.947.977
Mar;03;2019;0,286415;4.991.108;796.100.170
Mar;02;2019;0,294540;6.625.116;818.683.012
Mar;01;2019;0,298102;9.407.358;828.584.384
Feb;28;2019;0,285875;6.657.805;794.598.876
Feb;27;2019;0,286744;7.118.971;797.013.095
Feb;26;2019;0,285886;6.935.784;794.629.854
Feb;25;2019;0,289419;8.600.358;804.449.791
Feb;24;2019;0,284581;16.563.426;791.001.091
Feb;23;2019;0,321456;10.765.823;893.496.294
Feb;22;2019;0,304661;8.152.560;846.814.076
Feb;21;2019;0,300850;8.261.863;836.222.421
Feb;20;2019;0,314663;9.193.699;874.615.881
Feb;19;2019;0,305425;20.058.388;848.938.250
Feb;18;2019;0,304982;16.311.208;847.707.451
Feb;17;2019;0,277779;9.509.007;772.095.479
Feb;16;2019;0,274927;5.983.757;764.166.815
Feb;15;2019;0,272235;7.027.018;756.685.747
Feb;14;2019;0,268780;4.319.137;747.080.935
Feb;13;2019;0,270552;6.301.561;752.008.356
Feb;12;2019;0,274751;7.332.661;763.678.412
Feb;11;2019;0,268644;9.118.455;746.703.665
Feb;10;2019;0,279849;13.408.133;777.847.784
Feb;09;2019;0,276824;7.388.364;769.440.598
Feb;08;2019;0,279160;15.645.823;775.933.325
Feb;07;2019;0,254377;12.382.890;707.048.650
Feb;06;2019;0,243704;6.208.558;677.383.095
Feb;05;2019;0,249571;5.384.838;693.690.120
Feb;04;2019;0,252628;7.032.087;702.187.832
Feb;03;2019;0,249461;5.980.121;693.384.830
Feb;02;2019;0,258215;8.106.702;717.716.151
Feb;01;2019;0,259068;8.301.913;720.086.990
Jan;31;2019;0,258374;10.208.235;718.159.503
Jan;30;2019;0,263197;7.573.250;731.563.929
Jan;29;2019;0,254747;7.352.672;708.076.486
Jan;28;2019;0,257315;12.520.680;715.214.732
Jan;27;2019;0,276022;10.125.439;767.212.409
Jan;26;2019;0,286681;7.343.799;796.838.205
Jan;25;2019;0,289837;6.625.506;805.609.804
Jan;24;2019;0,296257;7.542.316;823.456.596
Jan;23;2019;0,297192;7.805.314;826.053.071
Jan;22;2019;0,307704;8.986.031;855.271.387
Jan;21;2019;0,302296;6.508.997;840.241.056
Jan;20;2019;0,301867;7.528.261;839.047.167
Jan;19;2019;0,316666;8.047.539;880.184.030
Jan;18;2019;0,313526;7.307.493;871.454.889
Jan;17;2019;0,314669;9.710.479;874.630.769
Jan;16;2019;0,305791;9.337.139;849.955.196
Jan;15;2019;0,304561;9.998.852;846.537.475
Jan;14;2019;0,309580;12.233.290;860.486.211
Jan;13;2019;0,294612;7.453.979;818.882.842
Jan;12;2019;0,313771;6.521.125;872.135.457
Jan;11;2019;0,315375;7.948.334;876.593.512
Jan;10;2019;0,312712;16.830.193;869.193.282
Jan;09;2019;0,369409;6.902.086;1.026.784.852
Jan;08;2019;0,363091;9.258.539;1.009.221.591
Jan;07;2019;0,367764;7.165.372;1.022.211.263
Jan;06;2019;0,380924;11.081.927;1.058.789.309
Jan;05;2019;0,369546;7.224.063;1.027.165.541
Jan;04;2019;0,377061;10.403.445;1.048.052.161
Jan;03;2019;0,379233;10.387.191;1.054.090.622
Jan;02;2019;0,394705;14.754.780;1.097.094.206
Jan;01;2019;0,369184;7.921.095;1.026.158.621
Dec;31;2018;0,356565;10.779.256;991.083.253
Dec;30;2018;0,360808;9.035.907;1.002.877.280
Dec;29;2018;0,355317;11.284.186;987.615.750
Dec;28;2018;0,366629;15.735.602;1.019.056.535
Dec;27;2018;0,318313;10.073.706;884.760.052
Dec;26;2018;0,333083;10.062.637;925.813.148
Dec;25;2018;0,333073;15.120.227;925.785.992
Dec;24;2018;0,357618;18.479.180;994.009.209
Dec;23;2018;0,362013;20.732.312;1.006.225.205
Dec;22;2018;0,343773;13.812.917;955.527.469
Dec;21;2018;0,325983;18.668.528;906.080.283
Dec;20;2018;0,348450;27.198.523;968.527.646
Dec;19;2018;0,281738;21.042.942;783.100.564
Dec;18;2018;0,289835;14.202.710;805.604.248
Dec;17;2018;0,257952;12.696.516;716.986.248
Dec;16;2018;0,222483;6.107.463;618.399.305
Dec;15;2018;0,219802;7.446.599;610.946.720
Dec;14;2018;0,213077;6.210.663;592.255.151
Dec;13;2018;0,272110;5.996.849;756.336.730
Dec;12;2018;0,232870;3.355.605;647.268.201
Dec;11;2018;0,225301;4.375.737;626.231.130
Dec;10;2018;0,232019;6.248.375;644.904.895
