Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;1,05;2.784.686;117.799.911
Apr;10;2019;1,15;2.661.101;129.528.316
Apr;09;2019;1,17;2.987.535;131.893.083
Apr;08;2019;1,22;2.658.671;137.748.726
Apr;07;2019;1,23;2.374.339;138.176.254
Apr;06;2019;1,20;2.158.747;134.745.066
Apr;05;2019;1,24;2.906.647;139.178.278
Apr;04;2019;1,20;2.440.561;134.673.497
Apr;03;2019;1,20;4.967.143;134.894.685
Apr;02;2019;1,23;4.716.712;138.289.237
Apr;01;2019;1,16;1.670.357;130.476.498
Mar;31;2019;1,12;2.372.046;125.437.746
Mar;30;2019;1,10;2.493.094;123.270.684
Mar;29;2019;1,10;2.311.761;123.521.321
Mar;28;2019;1,13;5.374.208;126.705.690
Mar;27;2019;1,07;3.573.500;120.114.339
Mar;26;2019;1,01;3.826.301;113.938.562
Mar;25;2019;1,01;2.517.194;113.794.491
Mar;24;2019;1,05;710.684;117.873.065
Mar;23;2019;1,06;669.286;119.026.744
Mar;22;2019;1,06;1.174.721;118.577.978
Mar;21;2019;1,06;2.030.421;118.756.496
Mar;20;2019;1,10;1.164.189;123.801.645
Mar;19;2019;1,09;1.280.629;121.885.169
Mar;18;2019;1,08;2.046.175;120.953.721
Mar;17;2019;1,09;1.298.852;122.880.226
Mar;16;2019;1,10;2.782.046;123.794.431
Mar;15;2019;1,13;9.362.187;127.289.447
Mar;14;2019;1,02;5.494.450;114.174.089
Mar;13;2019;1,07;44.080.916;120.129.710
Mar;12;2019;0,927025;1.937.233;103.916.150
Mar;11;2019;0,898773;1.408.925;100.730.552
Mar;10;2019;0,927241;816.452;103.913.583
Mar;09;2019;0,948787;946.705;106.321.669
Mar;08;2019;0,906554;1.711.703;101.569.569
Mar;07;2019;0,924145;4.848.074;103.533.720
Mar;06;2019;0,945546;16.959.720;105.923.454
Mar;05;2019;0,960235;2.952.127;107.560.479
Mar;04;2019;0,877392;8.171.252;98.271.093
Mar;03;2019;0,915796;6.015.417;102.566.028
Mar;02;2019;0,976391;1.185.928;109.327.548
Mar;01;2019;1,01;2.873.114;113.225.521
Feb;28;2019;1,03;2.859.876;114.952.883
Feb;27;2019;0,978850;4.575.256;109.534.036
Feb;26;2019;1,01;2.518.271;112.443.799
Feb;25;2019;0,967728;2.704.440;108.252.230
Feb;24;2019;0,949628;6.832.406;106.221.941
Feb;23;2019;0,961301;1.308.378;107.513.809
Feb;22;2019;0,961905;1.559.511;107.554.277
Feb;21;2019;0,929678;3.072.663;103.950.883
Feb;20;2019;1,03;3.644.481;115.201.787
Feb;19;2019;0,944001;3.991.252;105.615.468
Feb;18;2019;0,990201;10.284.588;110.775.956
Feb;17;2019;0,851920;14.015.860;95.297.454
Feb;16;2019;0,759043;923.619;84.901.436
Feb;15;2019;0,743240;988.187;83.128.874
Feb;14;2019;0,766707;2.736.112;85.741.918
Feb;13;2019;0,803791;4.613.557;89.880.420
Feb;12;2019;0,771917;5.387.749;86.305.548
Feb;11;2019;0,689618;2.576.589;77.079.634
Feb;10;2019;0,653765;661.469;73.063.069
Feb;09;2019;0,637046;560.847;71.189.865
Feb;08;2019;0,645764;1.256.971;72.158.869
Feb;07;2019;0,592761;1.047.265;66.231.274
Feb;06;2019;0,591363;413.494;66.067.979
Feb;05;2019;0,616787;623.751;68.903.654
Feb;04;2019;0,648521;328.195;72.439.942
Feb;03;2019;0,641819;165.059;71.662.093
Feb;02;2019;0,659164;304.806;73.598.768
Feb;01;2019;0,648153;345.646;72.360.775
Jan;31;2019;0,622200;211.738;69.457.803
Jan;30;2019;0,643573;410.562;71.834.648
Jan;29;2019;0,617140;327.204;68.855.145
Jan;28;2019;0,632100;747.775;70.524.253
Jan;27;2019;0,685123;393.113;76.440.091
Jan;26;2019;0,684495;435.454;76.370.078
Jan;25;2019;0,700825;724.594;78.188.530
Jan;24;2019;0,669069;255.706;74.640.897
Jan;23;2019;0,664597;398.308;74.129.880
Jan;22;2019;0,663147;250.629;73.957.499
Jan;21;2019;0,648869;298.344;72.357.931
Jan;20;2019;0,655503;281.338;73.093.512
Jan;19;2019;0,700463;547.281;78.102.580
Jan;18;2019;0,659524;626.300;73.533.521
Jan;17;2019;0,698182;395.974;77.830.955
Jan;16;2019;0,689441;469.085;76.852.086
Jan;15;2019;0,642193;413.638;71.580.762
Jan;14;2019;0,669875;199.248;74.660.906
Jan;13;2019;0,635713;206.167;70.849.258
Jan;12;2019;0,671375;171.055;74.813.162
Jan;11;2019;0,670755;290.401;74.735.155
Jan;10;2019;0,671475;580.510;74.797.354
Jan;09;2019;0,790992;480.583;88.105.869
Jan;08;2019;0,777089;382.268;86.546.014
Jan;07;2019;0,766023;396.693;85.309.465
Jan;06;2019;0,785299;540.445;87.441.319
Jan;05;2019;0,773040;585.052;86.065.907
Jan;04;2019;0,767417;447.923;85.433.772
Jan;03;2019;0,748545;534.381;83.326.165
Jan;02;2019;0,790945;769.571;88.040.259
Jan;01;2019;0,809924;1.333.235;90.143.873
Dec;31;2018;0,816114;3.581.949;90.817.533
Dec;30;2018;0,851612;1.716.481;94.720.106
Dec;29;2018;0,817966;900.043;90.970.173
Dec;28;2018;0,809513;2.087.647;90.018.708
Dec;27;2018;0,710669;2.541.810;79.021.264
Dec;26;2018;0,709400;990.829;78.873.165
Dec;25;2018;0,710807;792.243;79.023.883
Dec;24;2018;0,735800;882.080;81.798.110
Dec;23;2018;0,721995;541.184;80.256.427
Dec;22;2018;0,748637;643.294;83.211.797
Dec;21;2018;0,724232;1.454.720;80.494.122
Dec;20;2018;0,757547;2.208.977;84.142.702
