Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;79,68;3.461.536.000;4.884.140.000
Apr;10;2019;88,38;2.765.900.677;5.416.155.738
Apr;09;2019;86,79;2.742.631.078;5.317.455.486
Apr;08;2019;89,49;3.295.695.862;5.482.058.437
Apr;07;2019;92,31;3.314.848.880;5.653.406.711
Apr;06;2019;92,57;3.857.950.929;5.667.977.476
Apr;05;2019;88,68;3.512.861.847;5.428.143.571
Apr;04;2019;84,98;4.195.622.761;5.200.609.305
Apr;03;2019;84,92;6.206.102.119;5.195.750.178
Apr;02;2019;76,19;4.161.362.861;4.660.552.088
Apr;01;2019;60,68;1.712.538.382;3.710.564.698
Mar;31;2019;60,76;1.646.531.872;3.714.371.560
Mar;30;2019;60,62;1.698.116.593;3.705.312.023
Mar;29;2019;61,30;1.977.436.351;3.745.935.357
Mar;28;2019;61,17;1.818.355.774;3.737.005.102
Mar;27;2019;62,25;2.220.590.688;3.802.058.092
Mar;26;2019;59,34;2.020.400.713;3.623.575.890
Mar;25;2019;59,50;2.057.863.894;3.632.066.769
Mar;24;2019;60,22;2.041.814.465;3.675.521.098
Mar;23;2019;61,35;2.009.701.790;3.743.278.484
Mar;22;2019;59,82;1.660.894.830;3.649.353.013
Mar;21;2019;59,38;1.766.689.848;3.621.232.358
Mar;20;2019;60,85;1.990.264.182;3.709.898.340
Mar;19;2019;60,62;1.824.124.623;3.694.945.405
Mar;18;2019;60,26;1.971.826.811;3.672.726.327
Mar;17;2019;61,24;1.609.232.029;3.731.425.001
Mar;16;2019;61,84;1.997.899.601;3.767.063.536
Mar;15;2019;58,99;1.824.454.595;3.592.290.246
Mar;14;2019;56,58;1.610.293.200;3.445.001.358
Mar;13;2019;55,93;1.465.625.295;3.404.536.113
Mar;12;2019;57,00;1.666.711.996;3.468.475.222
Mar;11;2019;55,42;1.839.260.243;3.371.760.953
Mar;10;2019;57,18;1.778.709.344;3.478.033.205
Mar;09;2019;58,09;2.145.350.395;3.532.242.783
Mar;08;2019;56,10;1.977.538.387;3.410.590.890
Mar;07;2019;57,19;2.410.843.754;3.475.995.867
Mar;06;2019;55,78;1.998.850.452;3.389.799.196
Mar;05;2019;53,13;2.000.300.862;3.227.895.751
Mar;04;2019;46,43;1.243.464.082;2.820.102.325
Mar;03;2019;48,38;1.102.677.211;2.937.680.218
Mar;02;2019;49,02;1.227.656.624;2.975.500.410
Mar;01;2019;47,49;1.175.425.172;2.882.042.603
Feb;28;2019;46,24;1.119.495.712;2.805.515.464
Feb;27;2019;45,58;1.061.879.935;2.765.113.387
Feb;26;2019;45,49;1.060.325.373;2.758.957.944
Feb;25;2019;46,21;1.212.141.472;2.802.048.987
Feb;24;2019;44,68;1.618.048.131;2.708.358.746
Feb;23;2019;51,68;1.278.039.837;3.132.087.064
Feb;22;2019;49,81;1.213.665.948;3.017.677.753
Feb;21;2019;49,15;1.259.734.341;2.977.341.432
Feb;20;2019;51,79;1.582.934.318;3.136.141.808
Feb;19;2019;47,86;1.417.050.580;2.897.971.715
