Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;197,68;1.112.907;86.997.632
Apr;10;2019;215,64;1.148.166;94.834.862
Apr;09;2019;206,26;1.120.696;90.687.924
Apr;08;2019;207,80;910.095;91.329.744
Apr;07;2019;201,36;938.113;88.465.506
Apr;06;2019;225,62;1.071.306;99.113.585
Apr;05;2019;203,07;1.116.653;89.205.267
Apr;04;2019;195,29;897.517;85.764.398
Apr;03;2019;173,48;1.137.181;76.171.689
Apr;02;2019;169,71;1.151.841;74.476.377
Apr;01;2019;158,27;917.653;69.442.635
Mar;31;2019;152,80;798.656;66.978.051
Mar;30;2019;155,80;789.377;68.291.846
Mar;29;2019;158,67;720.120;69.548.442
Mar;28;2019;159,37;326.589;69.782.271
Mar;27;2019;156,27;845.019;68.414.271
Mar;26;2019;146,61;722.498;64.149.636
Mar;25;2019;144,80;589.332;63.058.142
Mar;24;2019;145,31;444.523;63.160.980
Mar;23;2019;145,00;591.789;62.997.605
Mar;22;2019;143,13;524.780;62.172.268
Mar;21;2019;142,70;523.382;61.977.928
Mar;20;2019;149,31;480.114;64.835.800
Mar;19;2019;150,23;349.576;65.106.762
Mar;18;2019;149,39;318.079;64.739.313
Mar;17;2019;147,79;354.199;64.038.846
Mar;16;2019;221,54;553.275;95.992.185
Mar;15;2019;147,29;524.870;63.807.677
Mar;14;2019;141,53;495.635;61.309.916
Mar;13;2019;141,58;236.236;61.328.513
Mar;12;2019;143,30;461.705;62.024.020
Mar;11;2019;139,83;632.431;60.525.945
Mar;10;2019;147,23;589.802;63.727.722
Mar;09;2019;143,31;506.689;62.032.295
Mar;08;2019;142,86;545.559;61.834.705
Mar;07;2019;147,10;302.677;63.673.090
Mar;06;2019;147,04;192.520;63.645.615
Mar;05;2019;147,20;264.055;63.712.335
Mar;04;2019;135,19;266.581;58.517.480
Mar;03;2019;146,54;306.150;63.427.775
Mar;02;2019;143,31;334.922;62.031.985
Mar;01;2019;142,39;248.868;62.877.256
Feb;28;2019;146,73;281.945;64.795.003
Feb;27;2019;143,95;322.645;69.318.322
Feb;26;2019;139,24;199.232;67.028.019
Feb;25;2019;140,95;401.553;67.619.207
Feb;24;2019;139,37;408.815;66.653.865
Feb;23;2019;163,63;242.872;76.598.461
Feb;22;2019;154,58;269.621;71.178.101
Feb;21;2019;146,05;287.178;65.773.217
Feb;20;2019;152,16;344.943;68.523.217
Feb;19;2019;149,74;358.382;67.431.449
Feb;18;2019;142,46;298.686;64.094.084
Feb;17;2019;124,77;390.489;56.075.173
Feb;16;2019;119,05;435.566;53.504.248
Feb;15;2019;114,69;302.491;51.534.989
Feb;14;2019;114,86;162.813;51.595.894
Feb;13;2019;120,43;199.251;54.095.413
Feb;12;2019;118,59;143.956;53.253.626
Feb;11;2019;108,24;91.004;48.597.797
Feb;10;2019;104,96;276.111;47.122.688
Feb;09;2019;105,95;237.953;47.568.266
Feb;08;2019;102,52;149.792;46.026.321
Feb;07;2019;94,17;122.012;42.279.549
Feb;06;2019;94,37;124.674;42.370.571
Feb;05;2019;96,29;104.021;43.229.592
Feb;04;2019;95,63;103.292;42.767.498
Feb;03;2019;94,82;94.406;42.406.336
Feb;02;2019;95,20;78.868;42.573.890
Feb;01;2019;94,07;369.395;42.068.268
Jan;31;2019;93,92;1.338.817;41.999.914
Jan;30;2019;93,96;570.890;42.015.634
Jan;29;2019;93,21;325.163;41.679.170
Jan;28;2019;96,07;18.226;42.957.591
Jan;27;2019;98,98;3.740;44.256.668
Jan;26;2019;101,02;5.980;45.166.740
Jan;25;2019;108,54;32.056;48.529.888
Jan;24;2019;103,44;5.116;46.248.337
Jan;23;2019;113,43;30.691;50.717.016
Jan;22;2019;117,88;11.447;52.628.464
Jan;21;2019;116,68;96.637;52.085.335
Jan;20;2019;99,68;7.530;44.482.970
Jan;19;2019;104,08;18.834;46.446.744
Jan;18;2019;100,50;17.686;44.852.653
Jan;17;2019;100,06;12.066;44.649.782
Jan;16;2019;97,22;1.574;43.385.734
Jan;15;2019;95,93;2.922;42.804.255
Jan;14;2019;99,15;13.781;44.242.197
Jan;13;2019;92,29;4.904;41.181.341
Jan;12;2019;94,80;13.932;42.295.624
Jan;11;2019;94,82;28.051;42.295.645
Jan;10;2019;95,73;25.584;42.670.871
Jan;09;2019;109,97;15.455;49.016.227
Jan;08;2019;98,35;9.700;43.837.924
Jan;07;2019;95,96;3.238;42.753.788
Jan;06;2019;97,49;9.164;43.437.208
Jan;05;2019;93,00;10.435;41.434.375
Jan;04;2019;94,39;58.492;42.056.355
Jan;03;2019;91,26;33.699;40.662.129
Jan;02;2019;97,86;70.370;43.599.643
Jan;01;2019;88,83;33.608;39.577.285
Dec;31;2018;86,26;56.077;38.433.011
Dec;30;2018;85,37;87;38.034.427
Dec;29;2018;84,49;12.710;37.636.407
Dec;28;2018;78,72;248;35.069.442
Dec;27;2018;78,03;2.220;34.760.524
Dec;26;2018;83,26;7.041;37.087.002
Dec;25;2018;82,49;726;36.745.263
Dec;24;2018;90,51;3.981;40.318.492
Dec;23;2018;90,10;16.341;40.132.915
Dec;22;2018;82,32;6.119;36.668.894
Dec;21;2018;81,81;1.179;36.441.877
Dec;20;2018;86,38;2.617;38.476.353
Dec;19;2018;83,13;9.751;37.012.061
Dec;18;2018;80,73;1.518;35.924.294
Dec;17;2018;78,36;2.957;34.867.720
Dec;16;2018;68,21;6.694;30.345.975
Dec;15;2018;60,98;2.482;27.132.342
Dec;14;2018;63,15;1.650;28.098.880
Dec;13;2018;63,56;2.896;28.276.890
Dec;12;2018;66,21;14.060;29.459.060
Dec;11;2018;64,46;2.262;28.675.159
Dec;10;2018;63,08;3.935;28.052.785
Dec;09;2018;67,69;2.801;30.104.015
Dec;08;2018;60,46;3.964;26.887.366
Dec;07;2018;56,39;24.385;25.078.273
