Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;0,808365;14.173.672;55.905.841
Apr;10;2019;0,924054;17.941.788;64.818.141
Apr;09;2019;0,923232;23.092.169;64.286.265
Apr;08;2019;0,918673;17.535.993;63.955.536
Apr;07;2019;0,947108;5.618.176;65.921.874
Apr;06;2019;0,948533;12.206.378;66.007.373
Apr;05;2019;0,920578;3.813.825;64.049.384
Apr;04;2019;0,895561;6.571.701;62.295.786
Apr;03;2019;0,899456;11.949.723;62.554.465
Apr;02;2019;0,967722;22.990.734;67.281.285
Apr;01;2019;0,893919;11.097.472;62.144.206
Mar;31;2019;0,838940;28.639.723;58.310.677
Mar;30;2019;0,799839;14.233.390;55.581.293
Mar;29;2019;0,758407;20.281.558;52.690.448
Mar;28;2019;0,762541;44.352.296;50.678.937
Mar;27;2019;0,743015;87.367.327;49.371.477
Mar;26;2019;0,630056;9.512.238;40.710.490
Mar;25;2019;0,616950;10.466.137;39.847.888
Mar;24;2019;0,634447;9.008.851;40.975.784
Mar;23;2019;0,646021;22.525.982;41.713.949
Mar;22;2019;0,674354;27.824.462;43.528.375
Mar;21;2019;0,556172;8.466.746;35.896.768
Mar;20;2019;0,588005;14.700.120;37.930.334
Mar;19;2019;0,577721;9.642.570;37.259.048
Mar;18;2019;0,573878;6.864.164;37.003.300
Mar;17;2019;0,578681;4.469.282;37.305.103
Mar;16;2019;0,579139;12.431.436;37.326.667
Mar;15;2019;0,564400;13.664.071;36.366.843
Mar;14;2019;0,569711;38.479.448;36.701.005
Mar;13;2019;0,522396;3.795.271;33.645.851
Mar;12;2019;0,511209;2.922.413;32.918.333
Mar;11;2019;0,496227;9.338.676;31.946.837
Mar;10;2019;0,526426;37.128.220;34.410.269
Mar;09;2019;0,607991;58.455.650;39.733.426
Mar;08;2019;0,433954;3.289.144;28.353.657
Mar;07;2019;0,438523;2.098.743;28.645.855
Mar;06;2019;0,432008;2.490.479;28.214.360
Mar;05;2019;0,420492;5.484.171;27.456.341
Mar;04;2019;0,422704;4.824.563;27.595.033
Mar;03;2019;0,417427;1.766.261;27.244.852
Mar;02;2019;0,419023;2.169.572;27.343.372
Mar;01;2019;0,423924;2.782.179;26.896.817
Feb;28;2019;0,426520;3.643.751;27.054.906
Feb;27;2019;0,417168;3.857.378;26.455.999
Feb;26;2019;0,419680;2.959.675;26.609.595
Feb;25;2019;0,416572;3.505.121;26.406.790
Feb;24;2019;0,406038;6.393.663;25.611.764
Feb;23;2019;0,458660;6.693.912;28.924.790
Feb;22;2019;0,440854;4.010.289;27.793.864
Feb;21;2019;0,447986;3.095.061;28.237.386
Feb;20;2019;0,462108;4.256.957;28.880.905
Feb;19;2019;0,441594;3.327.183;27.592.720
Feb;18;2019;0,437703;6.366.584;27.343.589
Feb;17;2019;0,421662;11.145.661;26.335.696
Feb;16;2019;0,404754;16.751.474;25.273.856
Feb;15;2019;0,403100;2.973.290;25.165.047
Feb;14;2019;0,407205;2.625.445;25.415.732
