Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;0,916926;694.702;52.064.104
Apr;10;2019;0,972236;1.317.333;55.204.669
Apr;09;2019;1,01;495.753;57.362.787
Apr;08;2019;1,03;1.161.738;58.215.023
Apr;07;2019;1,05;959.456;59.692.668
Apr;06;2019;1,04;1.730.402;58.941.237
Apr;05;2019;1,02;502.818;58.104.103
Apr;04;2019;0,997951;761.059;56.664.820
Apr;03;2019;1,02;4.715.762;57.790.688
Apr;02;2019;1,05;6.817.718;59.397.895
Apr;01;2019;0,957321;3.221.856;54.357.779
Mar;31;2019;0,940153;8.319.583;53.382.983
Mar;30;2019;0,909439;2.350.661;51.639.024
Mar;29;2019;0,905799;4.432.707;51.432.311
Mar;28;2019;0,945155;4.628.775;53.666.983
Mar;27;2019;0,947643;2.612.487;53.808.255
Mar;26;2019;0,925802;1.640.252;52.568.091
Mar;25;2019;0,849136;1.518.392;48.214.940
Mar;24;2019;0,853869;849.045;48.483.699
Mar;23;2019;0,842441;636.179;47.834.761
Mar;22;2019;0,824451;570.817;46.813.271
Mar;21;2019;0,809282;1.641.868;45.951.969
Mar;20;2019;0,843500;764.270;47.894.887
Mar;19;2019;0,835459;464.514;47.438.354
Mar;18;2019;0,834053;550.873;47.358.501
Mar;17;2019;0,831026;330.666;47.186.653
Mar;16;2019;0,850303;724.700;48.281.190
Mar;15;2019;0,856740;1.088.183;48.646.675
Mar;14;2019;0,847334;5.948.846;48.112.626
Mar;13;2019;0,890737;8.115.178;50.577.063
Mar;12;2019;0,823726;5.261.206;46.772.147
Mar;11;2019;0,779301;1.612.454;44.249.597
Mar;10;2019;0,793475;546.933;45.054.452
Mar;09;2019;0,772481;498.514;43.862.397
Mar;08;2019;0,770315;476.407;43.739.390
Mar;07;2019;0,769796;397.128;43.709.937
Mar;06;2019;0,770930;578.159;43.774.301
Mar;05;2019;0,788200;1.018.965;44.754.928
Mar;04;2019;0,783176;2.365.353;44.469.653
Mar;03;2019;0,764209;978.271;43.392.657
Mar;02;2019;0,752879;165.304;42.749.320
Mar;01;2019;0,757598;172.485;43.017.301
Feb;28;2019;0,738864;217.413;41.953.547
Feb;27;2019;0,744811;514.847;42.291.225
Feb;26;2019;0,747429;297.906;42.439.897
Feb;25;2019;0,748086;167.007;42.477.186
Feb;24;2019;0,721528;497.945;40.969.206
Feb;23;2019;0,801777;314.748;45.525.860
Feb;22;2019;0,786796;315.291;44.675.217
Feb;21;2019;0,784492;1.108.707;44.544.396
Feb;20;2019;0,799361;454.284;45.388.625
Feb;19;2019;0,797781;945.637;45.298.924
Feb;18;2019;0,777110;1.372.409;44.125.185
Feb;17;2019;0,749318;3.413.936;42.547.154
Feb;16;2019;0,706818;820.573;40.133.939
Feb;15;2019;0,706284;317.036;40.103.656
Feb;14;2019;0,699939;383.203;39.743.366
Feb;13;2019;0,715854;499.977;40.647.042
Feb;12;2019;0,720720;605.098;40.923.325
Feb;11;2019;0,715838;960.882;40.646.107
Feb;10;2019;0,722586;1.942.245;41.029.294
Feb;09;2019;0,696006;1.103.783;39.520.028
Feb;08;2019;0,690418;2.227.422;39.202.717
Feb;07;2019;0,639903;483.374;36.334.461
Feb;06;2019;0,625181;369.328;35.498.493
Feb;05;2019;0,642898;194.514;36.504.503
Feb;04;2019;0,660228;203.487;37.488.493
Feb;03;2019;0,650313;160.997;36.925.549
Feb;02;2019;0,669350;293.234;38.006.480
Feb;01;2019;0,659739;423.594;37.460.736
Jan;31;2019;0,642155;367.295;36.462.307
Jan;30;2019;0,695419;654.894;39.486.687
Jan;29;2019;0,690188;197.415;39.189.678
Jan;28;2019;0,672644;499.439;38.193.508
Jan;27;2019;0,735005;457.760;41.734.460
Jan;26;2019;0,773065;236.715;43.895.538
Jan;25;2019;0,773821;745.896;43.938.443
Jan;24;2019;0,809586;2.626.438;45.969.263
Jan;23;2019;0,752838;402.798;42.747.045
Jan;22;2019;0,744255;271.226;42.259.669
Jan;21;2019;0,736881;381.802;41.840.934
Jan;20;2019;0,739354;392.560;41.981.356
Jan;19;2019;0,797294;540.578;45.271.255
Jan;18;2019;0,766209;386.485;43.506.255
Jan;17;2019;0,782213;510.657;44.414.979
Jan;16;2019;0,772771;415.299;43.878.843
Jan;15;2019;0,747099;568.628;42.421.125
Jan;14;2019;0,798594;645.264;45.345.092
Jan;13;2019;0,726114;1.144.982;41.229.587
Jan;12;2019;0,763519;431.701;43.353.519
Jan;11;2019;0,761002;372.223;43.210.559
Jan;10;2019;0,753399;959.611;42.778.867
Jan;09;2019;0,897955;1.447.802;50.986.913
Jan;08;2019;0,876829;677.695;49.787.362
Jan;07;2019;0,850601;594.162;48.298.130
Jan;06;2019;0,896523;1.428.173;50.905.596
Jan;05;2019;0,890816;3.948.080;50.581.562
Jan;04;2019;0,911155;1.297.609;51.736.434
Jan;03;2019;0,829239;886.720;47.085.154
Jan;02;2019;0,883653;947.533;50.174.867
Jan;01;2019;0,852924;1.071.988;48.430.006
Dec;31;2018;0,861243;2.765.503;48.902.406
Dec;30;2018;1,02;15.346.238;58.124.207
Dec;29;2018;0,807914;3.388.624;45.874.280
Dec;28;2018;0,731794;403.724;41.552.105
Dec;27;2018;0,676592;656.141;38.417.702
Dec;26;2018;0,749808;452.912;42.574.970
Dec;25;2018;0,770996;1.135.925;43.778.062
Dec;24;2018;0,899138;6.726.547;51.054.107
Dec;23;2018;0,919331;3.448.758;52.200.671
Dec;22;2018;0,626170;289.197;35.554.677
Dec;21;2018;0,603859;543.836;34.287.832
Dec;20;2018;0,683338;1.413.990;38.800.703
Dec;19;2018;0,563160;446.171;31.976.900
Dec;18;2018;0,546099;357.647;31.008.129
Dec;17;2018;0,527401;171.350;29.946.425
Dec;16;2018;0,479649;123.307;27.235.017
