Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;0,000670;4.994.821;130.385.136
Apr;10;2019;0,000739;4.994.684;143.830.911
Apr;09;2019;0,000751;6.405.223;146.147.331
Apr;08;2019;0,000747;9.986.560;145.333.590
Apr;07;2019;0,000755;39.682.791;146.916.363
Apr;06;2019;0,000783;39.608.955;152.399.268
Apr;05;2019;0,000769;77.964.660;149.645.057
Apr;04;2019;0,000651;5.486.147;126.767.192
Apr;03;2019;0,000669;5.754.633;131.814.324
Apr;02;2019;0,000695;8.132.209;121.937.660
Apr;01;2019;0,000626;5.543.199;109.895.326
Mar;31;2019;0,000639;7.006.601;112.186.547
Mar;30;2019;0,000634;1.636.140;111.015.797
Mar;29;2019;0,000629;3.388.595;110.185.390
Mar;28;2019;0,000644;4.279.557;112.821.806
Mar;27;2019;0,000629;3.676.154;110.134.819
Mar;26;2019;0,000618;6.465.268;108.095.463
Mar;25;2019;0,000632;7.783.522;110.484.440
Mar;24;2019;0,000606;1.729.502;105.785.719
Mar;23;2019;0,000615;1.800.438;107.221.250
Mar;22;2019;0,000621;1.707.143;108.252.922
Mar;21;2019;0,000629;2.036.093;109.671.412
Mar;20;2019;0,000634;2.213.111;110.660.851
Mar;19;2019;0,000632;2.758.181;110.200.875
Mar;18;2019;0,000647;3.695.089;112.876.184
Mar;17;2019;0,000660;2.293.210;115.143.309
Mar;16;2019;0,000664;2.540.763;115.844.892
Mar;15;2019;0,000637;2.728.280;111.055.033
Mar;14;2019;0,000637;3.669.886;111.045.956
Mar;13;2019;0,000639;3.118.880;111.432.393
Mar;12;2019;0,000634;2.876.424;108.040.336
Mar;11;2019;0,000628;2.850.295;106.958.864
Mar;10;2019;0,000635;3.938.010;108.122.398
Mar;09;2019;0,000636;3.758.978;108.283.517
Mar;08;2019;0,000624;4.578.258;106.349.062
Mar;07;2019;0,000650;2.849.283;110.673.426
Mar;06;2019;0,000664;3.449.513;113.149.856
Mar;05;2019;0,000669;3.572.867;113.945.973
Mar;04;2019;0,000654;4.403.340;111.431.383
Mar;03;2019;0,000673;3.803.167;114.681.090
Mar;02;2019;0,000663;3.043.648;112.969.934
Mar;01;2019;0,000689;7.351.554;117.294.122
Feb;28;2019;0,000708;30.170.020;120.688.779
Feb;27;2019;0,000768;23.376.668;130.810.419
Feb;26;2019;0,000684;3.923.370;116.447.724
Feb;25;2019;0,000677;3.926.858;115.342.855
Feb;24;2019;0,000618;2.529.030;105.332.738
Feb;23;2019;0,000700;2.325.817;119.306.138
Feb;22;2019;0,000696;2.114.689;118.467.852
Feb;21;2019;0,000678;3.167.336;115.250.198
Feb;20;2019;0,000692;2.840.701;117.642.499
Feb;19;2019;0,000697;4.889.603;118.609.831
Feb;18;2019;0,000711;9.421.306;120.885.513
Feb;17;2019;0,000642;4.807.713;109.243.930
Feb;16;2019;0,000660;3.583.387;112.291.094
Feb;15;2019;0,000705;5.946.070;119.965.665
Feb;14;2019;0,000659;5.185.226;112.041.179
Feb;13;2019;0,000676;4.250.227;115.054.951
Feb;12;2019;0,000688;13.002.982;116.968.624
Feb;11;2019;0,000648;4.721.770;110.167.017
Feb;10;2019;0,000642;4.019.086;109.268.162
Feb;09;2019;0,000620;3.823.507;105.447.349
Feb;08;2019;0,000607;7.290.167;103.299.834
Feb;07;2019;0,000593;4.258.238;100.888.493
Feb;06;2019;0,000604;8.681.772;102.737.120
Feb;05;2019;0,000658;23.428.267;111.846.223
Feb;04;2019;0,000622;8.368.687;105.778.845
Feb;03;2019;0,000553;3.373.989;94.023.030
Feb;02;2019;0,000587;4.100.502;99.795.759
Feb;01;2019;0,000597;5.062.110;99.512.176
Jan;31;2019;0,000578;8.257.364;96.282.392
Jan;30;2019;0,000639;6.306.853;106.410.076
Jan;29;2019;0,000651;10.460.917;108.462.471
Jan;28;2019;0,000629;25.824.213;104.738.240
Jan;27;2019;0,000708;19.973.603;117.989.821
Jan;26;2019;0,000572;3.849.724;95.294.828
Jan;25;2019;0,000541;9.943.697;90.140.922
Jan;24;2019;0,000566;17.043.160;94.310.781
Jan;23;2019;0,000465;3.143.730;77.499.858
Jan;22;2019;0,000467;3.278.146;77.755.195
Jan;21;2019;0,000473;3.510.520;78.776.415
Jan;20;2019;0,000492;6.431.527;81.904.745
Jan;19;2019;0,000459;3.739.496;76.549.271
Jan;18;2019;0,000435;2.603.040;72.448.607
Jan;17;2019;0,000468;1.172.925;77.992.592
Jan;16;2019;0,000446;1.070.878;74.321.116
Jan;15;2019;0,000438;1.849.290;72.937.183
Jan;14;2019;0,000461;2.154.660;76.789.790
Jan;13;2019;0,000414;1.167.969;68.936.769
Jan;12;2019;0,000444;2.101.759;73.984.246
Jan;11;2019;0,000444;2.548.165;74.027.940
Jan;10;2019;0,000431;2.735.280;71.807.970
Jan;09;2019;0,000519;4.136.858;86.438.151
Jan;08;2019;0,000552;8.441.343;91.939.666
Jan;07;2019;0,000457;1.316.231;76.090.504
Jan;06;2019;0,000459;1.575.125;76.426.386
Jan;05;2019;0,000444;1.164.009;74.026.496
Jan;04;2019;0,000456;3.616.733;76.023.634
Jan;03;2019;0,000451;1.816.719;75.218.149
Jan;02;2019;0,000445;1.273.569;74.191.583
Jan;01;2019;0,000439;1.327.383;68.159.330
Dec;31;2018;0,000432;2.005.448;67.096.020
Dec;30;2018;0,000470;2.435.033;73.038.726
Dec;29;2018;0,000446;2.503.485;69.362.962
Dec;28;2018;0,000489;9.691.612;75.948.805
Dec;27;2018;0,000498;1.311.591;77.317.855
Dec;26;2018;0,000542;1.700.493;84.021.988
Dec;25;2018;0,000536;1.963.201;83.060.268
Dec;24;2018;0,000573;2.429.212;88.914.120
Dec;23;2018;0,000595;1.070.756;91.911.807
Dec;22;2018;0,000566;1.249.522;87.549.797
Dec;21;2018;0,000552;2.213.917;85.298.939
Dec;20;2018;0,000581;3.360.379;89.761.441
Dec;19;2018;0,000530;2.142.563;81.853.405
Dec;18;2018;0,000551;1.360.409;85.083.295
Dec;17;2018;0,000531;2.169.655;81.946.660
Dec;16;2018;0,000485;1.490.204;74.836.330
Dec;15;2018;0,000475;590.943;73.324.269
Dec;14;2018;0,000469;927.980;72.400.993
Dec;13;2018;0,000496;1.033.549;76.682.125
Dec;12;2018;0,000536;849.845;82.756.969
Dec;11;2018;0,000532;1.691.298;82.136.870
Dec;10;2018;0,000524;1.516.101;80.995.389
Dec;09;2018;0,000562;888.994;86.754.644
Dec;08;2018;0,000554;1.387.198;85.513.545
Dec;07;2018;0,000542;2.548.340;83.687.470
Dec;06;2018;0,000547;2.354.937;84.475.468
