Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;2,96;185.360.597;264.479.783
Apr;10;2019;3,30;165.419.833;294.916.681
Apr;09;2019;3,32;161.452.052;296.777.217
Apr;08;2019;3,49;246.971.549;312.235.473
Apr;07;2019;3,63;344.380.759;324.569.946
Apr;06;2019;3,30;173.743.580;294.997.719
Apr;05;2019;3,38;205.139.576;301.931.594
Apr;04;2019;3,18;246.812.781;284.550.448
Apr;03;2019;3,23;499.521.871;288.319.350
Apr;02;2019;3,29;308.767.172;294.228.296
Apr;01;2019;2,99;159.691.792;266.768.636
Mar;31;2019;2,93;233.312.110;261.652.344
Mar;30;2019;2,78;144.447.594;248.117.945
Mar;29;2019;2,71;142.735.121;242.100.012
Mar;28;2019;2,67;263.919.654;238.672.271
Mar;27;2019;2,61;146.390.711;233.221.484
Mar;26;2019;2,50;175.250.802;223.150.821
Mar;25;2019;2,51;135.660.998;223.866.410
Mar;24;2019;2,61;143.647.945;233.150.637
Mar;23;2019;2,68;174.779.088;239.656.383
Mar;22;2019;2,55;167.519.854;227.483.722
Mar;21;2019;2,49;224.275.545;222.872.303
Mar;20;2019;2,55;413.684.457;227.407.998
Mar;19;2019;2,53;179.215.457;226.285.869
Mar;18;2019;2,50;190.636.143;223.471.569
Mar;17;2019;2,52;239.097.225;224.825.973
Mar;16;2019;2,52;234.012.532;225.086.654
Mar;15;2019;2,56;227.469.291;229.017.226
Mar;14;2019;2,72;2.126.100.128;243.265.852
Mar;13;2019;2,15;335.052.376;191.921.260
Mar;12;2019;2,16;203.253.019;192.699.136
Mar;11;2019;2,08;303.984.325;186.047.476
Mar;10;2019;2,16;193.189.342;192.917.511
Mar;09;2019;2,20;290.739.852;196.690.726
Mar;08;2019;2,11;288.162.746;188.506.055
Mar;07;2019;2,09;205.498.327;186.339.340
Mar;06;2019;2,08;192.818.511;185.395.414
Mar;05;2019;2,08;216.860.391;186.022.781
Mar;04;2019;1,97;223.293.075;176.177.175
Mar;03;2019;2,07;137.899.259;184.722.343
Mar;02;2019;2,09;179.572.170;186.652.485
Mar;01;2019;2,13;180.670.626;190.474.973
Feb;28;2019;2,09;230.401.363;186.650.359
Feb;27;2019;2,09;204.158.879;186.190.246
Feb;26;2019;2,09;187.156.829;186.177.730
Feb;25;2019;2,11;226.276.074;188.447.380
Feb;24;2019;2,04;455.708.719;182.499.758
Feb;23;2019;2,39;495.118.008;213.589.516
Feb;22;2019;2,13;187.748.503;190.449.008
Feb;21;2019;2,08;211.911.204;185.797.199
Feb;20;2019;2,18;256.717.468;194.186.985
Feb;19;2019;2,14;331.818.492;191.218.018
Feb;18;2019;2,12;317.847.186;189.671.851
Feb;17;2019;1,97;152.926.390;175.598.954
Feb;16;2019;1,94;163.395.137;173.266.813
Feb;15;2019;1,91;217.586.422;170.808.211
Feb;14;2019;1,90;167.089.354;169.660.209
Feb;13;2019;1,92;203.080.113;171.430.100
Feb;12;2019;1,96;190.273.429;174.844.315
Feb;11;2019;1,92;246.346.176;171.227.606
Feb;10;2019;1,96;129.975.157;175.209.584
Feb;09;2019;1,95;143.925.109;173.582.162
