Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;0,937473;4.534.222;621.692.249
Apr;10;2019;1,02;4.767.004;677.893.974
Apr;09;2019;0,939958;5.204.779;624.517.832
Apr;08;2019;0,936641;7.784.289;621.282.752
Apr;07;2019;0,977848;6.017.800;647.560.148
Apr;06;2019;0,960346;6.626.631;638.181.631
Apr;05;2019;1,02;8.618.245;675.611.949
Apr;04;2019;0,865498;8.582.839;573.285.374
Apr;03;2019;0,945043;8.329.667;628.179.638
Apr;02;2019;1,02;9.297.473;678.087.695
Apr;01;2019;0,982625;6.807.342;650.994.455
Mar;31;2019;1,06;8.951.421;704.639.139
Mar;30;2019;0,947560;4.314.599;628.905.003
Mar;29;2019;0,896609;8.197.917;594.080.079
Mar;28;2019;0,788943;4.956.700;524.552.175
Mar;27;2019;0,724971;2.937.562;481.208.740
Mar;26;2019;0,671928;2.548.318;445.240.788
Mar;25;2019;0,685899;3.905.513;456.085.088
Mar;24;2019;0,671714;3.313.285;445.899.002
Mar;23;2019;0,728958;3.785.229;483.078.629
Mar;22;2019;0,753382;6.406.358;501.025.722
Mar;21;2019;0,833034;11.691.539;552.557.969
Mar;20;2019;0,642404;8.920.631;390.253.615
Mar;19;2019;0,595454;8.245.966;361.731.570
Mar;18;2019;0,495810;5.525.118;301.199.111
Mar;17;2019;0,494686;5.422.359;300.516.446
Mar;16;2019;0,504310;6.822.114;306.363.086
Mar;15;2019;0,452486;5.032.533;274.880.457
Mar;14;2019;0,448842;5.568.959;272.666.718
Mar;13;2019;0,453465;4.759.526;275.474.868
Mar;12;2019;0,458630;5.170.766;278.612.540
Mar;11;2019;0,453566;5.460.803;275.536.385
Mar;10;2019;0,453918;6.465.065;275.750.089
Mar;09;2019;0,417429;4.670.527;253.583.438
Mar;08;2019;0,411166;5.101.664;249.779.105
Mar;07;2019;0,417988;5.129.994;253.922.998
Mar;06;2019;0,419850;4.784.500;255.054.371
Mar;05;2019;0,419979;4.415.497;255.132.716
Mar;04;2019;0,405765;4.848.080;246.497.631
Mar;03;2019;0,405318;4.894.782;246.226.141
Mar;02;2019;0,406324;4.317.693;246.837.105
Mar;01;2019;0,411654;5.116.450;250.075.551
Feb;28;2019;0,410030;3.289.303;249.088.934
Feb;27;2019;0,411866;5.092.529;250.203.994
Feb;26;2019;0,407840;4.253.910;247.758.217
Feb;25;2019;0,430430;3.388.040;261.481.246
Feb;24;2019;0,425359;3.448.860;258.400.841
Feb;23;2019;0,451031;3.987.855;273.996.489
Feb;22;2019;0,446460;3.525.863;271.219.483
Feb;21;2019;0,438406;2.258.275;266.327.091
Feb;20;2019;0,463852;1.901.814;281.785.061
Feb;19;2019;0,451244;2.570.898;274.125.632
Feb;18;2019;0,453744;2.812.974;275.644.676
Feb;17;2019;0,436943;1.865.190;265.438.343
Feb;16;2019;0,433065;2.263.298;263.081.992
Feb;15;2019;0,448514;2.579.809;272.467.401
Feb;14;2019;0,411214;2.417.774;249.808.271
Feb;13;2019;0,394754;1.872.066;239.808.548
Feb;12;2019;0,389957;2.423.798;236.894.597
Feb;11;2019;0,383347;2.666.256;232.878.819
Feb;10;2019;0,379014;2.737.184;230.246.635
Feb;09;2019;0,379750;1.639.116;230.693.936
Feb;08;2019;0,387649;3.215.684;235.492.797
Feb;07;2019;0,363864;931.032;221.043.271
Feb;06;2019;0,367485;5.215.259;223.243.062
Feb;05;2019;0,371490;2.195.289;225.676.110
Feb;04;2019;0,369976;9.201.165;224.756.073
Feb;03;2019;0,373650;3.472.421;226.988.236
Feb;02;2019;0,381045;1.902.184;231.480.460
Feb;01;2019;0,382546;3.983.833;232.392.407
Jan;31;2019;0,378969;2.498.650;230.219.585
Jan;30;2019;0,379684;2.950.624;230.654.150
Jan;29;2019;0,372959;2.254.263;226.568.540
Jan;28;2019;0,378758;2.637.806;230.091.268
Jan;27;2019;0,402173;1.631.404;244.315.648
Jan;26;2019;0,410441;1.336.560;249.338.320
Jan;25;2019;0,414860;1.335.099;252.022.887
Jan;24;2019;0,419585;1.166.729;254.893.227
Jan;23;2019;0,425347;803.176;258.393.550
Jan;22;2019;0,423890;921.641;257.508.560
Jan;21;2019;0,423494;1.106.419;257.267.880
Jan;20;2019;0,428458;573.281;260.283.695
Jan;19;2019;0,437358;573.952;265.690.163
Jan;18;2019;0,437198;486.342;265.593.204
Jan;17;2019;0,427025;472.249;259.413.304
Jan;16;2019;0,424904;514.023;258.124.771
Jan;15;2019;0,407958;551.739;247.829.979
Jan;14;2019;0,416643;479.148;253.106.093
Jan;13;2019;0,394705;709.305;239.778.739
Jan;12;2019;0,424779;654.672;258.048.387
Jan;11;2019;0,449763;559.924;273.226.269
Jan;10;2019;0,452833;766.981;275.090.901
Jan;09;2019;0,495942;841.152;301.279.460
Jan;08;2019;0,484993;3.420.650;294.627.647
Jan;07;2019;0,481431;3.489.123;292.464.195
Jan;06;2019;0,484338;3.190.480;294.229.729
Jan;05;2019;0,483224;3.193.352;293.553.472
Jan;04;2019;0,483029;3.284.328;293.434.817
Jan;03;2019;0,482134;3.296.793;292.890.866
Jan;02;2019;0,485319;3.754.443;294.826.017
Jan;01;2019;0,474699;714.132;288.374.540
Dec;31;2018;0,462627;955.456;281.040.876
Dec;30;2018;0,498225;697.478;302.665.931
Dec;29;2018;0,510319;792.592;310.013.434
Dec;28;2018;0,508607;1.103.081;308.973.464
Dec;27;2018;0,470754;1.082.895;285.977.669
Dec;26;2018;0,522848;1.003.902;317.624.655
Dec;25;2018;0,494854;1.147.199;300.618.183
Dec;24;2018;0,533601;1.668.743;324.156.788
Dec;23;2018;0,513080;1.535.172;311.690.199
Dec;22;2018;0,469056;1.425.000;284.946.253
Dec;21;2018;0,461004;6.211.060;280.055.033
Dec;20;2018;0,471885;2.231.651;286.665.209
Dec;19;2018;0,447585;2.234.261;271.902.941
Dec;18;2018;0,437695;1.723.213;265.895.131
Dec;17;2018;0,419180;1.343.785;254.647.153
Dec;16;2018;0,394124;1.288.737;239.425.842
Dec;15;2018;0,389047;1.220.841;236.341.665
Dec;14;2018;0,373220;1.370.393;226.727.003
Dec;13;2018;0,372124;2.968.587;226.061.341
Dec;12;2018;0,416208;2.203.439;252.841.506
Dec;11;2018;0,364371;1.307.337;221.351.450
Dec;10;2018;0,360835;1.605.744;219.203.148
Dec;09;2018;0,404799;1.859.805;245.911.010
Dec;08;2018;0,394316;1.704.652;239.542.619
Dec;07;2018;0,371269;2.227.206;225.541.698
Dec;06;2018;0,349233;3.179.878;212.155.168
Dec;05;2018;0,390559;2.207.202;237.260.129
Dec;04;2018;0,435813;2.083.554;264.751.630
Dec;03;2018;0,439967;1.819.190;267.275.397
Dec;02;2018;0,492278;1.529.055;299.053.526
Dec;01;2018;0,512867;2.132.419;311.561.385
Nov;30;2018;0,494958;2.434.212;300.681.495
Nov;29;2018;0,563074;3.965.433;342.061.272
Nov;28;2018;0,582040;3.260.040;353.582.921
Nov;27;2018;0,565361;1.532.900;343.450.612
Nov;26;2018;0,568549;2.070.780;345.387.287
Nov;25;2018;0,589565;2.885.020;358.154.276
Nov;24;2018;0,566895;1.574.140;344.382.500
Nov;23;2018;0,634923;2.743.590;385.708.764
Nov;22;2018;0,685665;1.760.280;416.533.973
Nov;21;2018;0,721510;3.232.420;438.309.418
Nov;20;2018;0,715623;5.770.870;434.733.130
Nov;19;2018;0,829125;4.532.120;503.684.351
Nov;18;2018;1,08;1.987.790;658.645.693
Nov;17;2018;1,09;1.862.270;663.876.174
Nov;16;2018;1,11;2.508.770;675.697.910
Nov;15;2018;1,11;3.354.020;675.375.941
Nov;14;2018;1,12;3.778.580;678.978.351
Nov;13;2018;1,24;2.521.740;755.910.763
Nov;12;2018;1,27;3.230.420;769.585.342
Nov;11;2018;1,32;2.345.040;800.020.543
Nov;10;2018;1,31;2.562.070;794.911.560
Nov;09;2018;1,29;2.729.800;786.303.440
Nov;08;2018;1,32;3.224.060;800.154.190
Nov;07;2018;1,33;2.605.570;806.994.517
Nov;06;2018;1,33;2.884.510;809.187.552
Nov;05;2018;1,31;3.656.250;794.632.115
Nov;04;2018;1,33;1.626.250;805.980.010
Nov;03;2018;1,31;1.447.520;798.690.142
Nov;02;2018;1,31;2.312.990;794.711.088
Nov;01;2018;1,31;2.314.640;793.240.965
Oct;31;2018;1,28;2.135.600;779.499.563
Oct;30;2018;1,28;1.804.820;778.618.704
Oct;29;2018;1,28;2.355.900;777.543.448
Oct;28;2018;1,35;820.245;822.795.307
Oct;27;2018;1,35;1.038.920;819.241.496
Oct;26;2018;1,37;2.047.160;829.295.440
Oct;25;2018;1,35;1.622.770;818.129.791
Oct;24;2018;1,34;1.871.920;812.546.967
Oct;23;2018;1,38;2.513.170;839.428.357
Oct;22;2018;1,41;2.532.760;858.132.944
Oct;21;2018;1,34;1.277.190;815.468.989
Oct;20;2018;1,31;1.309.920;797.766.758
Oct;19;2018;1,31;2.351.860;796.800.851
Oct;18;2018;1,32;2.663.220;803.465.005
Oct;17;2018;1,40;3.428.510;850.776.252
Oct;16;2018;1,47;6.030.970;891.040.626
Oct;15;2018;1,37;4.359.540;834.562.369
Oct;14;2018;1,22;1.394.990;741.051.581
Oct;13;2018;1,24;1.020.920;755.977.587
Oct;12;2018;1,25;1.716.960;757.314.063
Oct;11;2018;1,24;2.117.670;752.770.045
Oct;10;2018;1,37;1.812.420;830.644.065
Oct;09;2018;1,40;1.850.760;849.865.018
Oct;08;2018;1,36;1.774.140;825.358.911
Oct;07;2018;1,32;781.157;800.342.512
Oct;06;2018;1,34;1.461.850;811.192.266
Oct;05;2018;1,32;1.098.350;802.335.076
Oct;04;2018;1,30;2.028.680;791.035.780
Oct;03;2018;1,31;2.053.580;794.474.168
Oct;02;2018;1,33;1.976.820;809.108.579
Oct;01;2018;1,35;2.089.710;819.861.135
Sep;30;2018;1,42;2.073.140;865.513.936
Sep;29;2018;1,44;1.367.510;874.358.977
Sep;28;2018;1,42;2.089.150;864.311.108
Sep;27;2018;1,44;2.512.880;874.632.347
Sep;26;2018;1,45;1.523.520;879.680.581
Sep;25;2018;1,47;1.799.400;895.663.617
Sep;24;2018;1,56;2.342.190;950.538.102
Sep;23;2018;1,66;1.986.980;1.008.887.425
Sep;22;2018;1,66;2.203.730;1.009.500.989
Sep;21;2018;1,66;5.152.330;1.007.004.209
Sep;20;2018;1,71;4.128.740;1.037.153.890
Sep;19;2018;1,55;3.600.640;944.135.168
Sep;18;2018;1,51;3.049.400;915.267.289
Sep;17;2018;1,50;7.424.940;912.515.363
Sep;16;2018;1,66;2.633.080;1.008.966.398
Sep;15;2018;1,63;4.984.260;987.576.709
Sep;14;2018;1,57;5.128.230;953.198.904
Sep;13;2018;1,35;1.907.530;818.555.033
Sep;12;2018;1,26;2.205.410;766.201.628
Sep;11;2018;1,31;3.084.310;793.216.665
Sep;10;2018;1,41;3.231.710;854.876.803
Sep;09;2018;1,20;1.977.490;728.415.809
Sep;08;2018;1,15;2.234.460;699.687.653
Sep;07;2018;1,23;1.926.860;745.267.555
Sep;06;2018;1,24;2.263.090;752.034.983
Sep;05;2018;1,30;3.304.880;790.574.088
Sep;04;2018;1,44;2.008.920;874.243.554
Sep;03;2018;1,42;2.418.800;859.675.966
Sep;02;2018;1,39;1.620.730;847.392.538
Sep;01;2018;1,41;1.904.880;854.712.781
Aug;31;2018;1,36;1.726.140;826.476.690
Aug;30;2018;1,36;1.868.490;823.348.122
Aug;29;2018;1,37;1.768.070;834.173.576
Aug;28;2018;1,38;2.058.670;838.583.947
Aug;27;2018;1,35;1.737.520;820.942.465
Aug;26;2018;1,33;1.624.750;807.407.609
Aug;25;2018;1,36;1.258.870;827.199.602
Aug;24;2018;1,33;2.008.470;810.244.583
Aug;23;2018;1,32;1.976.690;804.430.913
Aug;22;2018;1,29;2.324.990;781.145.858
Aug;21;2018;1,36;4.813.760;825.905.651
Aug;20;2018;1,43;6.067.680;868.253.712
Aug;19;2018;1,37;1.689.570;833.025.422
