Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;0,006658;18.189.636;369.242.097
Apr;10;2019;0,007143;17.136.294;396.098.819
Apr;09;2019;0,007174;14.343.081;397.841.991
Apr;08;2019;0,007472;17.609.103;414.332.014
Apr;07;2019;0,007640;15.345.531;423.650.569
Apr;06;2019;0,007573;12.823.084;419.969.019
Apr;05;2019;0,007517;12.943.993;416.841.513
Apr;04;2019;0,007242;22.506.755;401.620.189
Apr;03;2019;0,007324;32.703.243;406.167.942
Apr;02;2019;0,007243;33.542.819;401.647.120
Apr;01;2019;0,006285;16.899.764;348.549.479
Mar;31;2019;0,006111;20.327.642;338.862.217
Mar;30;2019;0,005902;13.259.655;327.316.592
Mar;29;2019;0,005911;12.690.111;327.819.802
Mar;28;2019;0,005878;11.296.118;325.975.364
Mar;27;2019;0,005732;14.667.140;317.851.370
Mar;26;2019;0,005554;20.825.801;308.015.608
Mar;25;2019;0,005648;15.415.278;313.228.022
Mar;24;2019;0,005765;13.593.947;319.721.012
Mar;23;2019;0,005896;18.343.807;326.976.533
Mar;22;2019;0,005806;20.173.359;321.985.553
Mar;21;2019;0,005688;28.841.313;315.420.779
Mar;20;2019;0,005704;19.134.912;316.311.607
Mar;19;2019;0,005448;10.961.042;302.091.026
Mar;18;2019;0,005321;9.742.058;295.088.253
Mar;17;2019;0,005241;9.062.332;290.652.919
Mar;16;2019;0,005356;10.758.122;297.033.056
Mar;15;2019;0,005337;11.254.569;295.943.404
Mar;14;2019;0,005227;13.327.586;289.856.913
Mar;13;2019;0,005130;16.663.520;284.488.054
Mar;12;2019;0,005331;28.755.387;295.633.853
Mar;11;2019;0,004508;20.273.599;250.000.113
Mar;10;2019;0,004736;12.326.703;262.626.226
Mar;09;2019;0,004868;14.730.236;269.960.227
Mar;08;2019;0,004433;10.233.604;245.825.052
Mar;07;2019;0,004519;9.957.230;250.575.581
Mar;06;2019;0,004348;7.044.048;241.107.494
Mar;05;2019;0,004380;8.551.035;242.884.640
Mar;04;2019;0,004254;9.854.591;235.888.195
Mar;03;2019;0,004454;6.742.325;246.984.629
Mar;02;2019;0,004520;7.462.379;250.652.077
Mar;01;2019;0,004597;9.190.443;254.937.303
Feb;28;2019;0,004596;8.692.489;254.877.265
Feb;27;2019;0,004559;11.164.165;252.831.696
Feb;26;2019;0,004604;13.305.153;255.329.634
Feb;25;2019;0,004609;11.999.728;255.589.810
Feb;24;2019;0,004407;17.823.789;244.394.584
Feb;23;2019;0,004913;13.505.341;272.428.371
Feb;22;2019;0,004815;18.628.527;266.998.291
Feb;21;2019;0,004490;15.259.785;249.005.402
Feb;20;2019;0,004364;5.752.813;242.020.735
Feb;19;2019;0,004305;7.239.081;238.736.069
Feb;18;2019;0,004374;7.615.451;242.540.241
Feb;17;2019;0,004116;5.749.334;228.254.424
Feb;16;2019;0,004125;8.314.897;228.765.686
Feb;15;2019;0,003937;3.920.328;218.337.501
Feb;14;2019;0,003882;2.601.660;215.285.304
Feb;13;2019;0,003876;3.182.996;214.919.064
Feb;12;2019;0,003924;3.227.572;217.588.784
Feb;11;2019;0,003909;3.260.261;216.769.109
Feb;10;2019;0,004044;5.229.670;224.236.626
Feb;09;2019;0,004006;3.591.370;222.158.015
Feb;08;2019;0,003966;5.403.796;219.930.760
Feb;07;2019;0,003694;3.386.472;204.868.148
