Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;0,008748;19.727;61.918.929
Apr;10;2019;0,009197;9.672;65.097.979
Apr;09;2019;0,008796;30.936;62.264.571
Apr;08;2019;0,009416;24.938;66.652.228
Apr;07;2019;0,008379;17.090;59.313.061
Apr;06;2019;0,007505;29.120;53.126.490
Apr;05;2019;0,006444;87.851;45.614.157
Apr;04;2019;0,005455;142.727;38.610.525
Apr;03;2019;0,005706;96.857;40.388.111
Apr;02;2019;0,005294;79.316;37.472.306
Apr;01;2019;0,004393;111.772;31.096.767
Mar;31;2019;0,004300;209.132;30.438.099
Mar;30;2019;0,003543;80.915;25.079.201
Mar;29;2019;0,004386;11.108;31.047.157
Mar;28;2019;0,004567;17.020;32.324.368
Mar;27;2019;0,003498;21.038;24.762.522
Mar;26;2019;0,003411;55.712;24.142.292
Mar;25;2019;0,004202;6.091;29.745.707
Mar;24;2019;0,003146;23.757;22.271.035
Mar;23;2019;0,002702;32.122;19.128.269
Mar;22;2019;0,002682;14.738;18.983.987
Mar;21;2019;0,002542;49.914;17.991.280
Mar;20;2019;0,002596;64.420;18.377.766
Mar;19;2019;0,002429;33.033;17.195.294
Mar;18;2019;0,002309;11.152;16.342.083
Mar;17;2019;0,002048;41.052;14.497.203
Mar;16;2019;0,002038;21.947;14.424.938
Mar;15;2019;0,001884;9.073;13.336.873
Mar;14;2019;0,001898;21.670;13.432.557
Mar;13;2019;0,001386;9.264;9.809.932
Mar;12;2019;0,001412;35.843;9.994.577
Mar;11;2019;0,001632;41.361;11.550.662
Mar;10;2019;0,001542;41.910;10.911.962
Mar;09;2019;0,001486;70.962;10.521.483
Mar;08;2019;0,001249;32.640;8.840.200
Mar;07;2019;0,001447;45.904;10.241.879
Mar;06;2019;0,001513;30.589;10.710.797
Mar;05;2019;0,001674;210.972;-
Mar;04;2019;0,001764;182.581;-
Mar;03;2019;0,001860;315.424;-
Mar;02;2019;0,001832;331.260;-
Mar;01;2019;0,001875;525.222;-
Feb;28;2019;0,002000;334.023;-
Feb;27;2019;0,002052;342.066;-
Feb;26;2019;0,002107;256.503;-
Feb;25;2019;0,002331;328.495;-
Feb;24;2019;0,002442;344.474;-
Feb;23;2019;0,003095;261.848;-
Feb;22;2019;0,002976;349.366;-
Feb;21;2019;0,003040;448.968;-
Feb;20;2019;0,002885;471.376;-
Feb;19;2019;0,003138;348.225;-
Feb;18;2019;0,003547;145.502;-
Feb;17;2019;0,005093;208.224;-
Feb;16;2019;0,004453;42.407;-
Feb;15;2019;0,004200;30.542;-
Feb;14;2019;0,003893;29.365;-
Feb;13;2019;0,004209;28.497;-
Feb;12;2019;0,004556;33.334;-
Feb;11;2019;0,004621;35.348;-
Feb;10;2019;0,004365;33.022;-
Feb;09;2019;0,004104;29.566;-
Feb;08;2019;0,004330;31.727;-
Feb;07;2019;0,003400;21.450;-
Feb;06;2019;0,003375;6.023;-
Feb;05;2019;0,003500;25.353;-
Feb;04;2019;0,003774;27.025;-
Feb;03;2019;0,003353;25.858;-
Feb;02;2019;0,003584;27.986;-
Feb;01;2019;0,003555;27.117;-
Jan;31;2019;0,003592;24.259;-
Jan;30;2019;0,003623;27.120;-
Jan;29;2019;0,004365;30.519;-
Jan;28;2019;0,003948;25.178;-
Jan;27;2019;0,004219;23.331;-
Jan;26;2019;0,003850;23.358;-
Jan;25;2019;0,003819;28.631;-
Jan;24;2019;0,003891;27.993;-
Jan;23;2019;0,004227;24.421;-
Jan;22;2019;0,003712;26.901;-
Jan;21;2019;0,003680;26.743;-
Jan;20;2019;0,003776;14.046;-
Jan;19;2019;0,003690;2.269;-
Jan;18;2019;0,003618;4.905;-
Jan;17;2019;0,003604;5.952;-
Jan;16;2019;0,003578;15.383;-
Jan;15;2019;0,003485;26.543;-
Jan;14;2019;0,003587;28.132;-
Jan;13;2019;0,003475;26.803;-
Jan;12;2019;0,003510;23.930;-
Jan;11;2019;0,003459;26.792;-
Jan;10;2019;0,003413;31.392;-
Jan;09;2019;0,003750;25.080;-
Jan;08;2019;0,003987;3.692;-
Jan;07;2019;0,003941;14.357;-
Jan;06;2019;0,003833;9.254;-
Jan;05;2019;0,004756;15.437;-
Jan;04;2019;0,004475;13.937;-
Jan;03;2019;0,004794;19.988;-
Jan;02;2019;0,005509;22.628;-
Jan;01;2019;0,005896;12.931;-
Dec;31;2018;0,005992;9.380;-
Dec;30;2018;0,005717;10.129;-
Dec;29;2018;0,005425;24.589;-
Dec;28;2018;0,006019;92.456;-
Dec;27;2018;0,005470;132.742;-
Dec;26;2018;0,005789;155.391;-
Dec;25;2018;0,008138;385.750;-
Dec;24;2018;0,006154;349.708;-
Dec;23;2018;0,009396;535.606;-
Dec;22;2018;0,009277;633.411;-
Dec;21;2018;0,009194;541.958;-
Dec;20;2018;0,009572;325.367;-
Dec;19;2018;0,010883;240.360;-
Dec;18;2018;0,010852;322.061;-
Dec;17;2018;0,010472;439.764;-
Dec;16;2018;0,009713;269.015;-
Dec;15;2018;0,009382;182.908;-
Dec;14;2018;0,009488;378.049;-
Dec;13;2018;0,009864;178.262;-
Dec;12;2018;0,010152;317.042;-
Dec;11;2018;0,010445;304.720;-
Dec;10;2018;0,011067;560.031;-
Dec;09;2018;0,010959;273.804;-
Dec;08;2018;0,010615;147.980;-
Dec;07;2018;0,010498;304.168;-
Dec;06;2018;0,011851;568.765;-
Dec;05;2018;0,011136;464.063;-
Dec;04;2018;0,011828;329.616;-
Dec;03;2018;0,011556;266.148;-
Dec;02;2018;0,012247;367.548;-
Dec;01;2018;0,012374;355.881;-
Nov;30;2018;0,011796;323.315;-
Nov;29;2018;0,012706;442.610;-
Nov;28;2018;0,013093;385.617;-
Nov;27;2018;0,011153;323.695;-
Nov;26;2018;0,011082;364.356;-
Nov;25;2018;0,013018;523.220;-
Nov;24;2018;0,011520;514.367;-
Nov;23;2018;0,013614;457.886;-
Nov;22;2018;0,012726;507.284;-
Nov;21;2018;0,012862;623.894;-
Nov;20;2018;0,013276;346.333;-
Nov;19;2018;0,016517;627.219;-
Nov;18;2018;0,018759;416.182;-
Nov;17;2018;0,018404;583.291;-
Nov;16;2018;0,022259;618.305;-
Nov;15;2018;0,015679;425.843;-
