Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;0,020331;21.874.854;177.924.630
Apr;10;2019;0,022806;16.601.109;199.585.101
Apr;09;2019;0,022668;17.374.804;198.368.733
Apr;08;2019;0,024042;27.963.445;210.394.696
Apr;07;2019;0,024847;19.869.922;217.427.704
Apr;06;2019;0,025119;46.100.233;219.808.986
Apr;05;2019;0,024953;21.621.861;218.361.771
Apr;04;2019;0,022738;24.000.765;198.972.322
Apr;03;2019;0,022189;35.259.458;194.165.584
Apr;02;2019;0,022510;28.538.698;196.978.577
Apr;01;2019;0,020646;14.800.033;179.839.676
Mar;31;2019;0,020319;21.204.173;176.992.059
Mar;30;2019;0,019550;12.958.494;170.293.570
Mar;29;2019;0,019196;11.515.604;167.210.689
Mar;28;2019;0,019913;9.901.561;173.452.933
Mar;27;2019;0,019733;11.197.961;171.888.037
Mar;26;2019;0,018718;9.539.186;163.044.278
Mar;25;2019;0,019009;12.478.963;165.420.049
Mar;24;2019;0,020286;16.636.473;176.531.909
Mar;23;2019;0,019902;17.578.479;173.188.110
Mar;22;2019;0,019531;16.560.234;169.078.347
Mar;21;2019;0,018590;16.766.754;160.936.372
Mar;20;2019;0,019396;21.424.316;167.902.099
Mar;19;2019;0,018490;7.892.847;160.055.465
Mar;18;2019;0,018148;6.115.729;157.098.022
Mar;17;2019;0,018174;6.749.492;157.322.909
Mar;16;2019;0,018441;8.676.137;159.637.899
Mar;15;2019;0,018400;7.648.462;159.279.844
Mar;14;2019;0,018270;10.403.545;157.424.268
Mar;13;2019;0,018478;17.893.129;159.216.035
Mar;12;2019;0,017900;12.126.548;148.552.132
Mar;11;2019;0,017455;9.317.784;144.864.093
Mar;10;2019;0,017842;8.797.141;148.073.881
Mar;09;2019;0,018167;12.896.031;150.771.297
Mar;08;2019;0,017225;12.316.093;142.950.905
Mar;07;2019;0,016999;6.034.006;141.078.195
Mar;06;2019;0,016823;4.558.071;139.613.554
Mar;05;2019;0,016989;6.021.895;140.998.295
Mar;04;2019;0,016342;6.081.608;135.627.946
Mar;03;2019;0,017008;3.488.812;141.150.152
Mar;02;2019;0,017261;3.921.099;143.256.227
Mar;01;2019;0,017260;4.866.516;142.901.330
Feb;28;2019;0,017139;5.297.897;141.899.768
Feb;27;2019;0,017484;6.452.094;144.754.178
Feb;26;2019;0,017828;7.525.331;147.603.634
Feb;25;2019;0,017504;7.976.794;144.917.387
Feb;24;2019;0,016883;17.180.186;139.779.904
Feb;23;2019;0,019224;13.327.735;159.161.646
Feb;22;2019;0,018427;5.170.591;152.561.008
Feb;21;2019;0,018227;6.163.151;150.908.496
Feb;20;2019;0,018911;9.583.434;156.570.362
Feb;19;2019;0,018793;30.920.742;155.590.508
Feb;18;2019;0,018100;11.432.002;149.856.178
Feb;17;2019;0,017603;7.979.516;145.737.928
Feb;16;2019;0,017266;8.698.022;142.951.129
Feb;15;2019;0,016892;4.502.646;139.850.932
Feb;14;2019;0,016761;4.457.914;138.769.588
Feb;13;2019;0,017015;4.253.919;140.870.896
Feb;12;2019;0,017118;5.454.538;141.720.614
Feb;11;2019;0,017051;5.518.838;141.161.732
Feb;10;2019;0,017521;6.986.708;145.059.168
Feb;09;2019;0,017318;7.396.486;143.379.174
Feb;08;2019;0,017740;11.288.006;146.871.347
Feb;07;2019;0,016693;6.209.950;138.202.790
Feb;06;2019;0,016492;9.184.256;136.535.400
Feb;05;2019;0,017485;6.922.439;144.760.429
Feb;04;2019;0,017833;7.058.533;147.638.360
Feb;03;2019;0,017538;6.975.209;145.195.363
Feb;02;2019;0,018324;7.675.900;151.700.985
Feb;01;2019;0,018343;11.170.955;151.129.854
Jan;31;2019;0,018536;21.610.554;152.715.341
Jan;30;2019;0,020405;13.117.923;168.111.327
Jan;29;2019;0,020525;17.491.947;169.092.894
Jan;28;2019;0,020997;32.809.326;172.984.227
Jan;27;2019;0,022908;35.388.562;188.726.128
Jan;26;2019;0,022264;10.061.261;183.418.474
Jan;25;2019;0,022003;8.933.581;181.269.700
Jan;24;2019;0,022114;9.093.234;182.188.825
Jan;23;2019;0,021946;13.710.038;180.797.316
Jan;22;2019;0,022924;19.791.111;188.858.314
Jan;21;2019;0,021065;7.225.827;173.539.659
Jan;20;2019;0,021533;11.059.796;176.426.531
Jan;19;2019;0,022472;9.690.168;184.118.664
Jan;18;2019;0,021909;10.403.339;179.500.578
Jan;17;2019;0,022696;14.104.658;185.956.410
Jan;16;2019;0,023312;25.967.137;190.997.912
Jan;15;2019;0,021891;17.133.396;179.359.369
Jan;14;2019;0,020595;11.973.995;168.738.966
Jan;13;2019;0,018445;9.649.816;149.992.616
Jan;12;2019;0,020458;8.574.643;166.367.288
Jan;11;2019;0,020363;14.190.139;165.588.793
Jan;10;2019;0,020685;27.406.506;168.209.513
Jan;09;2019;0,024211;20.839.644;196.881.616
Jan;08;2019;0,023762;23.948.844;193.236.723
Jan;07;2019;0,022315;10.349.655;181.467.440
Jan;06;2019;0,021710;11.294.735;202.598.950
Jan;05;2019;0,020427;7.653.603;190.626.177
Jan;04;2019;0,020644;9.950.370;192.654.179
Jan;03;2019;0,019935;8.512.645;186.031.575
Jan;02;2019;0,020868;8.525.069;194.738.977
Jan;01;2019;0,020717;9.085.413;193.326.838
Dec;31;2018;0,019472;10.698.330;181.711.855
Dec;30;2018;0,020851;16.506.556;194.575.018
Dec;29;2018;0,021080;28.470.610;196.719.504
Dec;28;2018;0,020061;11.861.328;186.280.937
Dec;27;2018;0,016902;7.128.423;156.943.978
Dec;26;2018;0,018510;8.290.278;171.874.782
Dec;25;2018;0,018088;12.256.958;167.952.460
Dec;24;2018;0,020465;17.805.366;190.015.123
Dec;23;2018;0,019944;18.290.797;185.175.956
Dec;22;2018;0,018532;9.706.011;172.062.507
Dec;21;2018;0,017359;17.347.901;161.180.489
Dec;20;2018;0,017352;10.640.787;139.847.266
Dec;19;2018;0,015479;13.474.375;124.751.826
Dec;18;2018;0,015768;11.769.515;127.083.527
Dec;17;2018;0,014314;6.177.413;115.363.640
Dec;16;2018;0,013007;3.474.589;104.831.492
Dec;15;2018;0,012766;2.820.296;102.881.640
Dec;14;2018;0,012702;3.950.415;102.365.762
Dec;13;2018;0,013124;3.364.573;105.759.477
Dec;12;2018;0,014043;4.655.071;113.164.899
Dec;11;2018;0,013497;3.487.123;108.761.296
Dec;10;2018;0,013605;3.726.974;109.635.750
Dec;09;2018;0,014188;4.375.332;114.332.027
Dec;08;2018;0,013714;4.861.605;110.510.072
Dec;07;2018;0,013700;6.950.674;110.399.281
Dec;06;2018;0,013644;6.170.104;109.949.531
Dec;05;2018;0,015385;4.765.140;123.827.063
Dec;04;2018;0,016606;6.477.759;133.660.791
Dec;03;2018;0,016449;6.677.468;132.330.379
Dec;02;2018;0,017808;6.285.907;143.260.254
Dec;01;2018;0,018116;8.286.398;145.739.048
Nov;30;2018;0,017495;13.091.025;140.542.370
Nov;29;2018;0,019252;31.591.527;154.660.453
Nov;28;2018;0,019717;30.068.100;157.603.928
Nov;27;2018;0,017715;21.383.300;140.525.618
Nov;26;2018;0,014049;7.939.440;111.230.419
Nov;25;2018;0,014715;7.705.060;116.431.475
Nov;24;2018;0,014604;4.986.400;115.556.354
Nov;23;2018;0,016712;5.834.710;132.236.671
Nov;22;2018;0,017208;6.224.970;136.167.943
Nov;21;2018;0,018570;7.221.890;146.943.032
Nov;20;2018;0,017450;13.426.600;138.081.298
Nov;19;2018;0,021205;10.271.500;167.573.944
Nov;18;2018;0,026569;3.043.730;209.964.506
Nov;17;2018;0,026520;3.134.840;209.578.066
Nov;16;2018;0,026393;5.220.770;208.574.534
Nov;15;2018;0,027714;16.987.700;219.016.260
Nov;14;2018;0,029050;11.289.200;229.564.858
Nov;13;2018;0,033305;4.467.310;263.191.634
Nov;12;2018;0,033484;5.131.070;264.610.135
Nov;11;2018;0,033877;5.095.980;267.697.764
Nov;10;2018;0,034531;3.472.090;272.870.507
Nov;09;2018;0,034567;9.059.940;273.152.614
Nov;08;2018;0,035047;14.951.300;276.948.803
Nov;07;2018;0,034892;17.622.500;275.712.591
Nov;06;2018;0,036681;32.511.300;282.569.808
Nov;05;2018;0,035506;5.744.740;280.562.741
Nov;04;2018;0,036129;8.186.170;285.487.168
Nov;03;2018;0,034882;3.741.450;275.628.832
Nov;02;2018;0,035687;9.161.640;280.920.002
Nov;01;2018;0,035391;12.706.400;278.165.858
Oct;31;2018;0,034473;5.815.280;270.586.661
Oct;30;2018;0,034442;4.332.920;270.234.425
Oct;29;2018;0,033682;8.419.190;264.270.695
Oct;28;2018;0,035877;5.252.390;281.492.624
Oct;27;2018;0,035265;5.516.390;274.395.850
Oct;26;2018;0,036382;15.377.000;283.084.907
Oct;25;2018;0,034607;5.302.860;269.275.166
Oct;24;2018;0,034801;5.172.570;270.787.795
Oct;23;2018;0,034435;4.486.890;267.942.278
Oct;22;2018;0,034574;3.616.980;269.020.727
Oct;21;2018;0,034139;4.245.250;265.634.430
Oct;20;2018;0,034587;3.459.220;269.121.102
Oct;19;2018;0,033962;3.273.930;264.255.635
Oct;18;2018;0,033447;6.236.640;260.241.624
Oct;17;2018;0,035120;6.400.360;273.257.285
Oct;16;2018;0,034384;3.215.070;267.530.626
Oct;15;2018;0,034317;11.186.400;267.010.871
Oct;14;2018;0,032720;7.010.930;254.582.659
Oct;13;2018;0,032902;3.035.740;256.001.870
