Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;0,271218;27.688.288;338.809.745
Apr;10;2019;0,293985;31.467.602;367.250.471
Apr;9;2019;0,290387;43.044.271;362.756.532
Apr;8;2019;0,295371;38.673.110;368.805.036
Apr;7;2019;0,300154;37.628.482;374.777.459
Apr;6;2019;0,303207;40.740.487;378.589.016
Apr;5;2019;0,308017;48.745.448;384.595.275
Apr;4;2019;0,284135;42.424.782;354.775.418
Apr;3;2019;0,286875;35.462.999;358.196.744
Apr;2;2019;0,321107;37.763.598;400.939.902
Apr;1;2019;0,284441;33.115.370;355.015.775
Mar;31;2019;0,289596;21.295.814;361.449.321
Mar;30;2019;0,271080;29.106.944;338.339.499
Mar;29;2019;0,281778;65.953.482;351.691.623
Mar;28;2019;0,254436;31.437.777;317.438.700
Mar;27;2019;0,227820;20.496.999;284.118.451
Mar;26;2019;0,217075;24.164.238;270.283.892
Mar;25;2019;0,204630;16.604.597;254.716.083
Mar;24;2019;0,209909;24.249.140;261.287.707
Mar;23;2019;0,201546;12.343.781;250.806.633
Mar;22;2019;0,198347;13.738.153;246.756.589
Mar;21;2019;0,195983;13.610.465;243.815.455
Mar;20;2019;0,195065;10.284.910;242.605.310
Mar;19;2019;0,194373;8.321.455;241.745.269
Mar;18;2019;0,195642;7.922.145;243.323.022
Mar;17;2019;0,195199;5.530.914;242.703.599
Mar;16;2019;0,199253;6.535.259;247.744.644
Mar;15;2019;0,197073;7.943.164;245.034.172
Mar;14;2019;0,194224;15.604.554;241.491.820
Mar;13;2019;0,190214;13.792.918;236.505.703
Mar;12;2019;0,193372;22.668.345;239.890.350
Mar;11;2019;0,193109;21.896.785;239.565.003
Mar;10;2019;0,197483;27.789.139;244.990.984
Mar;9;2019;0,206931;39.356.470;256.712.140
Mar;8;2019;0,195320;35.084.234;242.307.335
Mar;7;2019;0,181651;13.185.413;225.350.132
Mar;6;2019;0,174594;13.573.352;216.595.023
Mar;5;2019;0,177400;19.228.044;220.076.161
Mar;4;2019;0,168719;21.909.568;209.307.671
Mar;3;2019;0,170575;17.424.264;211.610.009
Mar;2;2019;0,179926;35.265.839;223.210.130
Mar;1;2019;0,164643;11.595.359;204.167.752
Feb;28;2019;0,162880;18.387.050;201.901.179
Feb;27;2019;0,158353;22.855.020;196.289.406
Feb;26;2019;0,164838;69.099.758;204.327.496
Feb;25;2019;0,148485;12.247.504;183.982.349
Feb;24;2019;0,132111;8.368.221;163.694.160
Feb;23;2019;0,141483;7.080.790;175.307.312
Feb;22;2019;0,136812;7.311.240;169.491.639
Feb;21;2019;0,136091;9.454.220;167.589.057
Feb;20;2019;0,142754;8.952.054;175.794.124
Feb;19;2019;0,140470;9.265.736;172.946.446
Feb;18;2019;0,143147;13.252.727;176.242.305
Feb;17;2019;0,137783;12.808.808;169.603.812
Feb;16;2019;0,128665;8.822.687;158.380.250
Feb;15;2019;0,128920;10.908.803;158.693.868
Feb;14;2019;0,125524;13.023.983;154.488.700
Feb;13;2019;0,121619;9.347.925;149.682.521
