Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;17,70;159.364.357;2.498.873.860
Apr;10;2019;18,25;180.291.307;2.576.252.115
Apr;9;2019;18,44;203.380.139;2.602.577.566
Apr;8;2019;18,11;178.255.322;2.557.210.855
Apr;7;2019;19,11;149.525.473;2.697.901.876
Apr;6;2019;19,12;155.317.547;2.698.658.298
Apr;5;2019;19,45;181.774.781;2.746.352.773
Apr;4;2019;19,14;214.630.296;2.702.478.307
Apr;3;2019;18,75;254.862.222;2.647.473.022
Apr;2;2019;19,79;264.406.306;2.793.832.258
Apr;1;2019;17,95;202.977.286;2.534.170.929
Mar;31;2019;17,40;199.990.283;2.456.689.309
Mar;30;2019;16,93;182.021.376;2.390.413.470
Mar;29;2019;16,51;172.002.338;2.330.827.187
Mar;28;2019;16,81;189.454.288;2.372.500.772
Mar;27;2019;16,78;202.275.822;2.369.114.351
Mar;26;2019;16,34;186.112.032;2.306.195.308
Mar;25;2019;16,84;199.413.830;2.377.537.598
Mar;24;2019;17,29;314.554.203;2.440.268.717
Mar;23;2019;15,24;143.128.548;2.150.949.042
Mar;22;2019;15,27;149.753.510;2.155.244.843
Mar;21;2019;14,52;152.779.939;2.049.500.112
Mar;20;2019;15,28;136.054.765;2.157.164.802
Mar;19;2019;15,69;216.950.178;2.215.550.960
Mar;18;2019;15,68;132.882.167;2.213.915.702
Mar;17;2019;15,76;131.687.083;2.225.087.469
Mar;16;2019;16,12;143.423.670;2.275.609.084
Mar;15;2019;15,08;124.146.334;2.128.517.331
Mar;14;2019;15,05;137.039.682;2.124.846.987
Mar;13;2019;15,12;145.402.739;2.133.885.107
Mar;12;2019;15,41;169.525.508;2.174.968.137
Mar;11;2019;14,51;152.327.295;2.049.079.581
Mar;10;2019;14,49;140.866.074;2.046.259.504
Mar;9;2019;14,57;160.640.089;2.056.345.113
Mar;8;2019;14,37;227.303.083;2.028.259.194
Mar;7;2019;15,15;236.520.320;2.138.227.830
Mar;6;2019;14,52;191.016.822;2.049.578.132
Mar;5;2019;13,81;237.026.335;1.949.911.246
Mar;4;2019;11,55;89.421.231;1.630.004.462
Mar;3;2019;11,54;89.868.246;1.628.869.047
Mar;2;2019;11,87;120.807.894;1.675.716.941
Mar;1;2019;11,39;117.838.677;1.608.442.973
Feb;28;2019;10,37;100.626.963;1.463.309.043
Feb;27;2019;9,90;93.800.328;1.397.514.790
Feb;26;2019;9,52;88.437.694;1.344.215.777
Feb;25;2019;9,84;146.043.498;1.389.450.859
Feb;24;2019;10,11;113.588.899;1.427.720.907
Feb;23;2019;10,78;81.628.102;1.522.126.090
Feb;22;2019;10,84;82.256.314;1.529.935.070
Feb;21;2019;10,49;85.754.656;1.481.339.199
Feb;20;2019;10,97;118.033.473;1.548.138.352
Feb;19;2019;10,56;128.091.178;1.491.247.773
