Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;272,71;1.824.110.954;4.833.259.697
Apr;10;2019;305,22;1.476.621.660;5.408.935.312
Apr;9;2019;296,04;1.312.902.759;5.245.808.192
Apr;8;2019;310,16;1.918.300.729;5.495.399.882
Apr;7;2019;319,60;2.183.906.035;5.662.007.844
Apr;6;2019;306,07;2.107.781.161;5.421.896.039
Apr;5;2019;292,64;1.697.395.926;5.183.362.407
Apr;4;2019;286,57;2.803.008.785;5.075.306.708
Apr;3;2019;298,35;4.237.037.516;5.283.502.610
Apr;2;2019;236,13;1.648.897.519;4.181.200.031
Apr;1;2019;167,63;465.814.641;2.967.829.681
Mar;31;2019;168,94;454.369.901;2.990.730.945
Mar;30;2019;168,59;581.569.997;2.984.272.263
Mar;29;2019;170,45;560.103.605;3.016.920.025
Mar;28;2019;169,45;545.985.641;2.998.993.454
Mar;27;2019;173,18;566.792.974;3.064.635.955
Mar;26;2019;161,44;448.350.663;2.856.498.863
Mar;25;2019;161,62;462.768.947;2.859.416.983
Mar;24;2019;165,94;400.180.522;2.935.530.185
Mar;23;2019;167,41;518.279.691;2.961.308.944
Mar;22;2019;158,34;373.689.646;2.800.577.106
Mar;21;2019;154,77;488.749.472;2.737.074.468
Mar;20;2019;160,53;394.747.561;2.838.778.127
Mar;19;2019;162,43;430.154.285;2.871.986.995
Mar;18;2019;162,49;635.931.669;2.872.870.544
Mar;17;2019;156,08;437.535.869;2.759.201.463
Mar;16;2019;157,58;648.403.250;2.785.421.758
Mar;15;2019;143,99;363.130.165;2.544.991.930
Mar;14;2019;133,90;388.641.464;2.366.317.917
Mar;13;2019;128,93;217.915.164;2.278.360.791
Mar;12;2019;128,95;232.279.797;2.278.392.927
Mar;11;2019;130,20;268.403.469;2.300.366.575
Mar;10;2019;132,84;274.459.921;2.346.643.092
Mar;9;2019;133,82;317.778.034;2.363.674.682
Mar;8;2019;129,47;301.191.835;2.286.681.068
Mar;7;2019;132,16;281.220.759;2.333.871.541
Mar;6;2019;133,27;281.163.956;2.353.268.981
