Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;1,08;11.239.714;166.698.442
Apr;10;2019;1,23;16.428.034;189.506.943
Apr;9;2019;1,13;9.411.178;174.229.355
Apr;8;2019;1,20;4.820.334;184.050.379
Apr;7;2019;1,26;6.070.013;194.170.142
Apr;6;2019;1,26;6.636.679;194.437.830
Apr;5;2019;1,31;14.421.398;200.696.201
Apr;4;2019;1,22;19.011.114;186.987.279
Apr;3;2019;1,20;19.945.484;184.778.616
Apr;2;2019;1,01;4.105.754;154.644.362
Apr;1;2019;0,909671;2.417.535;139.868.153
Mar;31;2019;0,876287;2.603.563;134.735.089
Mar;30;2019;0,857519;1.712.568;131.849.388
Mar;29;2019;0,841827;1.614.400;129.436.705
Mar;28;2019;0,851747;2.133.849;130.961.938
Mar;27;2019;0,840942;2.119.859;129.300.574
Mar;26;2019;0,814065;1.872.048;125.168.069
Mar;25;2019;0,816539;1.512.718;125.548.448
Mar;24;2019;0,843979;1.340.285;129.767.527
Mar;23;2019;0,855062;1.606.274;131.471.665
Mar;22;2019;0,847900;1.571.528;130.370.412
Mar;21;2019;0,846043;2.375.475;130.084.922
Mar;20;2019;0,858344;1.514.786;131.976.244
Mar;19;2019;0,863682;1.718.478;132.797.076
Mar;18;2019;0,866751;1.833.950;133.268.981
Mar;17;2019;0,881822;1.903.458;135.586.179
Mar;16;2019;0,895179;5.026.613;137.639.910
Mar;15;2019;0,867836;4.261.839;133.435.810
Mar;14;2019;0,876059;18.403.544;134.700.073
Mar;13;2019;0,975337;17.932.389;149.964.772
Mar;12;2019;0,778825;3.853.428;119.749.679
Mar;11;2019;0,733990;1.333.907;112.855.963
Mar;10;2019;0,752077;1.651.684;115.637.067
Mar;9;2019;0,741827;1.400.895;114.060.949
Mar;8;2019;0,732290;1.360.419;112.594.593
Mar;7;2019;0,742505;1.315.625;114.165.272
Mar;6;2019;0,741513;1.303.378;114.012.719
Mar;5;2019;0,757121;1.703.160;116.412.531
Mar;4;2019;0,729429;2.076.604;112.154.728
Mar;3;2019;0,741132;1.853.279;113.954.087
Mar;2;2019;0,741290;984.481;113.978.365
Mar;1;2019;0,741130;1.307.246;113.953.867
Feb;28;2019;0,743085;1.097.544;114.254.414
Feb;27;2019;0,746751;1.144.308;114.818.132
Feb;26;2019;0,757062;1.489.362;116.403.491
Feb;25;2019;0,753565;1.214.859;115.865.814
Feb;24;2019;0,733884;2.431.617;112.839.726
Feb;23;2019;0,811248;1.985.949;124.735.001
Feb;22;2019;0,766154;1.145.347;117.801.516
Feb;21;2019;0,755005;1.292.338;116.087.225
Feb;20;2019;0,779997;1.318.562;119.929.902
Feb;19;2019;0,776474;2.216.874;119.388.176
Feb;18;2019;0,769637;2.130.155;118.337.047
Feb;17;2019;0,729310;818.883;112.136.356
Feb;16;2019;0,725172;483.311;111.500.114
Feb;15;2019;0,715168;875.507;109.961.946
Feb;14;2019;0,708345;902.220;108.912.963
Feb;13;2019;0,720241;1.221.599;110.741.970
Feb;12;2019;0,724747;1.185.817;111.434.802
Feb;11;2019;0,738401;1.187.728;113.534.197
Feb;10;2019;0,734446;1.418.404;112.926.198
Feb;9;2019;0,728554;1.576.594;112.020.127
Feb;8;2019;0,726270;1.412.740;111.668.941
Feb;7;2019;0,676460;804.314;104.010.372
Feb;6;2019;0,679226;820.893;104.435.736
Feb;5;2019;0,687409;914.084;105.693.909
Feb;4;2019;0,703265;792.085;108.131.849
Feb;3;2019;0,701846;921.542;107.913.664
Feb;2;2019;0,722725;981.649;111.123.863
Feb;1;2019;0,722843;1.064.707;111.142.075
Jan;31;2019;0,709314;1.056.256;109.061.920
Jan;30;2019;0,728500;1.103.498;112.011.925
Jan;29;2019;0,716563;1.062.807;110.176.512
Jan;28;2019;0,719413;1.437.932;110.614.771
Jan;27;2019;0,765822;1.149.452;117.750.385
Jan;26;2019;0,779282;1.054.237;119.819.922
Jan;25;2019;0,781177;1.044.097;120.111.273
Jan;24;2019;0,787679;1.403.089;121.111.088
Jan;23;2019;0,783478;1.222.365;120.465.110
Jan;22;2019;0,786655;1.966.767;120.953.583
Jan;21;2019;0,796414;1.811.166;122.454.109
Jan;20;2019;0,819907;4.821.357;126.066.284
