Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;16,28;14.928.737;285.157.077
Apr;10;2019;18,01;17.514.603;315.486.982
Apr;9;2019;17,65;15.484.613;309.127.931
Apr;8;2019;17,65;13.966.408;309.175.218
Apr;7;2019;19,06;7.666.663;331.890.195
Apr;6;2019;18,72;13.085.311;325.938.185
Apr;5;2019;18,03;24.109.117;314.018.578
Apr;4;2019;15,46;15.675.812;269.285.896
Apr;3;2019;15,76;22.383.020;274.393.221
Apr;2;2019;15,21;16.538.103;264.814.055
Apr;1;2019;13,46;12.263.781;234.351.525
Mar;31;2019;12,97;10.427.285;225.933.970
Mar;30;2019;12,99;10.311.072;226.124.205
Mar;29;2019;13,02;10.211.602;226.787.791
Mar;28;2019;12,82;10.491.130;223.282.210
Mar;27;2019;13,01;10.582.938;226.516.212
Mar;26;2019;12,36;9.846.782;215.277.432
Mar;25;2019;12,43;9.634.974;216.469.049
Mar;24;2019;13,16;9.873.950;229.208.934
Mar;23;2019;13,18;10.201.144;229.461.561
Mar;22;2019;13,06;10.152.884;227.438.058
Mar;21;2019;13,04;10.649.887;227.063.362
Mar;20;2019;13,48;9.929.883;234.811.713
Mar;19;2019;13,40;10.223.740;233.341.430
Mar;18;2019;13,34;10.984.172;232.225.500
Mar;17;2019;13,38;10.178.125;232.927.182
Mar;16;2019;13,69;12.234.846;238.370.748
Mar;15;2019;13,48;11.659.584;234.732.947
Mar;14;2019;13,32;12.895.853;231.995.380
Mar;13;2019;12,71;11.933.339;221.305.604
Mar;12;2019;12,65;9.850.243;220.284.162
Mar;11;2019;12,28;9.976.105;213.812.203
Mar;10;2019;12,63;9.942.581;219.874.140
Mar;9;2019;12,74;9.608.119;221.908.965
Mar;8;2019;12,60;11.210.696;219.335.516
Mar;7;2019;12,51;9.825.845;217.916.097
Mar;6;2019;12,69;10.345.426;220.902.210
Mar;5;2019;12,54;10.495.385;218.298.727
Mar;4;2019;11,09;151.790.933;193.180.019
Mar;3;2019;12,31;9.378.264;214.421.600
Mar;2;2019;12,53;9.743.591;218.273.346
Mar;1;2019;12,68;9.957.816;220.775.803
Feb;28;2019;12,64;8.831.461;220.051.741
Feb;27;2019;12,70;9.488.595;221.084.526
Feb;26;2019;12,92;9.863.593;224.977.851
Feb;25;2019;12,78;9.696.754;222.505.753
Feb;24;2019;12,25;10.336.104;213.347.757
Feb;23;2019;13,53;10.779.689;235.640.462
Feb;22;2019;12,69;9.997.697;221.059.129
Feb;21;2019;12,56;11.760.161;218.664.300
Feb;20;2019;12,80;10.351.830;222.835.350
Feb;19;2019;12,62;12.737.262;219.840.610
Feb;18;2019;12,11;19.715.464;210.921.473
Feb;17;2019;10,45;8.087.721;181.963.327
Feb;16;2019;10,29;7.167.174;179.255.583
Feb;15;2019;10,56;7.313.990;183.884.380
Feb;14;2019;10,52;7.529.814;183.127.873
Feb;13;2019;10,59;7.843.193;184.350.027
Feb;12;2019;10,62;7.321.147;184.976.885
Feb;11;2019;10,52;8.151.122;183.260.279
Feb;10;2019;10,80;8.009.796;188.141.229
Feb;9;2019;10,58;8.181.230;184.220.881
Feb;8;2019;10,58;8.504.899;184.238.069
Feb;7;2019;9,43;7.165.713;164.287.967
Feb;6;2019;9,33;7.054.453;162.399.623
Feb;5;2019;9,62;6.751.474;167.483.742
Feb;4;2019;9,87;7.411.295;171.953.020
Feb;3;2019;9,85;7.115.300;171.542.882
Feb;2;2019;10,09;5.329.992;175.676.609
Feb;1;2019;10,12;7.412.432;176.150.058
Jan;31;2019;10,02;7.398.912;174.477.166
Jan;30;2019;10,35;10.558.330;180.218.735
Jan;29;2019;9,93;7.090.912;172.871.250
Jan;28;2019;9,70;7.640.025;168.980.347
Jan;27;2019;10,96;3.745.258;190.887.666
Jan;26;2019;11,16;3.891.173;194.419.041
Jan;25;2019;11,23;3.809.956;195.526.996
Jan;24;2019;11,25;3.838.532;195.832.544
Jan;23;2019;11,22;4.100.959;195.310.733
Jan;22;2019;11,26;3.812.309;196.151.261
Jan;21;2019;11,19;3.854.170;194.860.400
Jan;20;2019;11,25;3.935.657;195.852.059
Jan;19;2019;11,55;4.730.861;201.142.852
Jan;18;2019;11,21;7.095.896;195.229.870
Jan;17;2019;11,79;4.430.216;205.230.866
Jan;16;2019;12,06;5.601.385;210.092.653
Jan;15;2019;12,00;4.688.887;208.907.673
Jan;14;2019;12,33;5.338.455;214.777.653
Jan;13;2019;11,90;4.711.392;207.228.484
Jan;12;2019;12,31;3.724.453;214.358.890
Jan;11;2019;12,49;4.044.972;217.448.460
Jan;10;2019;12,26;5.336.642;213.422.929
Jan;9;2019;13,44;3.611.284;234.088.017
Jan;8;2019;13,51;4.164.238;235.316.853
Jan;7;2019;13,41;3.619.763;233.569.353
Jan;6;2019;13,85;4.697.238;241.259.441
Jan;5;2019;13,03;3.632.815;226.876.862
Jan;4;2019;13,05;3.673.905;227.317.791
Jan;3;2019;13,04;3.910.322;227.023.505
Jan;2;2019;13,54;4.741.130;235.776.178
Jan;1;2019;13,55;4.299.222;235.896.245
Dec;31;2018;12,64;5.475.673;220.157.481
Dec;30;2018;13,70;4.583.155;238.520.472
Dec;29;2018;14,10;5.020.978;245.563.215
Dec;28;2018;14,61;5.169.572;254.386.205
Dec;27;2018;13,60;4.337.193;236.793.329
Dec;26;2018;14,66;4.924.776;255.300.777
Dec;25;2018;14,36;5.307.511;250.102.945
Dec;24;2018;15,37;6.545.538;267.604.841
Dec;23;2018;15,40;5.468.070;268.088.707
Dec;22;2018;15,03;5.650.106;261.381.134
Dec;21;2018;14,52;9.588.976;252.604.951
Dec;20;2018;15,06;7.929.058;261.880.462
Dec;19;2018;13,00;5.665.312;226.217.588
Dec;18;2018;12,82;4.943.906;222.997.888
Dec;17;2018;12,46;4.711.965;216.822.075
Dec;16;2018;11,16;4.993.962;194.169.106
Dec;15;2018;12,05;4.732.178;209.675.205
Dec;14;2018;10,90;3.421.374;189.670.161
Dec;13;2018;11,35;3.981.560;197.434.193
Dec;12;2018;11,96;4.139.824;208.105.350
Dec;11;2018;11,50;4.543.543;199.956.019
Dec;10;2018;11,97;3.497.361;208.164.742
Dec;9;2018;12,53;3.892.685;217.903.487
Dec;8;2018;12,00;4.462.446;208.616.061
Dec;7;2018;12,42;6.439.140;215.937.097
Dec;6;2018;13,96;4.570.284;242.723.259
Dec;5;2018;15,29;4.685.135;265.775.214
Dec;4;2018;16,37;5.252.659;284.424.013
Dec;3;2018;17,06;5.235.459;296.475.630
Dec;2;2018;18,14;4.915.591;315.179.691
Dec;1;2018;18,75;4.850.908;325.829.633
Nov;30;2018;18,46;5.704.301;320.770.204
Nov;29;2018;18,87;6.052.456;327.692.256
Nov;28;2018;19,64;6.152.310;341.077.365
Nov;27;2018;17,93;5.190.540;311.343.394
Nov;26;2018;17,78;9.295.260;308.742.243
Nov;25;2018;19,42;8.291.530;337.152.242
Nov;24;2018;18,78;7.052.430;326.000.611
Nov;23;2018;19,54;3.672.810;339.226.437
Nov;22;2018;19,75;3.824.530;342.867.121
Nov;21;2018;21,34;4.023.180;370.391.165
Nov;20;2018;20,56;12.102.200;356.751.739
Nov;19;2018;25,80;8.638.000;447.733.974
Nov;18;2018;27,03;5.169.530;468.902.092
Nov;17;2018;26,77;4.831.470;464.433.001
Nov;16;2018;26,39;5.614.390;457.724.599
Nov;15;2018;26,38;6.706.830;457.637.625
Nov;14;2018;26,12;7.741.790;452.930.118
Nov;13;2018;28,14;3.741.760;488.045.991
Nov;12;2018;28,64;4.613.950;496.631.509
Nov;11;2018;29,60;4.407.010;513.179.745
Nov;10;2018;29,97;3.711.740;519.647.212
Nov;9;2018;29,30;4.208.790;507.936.649
Nov;8;2018;29,93;4.379.330;518.015.998
Nov;7;2018;31,51;5.898.310;545.351.053
Nov;6;2018;31,97;7.622.240;541.378.790
Nov;5;2018;29,82;5.361.620;516.151.891
Nov;4;2018;29,41;9.898.720;509.076.243
Nov;3;2018;26,85;2.121.550;464.804.981
Nov;2;2018;27,29;2.867.460;472.382.570
Nov;1;2018;26,44;2.502.860;457.698.178
Oct;31;2018;26,19;3.195.840;453.258.590
Oct;30;2018;25,89;3.316.340;448.102.436
Oct;29;2018;26,38;2.932.610;456.651.024
Oct;28;2018;27,05;2.297.690;468.209.530
Oct;27;2018;27,05;1.989.720;468.128.181
Oct;26;2018;26,83;2.684.070;464.443.236
Oct;25;2018;27,07;2.223.660;468.554.132
Oct;24;2018;27,43;4.598.640;474.614.318
Oct;23;2018;26,82;2.872.480;464.091.955
Oct;22;2018;26,13;2.475.360;452.034.857
Oct;21;2018;26,16;1.792.550;452.588.807
Oct;20;2018;26,53;2.200.410;458.855.303
Oct;19;2018;26,03;2.009.750;450.224.210
Oct;18;2018;26,05;2.239.220;450.571.257
