Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;71,75;199.924.705;1.271.485.723
Apr;10;2019;80,07;123.540.292;1.418.740.152
Apr;9;2019;78,65;134.536.135;1.393.574.891
Apr;8;2019;83,16;171.370.508;1.473.242.001
Apr;7;2019;86,41;176.075.347;1.526.953.180
Apr;6;2019;84,66;188.899.709;1.495.936.740
Apr;5;2019;84,32;174.697.160;1.490.030.100
Apr;4;2019;83,00;360.592.952;1.466.712.265
Apr;3;2019;82,05;654.020.727;1.449.888.414
Apr;2;2019;78,83;329.007.780;1.392.949.254
Apr;1;2019;66,08;87.877.273;1.167.678.134
Mar;31;2019;64,98;65.214.626;1.148.254.869
Mar;30;2019;65,02;81.489.759;1.148.897.979
Mar;29;2019;64,36;100.661.362;1.137.338.122
Mar;28;2019;64,68;82.857.486;1.142.925.213
Mar;27;2019;66,03;100.937.303;1.166.692.050
Mar;26;2019;64,43;102.461.049;1.138.486.516
Mar;25;2019;64,40;101.968.755;1.137.991.954
Mar;24;2019;65,92;78.083.330;1.164.798.628
Mar;23;2019;67,37;104.157.457;1.190.429.109
Mar;22;2019;66,64;95.048.996;1.177.532.502
Mar;21;2019;65,94;111.105.005;1.165.165.905
Mar;20;2019;66,85;87.084.621;1.181.225.402
Mar;19;2019;67,12;94.744.734;1.185.981.264
Mar;18;2019;67,27;116.157.796;1.188.639.613
Mar;17;2019;68,47;88.594.646;1.209.844.855
Mar;16;2019;68,98;247.381.332;1.218.972.280
Mar;15;2019;67,69;107.343.633;1.196.129.480
Mar;14;2019;66,27;93.890.837;1.171.084.828
Mar;13;2019;64,98;54.907.880;1.148.222.963
Mar;12;2019;65,84;57.798.152;1.163.233.723
Mar;11;2019;65,29;126.738.128;891.834.274
Mar;10;2019;66,81;73.421.603;1.180.167.566
Mar;9;2019;66,77;81.346.906;1.179.297.014
Mar;8;2019;65,57;103.991.079;1.158.030.765
Mar;7;2019;66,86;80.228.565;1.180.585.637
Mar;6;2019;66,91;83.949.274;1.181.435.453
Mar;5;2019;67,28;108.532.649;1.187.893.430
Mar;4;2019;63,46;83.033.489;1.120.285.319
Mar;3;2019;65,41;77.359.163;1.154.648.588
Mar;2;2019;66,91;70.341.089;1.180.999.352
Mar;1;2019;67,00;79.611.503;1.182.343.364
Feb;28;2019;67,32;94.004.768;1.187.857.982
Feb;27;2019;67,86;122.067.413;1.197.314.925
Feb;26;2019;74,58;224.567.303;1.315.784.967
Feb;25;2019;68,39;189.035.735;1.206.403.703
Feb;24;2019;61,20;132.163.469;1.079.526.122
Feb;23;2019;68,74;93.440.728;1.212.312.853
