Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;5.064,49;16.555.616.019;89.341.168.457
Apr;10;2019;5.324,55;15.504.590.933;93.918.439.274
Apr;9;2019;5.204,96;14.722.104.361;91.799.330.425
Apr;8;2019;5.289,77;17.154.113.634;93.286.365.973
Apr;7;2019;5.198,90;16.655.416.140;91.674.230.186
Apr;6;2019;5.059,82;16.929.795.194;89.212.733.450
Apr;5;2019;5.036,68;16.837.325.387;88.796.118.650
Apr;4;2019;4.922,80;18.251.810.240;86.778.727.821
Apr;3;2019;4.973,02;22.899.891.582;87.655.288.145
Apr;2;2019;4.879,88;21.315.047.816;85.986.009.273
Apr;1;2019;4.158,18;10.157.794.171;73.269.368.747
Mar;31;2019;4.105,40;9.045.122.443;72.339.379.036
Mar;30;2019;4.106,66;9.732.688.060;72.355.190.645
Mar;29;2019;4.098,37;10.918.665.557;72.202.088.875
Mar;28;2019;4.069,11;9.353.915.899;71.678.998.915
Mar;27;2019;4.087,07;10.897.131.934;71.987.847.571
Mar;26;2019;3.985,08;10.707.678.815;70.184.147.203
Mar;25;2019;3.963,07;10.359.818.883;69.789.872.373
Mar;24;2019;4.022,17;9.144.851.065;70.823.042.992
Mar;23;2019;4.035,83;9.578.850.549;71.056.017.910
Mar;22;2019;4.023,97;9.252.935.969;70.840.048.102
Mar;21;2019;4.029,33;10.831.212.662;70.926.226.882
Mar;20;2019;4.087,48;10.175.916.388;71.942.444.088
Mar;19;2019;4.071,19;9.344.919.956;71.647.703.828
Mar;18;2019;4.032,51;9.646.954.186;70.958.165.407
Mar;17;2019;4.025,23;8.221.625.400;70.821.939.585
Mar;16;2019;4.048,73;9.856.166.973;71.227.967.573
Mar;15;2019;3.960,91;9.394.210.605;69.675.002.377
Mar;14;2019;3.924,37;10.480.789.570;69.024.696.307
Mar;13;2019;3.906,72;9.469.184.841;68.706.700.381
Mar;12;2019;3.909,16;9.809.887.079;68.743.000.581
Mar;11;2019;3.905,23;10.125.901.903;68.666.928.026
Mar;10;2019;3.951,60;9.713.267.607;69.475.297.370
Mar;9;2019;3.963,31;10.796.103.518;69.674.508.655
Mar;8;2019;3.901,13;10.638.638.944;68.574.579.320
Mar;7;2019;3.911,48;9.584.165.519;68.749.421.311
Mar;6;2019;3.903,94;9.175.291.529;68.609.885.776
Mar;5;2019;3.896,38;10.174.126.415;68.470.655.400
Mar;4;2019;3.761,56;9.029.175.788;66.094.551.587
Mar;3;2019;3.847,18;7.253.558.152;67.592.376.373
Mar;2;2019;3.864,42;7.578.786.076;67.888.255.371
Mar;1;2019;3.859,58;7.661.247.975;67.796.965.743
Feb;28;2019;3.854,79;8.399.767.798;67.704.774.107
Feb;27;2019;3.851,05;8.301.309.684;67.631.949.500
Feb;26;2019;3.854,36;7.931.218.996;67.683.296.223
Feb;25;2019;3.882,70;9.318.796.067;68.173.204.651
Feb;24;2019;3.810,43;10.794.227.451;66.897.483.404
Feb;23;2019;4.142,53;8.922.258.316;72.720.867.208
Feb;22;2019;4.005,53;7.826.525.254;70.308.555.857
Feb;21;2019;3.954,12;7.775.128.102;69.398.333.876
Feb;20;2019;3.999,82;8.693.373.948;70.194.350.042
Feb;19;2019;3.947,09;9.933.626.655;69.262.673.238
Feb;18;2019;3.915,71;9.908.216.640;68.704.389.994
Feb;17;2019;3.673,84;7.039.512.503;64.453.368.779
Feb;16;2019;3.629,79;5.934.744.052;63.673.369.195
Feb;15;2019;3.620,81;6.091.952.231;63.509.111.125
Feb;14;2019;3.616,88;6.271.044.418;63.434.486.052
Feb;13;2019;3.632,07;6.438.903.823;63.694.394.519
Feb;12;2019;3.653,53;6.480.384.532;64.063.755.250
Feb;11;2019;3.648,43;6.277.056.434;63.968.390.250
Feb;10;2019;3.690,19;6.282.256.903;64.694.025.951
Feb;9;2019;3.671,20;6.158.833.645;64.354.732.475
Feb;8;2019;3.666,78;7.735.623.101;64.270.269.953
Feb;7;2019;3.399,47;5.004.962.683;59.578.075.991
Feb;6;2019;3.413,77;5.482.196.038;59.821.158.612
Feb;5;2019;3.466,36;5.227.549.545;60.735.563.490
Feb;4;2019;3.459,15;5.332.718.886;60.603.083.461
Feb;3;2019;3.464,01;5.043.937.584;60.681.847.608
Feb;2;2019;3.521,06;5.071.623.601;61.675.119.055
Feb;1;2019;3.487,95;5.422.926.707;61.088.747.491
Jan;31;2019;3.457,79;5.831.198.271;60.553.903.928
Jan;30;2019;3.486,18;5.955.112.627;61.044.262.622
Jan;29;2019;3.448,12;5.897.159.493;60.371.874.099
Jan;28;2019;3.470,45;6.908.930.483;60.756.570.314
Jan;27;2019;3.583,97;5.570.752.966;62.737.274.093
Jan;26;2019;3.602,46;5.098.183.235;63.054.898.963
Jan;25;2019;3.599,77;5.265.847.539;63.000.985.908
Jan;24;2019;3.600,87;5.262.869.046;63.014.066.012
Jan;23;2019;3.585,12;5.433.755.649;62.731.361.272
Jan;22;2019;3.604,58;5.313.623.556;63.065.139.424
Jan;21;2019;3.576,03;5.004.347.059;62.559.869.612
Jan;20;2019;3.601,01;5.582.489.560;62.990.143.284
Jan;19;2019;3.728,57;5.955.691.380;65.214.103.659
Jan;18;2019;3.657,84;5.002.961.727;63.970.991.867
Jan;17;2019;3.678,56;5.464.420.383;64.327.048.255
Jan;16;2019;3.655,01;5.394.457.145;63.909.348.776
Jan;15;2019;3.630,68;5.537.192.302;63.477.817.959
Jan;14;2019;3.706,05;5.651.384.490;64.789.619.995
Jan;13;2019;3.552,95;4.681.302.466;62.106.461.671
Jan;12;2019;3.661,30;4.778.170.883;63.994.140.882
Jan;11;2019;3.687,37;5.538.712.865;64.443.301.117
Jan;10;2019;3.678,92;6.874.143.796;64.288.932.886
Jan;9;2019;4.035,30;5.115.905.225;70.508.733.459
Jan;8;2019;4.030,85;5.306.593.305;70.422.743.854
