Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;0,063519;10.909.257;171.953.617
Apr;10;2019;0,071305;8.199.258;193.031.629
Apr;09;2019;0,068947;10.088.667;186.630.835
Apr;08;2019;0,072708;14.550.158;196.791.109
Apr;07;2019;0,073682;9.677.888;199.408.718
Apr;06;2019;0,073118;13.500.797;197.862.694
Apr;05;2019;0,074221;8.138.417;200.829.946
Apr;04;2019;0,070695;13.515.324;191.269.947
Apr;03;2019;0,073344;28.987.266;198.416.142
Apr;02;2019;0,068077;20.361.693;184.149.783
Apr;01;2019;0,061793;7.350.161;167.135.915
Mar;31;2019;0,059741;6.391.390;161.565.924
Mar;30;2019;0,059841;8.922.228;161.821.271
Mar;29;2019;0,059972;12.934.141;162.156.350
Mar;28;2019;0,059114;17.524.310;159.819.701
Mar;27;2019;0,061874;12.702.330;167.261.575
Mar;26;2019;0,059606;28.698.517;161.112.565
Mar;25;2019;0,059227;100.289.617;159.980.136
Mar;24;2019;0,052677;6.232.115;142.289.644
Mar;23;2019;0,053929;11.411.984;145.671.517
Mar;22;2019;0,051135;7.285.329;138.123.222
Mar;21;2019;0,049589;8.947.763;133.946.028
Mar;20;2019;0,050760;7.056.134;137.109.950
Mar;19;2019;0,050902;6.223.841;137.348.212
Mar;18;2019;0,050941;8.694.947;137.453.194
Mar;17;2019;0,050989;2.109.063;137.583.019
Mar;16;2019;0,051634;2.819.823;139.323.050
Mar;15;2019;0,051459;3.068.452;138.849.909
Mar;14;2019;0,051079;5.600.482;137.826.768
Mar;13;2019;0,048683;13.459.375;131.359.875
Mar;12;2019;0,049804;8.166.363;134.384.383
Mar;11;2019;0,047256;4.231.324;127.510.064
Mar;10;2019;0,047237;5.053.543;127.452.543
Mar;09;2019;0,047983;4.112.605;129.450.230
Mar;08;2019;0,046312;4.445.311;124.927.802
Mar;07;2019;0,047523;6.988.307;128.180.742
Mar;06;2019;0,046759;5.514.229;126.106.082
Mar;05;2019;0,046779;7.867.147;126.144.540
Mar;04;2019;0,042976;4.219.983;115.877.292
Mar;03;2019;0,045837;2.595.144;123.575.231
Mar;02;2019;0,046492;2.225.302;125.328.503
Mar;01;2019;0,046254;3.902.633;124.672.500
Feb;28;2019;0,046462;4.910.771;125.220.104
Feb;27;2019;0,045677;3.480.178;123.091.723
Feb;26;2019;0,047104;4.431.970;126.920.142
Feb;25;2019;0,047669;7.162.056;128.428.812
Feb;24;2019;0,045928;22.316.274;123.723.836
Feb;23;2019;0,049513;11.262.717;133.366.471
Feb;22;2019;0,046103;3.461.354;124.167.831
Feb;21;2019;0,044982;3.756.318;121.136.679
Feb;20;2019;0,046244;5.359.106;124.520.765
Feb;19;2019;0,046145;9.097.534;124.263.990
Feb;18;2019;0,044284;9.503.573;119.237.025
Feb;17;2019;0,042038;3.337.965;113.178.438
Feb;16;2019;0,041293;4.895.069;111.160.553
Feb;15;2019;0,040338;3.316.269;108.577.353
Feb;14;2019;0,039818;2.736.338;107.163.668
Feb;13;2019;0,040394;3.438.410;108.701.636
Feb;12;2019;0,040738;8.126.548;109.615.378
Feb;11;2019;0,039071;1.758.317;105.118.800
Feb;10;2019;0,040105;2.087.679;107.888.901
Feb;09;2019;0,039977;2.222.011;107.532.140
Feb;08;2019;0,039964;3.269.324;107.483.015
Feb;07;2019;0,037309;3.440.894;100.332.032
Feb;06;2019;0,036327;2.513.864;97.680.441
Feb;05;2019;0,037104;2.071.017;99.757.928
Feb;04;2019;0,037418;1.740.277;100.591.325
Feb;03;2019;0,037384;1.842.633;100.489.284
Feb;02;2019;0,038664;1.358.614;103.925.023
Feb;01;2019;0,038348;2.705.315;103.064.402
Jan;31;2019;0,037051;3.218.691;99.573.341
Jan;30;2019;0,037507;3.364.634;100.788.311
Jan;29;2019;0,037241;6.216.262;100.064.099
Jan;28;2019;0,035116;2.983.344;94.344.797
Jan;27;2019;0,037578;1.513.138;100.950.941
Jan;26;2019;0,038435;2.895.134;103.243.855
Jan;25;2019;0,038600;1.747.112;103.676.137
Jan;24;2019;0,038647;2.896.290;103.791.767
Jan;23;2019;0,039036;3.791.103;104.825.562
Jan;22;2019;0,039520;3.052.653;106.113.496
Jan;21;2019;0,039489;2.273.628;106.020.068
Jan;20;2019;0,040082;11.083.286;107.601.816
Jan;19;2019;0,042297;7.454.958;113.537.828
Jan;18;2019;0,039009;1.794.341;104.699.927
Jan;17;2019;0,039180;3.153.712;105.147.296
Jan;16;2019;0,039473;5.036.821;105.925.197
Jan;15;2019;0,037617;5.473.150;100.933.716
Jan;14;2019;0,039287;2.641.451;105.403.780
Jan;13;2019;0,037421;2.266.541;100.386.686
Jan;12;2019;0,039189;2.928.090;105.120.183
Jan;11;2019;0,038445;3.001.343;103.114.380
Jan;10;2019;0,037463;5.514.325;100.473.061
Jan;09;2019;0,042470;2.846.348;113.891.871
Jan;08;2019;0,043368;2.713.827;116.293.884
Jan;07;2019;0,044216;11.710.198;118.559.312
Jan;06;2019;0,042277;3.607.019;113.360.982
Jan;05;2019;0,039658;3.306.635;106.337.213
Jan;04;2019;0,039895;2.792.562;106.967.987
Jan;03;2019;0,039650;2.247.479;106.307.993
Jan;02;2019;0,041815;2.823.165;112.110.689
Jan;01;2019;0,039627;2.063.140;106.241.074
Dec;31;2018;0,038156;3.104.639;102.296.149
Dec;30;2018;0,039754;4.945.517;106.520.276
Dec;29;2018;0,039562;3.400.698;106.004.735
Dec;28;2018;0,039908;3.989.707;106.932.878
Dec;27;2018;0,036433;3.946.193;97.621.328
Dec;26;2018;0,039718;5.986.363;106.422.941
Dec;25;2018;0,040657;6.943.539;108.940.108
Dec;24;2018;0,045899;10.896.241;122.984.675
Dec;23;2018;0,043900;6.261.083;117.629.837
Dec;22;2018;0,043092;7.004.938;115.462.579
