Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;0,000911;290.520;167.730.400
Apr;10;2019;0,000961;506.765;176.961.210
Apr;09;2019;0,000964;365.902;177.395.150
Apr;08;2019;0,001013;323.953;186.512.425
Apr;07;2019;0,001017;163.267;187.269.577
Apr;06;2019;0,000986;207.324;181.427.844
Apr;05;2019;0,000992;347.115;182.554.499
Apr;04;2019;0,000923;412.540;169.874.705
Apr;03;2019;0,000892;342.577;164.140.091
Apr;02;2019;0,000874;274.552;160.900.133
Apr;01;2019;0,000760;177.295;139.950.322
Mar;31;2019;0,000719;309.673;132.307.809
Mar;30;2019;0,000731;172.617;134.633.535
Mar;29;2019;0,000740;156.523;136.202.104
Mar;28;2019;0,000750;218.728;137.986.902
Mar;27;2019;0,000766;145.815;141.037.433
Mar;26;2019;0,000756;108.506;139.175.106
Mar;25;2019;0,000753;184.565;138.550.755
Mar;24;2019;0,000757;122.295;139.411.510
Mar;23;2019;0,000765;162.986;140.757.495
Mar;22;2019;0,000744;139.150;137.017.937
Mar;21;2019;0,000755;159.781;139.037.638
Mar;20;2019;0,000766;208.406;140.955.180
Mar;19;2019;0,000774;127.482;142.500.103
Mar;18;2019;0,000787;260.508;144.907.630
Mar;17;2019;0,000823;290.792;151.506.024
Mar;16;2019;0,000805;213.735;148.240.654
Mar;15;2019;0,000792;260.823;145.726.827
Mar;14;2019;0,000783;138.027;144.172.067
Mar;13;2019;0,000768;226.213;141.340.040
Mar;12;2019;0,000792;478.314;145.774.899
Mar;11;2019;0,000690;148.716;127.018.176
Mar;10;2019;0,000708;179.439;130.353.916
Mar;09;2019;0,000707;170.059;130.189.035
Mar;08;2019;0,000684;229.001;125.976.571
Mar;07;2019;0,000691;171.804;127.274.391
Mar;06;2019;0,000686;222.620;126.310.749
Mar;05;2019;0,000693;223.837;127.586.891
Mar;04;2019;0,000667;155.079;122.806.194
Mar;03;2019;0,000685;122.522;126.063.199
Mar;02;2019;0,000686;107.316;126.237.984
Mar;01;2019;0,000684;126.006;125.856.464
Feb;28;2019;0,000675;100.978;124.199.307
Feb;27;2019;0,000688;214.934;126.616.118
Feb;26;2019;0,000671;142.329;123.426.696
Feb;25;2019;0,000676;112.654;124.349.141
Feb;24;2019;0,000669;88.543;123.157.756
Feb;23;2019;0,000734;143.726;135.086.424
Feb;22;2019;0,000691;84.291;127.149.740
Feb;21;2019;0,000692;160.006;127.433.088
Feb;20;2019;0,000706;164.429;130.041.170
Feb;19;2019;0,000694;257.512;127.666.993
Feb;18;2019;0,000684;165.495;125.846.793
Feb;17;2019;0,000632;98.938;116.389.056
Feb;16;2019;0,000618;71.376;113.800.442
Feb;15;2019;0,000607;127.807;111.637.350
Feb;14;2019;0,000621;121.130;114.372.103
Feb;13;2019;0,000624;97.291;114.792.632
Feb;12;2019;0,000637;74.707;117.271.504
Feb;11;2019;0,000611;72.762;112.511.352
Feb;10;2019;0,000635;129.407;116.809.744
Feb;09;2019;0,000639;129.116;117.673.069
Feb;08;2019;0,000617;188.899;113.484.233
Feb;07;2019;0,000575;93.042;105.802.476
Feb;06;2019;0,000575;192.575;105.805.344
Feb;05;2019;0,000575;159.452;105.758.533
Feb;04;2019;0,000583;95.183;107.364.918
Feb;03;2019;0,000586;64.377;107.877.085
Feb;02;2019;0,000588;99.527;108.164.849
Feb;01;2019;0,000585;147.849;107.707.605
Jan;31;2019;0,000584;179.579;107.554.758
Jan;30;2019;0,000611;93.323;112.431.779
Jan;29;2019;0,000584;172.467;107.577.386
Jan;28;2019;0,000567;106.038;104.281.784
Jan;27;2019;0,000603;201.620;111.040.015
Jan;26;2019;0,000606;194.324;111.582.896
Jan;25;2019;0,000609;85.174;112.084.684
Jan;24;2019;0,000611;98.256;112.488.670
Jan;23;2019;0,000605;86.187;111.410.613
Jan;22;2019;0,000622;78.507;114.408.464
Jan;21;2019;0,000608;109.113;111.997.785
Jan;20;2019;0,000616;101.064;113.373.098
Jan;19;2019;0,000652;201.842;119.980.915
Jan;18;2019;0,000638;108.866;117.500.574
Jan;17;2019;0,000647;133.176;119.014.548
Jan;16;2019;0,000627;106.943;115.376.862
Jan;15;2019;0,000625;86.711;115.021.285
Jan;14;2019;0,000644;135.720;118.574.132
Jan;13;2019;0,000609;55.373;112.178.944
Jan;12;2019;0,000652;81.251;120.028.945
Jan;11;2019;0,000659;82.889;121.288.883
Jan;10;2019;0,000656;168.811;120.806.626
Jan;09;2019;0,000742;124.876;136.542.505
Jan;08;2019;0,000731;189.936;134.522.232
Jan;07;2019;0,000736;102.676;135.427.973
Jan;06;2019;0,000762;90.780;140.322.916
Jan;05;2019;0,000707;129.002;130.121.580
Jan;04;2019;0,000690;92.884;127.022.902
Jan;03;2019;0,000706;137.404;129.922.869
Jan;02;2019;0,000725;160.657;133.371.925
Jan;01;2019;0,000716;100.413;131.811.363
Dec;31;2018;0,000696;143.916;128.128.250
Dec;30;2018;0,000731;127.879;134.517.567
Dec;29;2018;0,000728;239.554;133.936.169
Dec;28;2018;0,000750;338.213;138.054.053
Dec;27;2018;0,000693;171.722;127.624.635
Dec;26;2018;0,000745;159.866;137.192.888
Dec;25;2018;0,000735;219.836;135.219.990
Dec;24;2018;0,000820;257.385;150.920.673
Dec;23;2018;0,000789;274.089;145.303.169
Dec;22;2018;0,000775;419.756;142.561.342
Dec;21;2018;0,000710;280.714;130.686.308
Dec;20;2018;0,000743;239.100;136.839.942
Dec;19;2018;0,000648;242.412;119.307.452
Dec;18;2018;0,000607;181.595;111.674.648
Dec;17;2018;0,000577;204.061;106.240.823
Dec;16;2018;0,000526;182.288;96.903.627
Dec;15;2018;0,000516;174.865;95.017.998
Dec;14;2018;0,000518;162.431;95.434.926
Dec;13;2018;0,000536;218.462;98.639.799
Dec;12;2018;0,000583;142.480;107.363.863
Dec;11;2018;0,000566;172.048;104.266.641
Dec;10;2018;0,000595;119.696;109.508.444
Dec;09;2018;0,000623;140.964;114.687.070
Dec;08;2018;0,000594;96.990;109.373.592
Dec;07;2018;0,000621;211.288;114.306.322
Dec;06;2018;0,000597;440.083;109.936.474
Dec;05;2018;0,000701;289.488;129.031.105
Dec;04;2018;0,000751;444.438;138.244.077
Dec;03;2018;0,000778;413.220;143.196.149
Dec;02;2018;0,000827;166.746;152.172.884
Dec;01;2018;0,000853;210.937;157.046.178
Nov;30;2018;0,000794;180.414;146.220.931
Nov;29;2018;0,000852;589.763;156.881.758
Nov;28;2018;0,000855;471.972;157.293.940
Nov;27;2018;0,000766;235.105;141.041.760
Nov;26;2018;0,000768;466.334;141.316.940
Nov;25;2018;0,000807;393.256;148.623.104
Nov;24;2018;0,000790;236.509;145.445.006
Nov;23;2018;0,000892;335.346;164.183.378
Nov;22;2018;0,000922;332.394;169.630.836
Nov;21;2018;0,000999;688.812;183.961.359
Nov;20;2018;0,000969;1.425.170;178.351.186
Nov;19;2018;0,000968;433.898;178.240.746
Nov;18;2018;0,001116;258.716;205.381.768
Nov;17;2018;0,001109;175.262;204.152.201
Nov;16;2018;0,001113;305.364;204.840.611
Nov;15;2018;0,001127;438.585;207.509.580
Nov;14;2018;0,001141;435.461;210.093.878
Nov;13;2018;0,001254;221.147;230.753.539
Nov;12;2018;0,001277;602.352;235.093.835
Nov;11;2018;0,001287;430.109;236.835.107
Nov;10;2018;0,001285;550.294;236.581.095
Nov;09;2018;0,001284;400.330;236.393.347
Nov;08;2018;0,001300;456.648;239.259.267
Nov;07;2018;0,001376;639.284;253.187.604
Nov;06;2018;0,001347;461.551;247.496.258
Nov;05;2018;0,001340;492.148;246.739.743
Nov;04;2018;0,001324;673.067;243.728.410
Nov;03;2018;0,001293;224.106;237.965.278
Nov;02;2018;0,001296;278.763;238.609.512
Nov;01;2018;0,001289;256.767;237.201.400
Oct;31;2018;0,001262;242.834;232.213.189
Oct;30;2018;0,001260;224.110;231.868.984
Oct;29;2018;0,001263;354.396;232.531.625
Oct;28;2018;0,001277;378.748;234.999.961
Oct;27;2018;0,001298;346.753;238.983.167
Oct;26;2018;0,001314;322.540;241.891.423
Oct;25;2018;0,001310;705.921;241.120.183
Oct;24;2018;0,001318;590.635;242.566.948
Oct;23;2018;0,001308;953.838;240.845.923
Oct;22;2018;0,001346;389.054;247.798.128
Oct;21;2018;0,001346;576.441;247.696.891
Oct;20;2018;0,001374;514.188;252.998.016
Oct;19;2018;0,001348;977.451;248.162.580
Oct;18;2018;0,001353;1.595.020;248.963.271
Oct;17;2018;0,001408;831.093;259.250.766
Oct;16;2018;0,001510;950.170;277.918.823
Oct;15;2018;0,001509;2.032.230;277.797.339
Oct;14;2018;0,001362;2.011.720;250.640.119
Oct;13;2018;0,001341;1.871.560;246.879.634
Oct;12;2018;0,001392;2.180.670;256.287.290
Oct;11;2018;0,001417;4.268.830;260.743.548
Oct;10;2018;0,001689;7.197.210;310.888.874
Oct;09;2018;0,001783;15.970.600;328.253.738
Oct;08;2018;0,002205;1.662.810;405.887.605
Oct;07;2018;0,002188;589.980;402.648.029
Oct;06;2018;0,002241;560.546;412.541.621
Oct;05;2018;0,002243;1.703.930;412.780.908
Oct;04;2018;0,002239;2.110.070;412.116.426
Oct;03;2018;0,002218;2.132.180;408.227.094
Oct;02;2018;0,002270;3.376.110;417.868.515
Oct;01;2018;0,002234;1.980.920;411.289.966
Sep;30;2018;0,002182;2.176.200;401.611.732
Sep;29;2018;0,002216;2.581.850;407.916.021
