Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;0,120968;11.472.558;121.270.803
Apr;10;2019;0,132084;9.041.904;132.414.316
Apr;9;2019;0,130625;9.306.068;130.951.969
Apr;8;2019;0,140582;10.753.620;140.932.938
Apr;7;2019;0,146192;8.325.480;146.557.316
Apr;6;2019;0,148977;7.920.786;149.349.651
Apr;5;2019;0,153792;10.555.860;154.176.310
Apr;4;2019;0,136916;8.933.021;137.258.630
Apr;3;2019;0,134030;13.435.885;134.365.177
Apr;2;2019;0,129358;10.731.688;129.681.688
Apr;1;2019;0,116950;4.791.093;117.242.634
Mar;31;2019;0,111737;3.494.944;112.015.906
Mar;30;2019;0,110857;3.795.737;111.134.545
Mar;29;2019;0,113539;4.366.065;113.822.890
Mar;28;2019;0,109785;3.577.165;110.059.778
Mar;27;2019;0,113700;4.562.580;113.983.804
Mar;26;2019;0,106234;4.449.974;106.499.112
Mar;25;2019;0,108606;4.711.217;108.877.909
Mar;24;2019;0,111592;4.092.246;111.871.129
Mar;23;2019;0,115563;5.772.072;115.851.874
Mar;22;2019;0,115007;11.022.972;115.294.155
Mar;21;2019;0,106981;7.818.321;107.248.764
Mar;20;2019;0,108126;5.793.794;108.396.528
Mar;19;2019;0,101552;2.913.841;101.805.799
Mar;18;2019;0,102126;2.925.853;102.381.559
Mar;17;2019;0,102438;3.514.575;102.693.983
Mar;16;2019;0,102459;3.229.382;102.715.266
Mar;15;2019;0,101977;3.834.182;102.231.586
Mar;14;2019;0,100257;7.931.032;100.507.075
Mar;13;2019;0,094001;2.912.575;94.235.927
Mar;12;2019;0,094008;3.368.807;94.242.976
Mar;11;2019;0,093280;4.128.819;93.513.604
Mar;10;2019;0,097658;3.720.312;97.902.026
Mar;9;2019;0,095785;5.532.361;96.024.182
Mar;8;2019;0,094877;6.816.744;95.114.072
Mar;7;2019;0,089133;2.750.177;89.355.542
Mar;6;2019;0,087121;2.211.478;87.338.760
Mar;5;2019;0,087990;2.293.526;88.209.583
Mar;4;2019;0,082281;2.574.884;82.487.122
Mar;3;2019;0,087714;1.642.860;87.933.472
Mar;2;2019;0,087146;1.840.634;87.363.829
Mar;1;2019;0,088614;2.274.058;88.835.062
Feb;28;2019;0,089752;2.304.426;89.976.501
Feb;27;2019;0,089580;2.332.731;89.804.152
Feb;26;2019;0,088967;2.710.243;89.189.795
Feb;25;2019;0,091844;3.423.502;92.073.637
Feb;24;2019;0,087818;9.821.229;88.037.383
Feb;23;2019;0,104628;12.619.035;104.889.307
Feb;22;2019;0,093273;5.342.873;93.506.291
Feb;21;2019;0,085747;3.005.416;85.960.815
Feb;20;2019;0,088670;3.360.964;88.891.228
