Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;0,083385;163.656.338;2.161.932.600
Apr;10;2019;0,089964;131.422.302;2.332.498.044
Apr;09;2019;0,083749;122.878.696;2.171.369.401
Apr;08;2019;0,087009;134.978.650;2.255.876.188
Apr;07;2019;0,090484;100.804.121;2.345.996.894
Apr;06;2019;0,090289;114.652.738;2.340.932.226
Apr;05;2019;0,091226;122.685.904;2.365.234.817
Apr;04;2019;0,087370;182.769.802;2.265.240.087
Apr;03;2019;0,090723;300.935.985;2.352.181.939
Apr;02;2019;0,085467;201.276.068;2.215.912.840
Apr;01;2019;0,072330;81.836.247;1.875.296.477
Mar;31;2019;0,069746;67.772.020;1.808.312.387
Mar;30;2019;0,071739;94.907.668;1.859.991.057
Mar;29;2019;0,071289;125.904.170;1.848.311.707
Mar;28;2019;0,065828;78.259.560;1.706.724.371
Mar;27;2019;0,067595;113.386.031;1.752.535.163
Mar;26;2019;0,062370;79.200.006;1.617.074.185
Mar;25;2019;0,059025;74.748.665;1.530.346.052
Mar;24;2019;0,061704;102.441.666;1.599.795.321
Mar;23;2019;0,063781;137.854.804;1.653.644.986
Mar;22;2019;0,058062;119.817.467;1.505.389.455
Mar;21;2019;0,052900;66.543.590;1.371.535.198
Mar;20;2019;0,053891;47.370.106;1.397.240.955
Mar;19;2019;0,052594;46.089.908;1.363.600.697
Mar;18;2019;0,050452;37.198.857;1.308.074.595
Mar;17;2019;0,050207;28.870.445;1.301.710.902
Mar;16;2019;0,051621;44.616.837;1.338.373.269
Mar;15;2019;0,050077;42.730.118;1.298.350.928
Mar;14;2019;0,048055;26.216.581;1.245.938.291
Mar;13;2019;0,046590;29.855.262;1.207.931.190
Mar;12;2019;0,047397;35.348.849;1.228.861.553
Mar;11;2019;0,047633;54.732.770;1.234.989.220
Mar;10;2019;0,045698;27.465.022;1.184.820.250
Mar;09;2019;0,046728;52.185.658;1.211.517.758
Mar;08;2019;0,042664;20.315.017;1.106.144.503
Mar;07;2019;0,042944;17.201.356;1.113.412.524
Mar;06;2019;0,042843;15.221.353;1.110.799.547
Mar;05;2019;0,043212;20.952.204;1.120.354.028
Mar;04;2019;0,040602;18.487.838;1.052.691.797
Mar;03;2019;0,042312;11.011.517;1.097.017.920
Mar;02;2019;0,042838;11.304.263;1.110.675.717
Mar;01;2019;0,043279;12.997.144;1.122.108.426
Feb;28;2019;0,043123;14.678.619;1.118.064.552
Feb;27;2019;0,043270;18.346.578;1.121.874.468
Feb;26;2019;0,043304;16.641.229;1.122.751.733
Feb;25;2019;0,044043;24.692.110;1.141.916.266
Feb;24;2019;0,042456;51.650.807;1.100.757.852
Feb;23;2019;0,048593;27.665.133;1.259.878.821
Feb;22;2019;0,046163;17.691.042;1.196.867.488
