Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;4,00;9.650.468;63.155.486
Apr;10;2019;4,11;5.645.587;64.870.774
Apr;09;2019;3,94;4.972.818;62.233.244
Apr;08;2019;3,99;8.058.308;62.952.763
Apr;07;2019;3,86;4.051.096;61.034.329
Apr;06;2019;3,77;3.703.010;59.488.809
Apr;05;2019;3,78;5.645.712;59.709.531
Apr;04;2019;3,66;3.914.941;57.794.072
Apr;03;2019;3,62;6.039.321;57.145.963
Apr;02;2019;3,71;7.341.599;58.607.162
Apr;01;2019;3,53;4.089.433;55.790.174
Mar;31;2019;3,59;4.475.686;56.663.763
Mar;30;2019;3,46;4.006.854;54.699.021
Mar;29;2019;3,54;3.606.183;55.952.541
Mar;28;2019;3,65;3.709.702;57.619.719
Mar;27;2019;3,53;6.829.529;55.775.895
Mar;26;2019;3,31;3.524.003;52.287.226
Mar;25;2019;3,16;2.673.460;49.960.854
Mar;24;2019;3,22;1.385.419;50.879.385
Mar;23;2019;3,25;1.812.922;51.364.896
Mar;22;2019;3,26;2.252.213;51.544.272
Mar;21;2019;3,23;3.417.298;51.014.393
Mar;20;2019;3,41;2.397.164;53.809.679
Mar;19;2019;3,37;7.008.067;53.243.841
Mar;18;2019;3,28;5.411.997;51.800.383
Mar;17;2019;3,40;3.025.095;53.651.659
Mar;16;2019;3,28;3.791.634;51.791.581
Mar;15;2019;3,37;31.110.240;53.267.103
Mar;14;2019;3,01;3.482.785;47.515.031
Mar;13;2019;2,97;2.940.196;46.924.171
Mar;12;2019;2,94;7.121.685;46.503.918
Mar;11;2019;2,86;11.649.300;45.103.429
Mar;10;2019;2,80;1.732.462;44.193.960
Mar;09;2019;2,81;2.792.170;44.414.628
Mar;08;2019;2,64;1.574.827;41.624.601
Mar;07;2019;2,61;1.398.056;41.195.912
Mar;06;2019;2,63;1.342.976;41.473.930
Mar;05;2019;2,67;1.766.290;42.098.831
Mar;04;2019;2,47;1.111.477;39.052.307
Mar;03;2019;2,58;764.868;40.763.774
Mar;02;2019;2,58;1.040.635;40.734.522
Mar;01;2019;2,63;905.095;41.515.998
Feb;28;2019;2,64;1.776.005;41.686.750
Feb;27;2019;2,74;2.342.800;43.270.090
Feb;26;2019;2,81;2.504.513;44.445.717
Feb;25;2019;2,74;1.749.850;43.275.153
Feb;24;2019;2,75;8.969.729;43.498.787
Feb;23;2019;3,02;3.687.793;47.742.580
Feb;22;2019;3,03;4.372.751;47.907.763
Feb;21;2019;3,10;12.262.692;48.992.264
Feb;20;2019;3,19;8.791.092;50.389.658
Feb;19;2019;2,79;4.365.167;44.057.827
Feb;18;2019;2,86;37.607.814;45.110.230
Feb;17;2019;2,62;12.234.693;41.387.291
Feb;16;2019;2,64;70.973.150;41.693.731
Feb;15;2019;2,60;130.879.527;41.114.832
Feb;14;2019;2,08;3.493.668;32.843.695
Feb;13;2019;2,07;4.092.555;32.628.283
Feb;12;2019;2,11;3.162.454;33.394.694
Feb;11;2019;2,12;6.603.567;33.433.215
Feb;10;2019;2,15;6.129.877;33.889.888
Feb;09;2019;2,13;21.706.331;33.703.743
Feb;08;2019;2,10;9.717.641;33.150.383
Feb;07;2019;1,95;15.582.782;30.846.188
Feb;06;2019;1,88;4.754.763;29.723.237
Feb;05;2019;1,99;2.978.913;31.353.995
Feb;04;2019;2,00;7.525.481;31.511.347
Feb;03;2019;1,95;1.992.986;30.871.207
