Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;1,37;9.652.461;76.375.165
Apr;10;2019;1,44;9.956.646;80.136.312
Apr;9;2019;1,42;9.971.721;79.001.491
Apr;8;2019;1,42;9.825.034;79.239.370
Apr;7;2019;1,41;9.807.077;78.769.835
Apr;6;2019;1,39;9.448.675;77.131.270
Apr;5;2019;1,38;9.323.643;76.718.670
Apr;4;2019;1,35;9.387.494;75.240.561
Apr;3;2019;1,33;9.125.665;74.333.902
Apr;2;2019;1,32;9.114.943;73.661.566
Apr;1;2019;1,18;8.189.852;65.753.505
Mar;31;2019;1,18;7.978.029;65.534.835
Mar;30;2019;1,19;8.170.298;66.141.363
Mar;29;2019;1,18;8.132.906;65.445.209
Mar;28;2019;1,16;7.938.144;64.658.428
Mar;27;2019;1,17;7.980.655;65.321.764
Mar;26;2019;1,12;7.663.834;62.144.582
Mar;25;2019;1,14;7.710.629;63.204.595
Mar;24;2019;1,15;9.344.968;63.900.839
Mar;23;2019;1,14;9.414.538;63.748.609
Mar;22;2019;1,14;9.305.222;63.507.916
Mar;21;2019;1,16;9.428.140;64.447.591
Mar;20;2019;1,16;9.456.482;64.757.673
Mar;19;2019;1,15;7.865.285;63.829.356
Mar;18;2019;1,15;6.089.571;63.946.408
Mar;17;2019;1,14;5.912.073;63.480.538
Mar;16;2019;1,15;6.185.445;64.172.255
Mar;15;2019;1,13;5.978.071;62.834.243
Mar;14;2019;1,12;5.986.728;62.535.098
Mar;13;2019;1,11;6.037.653;61.805.447
Mar;12;2019;1,12;6.158.236;62.288.194
Mar;11;2019;1,11;5.969.904;61.919.042
Mar;10;2019;1,12;6.155.035;62.397.991
Mar;9;2019;1,13;5.951.255;62.912.096
Mar;8;2019;1,11;5.788.092;61.674.463
Mar;7;2019;1,12;5.960.884;62.100.238
Mar;6;2019;1,12;6.035.637;62.603.680
Mar;5;2019;1,12;6.051.467;62.324.860
Mar;4;2019;1,09;5.952.068;60.651.604
Mar;3;2019;1,10;5.901.280;61.088.726
Mar;2;2019;1,11;5.942.590;61.797.152
Mar;1;2019;1,11;6.040.232;61.822.134
Feb;28;2019;1,09;5.849.332;60.578.425
Feb;27;2019;1,11;6.050.898;61.590.648
Feb;26;2019;1,10;5.929.125;61.408.652
Feb;25;2019;1,12;6.047.657;62.131.391
Feb;24;2019;1,09;5.796.745;60.646.730
Feb;23;2019;1,19;6.349.496;66.408.171
Feb;22;2019;1,15;6.083.614;63.841.334
Feb;21;2019;1,13;6.059.877;62.742.518
Feb;20;2019;1,16;6.277.718;64.488.290
Feb;19;2019;1,13;6.056.354;63.016.364
Feb;18;2019;1,13;5.994.384;62.698.834
Feb;17;2019;1,06;5.717.336;59.277.192
Feb;16;2019;1,05;5.565.913;58.358.906
Feb;15;2019;1,05;5.666.777;58.255.043
Feb;14;2019;1,04;5.434.183;57.786.888
Feb;13;2019;1,04;5.582.633;57.635.371
Feb;12;2019;1,05;5.615.350;58.226.453
Feb;11;2019;1,05;5.529.280;58.529.317
Feb;10;2019;1,07;5.726.228;59.345.563
