Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;1,02;40.429.263;94.448.456
Apr;10;2019;0,984499;37.718.266;92.186.086
Apr;9;2019;1,00;37.815.015;93.709.004
Apr;8;2019;0,962655;39.645.692;89.509.624
Apr;7;2019;1,03;40.639.169;95.052.052
Apr;6;2019;0,998851;38.116.744;90.670.679
Apr;5;2019;0,987437;39.841.730;89.268.089
Apr;4;2019;1,00;39.880.359;89.183.920
Apr;3;2019;0,987183;19.305.359;86.706.403
Apr;2;2019;1,00;44.363.617;86.746.720
Apr;1;2019;0,976880;33.509.952;86.748.752
Mar;31;2019;0,976084;27.601.902;86.326.908
Mar;30;2019;0,949467;31.259.003;83.945.686
Mar;29;2019;0,987691;33.856.627;87.139.847
Mar;28;2019;1,01;27.259.404;89.606.281
Mar;27;2019;1,01;29.660.360;89.009.558
Mar;26;2019;0,994863;36.944.037;87.472.553
Mar;25;2019;0,990815;32.978.680;87.227.113
Mar;24;2019;0,989828;37.916.596;89.393.914
Mar;23;2019;0,991054;38.837.464;89.976.771
Mar;22;2019;0,989490;37.059.464;90.074.820
Mar;21;2019;0,991527;43.119.387;92.134.990
Mar;20;2019;0,995427;41.394.932;93.597.980
Mar;19;2019;0,996242;40.748.124;95.088.693
Mar;18;2019;1,01;41.839.875;95.977.119
Mar;17;2019;0,997215;35.550.887;95.037.421
Mar;16;2019;0,997252;17.621.664;93.345.696
Mar;15;2019;0,995957;23.112.637;93.011.702
Mar;14;2019;1,00;20.996.721;92.976.759
Mar;13;2019;0,995236;22.082.835;92.443.914
Mar;12;2019;0,989467;24.039.176;87.912.034
Mar;11;2019;0,998064;53.559.770;88.675.834
Mar;10;2019;0,993164;29.095.519;88.240.528
Mar;9;2019;0,999105;34.301.166;88.768.365
Mar;8;2019;0,985922;32.229.107;87.597.022
Mar;7;2019;0,990093;29.528.233;87.967.643
Mar;6;2019;0,995215;30.651.533;88.422.674
Mar;5;2019;1,01;35.787.984;90.087.232
Mar;4;2019;1,01;32.030.396;89.748.444
Mar;3;2019;0,984961;29.452.291;87.511.696
Mar;2;2019;1,01;33.347.329;89.619.301
Mar;1;2019;1,00;50.635.548;88.252.591
Feb;28;2019;1,01;48.536.662;88.812.408
Feb;27;2019;1,02;113.474.730;89.681.616
Feb;26;2019;0,994024;28.329.318;86.779.508
Feb;25;2019;1,00;38.516.269;88.076.106
Feb;24;2019;0,972574;37.895.100;81.942.455
Feb;23;2019;1,01;39.339.748;84.866.833
Feb;22;2019;1,01;34.287.111;82.300.897
Feb;21;2019;1,01;38.259.873;82.088.247
Feb;20;2019;1,01;31.578.681;81.395.764
Feb;19;2019;0,970827;20.023.748;78.061.592
Feb;18;2019;1,01;17.502.791;80.343.212
Feb;17;2019;1,02;15.621.363;80.707.173
Feb;16;2019;0,988266;12.923.182;77.534.984
Feb;15;2019;0,978337;13.726.961;76.578.877
Feb;14;2019;0,997353;13.201.632;77.962.908
Feb;13;2019;0,978391;13.708.396;76.326.531
Feb;12;2019;1,02;13.029.215;78.933.522
Feb;11;2019;0,999669;10.813.324;77.185.692
Feb;10;2019;1,01;9.346.602;78.324.102
Feb;9;2019;1,01;8.005.522;77.843.803
Feb;8;2019;0,996167;8.697.739;75.985.005
Feb;7;2019;1,01;9.254.547;77.365.215
Feb;6;2019;1,00;9.085.588;77.079.071
Feb;5;2019;0,989411;9.935.026;75.717.941
Feb;4;2019;0,998485;10.146.683;76.328.896
Feb;3;2019;1,00;11.033.539;76.137.336
Feb;2;2019;1,02;11.436.808;77.444.703
Feb;1;2019;1,01;11.484.677;76.481.766
Jan;31;2019;1,00;11.504.641;75.485.597
Jan;30;2019;1,01;11.164.740;76.357.471
Jan;29;2019;1,01;11.426.952;75.600.133
Jan;28;2019;1,01;7.534.741;75.409.569
Jan;27;2019;1,01;5.854.937;74.946.558
Jan;26;2019;1,00;6.458.431;74.705.140
Jan;25;2019;1,00;8.740.928;74.365.501
Jan;24;2019;1,01;7.978.541;74.759.683
Jan;23;2019;1,00;4.600.515;73.789.785
Jan;22;2019;0,997098;4.425.916;72.883.094
Jan;21;2019;1,00;6.181.871;73.158.111
Jan;20;2019;1,01;3.807.658;73.133.023
Jan;19;2019;1,01;4.679.441;72.534.768
Jan;18;2019;1,01;5.212.841;72.207.907
Jan;17;2019;0,998783;5.113.906;71.283.350
Jan;16;2019;1,01;5.926.782;72.612.180
Jan;15;2019;1,02;8.249.655;72.915.313
Jan;14;2019;0,994819;9.730.297;70.870.136
Jan;13;2019;1,02;6.277.846;71.548.492
Jan;12;2019;1,02;8.020.183;71.478.057
Jan;11;2019;1,01;5.226.625;70.664.756
Jan;10;2019;1,00;8.503.820;70.408.407
Jan;9;2019;0,988245;4.937.997;69.725.524
Jan;8;2019;1,00;2.936.545;70.131.713
Jan;7;2019;1,01;3.019.767;70.847.623
Jan;6;2019;1,01;4.126.079;70.687.681
Jan;5;2019;1,01;5.180.912;70.339.842
Jan;4;2019;1,01;3.072.791;69.847.469
Jan;3;2019;1,01;4.473.905;70.647.221
Jan;2;2019;1,01;4.121.511;70.606.766
Jan;1;2019;1,01;3.837.349;70.366.163
Dec;31;2018;1,01;3.543.127;70.183.293
Dec;30;2018;1,01;4.136.805;69.541.563
Dec;29;2018;1,01;4.526.737;69.602.899
Dec;28;2018;1,01;96.360.868;68.293.678
Dec;27;2018;1,02;4.942.277;68.223.444
Dec;26;2018;1,00;5.965.971;67.717.109
Dec;25;2018;1,00;5.066.204;66.534.121
Dec;24;2018;1,01;10.641.554;66.794.568
Dec;23;2018;0,998809;12.434.294;64.166.805
Dec;22;2018;1,01;5.449.080;61.028.314
Dec;21;2018;1,01;5.019.318;59.449.681
Dec;20;2018;1,01;5.944.918;58.469.511
Dec;19;2018;1,01;5.574.122;57.135.409
Dec;18;2018;1,01;4.268.478;55.680.600
Dec;17;2018;1,06;12.625.816;58.236.214
Dec;16;2018;1,02;6.793.794;55.613.849
Dec;15;2018;1,02;3.379.479;55.291.116
Dec;14;2018;1,02;4.029.631;54.973.820
Dec;13;2018;1,02;7.598.073;55.226.108
Dec;12;2018;1,03;4.470.815;56.533.537
Dec;11;2018;1,05;2.859.692;57.802.724
Dec;10;2018;1,03;3.214.730;56.618.081
Dec;9;2018;1,03;4.206.208;56.401.593
Dec;8;2018;1,03;5.503.502;55.852.836
Dec;7;2018;1,02;13.417.396;55.182.425
Dec;6;2018;1,02;6.705.020;61.935.418
Dec;5;2018;1,00;4.869.101;63.525.667
Dec;4;2018;1,00;4.744.581;63.060.738
Dec;3;2018;0,996607;5.244.497;62.389.906
Dec;2;2018;0,999485;4.452.265;62.522.383
Dec;1;2018;1,01;5.350.376;62.144.953
Nov;30;2018;1,00;5.659.827;61.552.299
Nov;29;2018;1,00;5.515.169;61.323.133
Nov;28;2018;1,00;6.127.660;61.038.386
Nov;27;2018;0,997195;4.355.200;60.034.420
Nov;26;2018;1,01;10.764.800;59.110.146
Nov;25;2018;1,01;18.137.300;58.853.002
Nov;24;2018;1,01;5.189.650;66.162.815
Nov;23;2018;1,01;6.038.560;66.723.266
Nov;22;2018;1,00;5.126.160;67.323.345
Nov;21;2018;1,00;5.559.010;65.879.085
Nov;20;2018;1,01;21.751.000;66.584.160
Nov;19;2018;0,992815;15.326.700;73.770.351
Nov;18;2018;0,999093;3.753.990;76.729.616
Nov;17;2018;0,995261;3.965.980;76.499.509
Nov;16;2018;0,987886;6.805.100;75.599.816
Nov;15;2018;0,992695;9.209.190;73.049.733
Nov;14;2018;0,986830;14.105.900;71.000.701
Nov;13;2018;1,01;4.388.690;71.828.904
Nov;12;2018;0,998921;4.070.470;70.983.463
Nov;11;2018;1,00;3.794.700;71.091.619
Nov;10;2018;1,00;3.181.490;71.150.391
Nov;9;2018;1,01;4.669.050;70.945.758
Nov;8;2018;0,999639;4.527.080;70.391.363
Nov;7;2018;0,997817;6.911.620;69.580.363
Nov;6;2018;0,987118;5.682.200;68.355.502
Nov;5;2018;0,994001;4.317.500;68.081.152
Nov;4;2018;0,988937;4.568.610;67.359.164
Nov;3;2018;1,00;3.913.300;67.943.686
Nov;2;2018;0,995856;4.053.430;67.592.645
Nov;1;2018;1,02;4.097.410;68.700.425
Oct;31;2018;0,991646;3.930.820;66.873.971
Oct;30;2018;1,00;3.792.520;67.341.468
Oct;29;2018;1,00;5.371.790;67.322.536
Oct;28;2018;1,01;3.472.260;67.258.582
Oct;27;2018;1,01;3.300.220;67.113.722
Oct;26;2018;1,01;4.749.420;66.903.810
Oct;25;2018;1,01;3.618.390;66.634.654
Oct;24;2018;1,01;4.014.170;66.258.859
Oct;23;2018;1,02;8.070.530;66.573.854
Oct;22;2018;1,02;7.577.340;64.105.535
Oct;21;2018;1,02;5.951.830;64.269.148
Oct;20;2018;1,02;8.819.070;64.561.365
Oct;19;2018;0,994802;3.370.670;62.635.360
Oct;18;2018;0,986425;5.440.820;62.083.462
Oct;17;2018;0,997244;2.696.970;62.615.559
Oct;16;2018;1,01;2.878.240;63.194.089
Oct;15;2018;1,01;12.697.400;63.127.515
Oct;14;2018;0,998915;4.908.650;60.831.258
Oct;13;2018;0,990107;4.017.320;60.174.476
Oct;12;2018;0,995594;4.608.660;60.383.750
Oct;11;2018;0,995635;17.101.100;59.700.920
Oct;10;2018;0,997104;4.357.550;59.767.722
Oct;9;2018;0,997877;4.874.310;59.634.019
Oct;8;2018;0,995611;6.156.700;59.273.580
Oct;7;2018;0,996869;3.777.380;58.672.238
Oct;6;2018;0,997075;4.081.560;58.320.843
Oct;5;2018;1,00;4.429.360;58.229.802
Oct;4;2018;0,998302;3.392.870;57.414.968
Oct;3;2018;0,998552;4.490.640;56.834.694
Oct;2;2018;0,998465;4.259.540;56.323.079
Oct;1;2018;0,997461;3.184.430;55.967.061
Sep;30;2018;0,999035;4.479.720;55.805.764
Sep;29;2018;1,00;4.147.020;55.695.651
Sep;28;2018;1,00;8.027.220;55.696.983
Sep;27;2018;0,997903;8.241.220;55.515.770
Sep;26;2018;1,00;4.261.230;55.491.512
Sep;25;2018;1,00;5.113.910;55.362.676
Sep;24;2018;1,00;10.512.800;55.160.426
Sep;23;2018;0,996949;33.564.800;53.962.439
Sep;22;2018;0,998604;12.019.900;53.890.467
Sep;21;2018;0,997540;39.220.700;53.274.179
Sep;20;2018;1,00;7.948.540;52.954.310
Sep;19;2018;1,00;10.798.100;52.754.860
Sep;18;2018;1,00;24.204.400;52.698.713
Sep;17;2018;1,00;9.380.440;52.194.559
Sep;16;2018;1,00;5.972.970;52.287.445
Sep;15;2018;1,00;6.622.040;50.433.528
Sep;14;2018;0,996058;10.297.000;49.610.915
Sep;13;2018;0,997925;12.236.500;49.003.503
Sep;12;2018;1,00;12.809.500;47.462.000
Sep;11;2018;1,00;10.582.600;46.640.436
Sep;10;2018;1,01;9.090.990;46.265.151
Sep;9;2018;1,02;7.240.820;43.562.796
Sep;8;2018;1,01;8.972.340;43.313.089
Sep;7;2018;1,01;4.001.420;43.200.818
Sep;6;2018;1,01;10.280.800;41.235.525
Sep;5;2018;1,05;5.876.280;48.646.250
Sep;4;2018;0,997749;1.882.410;49.247.842
Sep;3;2018;0,995547;821.729;48.833.729
Sep;2;2018;0,998303;636.769;48.911.932
Sep;1;2018;1,00;1.050.980;49.113.459
Aug;31;2018;1,00;270.906;48.666.889
Aug;30;2018;0,995962;758.294;48.468.966
Aug;29;2018;1,01;391.756;48.969.852
Aug;28;2018;1,00;1.480.480;48.749.512
Aug;27;2018;1,01;751.372;48.791.842
Aug;26;2018;1,01;636.561;48.769.521
Aug;25;2018;1,00;310.684;48.226.647
Aug;24;2018;1,02;394.931;48.842.312
Aug;23;2018;1,01;369.065;48.424.431
Aug;22;2018;1,01;1.197.470;47.878.946
Aug;21;2018;1,01;1.026.280;47.564.764
Aug;20;2018;1,01;1.015.790;47.726.100
Aug;19;2018;0,999454;580.230;47.096.924
Aug;18;2018;1,00;1.470.450;47.108.058
Aug;17;2018;0,993530;1.033.970;46.541.813
Aug;16;2018;1,01;399.819;46.890.755
Aug;15;2018;1,01;2.147.990;46.937.071
Aug;14;2018;1,01;9.357.680;46.721.454
Aug;13;2018;1,01;6.182.400;50.732.880
Aug;12;2018;1,00;1.616.190;53.090.001
Aug;11;2018;1,01;4.290.770;52.996.275
Aug;10;2018;1,00;6.195.140;54.020.697
Aug;9;2018;0,995403;751.930;55.370.809
Aug;8;2018;0,995279;6.086.840;54.734.528
Aug;7;2018;0,996362;2.176.400;54.946.503
Aug;6;2018;0,991460;652.496;55.283.516
Aug;5;2018;0,996149;224.955;55.412.781
Aug;4;2018;1,00;580.819;55.620.393
Aug;3;2018;1,00;717.854;55.592.885
Aug;2;2018;0,997893;224.732;55.234.961
Aug;1;2018;1,00;635.514;55.300.008
Jul;31;2018;0,997526;348.169;55.148.210
Jul;30;2018;0,994971;460.799;54.882.997
Jul;29;2018;0,995618;312.947;54.843.781
Jul;28;2018;0,997041;319.282;54.867.420
Jul;27;2018;0,993514;1.120.760;54.635.396
Jul;26;2018;0,997860;482.026;54.802.598
Jul;25;2018;0,987379;552.932;54.190.177
Jul;24;2018;0,990916;467.073;54.319.830
