Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;0,052918;6.992.865;55.571.854
Apr;10;2019;0,056396;8.649.778;59.223.768
Apr;9;2019;0,057383;11.148.788;60.260.429
Apr;8;2019;0,059182;5.866.874;62.149.812
Apr;7;2019;0,061069;7.081.075;64.131.131
Apr;6;2019;0,058987;3.399.883;61.944.194
Apr;5;2019;0,060321;3.841.260;63.345.549
Apr;4;2019;0,059850;4.381.627;62.850.987
Apr;3;2019;0,056714;8.374.454;59.557.902
Apr;2;2019;0,057946;10.626.058;60.851.944
Apr;1;2019;0,056332;6.107.028;59.156.803
Mar;31;2019;0,056431;13.881.097;59.260.922
Mar;30;2019;0,056562;21.772.084;59.398.341
Mar;29;2019;0,060072;98.713.572;63.083.636
Mar;28;2019;0,066117;120.530.489;69.432.564
Mar;27;2019;0,052278;3.168.754;54.899.123
Mar;26;2019;0,050707;2.901.987;53.249.057
Mar;25;2019;0,050512;3.384.829;53.044.458
Mar;24;2019;0,052160;5.220.619;54.775.858
Mar;23;2019;0,050655;2.295.634;53.195.011
Mar;22;2019;0,049368;2.765.268;51.843.084
Mar;21;2019;0,048639;2.847.705;51.077.539
Mar;20;2019;0,050632;2.867.254;53.171.031
Mar;19;2019;0,050069;2.892.788;52.579.682
Mar;18;2019;0,052163;4.542.225;54.778.776
Mar;17;2019;0,050414;2.695.284;52.942.097
Mar;16;2019;0,049001;2.238.361;51.458.427
Mar;15;2019;0,049305;3.140.564;51.777.315
Mar;14;2019;0,047663;2.806.305;50.053.281
Mar;13;2019;0,047686;2.393.180;50.076.605
Mar;12;2019;0,047050;2.711.497;49.409.034
Mar;11;2019;0,044725;3.162.328;46.967.610
Mar;10;2019;0,047799;3.213.151;50.195.819
Mar;9;2019;0,047615;10.519.554;50.002.927
Mar;8;2019;0,045030;13.560.293;47.288.090
Mar;7;2019;0,041637;2.536.932;43.725.207
Mar;6;2019;0,042136;2.452.502;44.248.625
Mar;5;2019;0,043168;3.487.523;45.332.738
Mar;4;2019;0,039908;3.166.266;41.909.325
Mar;3;2019;0,041163;2.544.800;43.226.886
Mar;2;2019;0,042747;4.325.396;44.890.774
Mar;1;2019;0,042727;5.605.860;44.869.394
Feb;28;2019;0,043854;7.355.346;46.053.420
Feb;27;2019;0,042852;17.867.199;45.000.473
Feb;26;2019;0,049183;32.528.044;51.648.798
Feb;25;2019;0,036498;1.704.504;38.327.820
Feb;24;2019;0,035979;2.296.980;37.783.072
Feb;23;2019;0,038473;2.056.285;40.401.951
Feb;22;2019;0,038552;1.238.491;40.485.491
Feb;21;2019;0,036235;1.628.645;38.051.794
Feb;20;2019;0,038807;1.549.778;40.752.360
Feb;19;2019;0,038514;2.201.277;40.445.062
Feb;18;2019;0,039358;2.057.740;41.331.354
Feb;17;2019;0,035995;2.180.910;37.800.030
Feb;16;2019;0,037274;3.195.915;39.143.455
Feb;15;2019;0,034851;1.333.716;36.598.389
Feb;14;2019;0,034062;1.830.432;35.769.509
Feb;13;2019;0,034702;1.722.455;36.442.229
Feb;12;2019;0,034999;1.693.130;36.753.637
Feb;11;2019;0,033946;1.634.592;35.647.727
Feb;10;2019;0,034967;1.244.188;36.720.324
Feb;9;2019;0,034988;1.239.386;36.742.281
Feb;8;2019;0,035666;1.913.214;37.454.220
Feb;7;2019;0,032052;920.000;33.658.653
Feb;6;2019;0,032316;2.250.483;33.936.830
Feb;5;2019;0,034970;1.842.135;36.723.418
Feb;4;2019;0,032848;997.220;34.494.800
Feb;3;2019;0,033800;1.315.105;35.494.785
Feb;2;2019;0,035428;1.008.128;37.204.501
Feb;1;2019;0,033953;1.047.722;35.655.638
Jan;31;2019;0,034013;1.248.411;35.718.012
Jan;30;2019;0,035508;1.395.372;37.288.537
Jan;29;2019;0,034646;1.803.281;36.382.703
Jan;28;2019;0,035767;2.460.952;37.560.378
Jan;27;2019;0,037661;2.316.775;39.549.365
Jan;26;2019;0,040187;3.605.168;42.202.477
Jan;25;2019;0,039319;1.867.433;41.290.473
Jan;24;2019;0,039137;1.874.377;41.099.258
Jan;23;2019;0,038355;2.139.736;40.278.295
Jan;22;2019;0,039395;2.573.012;41.370.081
Jan;21;2019;0,038121;1.885.303;40.032.190
Jan;20;2019;0,038739;2.113.452;40.681.723
Jan;19;2019;0,040427;1.955.026;42.454.456
Jan;18;2019;0,039737;2.287.180;41.729.425
Jan;17;2019;0,040807;3.476.512;42.853.008
Jan;16;2019;0,040658;3.414.714;42.696.762
Jan;15;2019;0,036984;2.537.097;38.838.072
Jan;14;2019;0,038338;2.138.129;40.259.801
Jan;13;2019;0,035502;2.901.442;37.281.793
Jan;12;2019;0,038846;2.049.907;40.793.972
Jan;11;2019;0,039137;2.087.975;41.099.400
Jan;10;2019;0,038827;3.614.002;40.774.119
Jan;9;2019;0,046507;2.347.018;48.839.187
Jan;8;2019;0,045028;2.070.780;47.285.900
Jan;7;2019;0,045331;1.896.650;47.604.465
Jan;6;2019;0,046287;2.071.111;48.608.005
Jan;5;2019;0,045486;2.600.855;47.766.548
Jan;4;2019;0,045770;2.147.433;48.064.824
Jan;3;2019;0,044282;1.905.546;46.501.936
Jan;2;2019;0,046981;2.705.957;49.336.677
Jan;1;2019;0,046765;2.433.291;49.109.537
Dec;31;2018;0,045422;1.961.467;47.699.470
Dec;30;2018;0,048894;2.512.916;51.345.249
Dec;29;2018;0,049016;3.076.091;51.473.428
Dec;28;2018;0,051505;5.546.172;54.087.455
Dec;27;2018;0,045251;2.287.961;47.520.138
Dec;26;2018;0,050022;2.126.919;52.530.043
Dec;25;2018;0,050250;2.558.309;52.769.416
Dec;24;2018;0,055417;5.444.153;58.195.719
Dec;23;2018;0,057255;3.756.953;60.125.894
Dec;22;2018;0,056919;3.838.520;59.772.825
Dec;21;2018;0,054290;4.859.334;57.011.791
Dec;20;2018;0,053462;4.590.954;56.143.010
Dec;19;2018;0,048015;4.482.321;50.422.778
Dec;18;2018;0,049461;4.062.315;51.941.484
Dec;17;2018;0,048837;3.091.926;51.285.948
Dec;16;2018;0,045431;2.349.640;47.709.037
Dec;15;2018;0,043542;2.212.610;45.725.547
Dec;14;2018;0,043710;2.777.406;45.902.093
Dec;13;2018;0,048917;2.941.396;51.369.851
Dec;12;2018;0,054060;2.831.988;56.770.587
Dec;11;2018;0,053255;5.231.296;55.925.173
Dec;10;2018;0,058134;15.076.812;61.049.158
Dec;9;2018;0,061120;8.979.963;64.184.822
Dec;8;2018;0,058971;8.561.630;61.927.911
Dec;7;2018;0,056486;12.108.310;59.318.642
Dec;6;2018;0,054571;8.328.731;57.307.441
Dec;5;2018;0,057822;7.558.526;60.721.469
Dec;4;2018;0,065295;8.649.669;68.569.027
Dec;3;2018;0,069761;14.189.134;73.258.994
Dec;2;2018;0,063725;3.694.950;66.920.184
Dec;1;2018;0,063591;3.812.489;66.779.599
Nov;30;2018;0,057589;3.684.870;60.477.061
Nov;29;2018;0,060943;2.610.241;63.998.588
Nov;28;2018;0,060328;3.138.200;63.352.517
Nov;27;2018;0,052465;2.458.290;55.095.464
Nov;26;2018;0,051537;2.810.670;54.120.618
Nov;25;2018;0,054248;3.132.770;56.967.552
Nov;24;2018;0,053208;2.980.230;55.875.614
Nov;23;2018;0,059073;3.427.060;62.034.589
Nov;22;2018;0,060822;4.112.340;63.871.602
Nov;21;2018;0,065141;3.248.580;68.407.373
Nov;20;2018;0,058177;4.259.860;61.094.083
Nov;19;2018;0,068028;5.702.080;71.439.237
Nov;18;2018;0,086898;4.001.340;91.254.777
Nov;17;2018;0,083371;3.755.420;87.551.348
Nov;16;2018;0,086449;5.387.580;90.783.263
Nov;15;2018;0,092672;6.569.820;97.318.609
Nov;14;2018;0,087212;8.445.350;91.584.941
Nov;13;2018;0,103372;12.232.900;108.555.228
Nov;12;2018;0,101202;7.666.150;106.276.421
Nov;11;2018;0,092782;9.107.400;97.433.704
Nov;10;2018;0,094824;8.235.700;99.578.829
Nov;9;2018;0,084624;7.494.810;88.866.860
Nov;8;2018;0,086702;12.694.900;91.049.369
Nov;7;2018;0,078279;4.058.900;82.203.502
Nov;6;2018;0,077791;4.317.430;82.341.071
Nov;5;2018;0,078049;3.091.500;81.962.180
Nov;4;2018;0,077054;3.245.460;80.917.499
Nov;3;2018;0,076682;2.618.550;80.527.371
Nov;2;2018;0,078886;4.385.270;82.840.938
Nov;1;2018;0,078422;3.877.910;82.354.197
Oct;31;2018;0,074524;2.383.350;78.261.166
Oct;30;2018;0,074440;3.193.930;78.172.534
Oct;29;2018;0,072568;3.460.950;76.206.564
Oct;28;2018;0,077884;4.478.670;81.789.641
Oct;27;2018;0,077105;4.659.250;80.971.266
Oct;26;2018;0,073754;3.517.640;77.452.557
Oct;25;2018;0,072605;3.095.690;76.245.839
Oct;24;2018;0,072531;2.977.860;76.168.234
Oct;23;2018;0,073479;5.841.370;77.162.823
Oct;22;2018;0,071798;3.099.970;75.397.955
Oct;21;2018;0,072655;2.836.720;76.298.031
Oct;20;2018;0,070264;2.353.920;73.786.723
Oct;19;2018;0,069602;2.575.720;73.091.844
Oct;18;2018;0,068587;2.538.310;72.026.476
Oct;17;2018;0,070768;2.636.070;74.316.834
Oct;16;2018;0,070624;2.395.710;74.165.194
Oct;15;2018;0,069870;3.742.730;73.373.282
Oct;14;2018;0,067691;2.973.910;71.084.709
Oct;13;2018;0,068088;2.596.350;71.501.720
Oct;12;2018;0,068279;3.894.070;71.702.612
Oct;11;2018;0,067697;5.664.040;71.091.535
Oct;10;2018;0,074893;2.800.500;78.648.563
Oct;9;2018;0,075528;2.984.570;79.314.668
Oct;8;2018;0,075956;2.790.230;79.764.128
Oct;7;2018;0,076086;2.866.200;79.900.857
Oct;6;2018;0,076144;3.238.450;79.961.975
Oct;5;2018;0,079180;6.377.030;83.149.890
Oct;4;2018;0,076833;3.304.300;80.685.313
Oct;3;2018;0,073689;2.738.520;77.383.773
Oct;2;2018;0,073931;2.349.260;77.638.222
Oct;1;2018;0,074937;2.514.400;78.694.454
Sep;30;2018;0,075636;2.637.310;79.428.503
Sep;29;2018;0,075113;2.951.660;78.879.594
Sep;28;2018;0,078077;3.376.100;81.991.374
Sep;27;2018;0,077454;3.169.990;81.337.555
Sep;26;2018;0,072255;3.403.170;75.878.080
Sep;25;2018;0,071993;3.415.660;75.602.418
Sep;24;2018;0,076776;2.777.520;80.625.454
Sep;23;2018;0,078792;3.819.710;82.742.960
Sep;22;2018;0,076980;3.515.220;80.840.103
Sep;21;2018;0,079386;5.192.240;83.366.849
Sep;20;2018;0,080423;5.817.390;84.455.321
Sep;19;2018;0,072783;4.442.840;76.432.554
Sep;18;2018;0,069208;4.094.490;72.678.614
Sep;17;2018;0,065252;4.161.970;68.523.939
Sep;16;2018;0,070973;3.575.670;74.531.693
Sep;15;2018;0,072204;4.021.270;75.824.208
Sep;14;2018;0,065917;4.262.990;69.222.178
Sep;13;2018;0,067084;5.931.720;70.447.378
Sep;12;2018;0,061024;3.393.780;64.084.256
Sep;11;2018;0,058170;2.949.200;61.086.207
Sep;10;2018;0,061425;3.543.240;64.505.152
Sep;9;2018;0,064126;3.317.690;67.340.954
Sep;8;2018;0,057074;2.737.360;59.936.197
Sep;7;2018;0,061765;2.764.750;64.862.410
Sep;6;2018;0,063351;3.279.760;66.527.515
Sep;5;2018;0,064133;4.399.520;67.348.935
Sep;4;2018;0,078332;3.783.670;82.259.370
Sep;3;2018;0,077316;3.605.510;81.192.321
Sep;2;2018;0,078353;4.061.830;82.281.528
Sep;1;2018;0,079601;4.241.180;83.592.629
Aug;31;2018;0,077697;3.682.890;81.592.530
Aug;30;2018;0,077401;4.817.710;81.282.423
Aug;29;2018;0,081389;8.374.070;85.469.757
Aug;28;2018;0,074732;3.634.730;78.479.280
Aug;27;2018;0,072479;3.372.990;76.113.522
Aug;26;2018;0,068544;2.725.460;71.980.480
Aug;25;2018;0,068644;2.816.820;72.085.599
Aug;24;2018;0,068173;2.776.090;71.591.297
Aug;23;2018;0,066073;2.790.890;69.385.685
Aug;22;2018;0,063767;3.392.560;66.964.269
Aug;21;2018;0,068973;3.417.190;72.431.410
Aug;20;2018;0,067041;3.569.490;70.402.117
Aug;19;2018;0,073932;5.291.850;77.639.167
Aug;18;2018;0,070416;5.356.060;73.946.870
Aug;17;2018;0,077960;6.239.520;81.868.507
Aug;16;2018;0,066390;5.102.580;69.718.790
Aug;15;2018;0,068644;4.240.380;72.085.389
Aug;14;2018;0,064104;5.203.270;67.318.271
Aug;13;2018;0,072946;5.183.540;76.603.308
Aug;12;2018;0,078150;4.638.420;82.068.979
Aug;11;2018;0,080764;5.169.030;84.813.524
Aug;10;2018;0,080851;4.409.330;84.904.571
Aug;9;2018;0,087940;5.947.320;92.349.339
Aug;8;2018;0,081472;5.457.340;85.557.234
Aug;7;2018;0,087740;5.251.750;92.139.626
Aug;6;2018;0,094652;4.956.250;99.398.414
Aug;5;2018;0,096673;6.380.270;101.519.910
Aug;4;2018;0,092728;4.972.650;97.377.102
Aug;3;2018;0,095366;6.234.460;100.147.270
Aug;2;2018;0,100317;5.837.000;105.347.046
Aug;1;2018;0,106552;6.341.940;111.894.678
Jul;31;2018;0,111443;7.081.660;117.030.920
Jul;30;2018;0,124995;9.174.010;131.262.438
Jul;29;2018;0,134812;8.569.080;141.571.677
Jul;28;2018;0,132208;7.894.200;138.837.109
Jul;27;2018;0,127794;8.510.840;134.201.784
Jul;26;2018;0,126208;9.328.030;132.536.260
Jul;25;2018;0,137780;9.470.790;144.688.497
Jul;24;2018;0,130787;10.963.300;137.344.858
Jul;23;2018;0,132169;10.249.400;138.796.153
Jul;22;2018;0,138848;15.844.900;145.810.048
Jul;21;2018;0,126040;8.913.940;132.359.836
Jul;20;2018;0,118548;13.356.100;124.492.176
Jul;19;2018;0,117193;7.585.710;123.069.234
Jul;18;2018;0,116044;11.043.700;121.862.621
Jul;17;2018;0,124553;18.475.100;130.798.275
Jul;16;2018;0,103119;5.968.150;108.289.542
Jul;15;2018;0,095137;5.338.540;99.907.733
Jul;14;2018;0,093683;4.451.190;98.380.197
Jul;13;2018;0,094606;5.428.020;99.350.213
Jul;12;2018;0,093232;6.812.280;97.906.478
Jul;11;2018;0,095498;7.010.900;100.286.834
Jul;10;2018;0,092929;10.161.600;97.588.705
Jul;9;2018;0,103747;10.569.700;108.949.031
Jul;8;2018;0,099567;7.273.630;104.559.125
Jul;7;2018;0,102323;6.271.400;107.453.630
Jul;6;2018;0,100720;11.469.900;105.770.253
Jul;5;2018;0,104946;15.785.300;110.208.151
Jul;4;2018;0,110926;58.760.600;116.487.997
Jul;3;2018;0,154091;50.260.000;161.817.355
Jul;2;2018;0,093398;5.319.610;98.081.012
Jul;1;2018;0,087099;4.109.120;91.465.750
Jun;30;2018;0,086815;4.401.630;91.167.510
Jun;29;2018;0,083764;4.427.870;87.964.263
Jun;28;2018;0,085871;4.500.820;90.176.492
Jun;27;2018;0,093398;6.017.820;98.081.222
Jun;26;2018;0,092426;5.499.440;97.060.274
Jun;25;2018;0,098099;5.767.600;103.017.412
Jun;24;2018;0,096528;7.802.340;101.367.640
Jun;23;2018;0,094353;6.029.770;99.084.212
Jun;22;2018;0,095215;8.185.760;99.989.539
Jun;21;2018;0,099237;7.017.400;104.213.103
Jun;20;2018;0,105270;6.695.440;110.548.397
Jun;19;2018;0,103137;7.899.280;108.308.445
Jun;18;2018;0,108073;9.788.150;113.491.943
Jun;17;2018;0,112532;8.769.400;118.174.524
Jun;16;2018;0,100617;5.330.020;105.662.088
Jun;15;2018;0,098190;5.611.640;103.112.870
Jun;14;2018;0,100957;7.396.080;106.019.136
Jun;13;2018;0,099784;9.090.700;104.787.635
Jun;12;2018;0,095321;7.092.850;100.100.854
Jun;11;2018;0,097622;6.388.870;102.517.229
Jun;10;2018;0,096684;9.289.030;101.532.302
Jun;9;2018;0,104490;5.930.570;109.729.286
Jun;8;2018;0,104134;5.877.030;109.355.436
Jun;7;2018;0,105654;6.443.320;110.951.651
Jun;6;2018;0,105576;6.702.560;110.869.740
Jun;5;2018;0,098997;4.280.230;103.961.069
Jun;4;2018;0,097007;3.772.270;101.870.657
Jun;3;2018;0,105864;4.291.860;111.172.181
Jun;2;2018;0,105543;4.242.640;110.835.085
Jun;1;2018;0,101471;4.327.400;106.558.909
May;31;2018;0,105362;8.595.690;110.645.010
May;30;2018;0,095638;5.394.960;100.432.909
May;29;2018;0,092004;4.213.890;96.617.534
May;28;2018;0,084951;3.863.270;89.210.466
May;27;2018;0,088499;3.718.210;92.936.683
May;26;2018;0,093037;2.513.830;97.701.596
May;25;2018;0,094932;2.740.260;99.692.454
May;24;2018;0,099911;4.284.650;104.920.478
May;23;2018;0,097584;4.538.960;102.476.589
May;22;2018;0,107369;4.603.700;112.752.644
