Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;23,98;2.719.595;230.454.239
Apr;10;2019;25,66;4.098.155;246.538.230
Apr;9;2019;25,41;1.550.879;243.979.711
Apr;8;2019;25,98;1.560.174;249.249.705
Apr;7;2019;25,77;1.393.513;247.143.492
Apr;6;2019;25,04;2.507.960;240.010.591
Apr;5;2019;25,51;2.936.621;244.326.719
Apr;4;2019;23,42;2.366.834;224.247.032
Apr;3;2019;23,90;3.723.454;228.721.017
Apr;2;2019;23,16;3.783.099;221.521.383
Apr;1;2019;20,01;2.329.822;191.287.112
Mar;31;2019;20,26;2.313.932;193.582.445
Mar;30;2019;19,40;1.655.741;185.236.152
Mar;29;2019;19,64;1.936.720;187.392.305
Mar;28;2019;19,75;2.151.563;188.374.841
Mar;27;2019;19,55;2.337.283;186.398.239
Mar;26;2019;18,75;2.261.036;178.624.748
Mar;25;2019;19,13;2.674.288;182.217.940
Mar;24;2019;18,81;1.598.301;179.006.737
Mar;23;2019;18,96;1.679.556;180.364.406
Mar;22;2019;18,90;1.751.383;179.735.554
Mar;21;2019;18,79;1.750.291;178.584.582
Mar;20;2019;19,24;1.719.515;182.680.797
Mar;19;2019;19,22;1.710.183;182.438.915
Mar;18;2019;19,48;1.683.777;184.780.802
Mar;17;2019;19,71;1.589.879;186.837.700
Mar;16;2019;19,45;1.959.709;184.272.633
Mar;15;2019;19,80;3.106.581;187.474.886
Mar;14;2019;19,46;7.195.775;184.157.984
Mar;13;2019;18,59;3.932.665;175.899.600
Mar;12;2019;18,69;14.455.264;176.751.745
Mar;11;2019;16,85;1.820.227;159.221.641
Mar;10;2019;16,93;1.469.928;159.877.403
Mar;9;2019;16,65;1.478.191;157.129.949
Mar;8;2019;16,23;1.462.539;153.106.776
Mar;7;2019;16,38;1.731.629;154.463.967
Mar;6;2019;16,77;1.521.296;158.050.785
Mar;5;2019;16,96;1.756.291;159.764.046
Mar;4;2019;16,16;1.682.502;152.125.777
Mar;3;2019;16,66;1.636.068;156.714.589
Mar;2;2019;17,01;1.364.076;159.956.680
Mar;1;2019;16,64;1.396.642;156.408.220
Feb;28;2019;16,70;1.238.367;156.792.056
Feb;27;2019;16,72;1.338.471;156.902.726
Feb;26;2019;16,85;1.571.916;158.061.906
Feb;25;2019;16,48;1.474.651;154.476.061
Feb;24;2019;16,18;1.580.194;151.572.566
Feb;23;2019;17,92;1.379.839;167.855.523
Feb;22;2019;17,34;1.452.426;162.317.208
Feb;21;2019;16,78;1.752.731;156.943.060
Feb;20;2019;17,27;1.864.979;161.488.479
Feb;19;2019;17,55;3.235.549;163.951.294
Feb;18;2019;17,81;2.593.851;166.341.227
Feb;17;2019;17,03;1.729.811;158.942.557
Feb;16;2019;16,71;1.456.073;155.842.342
Feb;15;2019;16,71;1.402.629;155.832.483
Feb;14;2019;16,68;1.311.259;155.437.181
Feb;13;2019;16,77;1.560.393;156.184.889
Feb;12;2019;16,82;1.723.153;156.555.384
Feb;11;2019;16,69;1.398.587;155.225.539
Feb;10;2019;17,08;1.873.124;158.748.871
Feb;9;2019;16,58;1.115.167;154.063.911
Feb;8;2019;16,58;1.468.462;153.911.490
Feb;7;2019;15,19;1.461.236;140.938.460
Feb;6;2019;14,96;2.061.132;138.737.400
Feb;5;2019;15,91;1.081.837;147.434.393
Feb;4;2019;15,78;1.148.826;146.181.366
Feb;3;2019;15,95;1.438.369;147.666.667
Feb;2;2019;15,87;977.642;146.812.462
Feb;1;2019;15,89;1.191.214;146.964.098
Jan;31;2019;15,77;1.159.543;145.748.480
Jan;30;2019;16,33;1.458.878;150.864.309
Jan;29;2019;16,13;1.387.620;148.898.303
Jan;28;2019;16,53;1.476.352;152.543.614
Jan;27;2019;17,07;922.610;157.377.240
Jan;26;2019;17,21;919.684;158.621.897
Jan;25;2019;17,09;1.493.143;157.399.067
Jan;24;2019;17,42;929.976;160.394.524
Jan;23;2019;17,28;1.146.188;158.978.807
Jan;22;2019;17,27;1.335.263;158.802.778
Jan;21;2019;17,06;957.708;156.763.608
Jan;20;2019;16,64;1.086.357;152.830.888
Jan;19;2019;17,64;1.056.530;161.901.282
Jan;18;2019;17,22;1.110.171;157.953.960
Jan;17;2019;17,35;1.359.720;159.022.498
Jan;16;2019;16,98;1.928.936;155.594.747
Jan;15;2019;16,51;1.145.293;151.207.876
Jan;14;2019;16,65;1.589.369;152.373.325
Jan;13;2019;16,27;1.004.161;148.791.367
Jan;12;2019;17,51;1.331.695;160.028.532
Jan;11;2019;17,06;1.194.490;155.826.082
Jan;10;2019;16,49;1.576.944;150.532.546
Jan;9;2019;19,00;1.307.804;173.397.020
Jan;8;2019;18,39;1.538.820;167.669.521
Jan;7;2019;19,07;1.112.148;173.745.369
Jan;6;2019;19,63;955.766;178.777.711
Jan;5;2019;18,49;884.930;168.302.702
Jan;4;2019;18,56;872.722;168.857.455
Jan;3;2019;18,24;1.123.367;165.795.529
Jan;2;2019;18,42;1.045.369;167.312.119
Jan;1;2019;17,46;1.050.857;158.586.779
Dec;31;2018;16,58;2.275.825;150.490.493
Dec;30;2018;18,68;1.473.578;169.424.789
Dec;29;2018;18,21;2.214.030;164.992.554
Dec;28;2018;19,94;5.886.042;180.646.115
Dec;27;2018;16,34;909.726;147.879.573
Dec;26;2018;18,03;778.270;163.084.776
Dec;25;2018;17,97;1.169.267;162.482.268
Dec;24;2018;19,71;1.625.651;178.112.453
Dec;23;2018;19,24;1.191.517;173.721.301
Dec;22;2018;18,78;854.276;169.516.016
Dec;21;2018;18,12;1.068.897;163.388.018
Dec;20;2018;19,74;1.269.525;177.925.072
Dec;19;2018;18,31;1.118.463;164.923.904
Dec;18;2018;18,36;1.234.300;165.341.423
Dec;17;2018;16,08;923.588;144.723.896
Dec;16;2018;15,08;939.086;135.582.656
Dec;15;2018;14,55;1.051.781;130.716.500
Dec;14;2018;15,04;2.206.454;135.044.729
Dec;13;2018;14,53;760.900;130.394.961
Dec;12;2018;14,89;802.886;133.561.384
Dec;11;2018;14,77;1.006.081;132.437.837
Dec;10;2018;15,65;1.020.289;140.195.115
Dec;9;2018;17,60;925.906;157.602.599
Dec;8;2018;17,11;865.350;153.164.994
Dec;7;2018;17,23;1.534.530;154.122.063
Dec;6;2018;18,24;1.579.241;163.020.061
Dec;5;2018;18,82;915.211;168.083.507
Dec;4;2018;19,72;991.210;176.041.997
Dec;3;2018;19,27;1.025.663;171.871.701
Dec;2;2018;20,60;935.573;183.643.464
Dec;1;2018;20,67;1.171.898;184.173.398
Nov;30;2018;19,92;1.350.731;177.378.661
Nov;29;2018;21,60;1.499.264;192.220.131
Nov;28;2018;21,73;1.753.670;193.267.504
Nov;27;2018;19,79;1.002.830;175.849.848
Nov;26;2018;19,69;1.182.670;174.938.063
Nov;25;2018;21,37;1.468.980;189.687.353
Nov;24;2018;20,47;1.103.890;181.571.766
Nov;23;2018;23,07;1.527.210;204.557.062
Nov;22;2018;24,32;1.153.700;215.511.983
Nov;21;2018;26,17;1.583.450;231.755.268
Nov;20;2018;23,96;2.504.570;212.037.706
Nov;19;2018;25,91;2.990.980;229.111.620
Nov;18;2018;33,42;1.407.790;295.386.275
Nov;17;2018;32,70;1.946.570;288.784.007
Nov;16;2018;32,95;2.318.600;290.831.389
Nov;15;2018;34,45;2.574.430;303.874.005
Nov;14;2018;34,55;1.930.050;304.554.324
Nov;13;2018;39,02;1.097.430;343.789.003
Nov;12;2018;39,94;1.601.100;351.613.810
Nov;11;2018;39,28;1.254.290;345.597.514
Nov;10;2018;40,38;1.539.240;355.000.152
Nov;9;2018;40,80;1.569.910;358.524.948
Nov;8;2018;39,02;1.199.560;342.732.900
Nov;7;2018;40,92;1.212.210;359.130.057
Nov;6;2018;41,01;1.704.680;357.819.126
