Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;0,012620;1.853.692;147.170.206
Apr;10;2019;0,013997;2.049.722;163.166.043
Apr;9;2019;0,014064;2.091.770;163.888.339
Apr;8;2019;0,014678;3.854.282;170.987.695
Apr;7;2019;0,014974;1.516.860;174.382.913
Apr;6;2019;0,014846;1.685.837;172.831.463
Apr;5;2019;0,015032;1.655.964;174.937.117
Apr;4;2019;0,014468;1.611.136;168.316.149
Apr;3;2019;0,014899;5.440.226;173.265.978
Apr;2;2019;0,014685;4.862.475;170.724.909
Apr;1;2019;0,013039;2.660.320;151.528.856
Mar;31;2019;0,012570;2.476.386;146.036.680
Mar;30;2019;0,012300;3.114.334;142.842.960
Mar;29;2019;0,012069;3.433.285;140.112.784
Mar;28;2019;0,012336;970.346;143.170.136
Mar;27;2019;0,012688;1.177.587;147.202.298
Mar;26;2019;0,012226;1.328.567;141.788.014
Mar;25;2019;0,012247;1.053.877;141.988.987
Mar;24;2019;0,014449;2.456.077;167.462.166
Mar;23;2019;0,014655;2.735.435;169.786.358
Mar;22;2019;0,014571;2.873.321;168.759.004
Mar;21;2019;0,012636;1.032.291;146.297.078
Mar;20;2019;0,013466;1.281.666;155.847.972
Mar;19;2019;0,013626;1.027.965;157.645.008
Mar;18;2019;0,013674;1.575.808;158.148.719
Mar;17;2019;0,014427;861.571;166.800.169
Mar;16;2019;0,014427;1.114.513;166.734.780
Mar;15;2019;0,014310;1.029.401;165.326.764
Mar;14;2019;0,014066;1.698.511;162.455.576
Mar;13;2019;0,014169;2.446.268;163.591.287
Mar;12;2019;0,014363;8.584.760;165.769.012
Mar;11;2019;0,013024;1.582.680;150.259.335
Mar;10;2019;0,012633;993.049;145.701.101
Mar;9;2019;0,012891;1.332.627;148.624.906
Mar;8;2019;0,012267;1.865.691;141.382.851
Mar;7;2019;0,011568;1.301.564;133.278.799
Mar;6;2019;0,011309;979.615;130.253.969
Mar;5;2019;0,011392;1.669.847;131.157.581
Mar;4;2019;0,010596;983.068;121.953.641
Mar;3;2019;0,011233;821.920;129.240.927
Mar;2;2019;0,011577;1.421.894;133.145.460
Mar;1;2019;0,011626;1.575.783;133.664.790
Feb;28;2019;0,010977;640.418;126.154.686
Feb;27;2019;0,010718;2.201.051;123.137.176
Feb;26;2019;0,010644;1.907.947;122.240.857
Feb;25;2019;0,010582;2.303.680;121.490.470
Feb;24;2019;0,010304;2.807.894;118.259.625
Feb;23;2019;0,011608;2.491.914;133.178.024
Feb;22;2019;0,010358;2.185.956;118.791.826
Feb;21;2019;0,010216;2.436.000;117.124.342
Feb;20;2019;0,010084;2.283.413;115.563.192
Feb;19;2019;0,009894;1.036.539;113.352.157
Feb;18;2019;0,009870;1.016.204;113.035.945
Feb;17;2019;0,009123;1.161.542;104.447.464
Feb;16;2019;0,008938;515.744;102.286.899
Feb;15;2019;0,008989;507.939;102.831.816
Feb;14;2019;0,008992;553.325;102.832.446
Feb;13;2019;0,008876;791.291;101.475.527
Feb;12;2019;0,008745;766.958;99.941.950
Feb;11;2019;0,008949;1.520.683;102.228.551
Feb;10;2019;0,009240;834.643;105.523.807
Feb;9;2019;0,009660;520.412;110.273.495
Feb;8;2019;0,009430;917.562;107.607.096
Feb;7;2019;0,008318;566.252;94.884.611
Feb;6;2019;0,008318;702.905;94.852.118
Feb;5;2019;0,008544;606.520;97.394.541
Feb;4;2019;0,008780;481.485;100.047.666
Feb;3;2019;0,008668;380.234;98.739.880
Feb;2;2019;0,008803;498.609;100.241.679
Feb;1;2019;0,008863;658.010;100.892.395
Jan;31;2019;0,008732;440.072;99.362.194
Jan;30;2019;0,009007;745.762;102.459.744
Jan;29;2019;0,008610;669.572;97.901.171
Jan;28;2019;0,008882;857.642;100.956.338
Jan;27;2019;0,009172;481.832;104.213.978
Jan;26;2019;0,009403;341.304;106.804.459
Jan;25;2019;0,009391;427.033;106.630.283
Jan;24;2019;0,009616;711.401;109.144.149
Jan;23;2019;0,009352;1.315.134;106.107.203
Jan;22;2019;0,009614;839.658;109.036.036
Jan;21;2019;0,009403;1.291.310;106.608.774
Jan;20;2019;0,009557;581.921;108.310.376
Jan;19;2019;0,009990;744.322;113.178.291
Jan;18;2019;0,009654;1.616.418;109.329.908
Jan;17;2019;0,010171;603.467;115.143.603
Jan;16;2019;0,009821;983.657;111.145.360
Jan;15;2019;0,010054;927.040;113.741.767
Jan;14;2019;0,010159;1.404.184;114.885.199
Jan;13;2019;0,009426;950.942;106.562.596
Jan;12;2019;0,010126;1.089.332;114.426.273
Jan;11;2019;0,010152;1.340.425;114.681.305
Jan;10;2019;0,010079;1.768.822;113.813.711
Jan;9;2019;0,011554;1.314.739;130.427.402
Jan;8;2019;0,011566;1.631.036;130.512.404
Jan;7;2019;0,012197;1.968.408;137.580.126
Jan;6;2019;0,011888;1.596.385;134.047.292
Jan;5;2019;0,010911;3.157.033;122.981.919
Jan;4;2019;0,010923;1.149.643;123.077.483
Jan;3;2019;0,010846;1.533.564;122.163.947
Jan;2;2019;0,010785;1.081.040;121.425.553
Jan;1;2019;0,010740;1.497.562;120.877.893
Dec;31;2018;0,010426;735.414;117.306.235
Dec;30;2018;0,010717;807.371;120.536.271
Dec;29;2018;0,010497;1.551.149;118.009.445
Dec;28;2018;0,010496;1.702.483;117.964.777
Dec;27;2018;0,009605;865.260;107.904.710
Dec;26;2018;0,010592;835.775;118.948.744
Dec;25;2018;0,010562;1.270.659;118.565.851
Dec;24;2018;0,011974;1.325.984;134.375.681
