Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;0,005715;315.840;52.928.968
Apr;10;2019;0,006160;412.770;57.010.846
Apr;9;2019;0,006242;375.923;57.737.737
Apr;8;2019;0,006472;537.186;59.821.720
Apr;7;2019;0,006762;1.008.200;62.467.527
Apr;6;2019;0,005990;491.981;55.301.017
Apr;5;2019;0,006031;617.617;55.644.425
Apr;4;2019;0,005749;594.684;53.007.025
Apr;3;2019;0,005947;681.902;54.797.664
Apr;2;2019;0,006327;806.034;58.262.304
Apr;1;2019;0,005778;318.560;53.176.173
Mar;31;2019;0,005681;371.120;52.250.437
Mar;30;2019;0,005810;287.004;53.398.811
Mar;29;2019;0,005864;324.871;53.868.487
Mar;28;2019;0,005937;311.458;54.498.798
Mar;27;2019;0,006063;255.318;55.628.017
Mar;26;2019;0,006013;301.344;55.131.511
Mar;25;2019;0,005969;323.268;54.697.514
Mar;24;2019;0,006254;1.245.530;57.273.713
Mar;23;2019;0,006267;5.094.087;57.363.800
Mar;22;2019;0,006306;6.131.098;57.673.762
Mar;21;2019;0,006219;9.388.279;56.845.466
Mar;20;2019;0,006606;11.797.733;60.346.184
Mar;19;2019;0,006461;2.642.713;58.985.663
Mar;18;2019;0,006244;525.157;56.969.531
Mar;17;2019;0,006511;337.887;59.370.234
Mar;16;2019;0,006614;483.091;60.271.281
Mar;15;2019;0,006388;741.656;58.175.426
Mar;14;2019;0,006802;3.399.219;61.904.248
Mar;13;2019;0,006605;734.645;60.074.578
Mar;12;2019;0,005799;191.892;52.708.196
Mar;11;2019;0,005603;295.812;50.888.625
Mar;10;2019;0,005809;167.864;52.721.125
Mar;9;2019;0,005986;186.832;54.294.388
Mar;8;2019;0,006075;200.133;55.065.425
Mar;7;2019;0,006385;254.378;57.836.626
Mar;6;2019;0,005940;559.852;53.769.386
Mar;5;2019;0,006049;300.238;54.721.988
Mar;4;2019;0,006227;159.134;56.297.609
Mar;3;2019;0,006437;162.097;58.151.788
Mar;2;2019;0,006427;124.557;58.023.596
Mar;1;2019;0,006450;257.231;58.194.423
Feb;28;2019;0,006782;239.488;61.143.584
Feb;27;2019;0,006842;297.042;61.650.677
Feb;26;2019;0,006985;353.336;62.889.040
Feb;25;2019;0,007406;748.127;66.638.920
Feb;24;2019;0,007686;363.403;69.110.576
Feb;23;2019;0,007896;397.617;70.946.810
Feb;22;2019;0,007020;274.248;63.040.554
Feb;21;2019;0,007153;163.213;64.184.408
Feb;20;2019;0,007284;64.200;65.316.143
Feb;19;2019;0,007102;111.289;63.644.145
Feb;18;2019;0,007094;230.285;63.531.175
Feb;17;2019;0,006638;198.243;59.406.134
Feb;16;2019;0,006684;127.158;59.775.382
Feb;15;2019;0,006636;199.105;59.303.324
Feb;14;2019;0,006530;212.849;58.317.562
Feb;13;2019;0,006783;222.544;60.540.346
Feb;12;2019;0,006781;310.158;60.479.097
Feb;11;2019;0,007155;162.613;63.767.684
Feb;10;2019;0,007321;125.743;65.197.881
Feb;9;2019;0,007282;113.058;64.811.101
Feb;8;2019;0,007310;191.352;65.013.001
Feb;7;2019;0,006773;182.547;60.199.802
Feb;6;2019;0,006384;127.960;56.697.793
Feb;5;2019;0,006703;161.703;59.485.428
Feb;4;2019;0,006831;141.965;60.587.307
Feb;3;2019;0,006920;97.506;61.332.865
Feb;2;2019;0,007044;298.125;62.406.148
Feb;1;2019;0,006790;253.865;60.113.099
Jan;31;2019;0,006292;395.581;55.660.764
Jan;30;2019;0,006228;194.200;55.057.632
Jan;29;2019;0,006293;216.297;55.595.643
Jan;28;2019;0,006465;495.372;57.073.921
Jan;27;2019;0,006980;425.816;61.577.065
Jan;26;2019;0,006899;404.392;60.825.118
Jan;25;2019;0,006678;453.377;58.830.890
Jan;24;2019;0,006934;251.862;61.040.839
Jan;23;2019;0,006916;250.076;60.835.503
Jan;22;2019;0,007077;285.336;62.212.767
Jan;21;2019;0,007180;183.073;63.068.780
Jan;20;2019;0,006956;239.202;61.055.275
Jan;19;2019;0,007314;392.844;64.151.363
Jan;18;2019;0,006357;279.464;55.722.974
Jan;17;2019;0,005833;367.776;51.088.743
Jan;16;2019;0,005986;251.907;52.386.450
Jan;15;2019;0,006172;169.885;53.968.217
Jan;14;2019;0,006480;332.837;56.621.040
Jan;13;2019;0,006369;184.548;55.610.942
Jan;12;2019;0,006628;221.853;57.833.562
Jan;11;2019;0,006707;366.792;58.479.395
Jan;10;2019;0,006724;440.640;58.582.188
Jan;9;2019;0,007505;269.198;65.337.308
Jan;8;2019;0,007541;391.138;65.604.797
Jan;7;2019;0,007720;256.543;67.112.605
Jan;6;2019;0,007790;200.797;67.666.565
Jan;5;2019;0,007303;194.631;63.390.546
Jan;4;2019;0,007379;280.648;63.999.734
Jan;3;2019;0,007458;326.697;64.642.497
Jan;2;2019;0,007734;257.223;66.993.822
Jan;1;2019;0,007622;110.992;65.975.582
Dec;31;2018;0,007396;144.086;63.974.834
Dec;30;2018;0,007683;148.694;66.409.658
Dec;29;2018;0,007604;175.903;65.670.766
Dec;28;2018;0,007898;196.686;68.153.700
Dec;27;2018;0,007219;202.138;62.244.620
Dec;26;2018;0,007814;207.567;67.320.236
Dec;25;2018;0,007441;573.442;64.060.413
Dec;24;2018;0,008123;376.562;69.884.491
Dec;23;2018;0,008056;268.906;69.250.245
Dec;22;2018;0,007979;572.202;68.538.191
Dec;21;2018;0,007787;409.179;66.848.383
Dec;20;2018;0,008337;835.884;71.513.411
Dec;19;2018;0,007267;567.496;62.285.187
Dec;18;2018;0,007069;877.050;60.538.656
Dec;17;2018;0,006880;293.451;58.875.456
Dec;16;2018;0,006331;432.291;54.124.081
Dec;15;2018;0,006220;135.021;53.142.438
Dec;14;2018;0,006212;275.984;53.027.974
Dec;13;2018;0,006414;243.811;54.707.243
Dec;12;2018;0,007026;346.844;59.757.975
Dec;11;2018;0,006530;229.196;55.542.263
Dec;10;2018;0,006731;221.822;57.249.974
Dec;9;2018;0,007145;346.246;60.755.711
Dec;8;2018;0,006443;201.237;54.737.154
Dec;7;2018;0,006210;593.774;52.715.011
Dec;6;2018;0,006482;437.473;54.987.149
Dec;5;2018;0,007239;349.150;61.354.670
Dec;4;2018;0,007905;233.064;66.948.608
Dec;3;2018;0,007945;217.218;67.235.635
Dec;2;2018;0,008524;123.038;72.081.201
Dec;1;2018;0,008718;213.070;73.655.986
Nov;30;2018;0,008257;233.269;69.707.086
Nov;29;2018;0,008922;341.003;75.254.401
Nov;28;2018;0,009100;645.409;76.691.964
Nov;27;2018;0,007941;360.170;66.871.774
Nov;26;2018;0,007888;324.253;66.382.691
Nov;25;2018;0,008495;502.177;71.429.346
Nov;24;2018;0,008010;306.524;67.294.701
Nov;23;2018;0,009101;649.279;76.399.951
Nov;22;2018;0,009235;378.026;77.464.697
Nov;21;2018;0,010338;567.836;86.643.193
Nov;20;2018;0,009569;1.285.630;80.135.393
Nov;19;2018;0,009538;915.662;79.811.293
Nov;18;2018;0,012360;356.464;103.335.852
Nov;17;2018;0,012709;333.356;106.175.727
Nov;16;2018;0,013231;715.804;110.443.436
Nov;15;2018;0,012464;995.714;103.940.696
Nov;14;2018;0,012519;1.199.850;104.324.480
Nov;13;2018;0,014839;889.300;123.563.287
Nov;12;2018;0,015071;3.562.960;125.393.475
Nov;11;2018;0,014865;4.031.810;123.570.257
Nov;10;2018;0,015306;3.194.060;127.128.630
Nov;9;2018;0,014931;4.106.190;123.926.766
Nov;8;2018;0,016607;1.689.610;137.726.074
Nov;7;2018;0,017418;1.297.790;144.332.387
Nov;6;2018;0,018156;920.768;150.397.180
Nov;5;2018;0,018175;2.327.700;150.351.001
Nov;4;2018;0,018358;1.080.980;151.719.831
Nov;3;2018;0,018666;1.185.110;154.155.172
Nov;2;2018;0,019137;1.243.040;157.916.586
Nov;1;2018;0,018559;640.766;153.011.081
Oct;31;2018;0,017748;987.043;146.197.575
Oct;30;2018;0,018477;1.149.360;152.069.748
Oct;29;2018;0,017607;981.243;144.787.880
Oct;28;2018;0,018797;1.099.120;154.427.520
Oct;27;2018;0,017870;1.454.030;146.691.458
Oct;26;2018;0,017107;3.720.160;140.305.665
Oct;25;2018;0,014273;1.861.140;116.960.269
Oct;24;2018;0,016500;1.206.270;135.093.181
Oct;23;2018;0,016316;1.682.300;133.461.834
Oct;22;2018;0,018948;905.303;154.858.697
Oct;21;2018;0,019487;377.971;159.127.774
Oct;20;2018;0,019676;518.292;160.533.827
Oct;19;2018;0,019592;781.491;159.705.249
Oct;18;2018;0,019517;1.318.490;158.945.524
Oct;17;2018;0,019832;2.277.890;161.383.009
Oct;16;2018;0,022341;922.106;181.623.700
Oct;15;2018;0,022873;1.517.050;185.777.802
Oct;14;2018;0,021846;672.381;177.296.968
Oct;13;2018;0,021735;992.835;176.239.612
Oct;12;2018;0,021487;1.210.850;174.071.738
Oct;11;2018;0,021527;2.018.720;174.242.428
Oct;10;2018;0,025055;2.026.270;202.613.709
Oct;9;2018;0,025056;2.195.950;202.440.119
Oct;8;2018;0,022467;1.640.280;181.364.823
Oct;7;2018;0,022881;2.608.070;184.525.806
Oct;6;2018;0,020391;883.750;164.303.708
Oct;5;2018;0,020140;654.649;162.132.296
Oct;4;2018;0,019673;854.129;158.234.805
Oct;3;2018;0,019447;928.875;156.261.756
Oct;2;2018;0,019913;1.233.900;159.865.902
Oct;1;2018;0,019728;1.843.320;158.236.286
Sep;30;2018;0,020445;1.953.640;163.840.404
Sep;29;2018;0,021683;4.746.440;173.601.147
Sep;28;2018;0,020411;9.232.460;163.268.741
Sep;27;2018;0,026760;9.791.630;213.853.303
Sep;26;2018;0,015920;3.072.680;127.102.385
Sep;25;2018;0,012802;1.265.360;102.116.281
Sep;24;2018;0,011938;2.499.100;95.126.696
Sep;23;2018;0,014041;5.112.860;111.777.592
Sep;22;2018;0,011560;2.421.310;91.938.032
Sep;21;2018;0,008949;953.243;71.112.298
Sep;20;2018;0,006831;1.298.290;54.229.250
Sep;19;2018;0,005928;317.585;47.009.062
Sep;18;2018;0,005386;178.370;42.666.915
Sep;17;2018;0,005172;190.140;40.937.659
Sep;16;2018;0,005513;182.170;43.594.215
Sep;15;2018;0,005545;146.541;43.802.501
Sep;14;2018;0,005539;224.962;43.711.311
Sep;13;2018;0,005586;214.978;44.044.346
Sep;12;2018;0,005231;209.066;41.203.385
Sep;11;2018;0,005172;211.773;40.698.546
Sep;10;2018;0,005294;205.183;41.619.647
Sep;9;2018;0,005266;176.082;41.357.610
Sep;8;2018;0,005314;264.994;41.697.595
Sep;7;2018;0,005267;287.794;41.287.685
Sep;6;2018;0,005246;294.534;41.075.907
Sep;5;2018;0,005357;260.555;41.909.506
Sep;4;2018;0,006108;293.995;47.736.135
Sep;3;2018;0,006164;263.783;48.129.219
Sep;2;2018;0,006423;276.542;50.102.466
Sep;1;2018;0,006289;283.799;49.006.645
Aug;31;2018;0,005934;272.291;46.194.402
Aug;30;2018;0,005952;240.871;46.286.554
Aug;29;2018;0,006081;240.011;47.245.100
Aug;28;2018;0,006268;405.078;48.648.886
Aug;27;2018;0,006061;274.021;46.993.199
Aug;26;2018;0,006000;229.282;46.479.539
Aug;25;2018;0,005988;271.108;46.330.461
Aug;24;2018;0,006018;302.913;46.521.479
Aug;23;2018;0,006096;541.817;47.072.741
Aug;22;2018;0,006130;351.351;47.287.882
Aug;21;2018;0,006548;467.264;50.460.160
