Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;0,137210;11.301.479;105.255.139
Apr;10;2019;0,148751;13.279.725;114.108.046
Apr;9;2019;0,150991;26.162.457;115.811.460
Apr;8;2019;0,146358;13.257.593;112.257.478
Apr;7;2019;0,153957;10.533.501;118.085.921
Apr;6;2019;0,152714;13.633.058;117.132.554
Apr;5;2019;0,157059;16.981.763;120.465.555
Apr;4;2019;0,163810;41.395.941;125.643.494
Apr;3;2019;0,148546;16.932.311;113.936.028
Apr;2;2019;0,153160;18.780.674;117.475.227
Apr;1;2019;0,150044;10.121.747;115.084.804
Mar;31;2019;0,150423;14.581.881;115.375.504
Mar;30;2019;0,149815;12.830.689;114.909.478
Mar;29;2019;0,158242;9.676.561;121.372.878
Mar;28;2019;0,164760;7.539.807;126.371.935
Mar;27;2019;0,168601;11.147.519;129.318.045
Mar;26;2019;0,165490;13.765.750;126.931.776
Mar;25;2019;0,169525;18.182.171;130.027.051
Mar;24;2019;0,184879;16.003.640;141.804.038
Mar;23;2019;0,184943;10.983.403;141.852.427
Mar;22;2019;0,190056;26.217.258;145.774.683
Mar;21;2019;0,190505;33.261.059;146.119.236
Mar;20;2019;0,187751;21.223.425;144.006.559
Mar;19;2019;0,189212;58.551.047;145.127.368
Mar;18;2019;0,200244;140.168.150;153.588.492
Mar;17;2019;0,169274;10.404.883;129.834.287
Mar;16;2019;0,168048;12.217.102;128.894.196
Mar;15;2019;0,173574;13.746.087;132.525.208
Mar;14;2019;0,167669;17.536.999;128.017.203
Mar;13;2019;0,175561;34.540.850;134.042.688
Mar;12;2019;0,187771;39.481.892;143.227.375
Mar;11;2019;0,165787;48.401.884;126.458.586
Mar;10;2019;0,197793;77.630.565;150.872.576
Mar;9;2019;0,204987;186.945.484;156.359.369
Mar;8;2019;0,215806;249.820.600;164.611.924
Mar;7;2019;0,102619;20.278.116;78.275.596
Mar;6;2019;0,099858;31.594.826;76.169.422
Mar;5;2019;0,102915;39.076.934;78.501.431
Mar;4;2019;0,078248;8.557.987;59.686.129
Mar;3;2019;0,081943;13.467.317;62.504.249
Mar;2;2019;0,084112;15.303.362;64.158.839
Mar;1;2019;0,077999;10.063.872;59.495.978
Feb;28;2019;0,082644;32.157.299;63.039.151
Feb;27;2019;0,075190;30.582.773;57.353.245
Feb;26;2019;0,084992;101.237.085;64.830.376
Feb;25;2019;0,078498;48.774.651;59.876.455
Feb;24;2019;0,036410;2.234.014;27.773.013
Feb;23;2019;0,039500;2.516.035;30.110.025
Feb;22;2019;0,039527;3.575.879;30.130.617
Feb;21;2019;0,037217;2.119.405;28.369.697
Feb;20;2019;0,037491;3.004.419;28.578.560
Feb;19;2019;0,035252;984.867;26.871.963
Feb;18;2019;0,035304;2.809.213;26.911.678
Feb;17;2019;0,033068;930.801;25.207.373
Feb;16;2019;0,030672;1.398.275;23.380.502
Feb;15;2019;0,031241;1.053.650;23.814.233
Feb;14;2019;0,031000;948.588;23.630.683
Feb;13;2019;0,030712;743.646;23.410.833
Feb;12;2019;0,030804;2.026.564;23.481.537
Feb;11;2019;0,031220;2.892.675;23.798.586
Feb;10;2019;0,030292;830.662;23.091.130
Feb;9;2019;0,028094;331.338;21.415.303
Feb;8;2019;0,028899;545.289;22.029.470
Feb;7;2019;0,026587;522.029;20.264.049
Feb;6;2019;0,025158;712.173;19.174.782
Feb;5;2019;0,027776;246.596;21.170.307
Feb;4;2019;0,028145;241.925;21.451.645
Feb;3;2019;0,028212;200.061;21.502.536
Feb;2;2019;0,028697;254.705;21.871.911
Feb;1;2019;0,028912;649.674;22.035.749
Jan;31;2019;0,028974;2.692.277;22.083.641
Jan;30;2019;0,031755;3.969.422;24.197.685
Jan;29;2019;0,032183;2.495.550;24.523.967
Jan;28;2019;0,029484;1.695.923;22.466.949
Jan;27;2019;0,032330;987.062;24.635.882
Jan;26;2019;0,034091;231.475;25.977.492
Jan;25;2019;0,034856;262.988;26.560.467
Jan;24;2019;0,034970;374.338;26.647.359
Jan;23;2019;0,034572;715.511;26.344.338
Jan;22;2019;0,034769;445.427;26.494.545
Jan;21;2019;0,033588;972.530;25.570.874
Jan;20;2019;0,033294;560.162;25.346.901
Jan;19;2019;0,034350;390.198;26.151.087
Jan;18;2019;0,033961;862.177;25.854.666
Jan;17;2019;0,035612;804.497;27.111.868
Jan;16;2019;0,034331;523.318;26.136.710
Jan;15;2019;0,034865;758.918;26.543.057
Jan;14;2019;0,034479;411.812;26.248.948
Jan;13;2019;0,032766;816.686;24.945.376
Jan;12;2019;0,036275;1.896.688;27.616.651
Jan;11;2019;0,034430;419.789;26.211.924
Jan;10;2019;0,033283;541.670;25.338.327
Jan;9;2019;0,039168;851.990;29.818.870
Jan;8;2019;0,038822;946.917;29.555.896
Jan;7;2019;0,038589;323.157;29.372.680
Jan;6;2019;0,039222;394.133;29.854.332
Jan;5;2019;0,037252;359.635;28.354.513
Jan;4;2019;0,038648;277.924;29.417.033
Jan;3;2019;0,038916;426.449;29.621.207
Jan;2;2019;0,040856;577.828;31.098.094
Jan;1;2019;0,040699;586.474;30.978.091
Dec;31;2018;0,037557;693.305;28.587.042
Dec;30;2018;0,040571;521.142;30.881.139
Dec;29;2018;0,042385;479.378;32.261.941
Dec;28;2018;0,042717;796.544;32.514.396
Dec;27;2018;0,040639;2.244.350;30.932.945
Dec;26;2018;0,039707;543.833;30.223.035
Dec;25;2018;0,038867;455.151;29.584.276
Dec;24;2018;0,044702;765.096;34.025.582
Dec;23;2018;0,043495;710.776;33.106.395
Dec;22;2018;0,042685;865.048;32.489.767
Dec;21;2018;0,043565;2.601.107;33.160.233
Dec;20;2018;0,041835;1.144.485;31.842.700
Dec;19;2018;0,035589;1.204.846;27.088.844
Dec;18;2018;0,036675;1.582.622;27.915.843
Dec;17;2018;0,033916;1.449.068;25.815.822
Dec;16;2018;0,032687;4.380.406;24.880.236
Dec;15;2018;0,028974;504.808;22.054.029
Dec;14;2018;0,027978;827.947;21.295.700
Dec;13;2018;0,028226;857.963;21.484.207
Dec;12;2018;0,028965;556.068;22.047.278
Dec;11;2018;0,029446;2.616.462;22.412.953
