Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;5,34;3.707.924.720;4.843.347.549
Apr;10;2019;5,84;3.793.533.817;5.291.504.024
Apr;09;2019;5,56;3.114.223.749;5.038.712.626
Apr;08;2019;5,55;3.407.426.898;5.030.532.088
Apr;07;2019;5,46;2.614.787.950;4.943.668.666
Apr;06;2019;5,35;2.902.980.596;4.846.120.940
Apr;05;2019;5,34;2.649.804.917;4.838.919.328
Apr;04;2019;5,08;3.361.491.105;4.605.061.837
Apr;03;2019;5,22;5.394.932.035;4.734.549.009
Apr;02;2019;5,03;4.508.306.993;4.557.660.508
Apr;01;2019;4,20;1.815.234.453;3.807.590.153
Mar;31;2019;4,18;1.688.714.791;3.786.438.263
Mar;30;2019;4,14;1.980.145.805;3.748.242.662
Mar;29;2019;4,28;2.376.111.090;3.882.296.554
Mar;28;2019;4,27;2.090.072.792;3.873.590.435
Mar;27;2019;4,32;3.426.747.980;3.914.757.365
Mar;26;2019;3,76;1.619.501.867;3.404.142.584
Mar;25;2019;3,68;1.670.437.628;3.331.166.741
Mar;24;2019;3,66;1.459.311.466;3.313.261.401
Mar;23;2019;3,69;1.455.344.537;3.346.464.403
Mar;22;2019;3,65;1.361.397.468;3.307.232.027
Mar;21;2019;3,67;1.589.560.904;3.321.769.330
Mar;20;2019;3,75;1.439.034.494;3.395.682.174
Mar;19;2019;3,78;1.241.517.191;3.424.468.108
Mar;18;2019;3,75;1.465.685.317;3.398.791.325
Mar;17;2019;3,78;1.179.827.903;3.421.714.410
Mar;16;2019;3,83;1.734.038.541;3.473.915.116
Mar;15;2019;3,72;1.659.502.982;3.369.813.895
Mar;14;2019;3,61;1.484.695.823;3.267.847.743
Mar;13;2019;3,62;1.684.463.419;3.277.658.399
Mar;12;2019;3,66;1.821.147.442;3.319.263.767
Mar;11;2019;3,60;1.600.799.426;3.258.514.494
Mar;10;2019;3,74;1.375.200.235;3.385.724.370
Mar;09;2019;3,77;1.788.535.105;3.415.825.939
Mar;08;2019;3,63;1.654.702.858;3.292.827.022
Mar;07;2019;3,79;1.709.256.122;3.433.028.541
Mar;06;2019;3,77;1.927.523.149;3.415.997.711
Mar;05;2019;3,78;2.094.488.255;3.426.684.670
Mar;04;2019;3,28;1.622.012.459;2.969.556.512
Mar;03;2019;3,55;1.053.719.011;3.220.736.332
Mar;02;2019;3,52;1.146.398.595;3.189.533.494
Mar;01;2019;3,52;1.318.189.790;3.186.278.436
Feb;28;2019;3,54;1.353.651.826;3.207.737.515
Feb;27;2019;3,53;1.376.946.609;3.199.298.725
Feb;26;2019;3,47;1.482.508.113;3.147.734.559
Feb;25;2019;3,59;1.903.389.281;3.253.863.914
Feb;24;2019;3,59;2.406.373.954;3.254.300.690
Feb;23;2019;4,27;1.609.352.207;3.867.579.299
Feb;22;2019;3,89;1.413.643.823;3.526.468.020
Feb;21;2019;3,81;1.392.322.652;3.449.084.067
Feb;20;2019;3,92;1.914.563.883;3.553.278.085
Feb;19;2019;3,57;2.028.171.138;3.231.790.105
Feb;18;2019;3,47;1.867.708.700;3.144.033.218
Feb;17;2019;2,88;893.315.803;2.611.983.794
Feb;16;2019;2,82;750.356.324;2.553.361.556
Feb;15;2019;2,80;844.521.264;2.538.676.427
Feb;14;2019;2,75;926.826.863;2.493.031.592
Feb;13;2019;2,88;985.005.906;2.606.569.746
Feb;12;2019;2,95;993.123.027;2.671.034.011
Feb;11;2019;2,76;835.068.730;2.499.834.507
Feb;10;2019;2,84;936.574.263;2.572.785.405
Feb;09;2019;2,78;955.886.280;2.521.147.572
Feb;08;2019;2,72;1.089.618.269;2.465.412.210
Feb;07;2019;2,35;490.454.851;2.125.592.025
Feb;06;2019;2,35;491.346.170;2.129.207.607
Feb;05;2019;2,39;528.454.306;2.164.642.819
Feb;04;2019;2,40;542.186.549;2.175.307.282
Feb;03;2019;2,38;567.625.069;2.152.844.813
Feb;02;2019;2,43;613.998.325;2.203.259.244
Feb;01;2019;2,34;648.027.079;2.120.782.711
Jan;31;2019;2,32;678.924.605;2.103.041.931
Jan;30;2019;2,34;814.229.781;2.118.810.978
Jan;29;2019;2,28;807.914.540;2.062.804.208
