Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;6,29;596.379.347;690.077.233
Apr;10;2019;7,05;530.422.510;772.433.079
Apr;9;2019;6,99;605.526.747;765.814.899
Apr;8;2019;7,20;870.935.829;789.121.587
Apr;7;2019;7,67;1.367.951.558;840.251.877
Apr;6;2019;6,00;422.594.961;656.655.595
Apr;5;2019;5,82;434.760.409;637.554.810
Apr;4;2019;5,36;426.653.091;586.443.316
Apr;3;2019;5,46;607.791.272;597.534.080
Apr;2;2019;5,46;490.865.719;596.976.775
Apr;1;2019;4,82;203.584.706;527.699.755
Mar;31;2019;4,82;149.120.803;527.656.434
Mar;30;2019;4,79;153.581.340;523.410.189
Mar;29;2019;4,87;212.643.300;532.024.292
Mar;28;2019;4,77;162.636.599;521.066.408
Mar;27;2019;4,86;182.403.471;530.831.070
Mar;26;2019;4,71;189.888.273;514.296.279
Mar;25;2019;4,73;206.919.526;516.353.328
Mar;24;2019;4,84;183.730.901;528.049.572
Mar;23;2019;4,89;196.468.772;534.391.980
Mar;22;2019;4,89;262.391.505;533.911.569
Mar;21;2019;4,80;330.828.877;524.232.457
Mar;20;2019;4,68;243.257.735;511.125.503
Mar;19;2019;4,65;459.013.224;507.750.118
Mar;18;2019;4,44;394.491.335;484.192.520
Mar;17;2019;4,46;183.446.354;486.792.522
Mar;16;2019;4,52;203.176.719;493.176.746
Mar;15;2019;4,43;187.814.628;483.220.509
Mar;14;2019;4,34;187.331.020;472.807.297
Mar;13;2019;4,27;160.265.628;465.352.704
Mar;12;2019;4,30;198.416.033;468.502.801
Mar;11;2019;4,26;204.629.223;464.014.138
Mar;10;2019;4,36;224.014.423;474.741.807
Mar;9;2019;4,30;216.292.812;468.236.756
Mar;8;2019;4,24;227.329.229;461.774.458
Mar;7;2019;4,39;234.214.382;477.715.380
Mar;6;2019;4,31;219.478.810;469.138.633
Mar;5;2019;4,32;242.636.788;469.772.810
Mar;4;2019;4,16;213.298.598;452.481.126
Mar;3;2019;4,28;182.638.030;465.693.846
Mar;2;2019;4,28;207.971.306;465.234.261
Mar;1;2019;4,29;165.314.927;465.663.258
Feb;28;2019;4,28;185.561.611;464.720.519
Feb;27;2019;4,33;201.608.400;470.677.633
Feb;26;2019;4,33;168.459.035;469.914.385
Feb;25;2019;4,30;227.287.641;466.743.262
Feb;24;2019;4,20;301.941.105;455.271.069
Feb;23;2019;4,84;248.665.482;525.503.034
Feb;22;2019;4,72;232.494.721;512.261.744
Feb;21;2019;4,51;226.428.873;488.816.361
Feb;20;2019;4,70;263.413.409;509.725.533
Feb;19;2019;4,60;343.292.544;498.163.443
Feb;18;2019;4,41;274.458.033;477.675.234
Feb;17;2019;4,18;203.869.852;452.513.075
Feb;16;2019;4,09;210.057.396;443.371.172
Feb;15;2019;4,11;208.797.069;444.653.644
Feb;14;2019;4,13;218.223.238;447.035.730
Feb;13;2019;4,13;198.122.371;446.633.290
Feb;12;2019;4,09;206.268.322;442.295.339
Feb;11;2019;4,08;213.644.605;441.488.385
Feb;10;2019;4,17;185.806.940;451.510.860
Feb;9;2019;4,09;176.440.582;442.857.560
Feb;8;2019;4,16;218.549.539;449.398.427
Feb;7;2019;3,86;158.124.456;417.834.477
Feb;6;2019;3,76;157.423.403;406.308.465
Feb;5;2019;3,87;122.844.063;418.092.908
Feb;4;2019;3,89;138.267.542;420.580.245
Feb;3;2019;3,92;156.280.488;423.399.621
Feb;2;2019;4,00;208.180.743;432.377.777
Feb;1;2019;3,95;164.662.002;426.539.329
Jan;31;2019;3,95;162.458.828;426.751.342
Jan;30;2019;4,02;165.889.423;434.018.071
