Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;165,50;7.859.383.417;17.479.876.008
Apr;10;2019;177,34;7.856.924.879;18.728.058.767
Apr;9;2019;176,11;7.632.529.578;18.596.496.042
Apr;8;2019;180,26;9.304.964.610;19.031.640.376
Apr;7;2019;174,53;7.596.176.020;18.424.576.820
Apr;6;2019;165,95;7.167.016.221;17.516.082.778
Apr;5;2019;165,51;7.531.316.908;17.468.192.986
Apr;4;2019;158,05;7.953.123.529;16.678.477.300
Apr;3;2019;161,46;10.622.456.246;17.035.703.564
Apr;2;2019;163,96;9.826.645.698;17.297.572.365
Apr;1;2019;141,83;4.611.999.536;14.960.828.861
Mar;31;2019;141,51;4.249.050.197;14.925.533.137
Mar;30;2019;142,09;5.144.662.127;14.984.615.423
Mar;29;2019;142,50;5.125.602.702;15.025.361.637
Mar;28;2019;139,42;4.163.212.475;14.698.609.599
Mar;27;2019;140,99;5.228.240.093;14.862.394.451
Mar;26;2019;135,46;4.499.271.679;14.277.816.266
Mar;25;2019;135,03;4.480.516.753;14.230.733.149
Mar;24;2019;136,99;4.266.845.458;14.434.995.337
Mar;23;2019;138,24;4.436.568.613;14.565.143.357
Mar;22;2019;137,18;4.490.899.266;14.451.740.115
Mar;21;2019;136,64;5.087.247.796;14.392.427.839
Mar;20;2019;140,69;4.664.134.462;14.817.151.375
Mar;19;2019;140,52;4.251.488.129;14.797.612.389
Mar;18;2019;139,37;4.551.739.879;14.675.181.094
Mar;17;2019;140,00;3.827.157.729;14.739.201.597
Mar;16;2019;142,40;4.839.003.569;14.989.691.491
Mar;15;2019;137,69;4.506.861.856;14.492.364.551
Mar;14;2019;133,71;4.476.532.147;14.071.628.064
Mar;13;2019;133,26;4.265.162.099;14.022.610.219
Mar;12;2019;134,44;4.709.988.000;14.144.929.392
Mar;11;2019;133,83;4.689.807.419;14.079.044.648
Mar;10;2019;136,76;4.578.438.499;14.384.860.876
Mar;9;2019;137,97;5.011.918.715;14.509.873.018
Mar;8;2019;135,13;4.678.816.794;14.209.542.041
Mar;7;2019;138,03;4.339.206.292;14.513.398.954
Mar;6;2019;138,79;4.589.054.219;14.590.867.639
Mar;5;2019;137,82;4.764.849.990;14.492.117.352
Mar;4;2019;127,77;4.008.171.341;13.432.896.659
Mar;3;2019;132,25;3.454.374.053;13.900.679.027
Mar;2;2019;134,21;3.747.176.425;14.103.698.392
Mar;1;2019;136,44;3.756.124.824;14.335.957.425
Feb;28;2019;136,75;4.535.438.953;14.365.118.213
Feb;27;2019;136,13;4.469.776.860;14.298.070.644
Feb;26;2019;138,09;3.791.292.839;14.502.464.167
Feb;25;2019;139,82;4.914.392.068;14.682.597.926
Feb;24;2019;135,85;5.957.715.043;14.263.873.721
Feb;23;2019;158,80;4.519.468.458;16.670.632.412
Feb;22;2019;149,09;3.731.099.284;15.649.961.167
Feb;21;2019;146,13;3.995.766.856;15.337.145.738
Feb;20;2019;149,55;4.500.094.965;15.694.462.393
Feb;19;2019;145,35;5.310.842.625;15.250.901.019
Feb;18;2019;146,10;5.387.525.773;15.327.852.479
Feb;17;2019;133,60;4.236.081.130;14.014.695.490
Feb;16;2019;123,26;2.905.833.287;12.928.550.184
Feb;15;2019;122,10;3.021.741.615;12.805.280.766
Feb;14;2019;121,39;3.331.701.628;12.729.213.675
Feb;13;2019;122,55;3.386.585.799;12.849.605.819
Feb;12;2019;122,57;3.149.576.429;12.849.965.122
Feb;11;2019;121,30;3.222.473.887;12.714.795.026
Feb;10;2019;124,81;3.148.766.590;13.080.881.910
Feb;9;2019;119,43;2.884.650.400;12.515.870.173
Feb;8;2019;119,27;3.656.841.347;12.496.945.336
Feb;7;2019;104,54;2.326.764.622;10.951.652.648
Feb;6;2019;104,92;2.593.048.199;10.990.266.833
Feb;5;2019;107,44;2.515.863.999;11.253.035.388
Feb;4;2019;107,82;2.491.888.675;11.290.969.364
Feb;3;2019;107,49;2.519.334.757;11.254.870.706
Feb;2;2019;110,43;2.385.157.838;11.560.765.573
Feb;1;2019;107,61;2.541.271.519;11.263.815.610
Jan;31;2019;107,06;2.828.796.031;11.204.735.502
Jan;30;2019;108,91;2.874.370.355;11.396.282.341
Jan;29;2019;105,60;2.900.418.606;11.048.347.342
Jan;28;2019;106,59;3.366.895.505;11.150.461.958
Jan;27;2019;113,41;2.775.888.287;11.861.671.822
Jan;26;2019;116,49;2.412.181.169;12.182.338.148
Jan;25;2019;116,38;2.606.881.898;12.168.932.300
Jan;24;2019;117,36;2.520.843.420;12.269.992.351
Jan;23;2019;117,45;2.556.952.198;12.277.481.872
Jan;22;2019;118,75;2.552.507.405;12.410.972.241
Jan;21;2019;117,16;2.421.720.343;12.242.940.197
Jan;20;2019;119,47;2.964.108.269;12.483.136.112
Jan;19;2019;124,52;3.048.261.797;13.007.954.846
Jan;18;2019;121,01;2.305.389.800;12.639.234.713
Jan;17;2019;123,74;2.594.091.285;12.922.347.330
Jan;16;2019;123,55;2.746.469.340;12.899.812.275
Jan;15;2019;122,03;2.735.449.164;12.739.543.688
Jan;14;2019;129,07;2.798.085.735;13.471.754.802
Jan;13;2019;116,90;2.268.263.944;12.199.288.487
Jan;12;2019;125,97;2.212.109.224;13.143.426.380
Jan;11;2019;127,55;2.667.585.234;13.306.214.134
Jan;10;2019;128,63;3.397.734.456;13.416.263.931
Jan;9;2019;150,80;2.369.241.197;15.726.845.712
Jan;8;2019;150,36;2.459.808.140;15.677.889.902
Jan;7;2019;151,70;2.712.108.388;15.814.868.678
Jan;6;2019;157,75;3.231.294.371;16.442.429.109
Jan;5;2019;155,64;3.338.211.928;16.219.974.745
Jan;4;2019;154,58;3.126.192.535;16.107.068.093
Jan;3;2019;149,14;2.676.164.880;15.536.849.936
Jan;2;2019;155,05;3.328.240.369;16.150.049.902
Jan;1;2019;140,82;2.258.709.868;14.665.318.370
Dec;31;2018;133,37;2.358.360.234;13.886.837.730
Dec;30;2018;139,86;2.660.086.834;14.560.066.114
Dec;29;2018;138,02;3.169.029.972;14.365.797.196
Dec;28;2018;137,65;3.130.201.009;14.324.511.544
Dec;27;2018;116,58;2.612.804.378;12.129.493.222
Dec;26;2018;131,87;2.720.469.126;13.717.858.346
Dec;25;2018;129,84;3.298.280.609;13.505.089.290
Dec;24;2018;140,24;4.370.343.387;14.583.457.940
Dec;23;2018;130,77;3.579.715.061;13.595.887.732
Dec;22;2018;116,76;2.338.772.939;12.137.481.655
Dec;21;2018;109,50;2.632.539.990;11.380.357.569
Dec;20;2018;116,22;3.063.842.618;12.076.674.311
Dec;19;2018;101,27;2.456.482.115;10.521.416.481
Dec;18;2018;101,11;2.277.514.076;10.503.295.749
Dec;17;2018;95,13;2.101.453.024;9.880.456.239
Dec;16;2018;85,26;1.565.817.037;8.853.567.311
