Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;0,997714;14.497.632;62.511.546
Apr;10;2019;1,01;5.164.092;63.597.399
Apr;9;2019;0,998949;5.293.827;63.612.906
Apr;8;2019;1,01;7.122.320;64.248.036
Apr;7;2019;1,00;8.181.593;65.239.682
Apr;6;2019;1,00;5.469.436;65.849.349
Apr;5;2019;1,01;6.222.448;66.540.574
Apr;4;2019;1,01;7.792.853;63.434.856
Apr;3;2019;1,01;12.578.340;61.973.277
Apr;2;2019;1,01;9.531.923;59.097.986
Apr;1;2019;1,01;4.937.544;58.447.249
Mar;31;2019;1,00;3.884.538;60.698.111
Mar;30;2019;1,00;4.736.569;60.932.440
Mar;29;2019;1,01;6.335.254;61.474.359
Mar;28;2019;1,02;3.485.980;62.190.843
Mar;27;2019;1,02;4.415.277;62.329.067
Mar;26;2019;1,01;5.414.629;62.299.316
Mar;25;2019;1,01;4.508.498;62.058.966
Mar;24;2019;1,01;4.467.285;63.143.310
Mar;23;2019;1,01;22.927.498;62.906.142
Mar;22;2019;1,01;19.175.187;62.103.492
Mar;21;2019;1,01;5.537.126;62.487.152
Mar;20;2019;1,02;3.316.846;66.022.793
Mar;19;2019;1,02;3.018.543;66.238.044
Mar;18;2019;1,02;3.291.212;66.073.318
Mar;17;2019;1,01;2.962.251;66.610.944
Mar;16;2019;1,01;2.010.211;66.801.759
Mar;15;2019;1,02;3.549.764;67.244.766
Mar;14;2019;1,02;3.969.757;67.115.809
Mar;13;2019;1,02;2.889.952;67.392.043
Mar;12;2019;1,02;3.098.766;72.715.309
Mar;11;2019;1,01;5.362.671;72.208.931
Mar;10;2019;1,01;6.034.743;72.208.850
Mar;9;2019;1,01;6.265.289;72.118.738
Mar;8;2019;0,997495;5.143.653;71.035.281
Mar;7;2019;1,00;3.691.717;71.402.478
Mar;6;2019;1,00;4.460.770;71.432.461
Mar;5;2019;1,01;4.411.747;71.632.036
Mar;4;2019;0,997000;5.179.129;71.000.013
Mar;3;2019;0,994303;4.204.808;70.807.987
Mar;2;2019;0,998659;3.225.965;71.118.209
Mar;1;2019;0,998187;2.866.103;69.836.383
Feb;28;2019;0,995813;4.686.822;69.909.113
Feb;27;2019;1,01;15.653.895;73.821.887
Feb;26;2019;1,00;4.140.436;75.435.491
Feb;25;2019;1,00;6.206.028;75.512.314
Feb;24;2019;0,987191;14.004.556;74.715.205
Feb;23;2019;1,01;5.570.707;76.080.084
Feb;22;2019;1,01;4.025.979;77.403.789
Feb;21;2019;1,01;6.475.605;77.580.550
Feb;20;2019;1,01;249.473.434;77.807.906
Feb;19;2019;1,00;46.705.664;77.472.252
Feb;18;2019;1,04;48.865.720;78.826.360
Feb;17;2019;1,01;62.583.366;79.370.846
Feb;16;2019;1,01;40.995.506;78.937.130
Feb;15;2019;1,01;38.731.876;78.925.980
Feb;14;2019;1,01;57.300.153;81.563.367
Feb;13;2019;1,01;33.344.549;82.100.443
Feb;12;2019;1,02;21.448.468;83.245.532
Feb;11;2019;1,01;28.426.402;83.014.607
Feb;10;2019;1,02;19.926.525;85.933.544
Feb;9;2019;1,01;35.712.157;85.423.956
Feb;8;2019;1,02;17.795.641;84.649.930
Feb;7;2019;1,00;24.843.959;83.550.277
Feb;6;2019;1,01;28.959.905;87.238.179
Feb;5;2019;0,999417;24.244.552;87.217.442
Feb;4;2019;1,00;16.281.674;87.840.247
Feb;3;2019;1,01;27.421.433;89.558.229
Feb;2;2019;1,01;28.997.238;89.707.145
Feb;1;2019;1,01;28.703.574;90.125.021
Jan;31;2019;1,01;28.158.979;90.252.414
Jan;30;2019;1,01;17.931.279;91.483.965
Jan;29;2019;1,00;13.296.181;91.127.498
Jan;28;2019;1,01;20.335.861;93.340.326
Jan;27;2019;0,998283;18.244.961;95.016.931
Jan;26;2019;1,00;44.626.902;95.268.204
Jan;25;2019;1,01;35.266.034;93.403.166
Jan;24;2019;1,01;32.123.638;93.848.846
Jan;23;2019;1,01;56.557.708;93.240.035
Jan;22;2019;1,01;159.060.131;93.914.994
Jan;21;2019;1,01;141.222.393;91.704.363
Jan;20;2019;1,01;138.846.712;92.891.024
Jan;19;2019;1,01;247.399.453;92.808.627
Jan;18;2019;1,00;126.010.314;92.585.089
Jan;17;2019;1,01;145.955.547;88.279.703
Jan;16;2019;1,01;137.569.555;86.250.513
Jan;15;2019;1,00;150.992.160;86.612.318
Jan;14;2019;1,01;140.490.714;87.749.569
Jan;13;2019;1,00;155.488.795;87.026.150
Jan;12;2019;0,989900;143.620.326;85.973.736
Jan;11;2019;1,00;141.469.336;87.186.120
Jan;10;2019;1,00;137.067.175;87.650.600
Jan;9;2019;0,996858;110.140.061;90.096.220
Jan;8;2019;0,999225;120.496.639;85.059.990
Jan;7;2019;0,993792;118.527.238;85.555.281
Jan;6;2019;1,01;26.096.099;90.731.782
Jan;5;2019;1,00;25.877.783;90.288.416
Jan;4;2019;1,00;27.171.931;90.678.488
Jan;3;2019;1,01;26.717.362;91.562.811
Jan;2;2019;1,01;24.263.840;93.253.979
Jan;1;2019;1,01;32.191.132;92.881.901
Dec;31;2018;1,00;19.548.793;91.156.559
Dec;30;2018;1,01;25.242.396;93.103.251
Dec;29;2018;1,01;45.384.295;91.573.654
Dec;28;2018;1,01;16.150.990;92.638.076
Dec;27;2018;1,00;23.070.564;91.331.903
Dec;26;2018;1,01;20.431.776;89.547.039
Dec;25;2018;1,01;31.831.491;91.439.555
Dec;24;2018;1,00;35.199.801;90.633.798
Dec;23;2018;1,01;28.709.170;90.170.335
Dec;22;2018;1,01;18.879.709;90.980.296
Dec;21;2018;1,01;38.171.374;89.200.154
Dec;20;2018;1,02;35.741.018;94.712.470
Dec;19;2018;1,02;38.793.127;98.161.527
Dec;18;2018;1,13;35.859.122;100.892.503
Dec;17;2018;1,08;29.559.287;93.617.855
Dec;16;2018;0,996802;30.732.981;88.089.387
Dec;15;2018;0,984908;18.608.029;85.424.376
Dec;14;2018;0,985037;18.150.803;84.542.500
Dec;13;2018;1,00;1.532.046;89.115.014
Dec;12;2018;1,01;1.725.511;87.702.734
Dec;11;2018;1,01;1.892.202;86.698.698
Dec;10;2018;1,02;1.996.139;89.169.642
Dec;9;2018;1,03;2.290.544;86.716.736
Dec;8;2018;1,02;2.217.177;84.773.287
Dec;7;2018;1,03;1.770.460;84.250.698
Dec;6;2018;0,984856;1.401.547;61.917.341
