Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;0,088489;2.865.643;85.270.368
Apr;10;2019;0,095166;3.216.586;91.704.368
Apr;9;2019;0,096899;2.038.182;93.373.690
Apr;8;2019;0,099193;2.366.180;95.584.835
Apr;7;2019;0,102810;2.352.035;99.069.935
Apr;6;2019;0,098923;1.959.438;95.324.775
Apr;5;2019;0,100620;2.703.580;96.959.371
Apr;4;2019;0,095212;3.193.943;91.747.989
Apr;3;2019;0,097092;4.592.295;93.559.639
Apr;2;2019;0,100956;5.136.904;97.282.992
Apr;1;2019;0,091251;2.385.375;87.931.882
Mar;31;2019;0,091944;3.236.871;88.599.691
Mar;30;2019;0,088140;1.979.452;84.933.730
Mar;29;2019;0,089356;3.497.871;86.105.171
Mar;28;2019;0,090077;4.245.671;86.799.972
Mar;27;2019;0,084439;2.740.957;81.366.965
Mar;26;2019;0,082034;3.352.713;79.049.797
Mar;25;2019;0,080632;10.948.121;77.698.896
Mar;24;2019;0,079713;1.517.102;76.813.371
Mar;23;2019;0,078539;1.293.102;75.681.597
Mar;22;2019;0,078268;1.643.126;75.420.543
Mar;21;2019;0,079210;5.965.948;76.328.911
Mar;20;2019;0,082151;17.546.270;79.162.164
Mar;19;2019;0,076218;1.893.858;73.445.601
Mar;18;2019;0,075050;881.148;72.319.538
Mar;17;2019;0,075249;716.671;72.511.357
Mar;16;2019;0,075528;1.165.093;72.780.669
Mar;15;2019;0,076992;1.766.254;74.191.545
Mar;14;2019;0,076391;2.475.194;73.612.068
Mar;13;2019;0,074824;2.914.965;72.102.447
Mar;12;2019;0,076202;12.069.622;73.429.564
Mar;11;2019;0,072430;3.173.876;69.794.860
Mar;10;2019;0,070326;3.938.820;67.767.731
Mar;9;2019;0,070353;1.659.014;67.793.598
Mar;8;2019;0,067298;926.985;64.849.823
Mar;7;2019;0,068595;1.042.679;66.099.179
Mar;6;2019;0,067521;831.698;65.064.919
Mar;5;2019;0,065974;733.943;63.573.740
Mar;4;2019;0,064142;911.286;61.808.450
Mar;3;2019;0,066234;562.813;63.824.447
Mar;2;2019;0,066988;1.099.735;64.550.949
Mar;1;2019;0,066629;1.120.960;64.205.563
Feb;28;2019;0,064431;573.034;62.087.143
Feb;27;2019;0,064675;1.011.323;62.321.839
Feb;26;2019;0,065546;1.796.298;63.161.429
Feb;25;2019;0,063710;871.093;61.392.746
Feb;24;2019;0,061602;1.485.174;59.360.772
Feb;23;2019;0,069161;1.078.605;66.645.520
Feb;22;2019;0,068661;1.221.094;66.162.898
Feb;21;2019;0,065878;983.148;63.481.408
Feb;20;2019;0,067507;862.875;65.051.626
Feb;19;2019;0,067545;1.930.678;65.087.412
Feb;18;2019;0,066776;4.510.993;64.347.276
Feb;17;2019;0,063683;2.830.308;61.365.944
Feb;16;2019;0,061283;4.168.887;59.054.092
Feb;15;2019;0,058314;464.098;56.192.791
Feb;14;2019;0,058183;471.285;56.066.783
Feb;13;2019;0,058727;542.340;56.590.446
Feb;12;2019;0,059469;692.481;57.305.957
Feb;11;2019;0,060219;2.056.393;58.027.927
Feb;10;2019;0,060004;1.190.016;57.821.000
Feb;9;2019;0,058794;1.238.765;56.655.087
Feb;8;2019;0,058877;3.400.777;56.734.766
Feb;7;2019;0,055489;928.847;53.470.564
Feb;6;2019;0,053508;579.489;51.561.218
Feb;5;2019;0,055762;480.881;53.733.587
Feb;4;2019;0,057002;1.186.416;54.928.789
Feb;3;2019;0,054977;355.825;52.976.886
Feb;2;2019;0,056246;412.599;54.199.807
Feb;1;2019;0,056674;503.878;54.611.963
Jan;31;2019;0,056951;534.793;54.879.333
Jan;30;2019;0,057961;511.639;55.852.491
Jan;29;2019;0,056830;707.143;54.762.945
Jan;28;2019;0,058016;988.373;55.905.726
Jan;27;2019;0,063834;1.130.592;61.511.436
Jan;26;2019;0,066329;601.395;63.915.891
Jan;25;2019;0,066225;889.555;63.815.709
Jan;24;2019;0,067277;1.346.346;64.829.251
Jan;23;2019;0,064754;735.249;62.398.710
Jan;22;2019;0,065417;769.734;63.036.795
Jan;21;2019;0,064666;832.850;62.068.906
Jan;20;2019;0,064797;1.423.331;62.194.421
Jan;19;2019;0,069465;1.150.318;66.675.068
Jan;18;2019;0,068111;1.689.252;65.375.926
Jan;17;2019;0,067320;2.242.285;64.616.801
Jan;16;2019;0,064803;1.088.408;62.201.078
Jan;15;2019;0,062916;3.525.534;60.389.795
Jan;14;2019;0,064196;746.932;61.618.403
Jan;13;2019;0,061222;822.592;58.763.235
Jan;12;2019;0,065462;725.962;62.833.093
Jan;11;2019;0,065039;749.979;62.427.035
Jan;10;2019;0,064144;1.465.137;61.568.456
Jan;9;2019;0,074063;3.111.300;71.089.010
Jan;8;2019;0,072558;1.936.203;69.643.891
Jan;7;2019;0,071723;1.067.814;68.843.103
Jan;6;2019;0,072276;714.391;69.373.447
Jan;5;2019;0,068039;12.742.470;65.306.870
Jan;4;2019;0,069014;15.225.795;66.242.190
Jan;3;2019;0,067897;12.810.015;65.170.113
Jan;2;2019;0,070361;1.348.274;67.535.197
Jan;1;2019;0,067628;1.062.801;64.912.366
Dec;31;2018;0,068336;15.414.259;65.592.192
Dec;30;2018;0,070622;17.845.734;67.785.992
Dec;29;2018;0,068501;47.343.829;65.750.251
Dec;28;2018;0,069801;1.117.581;66.997.630
Dec;27;2018;0,064191;889.922;61.613.046
Dec;26;2018;0,068323;1.288.493;65.579.407
Dec;25;2018;0,067413;1.304.539;64.705.845
Dec;24;2018;0,072766;33.146.865;69.844.334
Dec;23;2018;0,073162;57.404.475;70.223.618
Dec;22;2018;0,072519;1.879.906;69.606.524
Dec;21;2018;0,067476;2.059.479;64.766.618
Dec;20;2018;0,071564;2.285.997;68.689.884
Dec;19;2018;0,066040;3.204.654;63.388.401
Dec;18;2018;0,065821;3.307.435;63.177.886
Dec;17;2018;0,061412;57.609.823;58.945.512
Dec;16;2018;0,055912;9.105.849;53.666.672
Dec;15;2018;0,055762;838.064;53.522.388
Dec;14;2018;0,056931;1.078.868;54.644.900
Dec;13;2018;0,061269;966.898;58.808.753
Dec;12;2018;0,066087;920.930;63.433.384
Dec;11;2018;0,066074;102.228.573;63.421.067
Dec;10;2018;0,068639;108.786.717;65.882.311
Dec;9;2018;0,068563;1.080.011;65.809.927
Dec;8;2018;0,066458;22.490.389;63.788.831
Dec;7;2018;0,065436;22.828.118;62.808.414
Dec;6;2018;0,069334;18.698.274;66.550.023
Dec;5;2018;0,083422;5.437.970;80.072.087
Dec;4;2018;0,091362;2.684.898;87.693.341
Dec;3;2018;0,091464;32.581.809;87.791.147
Dec;2;2018;0,089657;35.931.359;86.056.409
Dec;1;2018;0,091029;22.717.494;87.373.389
Nov;30;2018;0,086285;7.238.561;82.820.407
Nov;29;2018;0,091603;3.205.023;87.924.143
Nov;28;2018;0,088478;23.258.200;84.924.421
Nov;27;2018;0,077920;30.731.100;74.791.177
Nov;26;2018;0,078276;788.380;75.132.112
Nov;25;2018;0,084935;857.886;81.524.468
Nov;24;2018;0,082244;525.348;78.941.437
Nov;23;2018;0,091149;792.215;87.488.446
Nov;22;2018;0,097692;1.790.940;93.768.885
Nov;21;2018;0,090495;31.351.900;86.861.190
Nov;20;2018;0,086498;30.221.500;83.024.797
Nov;19;2018;0,097725;2.212.310;93.800.943
Nov;18;2018;0,122432;1.424.830;117.515.376
Nov;17;2018;0,120649;4.583.650;115.803.977
Nov;16;2018;0,121198;10.867.500;116.330.931
Nov;15;2018;0,128592;59.489.700;123.428.002
Nov;14;2018;0,132014;2.063.460;126.712.582
Nov;13;2018;0,152082;2.067.310;145.974.691
Nov;12;2018;0,160949;966.882;154.485.610
Nov;11;2018;0,163132;681.836;156.580.945
Nov;10;2018;0,166135;886.662;159.463.351
Nov;9;2018;0,164473;1.808.400;157.868.093
Nov;8;2018;0,169425;3.368.990;162.621.231
Nov;7;2018;0,168162;2.306.070;161.408.950
Nov;6;2018;0,163830;1.915.310;157.462.452
Nov;5;2018;0,163504;1.834.470;156.839.904
Nov;4;2018;0,167951;2.107.100;161.105.653
Nov;3;2018;0,169896;1.350.840;162.971.379
Nov;2;2018;0,172740;1.260.060;165.699.463
Nov;1;2018;0,170508;1.113.740;163.558.435
Oct;31;2018;0,169671;1.853.000;162.755.549
Oct;30;2018;0,169927;2.678.230;163.001.115
Oct;29;2018;0,162451;2.212.830;155.829.822
