Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;1,17;16.063.362;70.310.943
Apr;10;2019;1,21;13.706.053;72.604.011
Apr;9;2019;1,23;14.852.636;73.849.795
Apr;8;2019;1,18;13.056.876;70.908.144
Apr;7;2019;1,22;12.636.206;73.078.809
Apr;6;2019;1,21;11.384.878;72.728.027
Apr;5;2019;1,26;7.522.688;75.722.872
Apr;4;2019;1,23;15.450.779;73.903.997
Apr;3;2019;1,20;25.304.813;72.094.245
Apr;2;2019;1,33;26.187.277;79.677.284
Apr;1;2019;1,19;15.845.115;71.308.709
Mar;31;2019;1,13;14.033.125;67.781.516
Mar;30;2019;1,12;13.682.489;67.125.197
Mar;29;2019;1,12;17.401.309;67.388.811
Mar;28;2019;1,14;50.742.008;68.104.066
Mar;27;2019;1,09;27.053.544;65.245.723
Mar;26;2019;1,01;20.646.119;60.451.914
Mar;25;2019;0,996687;16.640.067;59.801.219
Mar;24;2019;1,08;13.287.092;64.739.974
Mar;23;2019;1,09;14.831.104;65.274.520
Mar;22;2019;1,12;6.094.324;67.314.112
Mar;21;2019;1,16;63.078.245;69.691.269
Mar;20;2019;1,25;29.748.417;74.921.556
Mar;19;2019;1,00;9.114.441;60.083.621
Mar;18;2019;0,955266;9.908.827;57.315.988
Mar;17;2019;0,952300;9.705.950;57.137.983
Mar;16;2019;0,907526;8.564.337;54.451.578
Mar;15;2019;0,915951;7.745.749;54.957.060
Mar;14;2019;0,890655;13.507.201;53.439.309
Mar;13;2019;0,976343;14.331.829;58.580.599
Mar;12;2019;0,937191;8.604.403;56.231.487
Mar;11;2019;0,883047;16.590.845;52.982.791
Mar;10;2019;0,779531;10.586.422;46.771.864
Mar;9;2019;0,797942;24.908.496;47.876.491
Mar;8;2019;0,721569;11.946.160;43.294.151
Mar;7;2019;0,679609;12.008.571;40.776.536
Mar;6;2019;0,666064;7.835.577;39.963.857
Mar;5;2019;0,661288;7.959.577;39.677.259
Mar;4;2019;0,631017;7.722.060;37.861.033
Mar;3;2019;0,661780;7.041.698;39.706.825
Mar;2;2019;0,658460;7.987.013;39.507.574
Mar;1;2019;0,664558;7.695.061;39.873.472
Feb;28;2019;0,655353;6.918.971;39.321.188
Feb;27;2019;0,639743;6.631.000;38.384.565
Feb;26;2019;0,649234;7.455.119;38.954.038
Feb;25;2019;0,636682;4.957.028;38.200.937
Feb;24;2019;0,624317;8.590.703;37.458.997
Feb;23;2019;0,685533;10.819.505;41.131.993
Feb;22;2019;0,636547;4.766.802;38.192.823
Feb;21;2019;0,627336;5.501.020;37.640.157
Feb;20;2019;0,651216;6.227.182;39.072.953
Feb;19;2019;0,643318;6.197.972;38.599.094
Feb;18;2019;0,629172;6.784.746;37.750.326
Feb;17;2019;0,599829;7.263.743;35.989.746
Feb;16;2019;0,583170;4.872.626;34.990.205
Feb;15;2019;0,574726;4.000.358;34.483.557
Feb;14;2019;0,561750;3.851.543;33.704.986
Feb;13;2019;0,569619;2.402.973;34.177.135
Feb;12;2019;0,571580;2.548.164;34.294.824
Feb;11;2019;0,577236;2.904.153;34.634.170
Feb;10;2019;0,607235;13.538.929;36.434.100
Feb;9;2019;0,579937;1.512.005;34.796.227
Feb;8;2019;0,588112;2.205.868;35.286.740
Feb;7;2019;0,540364;1.535.109;32.421.869
Feb;6;2019;0,528917;1.358.575;31.735.011
Feb;5;2019;0,538601;1.570.317;32.316.069
Feb;4;2019;0,546600;3.078.009;32.795.978
Feb;3;2019;0,547125;1.497.093;32.827.518
Feb;2;2019;0,551177;2.072.934;33.070.642
Feb;1;2019;0,543780;1.666.216;32.626.827
Jan;31;2019;0,539551;1.426.359;32.373.051
Jan;30;2019;0,559106;1.178.019;33.546.355
Jan;29;2019;0,548441;876.072;32.906.469
Jan;28;2019;0,528847;1.138.346;31.730.802
Jan;27;2019;0,558187;2.319.498;33.491.242
Jan;26;2019;0,562510;838.854;33.750.590
Jan;25;2019;0,562653;1.223.074;33.759.165
Jan;24;2019;0,565413;1.969.174;33.924.787
Jan;23;2019;0,558551;1.549.527;33.513.058
Jan;22;2019;0,577383;1.777.143;34.642.984
Jan;21;2019;0,571930;5.500.508;34.315.779
Jan;20;2019;0,608279;4.310.911;36.496.748
Jan;19;2019;0,558847;1.039.881;33.530.794
Jan;18;2019;0,552173;1.319.507;33.130.367
Jan;17;2019;0,566296;1.870.258;33.977.732
Jan;16;2019;0,531342;849.200;31.880.535
Jan;15;2019;0,523305;992.594;31.398.299
Jan;14;2019;0,544449;952.312;32.666.919
Jan;13;2019;0,510169;1.082.797;30.610.135
Jan;12;2019;0,532941;1.253.620;31.976.447
Jan;11;2019;0,527460;876.646;31.647.607
Jan;10;2019;0,516739;1.288.929;31.004.334
Jan;9;2019;0,576298;1.072.676;34.577.851
Jan;8;2019;0,567300;843.063;34.037.978
Jan;7;2019;0,568525;820.490;34.111.493
Jan;6;2019;0,588313;1.062.128;35.298.764
Jan;5;2019;0,559700;1.579.523;33.582.017
Jan;4;2019;0,565290;2.505.882;33.917.376
Jan;3;2019;0,551108;338.570;33.066.451
Jan;2;2019;0,562836;427.521;33.770.140
Jan;1;2019;0,555991;399.298;33.359.449
