Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;0,001232;10.511.359;164.111.473
Apr;10;2019;0,001293;8.710.315;172.233.618
Apr;09;2019;0,001294;8.589.672;172.370.866
Apr;08;2019;0,001313;10.162.774;174.904.107
Apr;07;2019;0,001320;7.859.376;175.817.537
Apr;06;2019;0,001314;12.903.226;174.990.258
Apr;05;2019;0,001319;12.197.815;175.739.813
Apr;04;2019;0,001223;8.747.458;162.950.404
Apr;03;2019;0,001248;12.099.493;166.283.851
Apr;02;2019;0,001269;12.627.155;169.045.042
Apr;01;2019;0,001152;6.419.761;153.445.982
Mar;31;2019;0,001197;5.931.378;159.447.921
Mar;30;2019;0,001159;5.425.122;154.447.735
Mar;29;2019;0,001155;5.160.932;153.844.805
Mar;28;2019;0,001145;8.553.754;152.545.289
Mar;27;2019;0,001132;5.119.615;150.805.776
Mar;26;2019;0,001104;6.006.213;147.028.909
Mar;25;2019;0,001108;6.341.527;147.618.803
Mar;24;2019;0,001167;8.096.954;155.426.847
Mar;23;2019;0,001169;5.706.556;155.789.227
Mar;22;2019;0,001186;6.770.713;158.007.113
Mar;21;2019;0,001175;7.375.695;156.527.185
Mar;20;2019;0,001209;8.980.199;161.066.040
Mar;19;2019;0,001173;7.084.845;156.233.807
Mar;18;2019;0,001169;8.480.460;155.772.054
Mar;17;2019;0,001187;8.465.884;158.174.567
Mar;16;2019;0,001276;21.412.077;169.995.297
Mar;15;2019;0,001124;5.732.476;149.671.907
Mar;14;2019;0,001062;4.479.935;141.511.349
Mar;13;2019;0,001050;4.910.018;139.901.716
Mar;12;2019;0,001058;5.999.820;140.904.236
Mar;11;2019;0,001066;6.771.633;141.959.182
Mar;10;2019;0,001098;5.771.622;146.209.074
Mar;09;2019;0,001082;8.712.693;144.092.388
Mar;08;2019;0,001082;13.908.759;144.200.227
Mar;07;2019;0,001031;7.409.476;137.351.141
Mar;06;2019;0,001037;7.795.744;138.198.514
Mar;05;2019;0,001095;11.348.139;145.844.350
Mar;04;2019;0,001030;8.461.767;137.188.012
Mar;03;2019;0,001097;9.218.531;146.071.346
Mar;02;2019;0,001140;15.694.152;151.848.044
Mar;01;2019;0,001050;8.575.696;139.925.332
Feb;28;2019;0,001106;9.736.123;147.360.242
Feb;27;2019;0,001105;12.291.232;147.185.569
Feb;26;2019;0,001177;10.974.925;156.843.338
Feb;25;2019;0,001209;12.566.741;161.043.052
Feb;24;2019;0,001193;13.808.636;158.881.548
Feb;23;2019;0,001389;13.090.575;185.100.967
Feb;22;2019;0,001383;10.474.334;184.220.633
Feb;21;2019;0,001366;14.307.130;181.965.034
Feb;20;2019;0,001473;10.803.932;196.186.152
Feb;19;2019;0,001457;16.306.894;194.096.727
Feb;18;2019;0,001476;31.141.791;196.577.268
Feb;17;2019;0,001255;10.234.240;167.220.112
Feb;16;2019;0,001324;10.968.515;176.313.844
Feb;15;2019;0,001299;12.788.948;172.983.110
Feb;14;2019;0,001152;5.607.011;153.470.223
Feb;13;2019;0,001212;8.935.412;161.453.259
Feb;12;2019;0,001187;9.449.995;158.081.093
Feb;11;2019;0,001241;9.586.197;165.322.712
Feb;10;2019;0,001167;8.926.101;155.469.863
Feb;09;2019;0,001149;8.538.344;153.049.211
Feb;08;2019;0,001136;10.088.248;151.354.081
Feb;07;2019;0,001069;9.073.182;142.415.437
