Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;2,32;99.473.739;116.147.868
Apr;10;2019;2,60;61.004.690;130.007.298
Apr;09;2019;2,67;61.446.296;133.454.013
Apr;08;2019;2,68;76.122.894;134.250.380
Apr;07;2019;2,71;58.899.231;135.285.661
Apr;06;2019;2,78;54.543.260;138.944.547
Apr;05;2019;2,83;58.644.265;141.340.083
Apr;04;2019;2,82;93.132.112;141.232.001
Apr;03;2019;2,74;187.731.672;136.971.471
Apr;02;2019;2,71;172.464.746;135.627.725
Apr;01;2019;2,80;127.280.038;139.938.358
Mar;31;2019;2,58;134.354.526;128.881.667
Mar;30;2019;2,45;71.000.163;122.475.982
Mar;29;2019;2,47;99.934.174;123.426.744
Mar;28;2019;2,38;48.152.139;119.034.430
Mar;27;2019;2,44;75.812.121;122.197.147
Mar;26;2019;2,44;264.278.936;122.143.160
Mar;25;2019;2,51;55.104.148;125.453.831
Mar;24;2019;2,53;87.762.061;126.316.839
Mar;23;2019;2,47;54.958.250;123.632.702
Mar;22;2019;2,52;83.380.105;125.946.587
Mar;21;2019;2,60;178.171.070;129.920.294
Mar;20;2019;2,71;190.430.286;135.391.941
Mar;19;2019;2,36;84.705.539;117.876.212
Mar;18;2019;2,01;33.436.041;100.667.993
Mar;17;2019;2,05;27.685.484;102.738.709
Mar;16;2019;2,11;47.454.236;105.626.126
Mar;15;2019;2,00;43.907.982;100.111.838
Mar;14;2019;1,82;23.559.986;90.985.297
Mar;13;2019;1,83;27.901.650;91.420.751
Mar;12;2019;1,87;47.863.237;93.441.547
Mar;11;2019;1,73;29.850.467;86.310.199
Mar;10;2019;1,84;28.176.797;91.780.086
Mar;09;2019;1,86;38.476.936;93.145.116
Mar;08;2019;1,81;69.569.387;90.683.448
Mar;07;2019;1,93;101.683.286;96.702.842
Mar;06;2019;1,72;38.889.674;86.225.783
Mar;05;2019;1,55;40.758.477;77.538.694
Mar;04;2019;1,32;20.119.189;66.226.224
Mar;03;2019;1,36;10.227.713;67.785.611
Mar;02;2019;1,39;20.880.534;69.671.205
Mar;01;2019;1,41;33.158.372;70.277.793
Feb;28;2019;1,21;14.216.563;60.434.063
Feb;27;2019;1,16;8.910.494;58.021.904
Feb;26;2019;1,16;8.504.766;58.217.340
Feb;25;2019;1,19;13.310.673;59.388.341
Feb;24;2019;1,15;21.515.528;57.630.534
Feb;23;2019;1,28;13.463.597;64.015.470
Feb;22;2019;1,26;11.158.697;63.194.968
Feb;21;2019;1,24;15.347.016;61.878.364
Feb;20;2019;1,29;16.775.587;64.636.244
Feb;19;2019;1,21;16.586.190;60.608.590
Feb;18;2019;1,17;13.614.095;58.515.367
Feb;17;2019;1,09;5.681.852;54.430.708
Feb;16;2019;1,10;3.687.481;55.143.464
Feb;15;2019;1,10;7.303.656;55.100.830
Feb;14;2019;1,11;5.461.017;55.341.522
Feb;13;2019;1,12;10.415.579;56.240.302
Feb;12;2019;1,17;15.037.636;58.743.815
Feb;11;2019;1,10;17.562.326;55.173.209
Feb;10;2019;1,03;9.037.273;51.566.864
Feb;09;2019;1,00;6.302.328;50.014.852
Feb;08;2019;0,993931;11.581.344;49.696.760
Feb;07;2019;0,933994;7.234.956;46.699.888
Feb;06;2019;0,940638;5.930.709;47.032.068
Feb;05;2019;0,931546;7.074.536;46.577.463
Feb;04;2019;0,932356;7.036.649;46.618.002
Feb;03;2019;0,933330;6.751.265;46.666.665
Feb;02;2019;0,963263;3.788.856;48.163.339
Feb;01;2019;0,938354;4.130.370;46.917.872
Jan;31;2019;0,934199;5.184.304;46.710.150
Jan;30;2019;0,954153;11.943.341;47.707.861
Jan;29;2019;0,918539;10.974.507;45.927.127
Jan;28;2019;0,923957;26.309.469;46.198.041
Jan;27;2019;1,04;7.476.724;51.923.934
Jan;26;2019;1,05;10.101.839;52.413.880
Jan;25;2019;1,06;9.397.946;52.801.167
Jan;24;2019;1,05;7.744.938;52.581.685
Jan;23;2019;1,05;4.782.344;52.374.849
Jan;22;2019;1,06;6.210.098;52.848.814
Jan;21;2019;1,05;5.404.058;52.666.408
Jan;20;2019;1,06;8.606.231;52.844.355
Jan;19;2019;1,06;6.701.445;52.911.290
Jan;18;2019;1,06;4.540.372;53.185.070
Jan;17;2019;1,06;3.068.648;53.176.567
Jan;16;2019;1,07;7.712.598;53.280.563
Jan;15;2019;1,06;5.508.169;52.957.050
Jan;14;2019;1,06;7.496.544;53.186.363
Jan;13;2019;1,06;6.184.851;52.860.908
Jan;12;2019;1,07;9.452.071;53.628.197
Jan;11;2019;1,06;7.939.167;53.061.200
Jan;10;2019;1,04;18.109.069;52.209.739
Jan;09;2019;1,12;9.715.412;55.857.202
Jan;08;2019;1,11;7.672.553;55.388.706
Jan;07;2019;1,10;9.852.807;54.851.880
Jan;06;2019;1,12;11.066.908;55.958.841
Jan;05;2019;1,09;12.010.538;54.711.985
Jan;04;2019;1,09;11.248.630;54.664.240
Jan;03;2019;1,09;18.677.531;54.624.223
Jan;02;2019;1,16;39.112.912;57.809.725
Jan;01;2019;1,11;31.847.691;55.484.821
Dec;31;2018;1,07;31.806.420;53.712.279
Dec;30;2018;1,10;31.406.726;54.963.280
Dec;29;2018;1,09;21.818.945;54.618.749
Dec;28;2018;1,11;23.735.822;55.676.871
Dec;27;2018;1,07;15.372.089;53.430.031
Dec;26;2018;1,10;15.547.797;55.141.436
Dec;25;2018;1,11;19.364.998;55.320.969
Dec;24;2018;1,19;28.207.083;59.261.043
Dec;23;2018;1,22;13.813.721;60.988.476
Dec;22;2018;1,22;15.645.142;61.207.497
Dec;21;2018;1,16;22.529.578;58.078.443
Dec;20;2018;1,20;17.507.528;59.803.971
