Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;1,45;2.887.909;63.097.842
Apr;10;2019;1,61;4.254.814;70.004.375
Apr;9;2019;1,53;2.110.177;66.739.095
Apr;8;2019;1,59;2.903.482;69.397.208
Apr;7;2019;1,65;4.274.919;71.627.865
Apr;6;2019;1,61;2.314.533;70.282.347
Apr;5;2019;1,64;2.024.306;71.283.747
Apr;4;2019;1,59;3.853.678;69.058.535
Apr;3;2019;1,56;5.160.644;67.829.148
Apr;2;2019;1,61;5.196.892;69.934.736
Apr;1;2019;1,45;2.530.648;63.187.613
Mar;31;2019;1,45;7.098.302;63.048.953
Mar;30;2019;1,39;1.174.195;60.573.502
Mar;29;2019;1,39;1.065.508;60.709.270
Mar;28;2019;1,38;1.379.797;60.198.518
Mar;27;2019;1,41;1.458.735;61.412.132
Mar;26;2019;1,34;2.380.093;58.537.420
Mar;25;2019;1,36;2.164.751;59.098.225
Mar;24;2019;1,41;4.856.536;61.176.936
Mar;23;2019;1,45;7.638.209;63.194.492
Mar;22;2019;1,32;1.074.233;57.261.849
Mar;21;2019;1,31;2.434.349;57.110.058
Mar;20;2019;1,33;2.021.978;58.003.332
Mar;19;2019;1,34;1.507.793;58.164.423
Mar;18;2019;1,33;1.302.431;57.889.662
Mar;17;2019;1,36;1.793.495;59.077.773
Mar;16;2019;1,34;1.449.852;58.215.524
Mar;15;2019;1,34;2.614.114;58.227.182
Mar;14;2019;1,33;2.749.438;57.937.349
Mar;13;2019;1,32;9.395.999;57.447.694
Mar;12;2019;1,26;1.916.675;54.695.146
Mar;11;2019;1,22;1.502.846;53.162.300
Mar;10;2019;1,26;1.679.570;55.000.309
Mar;9;2019;1,29;8.445.838;56.341.291
Mar;8;2019;1,20;2.833.090;52.427.779
Mar;7;2019;1,15;1.075.854;50.109.981
Mar;6;2019;1,14;779.708;49.707.191
Mar;5;2019;1,13;509.760;49.290.352
Mar;4;2019;1,08;868.923;46.992.031
Mar;3;2019;1,15;342.007;49.858.624
Mar;2;2019;1,16;360.316;50.498.473
Mar;1;2019;1,16;697.615;50.708.632
Feb;28;2019;1,15;501.802;50.205.424
Feb;27;2019;1,14;509.507;49.776.446
Feb;26;2019;1,16;1.048.993;50.307.261
Feb;25;2019;1,15;581.589;49.919.618
Feb;24;2019;1,12;1.354.465;48.795.553
Feb;23;2019;1,24;2.818.846;53.868.166
Feb;22;2019;1,16;564.434;50.654.457
Feb;21;2019;1,15;1.444.785;49.949.117
Feb;20;2019;1,19;1.043.681;51.936.060
Feb;19;2019;1,20;1.479.058;52.304.733
Feb;18;2019;1,19;1.221.527;51.927.780
Feb;17;2019;1,16;1.090.767;50.438.673
Feb;16;2019;1,11;1.297.598;48.341.840
Feb;15;2019;1,12;1.612.058;48.718.837
Feb;14;2019;1,10;777.995;47.715.920
Feb;13;2019;1,11;1.092.145;48.340.907
Feb;12;2019;1,16;1.345.126;50.322.397
Feb;11;2019;1,17;2.631.861;50.934.682
Feb;10;2019;1,27;4.642.031;55.407.442
Feb;9;2019;1,17;2.623.932;50.946.059
Feb;8;2019;1,08;4.976.141;47.123.523
Feb;7;2019;0,912894;472.437;39.738.055
Feb;6;2019;0,903092;310.368;39.311.396
Feb;5;2019;0,906053;227.116;39.440.298
Feb;4;2019;0,914286;688.158;39.798.686
Feb;3;2019;0,909637;366.556;39.596.280
Feb;2;2019;0,916455;259.510;39.893.098
Feb;1;2019;0,923047;723.496;40.180.044
Jan;31;2019;0,893494;891.357;38.893.608
Jan;30;2019;0,953241;398.222;41.494.353
Jan;29;2019;0,931029;450.580;40.527.475
Jan;28;2019;0,929791;1.115.643;40.473.591
Jan;27;2019;0,999031;932.183;43.487.601
Jan;26;2019;1,08;847.625;47.229.349
Jan;25;2019;1,12;3.064.940;48.552.522
Jan;24;2019;1,09;515.599;47.268.353
Jan;23;2019;1,09;1.076.093;47.548.147
Jan;22;2019;1,09;1.011.087;47.589.429
Jan;21;2019;1,09;2.185.192;47.485.309
Jan;20;2019;1,11;2.946.038;48.115.734
Jan;19;2019;1,10;1.699.698;48.099.452
Jan;18;2019;1,09;1.390.338;47.540.421
Jan;17;2019;1,17;1.506.844;50.954.691
Jan;16;2019;1,24;2.382.368;54.159.647
Jan;15;2019;1,22;5.039.512;53.023.891
Jan;14;2019;1,33;5.915.756;57.858.548
Jan;13;2019;1,29;14.782.477;56.295.779
Jan;12;2019;1,64;41.282.337;71.177.242
Jan;11;2019;1,05;24.202.053;45.653.238
Jan;10;2019;0,984116;20.438.291;42.838.359
Jan;9;2019;1,14;16.223.215;49.513.174
Jan;8;2019;0,940506;10.144.053;40.940.027
Jan;7;2019;0,909778;19.252.308;39.602.418
Jan;6;2019;0,934300;16.539.571;40.669.855
Jan;5;2019;0,907001;20.062.956;39.481.572
Jan;4;2019;0,886935;20.306.753;38.608.080
Jan;3;2019;0,868524;10.122.175;37.806.665
Jan;2;2019;0,909957;18.964.764;39.610.211
Jan;1;2019;0,900949;20.181.994;39.218.126
Dec;31;2018;0,888871;15.948.877;38.692.342
Dec;30;2018;0,867206;8.146.926;37.749.273
Dec;29;2018;0,845447;14.939.672;36.802.121
Dec;28;2018;0,878066;22.521.783;38.222.018
Dec;27;2018;0,789916;18.235.943;34.384.858
Dec;26;2018;0,865130;10.288.687;37.658.924
Dec;25;2018;0,818427;19.060.755;35.625.965
Dec;24;2018;0,928745;13.933.769;40.428.057
Dec;23;2018;0,937276;20.868.551;40.799.431
Dec;22;2018;0,913647;12.363.007;39.770.847
Dec;21;2018;0,883325;19.447.792;38.450.956
Dec;20;2018;0,901187;14.807.844;39.228.487
Dec;19;2018;0,864167;22.843.915;37.617.015
Dec;18;2018;0,900420;1.461.359;39.195.082
Dec;17;2018;0,832822;11.120.321;36.252.549
Dec;16;2018;0,708400;13.555.794;30.836.504
Dec;15;2018;0,694362;15.543.332;30.225.435
Dec;14;2018;0,661384;16.242.161;28.789.912
Dec;13;2018;0,717756;10.697.577;31.243.743
Dec;12;2018;0,675565;19.997.039;29.407.195
Dec;11;2018;0,630420;56.576.752;27.442.026
Dec;10;2018;0,617039;58.908.382;26.859.556
Dec;9;2018;0,641805;52.009.015;27.937.632
Dec;8;2018;0,621990;42.224.325;27.075.087
Dec;7;2018;0,619462;38.099.947;26.965.053
Dec;6;2018;0,705396;36.759.420;30.705.738
Dec;5;2018;0,816511;71.689.782;35.542.558
Dec;4;2018;0,886299;41.279.717;38.580.395
Dec;3;2018;0,860417;35.671.845;37.453.766
Dec;2;2018;0,919637;54.389.564;40.031.612
Dec;1;2018;0,935651;89.478.752;40.728.698
Nov;30;2018;0,907551;52.817.173;39.505.504
Nov;29;2018;0,935155;557.541;40.707.099
Nov;28;2018;0,966703;579.407;42.080.370
Nov;27;2018;0,877244;325.006;38.186.239
Nov;26;2018;0,875859;589.053;38.125.950
Nov;25;2018;0,918226;870.054;39.970.177
Nov;24;2018;0,886604;535.529;38.593.678
Nov;23;2018;0,959201;1.102.210;41.753.809
Nov;22;2018;0,944373;461.593;41.108.350
Nov;21;2018;0,989187;1.642.890;43.059.093
Nov;20;2018;0,912552;2.765.130;39.723.189
Nov;19;2018;0,906151;1.529.050;39.444.554
Nov;18;2018;1,18;248.324;51.449.589
Nov;17;2018;1,14;421.738;49.600.444
Nov;16;2018;1,19;405.137;51.796.522
Nov;15;2018;1,23;1.147.180;53.557.301
Nov;14;2018;1,29;2.049.720;56.113.805
Nov;13;2018;1,60;1.006.260;69.791.298
Nov;12;2018;1,69;732.814;73.583.177
