Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;0,376537;14.923.879;178.255.167
Apr;10;2019;0,403900;12.706.476;191.208.758
Apr;09;2019;0,407152;13.008.624;192.748.384
Apr;08;2019;0,430795;16.614.616;203.941.427
Apr;07;2019;0,441605;17.652.246;209.058.826
Apr;06;2019;0,445233;24.687.014;210.776.347
Apr;05;2019;0,435919;15.409.240;206.366.816
Apr;04;2019;0,403068;20.310.447;190.815.170
Apr;03;2019;0,401654;37.520.666;190.145.532
Apr;02;2019;0,386235;22.939.476;182.846.462
Apr;01;2019;0,349347;18.687.192;165.383.305
Mar;31;2019;0,346178;12.382.911;163.883.020
Mar;30;2019;0,335101;15.511.164;158.639.102
Mar;29;2019;0,331816;11.671.841;157.083.687
Mar;28;2019;0,327700;10.087.951;155.135.328
Mar;27;2019;0,330801;14.483.575;156.603.457
Mar;26;2019;0,315563;14.108.420;149.389.635
Mar;25;2019;0,319923;27.524.704;151.453.669
Mar;24;2019;0,337179;24.752.976;159.622.847
Mar;23;2019;0,327547;11.128.572;155.062.725
Mar;22;2019;0,321849;11.252.435;152.365.696
Mar;21;2019;0,319253;18.673.530;151.136.664
Mar;20;2019;0,339625;14.138.505;160.780.759
Mar;19;2019;0,348389;19.614.399;164.929.493
Mar;18;2019;0,330273;11.610.090;156.353.269
Mar;17;2019;0,334734;9.472.466;158.465.296
Mar;16;2019;0,342695;10.802.742;162.233.921
Mar;15;2019;0,341537;11.821.435;161.685.917
Mar;14;2019;0,332093;14.605.924;157.215.154
Mar;13;2019;0,332443;13.440.088;157.380.750
Mar;12;2019;0,341494;18.759.616;161.665.392
Mar;11;2019;0,328952;21.995.013;155.727.957
Mar;10;2019;0,354277;36.444.221;167.716.934
Mar;09;2019;0,376057;45.687.405;178.027.926
Mar;08;2019;0,321936;34.533.641;152.406.847
Mar;07;2019;0,321302;32.630.483;152.106.343
Mar;06;2019;0,284609;9.862.228;134.736.006
Mar;05;2019;0,288463;11.391.033;136.560.421
Mar;04;2019;0,269822;10.716.565;127.735.451
Mar;03;2019;0,282740;11.750.471;133.851.115
Mar;02;2019;0,281907;12.806.148;133.456.528
Mar;01;2019;0,294063;26.360.485;139.211.318
Feb;28;2019;0,290499;24.693.848;137.524.203
Feb;27;2019;0,273880;17.353.427;129.656.559
Feb;26;2019;0,269239;41.208.782;127.459.754
Feb;25;2019;0,251147;9.802.460;118.894.676
Feb;24;2019;0,236695;17.902.809;112.053.220
Feb;23;2019;0,276240;13.944.219;130.773.866
Feb;22;2019;0,252608;5.509.021;119.586.377
Feb;21;2019;0,242702;7.823.165;114.896.766
Feb;20;2019;0,244156;7.489.368;115.584.969
Feb;19;2019;0,240121;11.167.465;113.674.936
Feb;18;2019;0,243355;8.227.873;115.205.934
Feb;17;2019;0,232735;7.530.368;110.178.385
Feb;16;2019;0,223856;4.745.837;105.975.026
Feb;15;2019;0,222339;5.276.590;105.256.966
Feb;14;2019;0,218122;4.229.641;103.260.582
Feb;13;2019;0,221071;6.295.972;104.656.571
Feb;12;2019;0,227439;7.781.157;107.671.218
Feb;11;2019;0,229460;6.269.555;108.627.976
Feb;10;2019;0,222041;6.843.588;105.115.796
Feb;09;2019;0,220817;5.683.923;104.536.411
Feb;08;2019;0,223923;13.229.072;106.006.547
Feb;07;2019;0,209589;29.618.472;99.220.836
Feb;06;2019;0,186547;4.348.496;88.312.759
Feb;05;2019;0,187970;3.586.021;88.986.330
Feb;04;2019;0,189075;3.551.540;89.509.518
Feb;03;2019;0,187017;2.671.704;88.535.013
Feb;02;2019;0,192776;3.166.387;91.261.437
Feb;01;2019;0,192850;4.827.701;91.296.657
Jan;31;2019;0,188759;8.371.606;89.359.979
Jan;30;2019;0,204746;5.492.611;96.928.009
Jan;29;2019;0,200252;4.928.889;94.800.866
Jan;28;2019;0,206163;5.502.195;97.598.921
Jan;27;2019;0,221614;4.806.309;104.913.494
Jan;26;2019;0,228069;3.357.436;107.969.606
Jan;25;2019;0,228068;3.667.524;107.969.051
Jan;24;2019;0,230943;3.264.291;109.329.760
Jan;23;2019;0,228655;5.288.467;108.247.021
Jan;22;2019;0,232166;5.891.952;109.908.719
Jan;21;2019;0,232403;3.909.598;110.021.329
Jan;20;2019;0,232504;4.512.371;110.069.171
Jan;19;2019;0,244408;3.893.028;115.704.301
Jan;18;2019;0,237467;6.366.970;112.418.469
Jan;17;2019;0,245829;6.391.581;116.377.019
Jan;16;2019;0,232568;4.567.853;110.099.311
Jan;15;2019;0,224401;5.121.093;106.232.992
Jan;14;2019;0,232570;5.407.390;110.100.374
Jan;13;2019;0,216882;5.970.805;102.673.499
Jan;12;2019;0,240130;3.297.268;113.678.996
Jan;11;2019;0,242470;6.304.154;114.786.930
Jan;10;2019;0,241860;14.045.321;114.498.072
Jan;09;2019;0,286137;9.807.740;135.459.141
Jan;08;2019;0,275129;8.607.177;130.247.706
Jan;07;2019;0,276888;7.110.862;131.080.759
Jan;06;2019;0,288062;9.745.961;136.370.265
Jan;05;2019;0,268999;10.325.781;127.346.042
Jan;04;2019;0,274433;11.963.006;129.918.474
Jan;03;2019;0,260199;10.974.517;123.180.030
Jan;02;2019;0,256114;4.986.096;121.246.054
Jan;01;2019;0,244825;3.030.976;115.902.018
Dec;31;2018;0,236507;3.677.411;111.963.944
Dec;30;2018;0,245340;3.969.056;116.145.564
Dec;29;2018;0,237090;5.262.902;112.239.971
Dec;28;2018;0,250399;5.796.401;118.540.794
Dec;27;2018;0,222902;6.082.481;105.523.317
Dec;26;2018;0,245711;6.106.959;116.321.332
Dec;25;2018;0,246634;8.698.199;116.758.271
Dec;24;2018;0,275886;15.239.834;130.606.196
Dec;23;2018;0,264609;10.666.713;125.267.539
Dec;22;2018;0,255298;7.570.981;120.859.918
Dec;21;2018;0,243581;16.978.443;115.312.905
Dec;20;2018;0,252657;13.062.120;119.609.606
Dec;19;2018;0,225529;13.795.322;106.766.854
Dec;18;2018;0,222396;6.950.628;105.283.799
Dec;17;2018;0,210904;6.733.691;99.843.519
Dec;16;2018;0,188999;2.769.822;89.473.592
Dec;15;2018;0,187141;3.072.037;88.593.867
Dec;14;2018;0,186421;4.383.295;88.252.948
Dec;13;2018;0,196084;3.543.390;92.827.416
Dec;12;2018;0,210347;3.694.908;99.579.570
Dec;11;2018;0,203313;3.183.207;96.249.665
Dec;10;2018;0,211910;4.527.313;100.319.729
Dec;09;2018;0,223980;4.105.766;106.033.489
Dec;08;2018;0,211871;4.612.755;100.300.932
Dec;07;2018;0,211634;6.174.517;100.189.053
Dec;06;2018;0,213858;5.598.914;101.241.901
Dec;05;2018;0,232987;4.894.053;110.297.405
Dec;04;2018;0,255341;4.927.642;120.880.346
Dec;03;2018;0,248383;5.371.550;117.586.324
Dec;02;2018;0,272682;5.374.868;129.089.394
Dec;01;2018;0,279622;6.641.164;132.375.099
Nov;30;2018;0,259435;9.267.669;122.818.086
Nov;29;2018;0,290001;12.282.966;137.288.347
Nov;28;2018;0,277357;10.778.200;131.302.659
Nov;27;2018;0,232108;4.448.620;109.881.479
Nov;26;2018;0,223242;6.009.160;105.684.256
Nov;25;2018;0,241030;6.333.620;114.105.214
Nov;24;2018;0,238430;4.123.270;112.874.357
Nov;23;2018;0,273067;4.650.940;129.271.744
Nov;22;2018;0,278644;4.443.200;131.911.933
Nov;21;2018;0,301400;6.941.350;142.684.776
Nov;20;2018;0,278855;14.698.300;132.011.822
Nov;19;2018;0,327404;15.191.200;154.995.243
Nov;18;2018;0,420119;4.746.020;198.887.144
Nov;17;2018;0,417549;5.131.120;197.670.489
Nov;16;2018;0,423119;7.227.010;200.307.364
Nov;15;2018;0,446582;12.206.100;211.414.905
Nov;14;2018;0,461070;15.294.700;218.273.621
Nov;13;2018;0,543627;10.781.100;257.356.657
Nov;12;2018;0,564606;9.791.070;218.746.059
Nov;11;2018;0,582322;7.149.940;225.609.793
Nov;10;2018;0,602302;7.157.410;233.350.671
Nov;09;2018;0,591135;10.429.800;229.024.225
Nov;08;2018;0,616013;10.145.000;238.662.742
Nov;07;2018;0,642839;8.888.400;249.055.975
Nov;06;2018;0,649370;10.103.000;250.952.452
Nov;05;2018;0,634682;8.656.460;245.895.698
Nov;04;2018;0,641846;9.715.270;248.671.256
Nov;03;2018;0,632714;6.839.040;245.133.233
Nov;02;2018;0,639252;8.040.260;247.666.259
Nov;01;2018;0,648932;7.495.010;251.416.594
Oct;31;2018;0,643800;10.603.600;249.428.297
Oct;30;2018;0,624154;6.835.540;241.816.821
Oct;29;2018;0,621728;8.544.600;240.876.912
Oct;28;2018;0,649546;7.316.740;251.654.477
Oct;27;2018;0,643194;7.916.270;249.193.513
Oct;26;2018;0,665579;7.041.310;257.866.164
Oct;25;2018;0,662215;8.087.320;256.562.845
Oct;24;2018;0,675419;8.986.510;261.678.488
Oct;23;2018;0,667753;13.245.000;258.708.440
Oct;22;2018;0,684381;13.570.100;265.150.648
Oct;21;2018;0,695226;13.429.200;269.352.341
Oct;20;2018;0,699561;13.046.800;271.031.856
Oct;19;2018;0,702946;12.218.300;272.343.311
Oct;18;2018;0,685837;16.936.300;265.714.748
Oct;17;2018;0,722645;20.983.400;279.975.321
Oct;16;2018;0,684481;20.511.900;265.189.391
Oct;15;2018;0,681618;28.957.400;264.080.175
Oct;14;2018;0,616835;11.520.700;238.981.211
Oct;13;2018;0,618583;10.213.000;239.658.441
Oct;12;2018;0,600053;11.875.300;232.479.338
Oct;11;2018;0,601099;23.016.300;232.884.591
Oct;10;2018;0,727202;14.667.400;281.740.845
Oct;09;2018;0,699270;11.558.900;270.919.113
Oct;08;2018;0,698349;14.319.100;270.562.289
Oct;07;2018;0,674838;10.110.100;261.453.391
Oct;06;2018;0,667425;9.782.120;258.581.362
Oct;05;2018;0,683684;12.192.000;264.880.608
Oct;04;2018;0,670145;10.670.400;259.635.175
Oct;03;2018;0,666897;13.288.800;258.376.798
