Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;0,219316;3.567.804;76.739.425
Apr;10;2019;0,239825;4.904.615;83.915.421
Apr;9;2019;0,231023;4.119.878;80.835.589
Apr;8;2019;0,225671;3.479.840;78.962.962
Apr;7;2019;0,227085;3.238.975;79.457.741
Apr;6;2019;0,229545;2.809.365;80.318.366
Apr;5;2019;0,239965;3.225.490;83.964.265
Apr;4;2019;0,252486;8.145.276;88.345.643
Apr;3;2019;0,223363;3.207.817;78.155.392
Apr;2;2019;0,223275;3.206.567;78.124.557
Apr;1;2019;0,222176;3.190.790;77.740.121
Mar;31;2019;0,221433;3.180.143;77.480.006
Mar;30;2019;0,221435;3.180.133;77.480.877
Mar;29;2019;0,221376;3.179.315;77.460.166
Mar;28;2019;0,223835;3.214.562;78.320.379
Mar;27;2019;0,224025;3.217.379;78.386.866
Mar;26;2019;0,223764;3.213.550;78.295.512
Mar;25;2019;0,222739;3.198.993;77.936.800
Mar;24;2019;0,222621;3.197.306;77.895.658
Mar;23;2019;0,220408;3.224.257;77.121.363
Mar;22;2019;0,219855;3.476.636;76.927.820
Mar;21;2019;0,214182;3.941.663;70.402.164
Mar;20;2019;0,216094;4.556.452;67.430.447
Mar;19;2019;0,244926;5.260.931;76.427.362
Mar;18;2019;0,262344;3.605.714;81.862.669
Mar;17;2019;0,258349;4.301.566;67.597.740
Mar;16;2019;0,276029;3.474.858;72.223.706
Mar;15;2019;0,288146;6.634.170;58.969.922
Mar;14;2019;0,299846;2.122.075;61.364.222
Mar;13;2019;0,299086;3.312.020;49.813.509
Mar;12;2019;0,281008;2.356.218;46.802.652
Mar;11;2019;0,278261;2.757.373;46.345.051
Mar;10;2019;0,289404;4.304.948;48.201.059
Mar;9;2019;0,265522;2.899.417;44.223.462
Mar;8;2019;0,272045;4.177.457;45.309.905
Mar;7;2019;0,249010;1.738.030;41.473.224
Mar;6;2019;0,255177;2.209.627;42.500.392
Mar;5;2019;0,254166;1.754.756;42.332.057
Mar;4;2019;0,244319;1.791.665;40.692.069
Mar;3;2019;0,253506;2.030.640;42.222.044
Mar;2;2019;0,264325;2.570.385;44.024.091
Mar;1;2019;0,275155;2.034.163;45.827.875
Feb;28;2019;0,272321;1.539.461;45.355.794
Feb;27;2019;0,271745;2.084.340;45.259.848
Feb;26;2019;0,269873;1.849.899;44.947.998
Feb;25;2019;0,271694;1.802.300;45.251.315
Feb;24;2019;0,269681;2.045.907;44.916.094
Feb;23;2019;0,269157;2.556.883;44.828.763
Feb;22;2019;0,270643;1.983.543;45.076.292
Feb;21;2019;0,274881;2.068.230;45.782.148
Feb;20;2019;0,284538;1.365.849;47.390.567
Feb;19;2019;0,288251;1.181.301;48.008.934
Feb;18;2019;0,287755;987.457;47.926.321
Feb;17;2019;0,283451;1.254.557;47.209.566
Feb;16;2019;0,282396;1.226.589;47.033.739
Feb;15;2019;0,286323;1.675.498;47.687.923
Feb;14;2019;0,290068;1.368.927;48.311.580
Feb;13;2019;0,292073;1.169.547;48.645.523
Feb;12;2019;0,291279;1.167.767;48.513.382
Feb;11;2019;0,293502;1.149.849;48.883.596
Feb;10;2019;0,292234;1.156.853;48.672.420
Feb;9;2019;0,290649;1.388.863;48.408.400
Feb;8;2019;0,287519;1.678.611;47.887.112
Feb;7;2019;0,283664;1.200.743;47.244.983
Feb;6;2019;0,283580;1.678.638;47.231.037
Feb;5;2019;0,288107;1.628.484;47.984.989
Feb;4;2019;0,286021;1.186.415;47.637.554
Feb;3;2019;0,283962;1.429.652;47.294.700
Feb;2;2019;0,285902;922.935;47.617.827
Feb;1;2019;0,288595;1.200.608;48.066.325
Jan;31;2019;0,289608;1.437.355;48.234.975
Jan;30;2019;0,296070;1.424.365;49.311.229
Jan;29;2019;0,294352;1.194.923;49.022.455
Jan;28;2019;0,294354;1.421.235;49.022.925
Jan;27;2019;0,301666;1.868.693;50.240.595
Jan;26;2019;0,298370;2.091.825;49.691.698
Jan;25;2019;0,298702;2.247.551;49.746.988
Jan;24;2019;0,300460;2.085.797;50.039.818
Jan;23;2019;0,303161;1.858.272;50.489.569
Jan;22;2019;0,293945;2.615.484;48.954.783
Jan;21;2019;0,292144;1.687.303;48.654.740
Jan;20;2019;0,290986;1.456.950;48.461.972
Jan;19;2019;0,291330;1.950.288;48.519.222
Jan;18;2019;0,286970;1.465.719;47.793.030
Jan;17;2019;0,292092;2.178.816;48.646.215
Jan;16;2019;0,281908;2.218.110;46.950.052
Jan;15;2019;0,290340;1.486.166;48.354.333
Jan;14;2019;0,285515;2.021.070;47.550.774
Jan;13;2019;0,276906;1.263.232;46.116.977
Jan;12;2019;0,275039;1.516.785;45.806.080
Jan;11;2019;0,275002;1.800.870;45.799.897
Jan;10;2019;0,267048;1.296.451;44.475.267
Jan;9;2019;0,277844;1.796.253;46.273.187
Jan;8;2019;0,279964;2.055.226;46.626.251
Jan;7;2019;0,281267;1.510.279;46.843.386
Jan;6;2019;0,284426;1.284.680;47.369.449
Jan;5;2019;0,282725;1.269.138;47.086.091
Jan;4;2019;0,282605;1.507.451;47.066.113
Jan;3;2019;0,291365;1.258.202;48.525.148
Jan;2;2019;0,305411;1.498.226;50.858.300
Jan;1;2019;0,300608;1.740.489;50.058.491
Dec;31;2018;0,304463;1.559.409;50.700.369
Dec;30;2018;0,315412;1.783.536;52.523.624
Dec;29;2018;0,326236;2.132.511;54.326.057
Dec;28;2018;0,329698;3.477.750;54.902.562
Dec;27;2018;0,323857;2.695.765;53.929.901
Dec;26;2018;0,310154;2.902.039;51.648.107
Dec;25;2018;0,307227;2.360.502;51.160.653
Dec;24;2018;0,327525;4.678.717;54.540.719
Dec;23;2018;0,299454;2.339.054;49.866.304
Dec;22;2018;0,287930;2.949.974;47.947.194
Dec;21;2018;0,288090;2.404.940;47.973.914
Dec;20;2018;0,297062;3.029.095;49.467.951
Dec;19;2018;0,295616;4.159.083;49.227.076
Dec;18;2018;0,274140;3.186.820;45.484.253
Dec;17;2018;0,261724;2.898.465;43.424.230
Dec;16;2018;0,251314;1.632.410;41.696.980
Dec;15;2018;0,246488;1.298.921;40.896.208
Dec;14;2018;0,255424;1.583.034;42.378.953
Dec;13;2018;0,264146;2.493.869;43.826.082
Dec;12;2018;0,267242;4.336.074;44.339.724
Dec;11;2018;0,244798;2.722.707;40.615.822
Dec;10;2018;0,254362;1.611.339;42.202.655
Dec;9;2018;0,258098;1.921.559;42.822.625
Dec;8;2018;0,252432;1.614.367;41.882.541
Dec;7;2018;0,254427;2.212.265;42.213.532
Dec;6;2018;0,256750;1.937.141;42.598.993
Dec;5;2018;0,258814;2.215.584;42.941.313
Dec;4;2018;0,273835;1.956.768;45.419.880
Dec;3;2018;0,269606;2.533.318;45.119.705
Dec;2;2018;0,289303;2.184.292;48.991.498
Dec;1;2018;0,292952;2.495.240;49.946.204
Nov;30;2018;0,295844;2.448.312;50.439.261
Nov;29;2018;0,305466;2.742.121;52.079.829
Nov;28;2018;0,301660;3.405.060;51.430.855
Nov;27;2018;0,280007;2.474.410;47.739.175
Nov;26;2018;0,284088;27.040.200;48.434.956
Nov;25;2018;0,275649;34.081.700;46.996.167
Nov;24;2018;0,296981;33.294.400;50.633.119
Nov;23;2018;0,299917;24.740.400;51.133.686
Nov;22;2018;0,312574;58.494.400;53.291.613
Nov;21;2018;0,304612;16.211.500;51.934.150
Nov;20;2018;0,296272;35.741.900;50.512.240
Nov;19;2018;0,281529;32.699.600;47.998.665
Nov;18;2018;0,289886;32.902.800;49.423.473
Nov;17;2018;0,320325;38.861.600;54.613.103
Nov;16;2018;0,308060;49.079.100;52.522.009
Nov;15;2018;0,292771;9.447.460;49.915.345
Nov;14;2018;0,292283;70.983.900;49.832.144
Nov;13;2018;0,303031;32.633.500;51.664.601
Nov;12;2018;0,379496;16.199.000;64.701.332
Nov;11;2018;0,347998;14.844.400;59.313.907
Nov;10;2018;0,337842;11.814.600;57.582.886
Nov;9;2018;0,337795;8.442.800;57.574.875
Nov;8;2018;0,314361;22.126.200;53.580.708
Nov;7;2018;0,315004;18.893.200;53.690.303
Nov;6;2018;0,289680;40.053.400;49.479.969
Nov;5;2018;0,286948;3.917.750;48.733.883
Nov;4;2018;0,273418;4.152.480;39.327.144
Nov;3;2018;0,276675;3.622.800;39.795.616
Nov;2;2018;0,289599;4.148.740;41.654.542
Nov;1;2018;0,287803;4.388.490;41.396.214
Oct;31;2018;0,269828;3.978.560;38.810.776
Oct;30;2018;0,269921;4.356.660;38.824.071
Oct;29;2018;0,268523;3.858.630;38.620.735
Oct;28;2018;0,258998;4.140.000;37.250.787
Oct;27;2018;0,266809;3.545.540;38.374.216
Oct;26;2018;0,257683;3.588.620;37.061.655
Oct;25;2018;0,256357;3.543.020;36.870.941
Oct;24;2018;0,271980;3.698.450;39.117.943
Oct;23;2018;0,283126;3.846.360;40.721.033
Oct;22;2018;0,274880;3.699.280;39.534.999
Oct;21;2018;0,286747;3.760.610;41.241.356
Oct;20;2018;0,280539;4.836.790;40.348.491
Oct;19;2018;0,286571;3.924.100;41.216.043
Oct;18;2018;0,290485;4.425.950;41.778.974
Oct;17;2018;0,287188;3.870.970;-
Oct;16;2018;0,303575;3.938.980;-
Oct;15;2018;0,315538;5.021.480;-
Oct;14;2018;0,311560;4.912.160;-
Oct;13;2018;0,305785;4.750.590;-
Oct;12;2018;0,310337;4.616.070;-
Oct;11;2018;0,312123;4.717.380;-
Oct;10;2018;0,318407;4.834.650;-
Oct;9;2018;0,319272;4.610.170;-
Oct;8;2018;0,334411;4.779.310;-
Oct;7;2018;0,335712;4.834.710;-
Oct;6;2018;0,328111;4.856.840;-
Oct;5;2018;0,351000;4.981.220;-
Oct;4;2018;0,371744;6.647.900;-
Oct;3;2018;0,362066;4.869.300;-
Oct;2;2018;0,369444;4.931.750;-
Oct;1;2018;0,368664;5.008.660;-
Sep;30;2018;0,371908;5.257.520;-
Sep;29;2018;0,376337;5.157.780;-
Sep;28;2018;0,374960;5.049.890;-
Sep;27;2018;0,370097;4.632.710;-
Sep;26;2018;0,373867;5.667.850;-
Sep;25;2018;0,355279;4.869.640;-
Sep;24;2018;0,361529;4.263.790;-
Sep;23;2018;0,371555;5.881.940;-
Sep;22;2018;0,373595;5.646.830;-
Sep;21;2018;0,371877;6.680.020;-
Sep;20;2018;0,345871;4.300.520;-
Sep;19;2018;0,337085;4.674.540;-
Sep;18;2018;0,328514;4.282.330;-
Sep;17;2018;0,324158;4.038.760;-
Sep;16;2018;0,320973;4.031.300;-
Sep;15;2018;0,330351;4.313.460;-
Sep;14;2018;0,340087;5.023.620;-
Sep;13;2018;0,322055;5.882.250;-
Sep;12;2018;0,293701;3.848.200;-
Sep;11;2018;0,262686;2.835.980;-
Sep;10;2018;0,321672;4.396.800;-
Sep;9;2018;0,270974;4.267.200;-
Sep;8;2018;0,278664;2.904.520;-
Sep;7;2018;0,275176;4.062.430;-
Sep;6;2018;0,290921;2.579.990;-
Sep;5;2018;0,285223;2.202.030;-
Sep;4;2018;0,292437;2.042.470;-
Sep;3;2018;0,281775;2.169.680;-
Sep;2;2018;0,301715;1.697.570;-
Sep;1;2018;0,318444;2.169.960;-
Aug;31;2018;0,323393;2.496.980;-
Aug;30;2018;0,323979;1.000.660;-
Aug;29;2018;0,333918;943.111;-
Aug;28;2018;0,336669;898.599;-
Aug;27;2018;0,329689;1.092.100;-
Aug;26;2018;0,334048;1.261.480;-
Aug;25;2018;0,332545;1.302.330;-
Aug;24;2018;0,289093;833.701;-
Aug;23;2018;0,306469;1.690.100;-
Aug;22;2018;0,331726;911.381;-
