Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;0,013170;55.749.050;158.219.020
Apr;10;2019;0,015376;35.385.095;184.725.881
Apr;9;2019;0,015221;36.590.485;182.860.749
Apr;8;2019;0,015478;69.889.603;185.951.610
Apr;7;2019;0,016427;36.339.519;197.357.023
Apr;6;2019;0,016752;59.217.094;201.263.329
Apr;5;2019;0,018184;62.582.463;218.458.978
Apr;4;2019;0,016413;92.863.787;197.184.659
Apr;3;2019;0,013545;55.004.075;162.731.839
Apr;2;2019;0,012449;67.320.359;149.564.920
Apr;1;2019;0,011401;49.613.690;136.970.917
Mar;31;2019;0,009859;20.000.536;118.443.821
Mar;30;2019;0,009762;21.933.698;117.284.638
Mar;29;2019;0,010426;43.933.288;125.251.650
Mar;28;2019;0,008794;9.356.752;105.645.897
Mar;27;2019;0,008704;75.410.646;104.568.787
Mar;26;2019;0,008318;38.209.744;99.932.211
Mar;25;2019;0,008205;46.195.851;98.580.496
Mar;24;2019;0,008596;41.299.742;103.277.457
Mar;23;2019;0,008880;45.271.957;106.686.778
Mar;22;2019;0,008694;41.389.780;104.455.279
Mar;21;2019;0,008884;60.789.544;106.734.450
Mar;20;2019;0,008839;30.605.474;106.191.156
Mar;19;2019;0,007647;8.603.220;91.865.447
Mar;18;2019;0,007600;5.794.775;91.307.767
Mar;17;2019;0,007744;6.575.976;93.033.956
Mar;16;2019;0,007762;4.681.837;93.250.901
Mar;15;2019;0,007678;6.676.130;92.241.986
Mar;14;2019;0,007522;4.113.984;90.372.859
Mar;13;2019;0,007462;4.515.220;89.652.069
Mar;12;2019;0,007494;8.022.144;90.029.079
Mar;11;2019;0,007391;4.860.496;88.796.653
Mar;10;2019;0,007866;3.681.764;94.504.947
Mar;9;2019;0,008009;5.853.596;96.221.468
Mar;8;2019;0,007803;7.078.576;93.746.152
Mar;7;2019;0,008092;13.072.582;97.211.565
Mar;6;2019;0,007724;3.315.514;92.794.349
Mar;5;2019;0,007635;4.100.044;91.729.960
