Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;1,05;2.323.874;94.686.645
Apr;10;2019;1,17;3.914.449;104.865.410
Apr;9;2019;1,10;12.681.998;98.703.895
Apr;8;2019;1,29;2.645.041;116.162.087
Apr;7;2019;1,44;1.846.768;129.459.963
Apr;6;2019;1,36;4.580.518;122.626.563
Apr;5;2019;1,56;4.470.440;140.323.032
Apr;4;2019;1,55;15.390.649;139.414.178
Apr;3;2019;1,70;39.978.255;152.834.149
Apr;2;2019;2,10;17.052.225;188.721.138
Apr;1;2019;1,77;4.792.154;159.479.712
Mar;31;2019;1,66;3.319.580;149.535.740
Mar;30;2019;1,72;5.645.700;154.405.275
Mar;29;2019;1,58;8.236.374;142.450.695
Mar;28;2019;1,36;2.617.726;122.232.822
Mar;27;2019;1,34;13.427.438;120.577.379
Mar;26;2019;1,37;4.087.426;122.906.438
Mar;25;2019;1,41;6.564.549;126.856.750
Mar;24;2019;1,25;5.767.202;112.691.157
Mar;23;2019;1,09;1.469.750;97.848.524
Mar;22;2019;1,18;4.649.654;105.840.747
Mar;21;2019;1,12;6.487.003;100.344.943
Mar;20;2019;1,09;5.484.101;98.184.411
Mar;19;2019;0,942482;2.390.285;84.766.776
Mar;18;2019;0,882582;2.324.641;79.379.317
Mar;17;2019;0,802277;746.133;72.156.751
Mar;16;2019;0,807540;1.415.690;72.630.054
Mar;15;2019;0,806606;1.740.385;72.546.066
Mar;14;2019;0,697110;962.428;62.697.979
Mar;13;2019;0,724503;2.383.432;65.161.740
Mar;12;2019;0,624742;1.285.645;56.189.230
Mar;11;2019;0,585511;1.057.596;52.660.820
Mar;10;2019;0,526449;807.344;47.348.809
Mar;9;2019;0,568395;703.509;51.121.364
Mar;8;2019;0,563037;1.002.831;50.639.476
Mar;7;2019;0,588711;1.420.748;52.948.594
Mar;6;2019;0,495469;666.998;44.562.457
Mar;5;2019;0,504702;602.727;45.392.846
Mar;4;2019;0,472509;788.497;42.497.396
Mar;3;2019;0,472571;688.503;42.502.996
Mar;2;2019;0,471656;660.052;42.420.668
Mar;1;2019;0,476669;785.874;42.871.563
Feb;28;2019;0,450228;806.492;40.493.439
Feb;27;2019;0,454288;817.506;40.858.584
Feb;26;2019;0,446337;423.415;40.143.532
Feb;25;2019;0,455358;374.896;40.954.830
Feb;24;2019;0,458372;328.228;41.225.968
Feb;23;2019;0,486703;384.900;43.774.056
Feb;22;2019;0,469296;725.955;42.208.433
Feb;21;2019;0,462876;2.852.321;41.631.064
Feb;20;2019;0,461813;-;41.535.381
Feb;19;2019;0,461813;-;41.535.381
Feb;18;2019;0,461904;598.122;41.543.633
Feb;17;2019;0,441754;566.988;39.731.293
Feb;16;2019;0,373632;262.841;33.604.430
Feb;15;2019;0,365123;279.300;32.839.159
Feb;14;2019;0,352804;102.777;31.731.177
Feb;13;2019;0,354421;135.058;31.876.579
Feb;12;2019;0,348388;191.958;31.333.966
Feb;11;2019;0,360186;74.144;32.395.108
Feb;10;2019;0,370683;113.364;33.339.198
Feb;9;2019;0,373724;77.250;33.612.734
Feb;8;2019;0,368694;136.393;33.160.299
Feb;7;2019;0,348911;31.603;31.380.985
Feb;6;2019;0,350898;71.676;31.559.742
Feb;5;2019;0,354030;49.319;31.841.459
Feb;4;2019;0,361609;31.541;32.523.110
Feb;3;2019;0,359981;56.357;32.376.644
Feb;2;2019;0,372291;63.367;33.483.793
Feb;1;2019;0,362957;34.934;32.644.288
Jan;31;2019;0,352540;103.394;31.707.452
Jan;30;2019;0,368598;51.173;33.224.767
Jan;29;2019;0,358214;93.466;32.288.742
Jan;28;2019;0,374410;99.836;33.748.632
Jan;27;2019;0,404543;46.063;36.464.763
Jan;26;2019;0,408005;31.656;36.776.846
Jan;25;2019;0,407350;50.122;36.717.814
Jan;24;2019;0,406632;118.593;36.653.038
