Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;1,89;5.958.412;219.561.837
Apr;10;2019;2,06;6.222.517;238.807.708
Apr;9;2019;2,02;6.255.822;233.835.721
Apr;8;2019;2,09;7.840.801;242.837.760
Apr;7;2019;2,14;8.411.571;248.303.374
Apr;6;2019;2,10;7.966.057;243.495.293
Apr;5;2019;2,18;9.153.273;252.704.149
Apr;4;2019;2,11;12.908.018;244.895.998
Apr;3;2019;2,04;11.189.348;235.972.074
Apr;2;2019;1,91;8.414.465;220.913.246
Apr;1;2019;1,73;5.507.752;200.392.944
Mar;31;2019;1,73;5.962.652;199.790.677
Mar;30;2019;1,75;7.309.648;202.093.779
Mar;29;2019;1,68;5.906.072;194.376.268
Mar;28;2019;1,63;6.011.008;188.743.666
Mar;27;2019;1,66;9.597.080;191.708.265
Mar;26;2019;1,52;5.540.155;175.437.557
Mar;25;2019;1,51;5.488.964;174.868.914
Mar;24;2019;1,53;4.625.403;177.434.708
Mar;23;2019;1,53;4.207.317;176.273.085
Mar;22;2019;1,50;4.543.840;173.894.311
Mar;21;2019;1,51;5.102.352;174.214.787
Mar;20;2019;1,54;4.835.406;177.996.938
Mar;19;2019;1,53;4.449.795;177.107.116
Mar;18;2019;1,50;4.434.856;173.499.774
Mar;17;2019;1,55;6.450.491;178.650.233
Mar;16;2019;1,53;6.162.246;177.093.038
Mar;15;2019;1,55;10.637.436;178.776.415
Mar;14;2019;1,60;15.789.620;184.715.494
Mar;13;2019;1,39;5.197.989;160.186.258
Mar;12;2019;1,39;8.538.872;160.413.292
Mar;11;2019;1,29;3.472.660;148.254.899
Mar;10;2019;1,28;3.473.497;147.680.818
Mar;9;2019;1,30;3.531.244;149.537.331
Mar;8;2019;1,27;3.740.399;146.709.337
Mar;7;2019;1,31;4.002.442;150.510.456
Mar;6;2019;1,27;3.729.358;146.773.619
Mar;5;2019;1,27;3.734.975;145.938.434
Mar;4;2019;1,19;2.927.517;136.615.534
Mar;3;2019;1,22;2.965.156;140.586.962
Mar;2;2019;1,23;2.913.234;141.524.836
Mar;1;2019;1,22;2.997.943;140.623.311
Feb;28;2019;1,22;2.655.469;140.416.862
Feb;27;2019;1,22;3.353.564;140.273.928
Feb;26;2019;1,23;3.069.358;141.296.571
Feb;25;2019;1,21;2.847.085;139.552.096
Feb;24;2019;1,19;3.177.745;136.381.433
Feb;23;2019;1,29;3.854.122;148.711.737
Feb;22;2019;1,28;3.695.163;147.331.824
Feb;21;2019;1,26;3.349.758;144.169.915
Feb;20;2019;1,27;3.462.430;145.596.410
Feb;19;2019;1,25;4.627.717;143.336.135
Feb;18;2019;1,28;3.967.331;146.726.856
Feb;17;2019;1,23;3.964.864;141.279.929
Feb;16;2019;1,18;2.687.365;134.883.107
Feb;15;2019;1,14;2.682.266;130.530.289
Feb;14;2019;1,14;3.043.258;130.691.117
Feb;13;2019;1,16;2.578.619;132.513.743
Feb;12;2019;1,17;2.790.811;134.471.614
Feb;11;2019;1,19;3.555.353;135.793.150
Feb;10;2019;1,18;4.635.285;135.582.778
Feb;9;2019;1,16;3.104.277;132.667.883
Feb;8;2019;1,15;4.562.670;131.721.463
Feb;7;2019;1,08;2.897.501;123.281.660
Feb;6;2019;1,07;2.383.634;122.302.163
