Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;0,067502;3.240.224;52.621.347
Apr;10;2019;0,077301;3.195.432;60.258.947
Apr;9;2019;0,074926;4.098.391;58.404.096
Apr;8;2019;0,077607;4.043.272;60.491.566
Apr;7;2019;0,081727;3.890.667;63.618.894
Apr;6;2019;0,078169;3.187.991;60.828.998
Apr;5;2019;0,078576;2.896.825;61.140.837
Apr;4;2019;0,077813;2.317.277;60.546.294
Apr;3;2019;0,077669;6.387.370;60.433.777
Apr;2;2019;0,081256;7.532.334;63.201.560
Apr;1;2019;0,075918;14.954.137;59.045.842
Mar;31;2019;0,075940;8.475.103;57.991.062
Mar;30;2019;0,069988;1.961.489;53.442.676
Mar;29;2019;0,072164;2.145.602;55.104.317
Mar;28;2019;0,073787;3.496.742;56.340.513
Mar;27;2019;0,070696;2.271.165;53.978.729
Mar;26;2019;0,068054;2.176.842;51.960.957
Mar;25;2019;0,069278;2.040.170;52.892.961
Mar;24;2019;0,070994;1.863.359;54.202.242
Mar;23;2019;0,072746;1.872.971;55.537.813
Mar;22;2019;0,072435;5.813.915;55.294.503
Mar;21;2019;0,072816;15.609.220;55.584.934
Mar;20;2019;0,069441;4.317.351;53.003.507
Mar;19;2019;0,067881;2.633.021;51.803.705
Mar;18;2019;0,066811;1.067.280;50.981.888
Mar;17;2019;0,068093;1.213.364;51.959.301
Mar;16;2019;0,066948;1.550.319;50.191.791
Mar;15;2019;0,068434;2.560.552;51.302.001
Mar;14;2019;0,065326;5.338.681;48.961.885
Mar;13;2019;0,064948;5.226.167;48.674.336
Mar;12;2019;0,064523;6.566.052;48.056.868
Mar;11;2019;0,066511;23.851.721;49.537.621
Mar;10;2019;0,061085;2.785.238;45.496.801
Mar;9;2019;0,059448;4.176.619;44.277.621
Mar;8;2019;0,056634;2.338.988;42.181.552
Mar;7;2019;0,059103;2.254.040;44.020.202
Mar;6;2019;0,059988;1.971.078;43.480.066
Mar;5;2019;0,061346;6.181.145;44.464.155
Mar;4;2019;0,058935;8.697.031;42.716.472
Mar;3;2019;0,057582;3.258.093;41.736.131
Mar;2;2019;0,056007;3.664.724;37.234.116
Mar;1;2019;0,053459;1.837.057;35.532.705
Feb;28;2019;0,053303;2.829.774;35.406.139
Feb;27;2019;0,051651;2.757.879;34.308.881
Feb;26;2019;0,053354;12.551.957;35.437.955
Feb;25;2019;0,053642;4.940.574;35.624.245
Feb;24;2019;0,045297;7.401.582;29.855.854
Feb;23;2019;0,050547;1.666.768;33.308.902
Feb;22;2019;0,047446;1.387.735;31.262.768
Feb;21;2019;0,047429;1.820.347;31.249.135
Feb;20;2019;0,047607;2.015.043;31.354.488
Feb;19;2019;0,046994;3.344.465;30.950.636
Feb;18;2019;0,045041;5.224.461;29.663.048
Feb;17;2019;0,043058;3.616.379;27.926.322
Feb;16;2019;0,041848;1.347.956;27.139.801
Feb;15;2019;0,040680;1.186.818;26.379.863
Feb;14;2019;0,040457;807.826;26.232.483
Feb;13;2019;0,040479;1.099.879;26.244.681
Feb;12;2019;0,040562;1.674.827;26.298.754
Feb;11;2019;0,041265;976.209;26.752.872
Feb;10;2019;0,042400;1.848.715;27.273.011
Feb;9;2019;0,041698;1.746.272;26.821.785
Feb;8;2019;0,041753;3.579.147;26.855.056
Feb;7;2019;0,039824;1.144.537;25.613.294
Feb;6;2019;0,039500;705.886;25.400.611
Feb;5;2019;0,039971;867.206;25.699.138
Feb;4;2019;0,041625;2.909.834;26.762.500
Feb;3;2019;0,039748;884.705;25.354.790
Feb;2;2019;0,039022;481.872;24.891.017
Feb;1;2019;0,039045;772.482;24.905.729
Jan;31;2019;0,038478;1.961.673;24.541.586
Jan;30;2019;0,041645;1.177.685;26.559.183
Jan;29;2019;0,039211;996.861;25.002.756
Jan;28;2019;0,039714;1.085.901;25.318.608
Jan;27;2019;0,042922;935.988;26.930.555
Jan;26;2019;0,045318;583.678;28.433.119
Jan;25;2019;0,045723;1.204.911;28.686.820
Jan;24;2019;0,046785;1.373.375;29.352.833
Jan;23;2019;0,045746;1.766.299;28.471.376
Jan;22;2019;0,045044;577.562;28.034.277
Jan;21;2019;0,044596;646.997;27.755.524
Jan;20;2019;0,044300;1.327.637;27.571.284
Jan;19;2019;0,047087;791.330;29.305.907
Jan;18;2019;0,045311;641.381;28.198.096
Jan;17;2019;0,046591;948.611;28.992.580
Jan;16;2019;0,045826;2.075.337;28.514.904
Jan;15;2019;0,043291;908.597;26.933.995
Jan;14;2019;0,043955;809.225;27.345.969
Jan;13;2019;0,040787;588.508;24.990.884
Jan;12;2019;0,043122;376.005;26.418.404
Jan;11;2019;0,043071;672.689;26.387.097
Jan;10;2019;0,042591;1.160.253;26.092.785
Jan;9;2019;0,049951;751.134;30.600.908
Jan;8;2019;0,049865;1.315.880;30.545.796
Jan;7;2019;0,050826;3.491.337;31.126.516
Jan;6;2019;0,049862;850.741;30.536.032
Jan;5;2019;0,048644;493.111;29.790.259
Jan;4;2019;0,048554;777.176;29.492.194
Jan;3;2019;0,048951;3.194.031;29.733.150
Jan;2;2019;0,050836;1.232.332;30.875.247
Jan;1;2019;0,046013;657.948;27.897.352
Dec;31;2018;0,045324;1.103.891;27.479.344
Dec;30;2018;0,045476;637.537;27.571.037
Dec;29;2018;0,046465;1.327.399;28.169.208
Dec;28;2018;0,047163;2.098.394;28.591.229
Dec;27;2018;0,041433;1.288.868;25.117.041
Dec;26;2018;0,045961;644.081;27.860.423
Dec;25;2018;0,045102;1.155.216;27.339.440
Dec;24;2018;0,052253;2.434.510;31.674.141
Dec;23;2018;0,050167;1.145.273;30.406.378
Dec;22;2018;0,048462;1.540.783;29.368.841
Dec;21;2018;0,046446;2.091.258;28.147.110
Dec;20;2018;0,049245;2.498.564;29.842.929
Dec;19;2018;0,043379;2.362.746;26.287.186
Dec;18;2018;0,043326;1.761.049;26.252.592
Dec;17;2018;0,042812;2.359.184;25.940.500
Dec;16;2018;0,038734;903.682;23.468.839
Dec;15;2018;0,040315;659.519;24.426.482
Dec;14;2018;0,037837;822.823;22.924.028
Dec;13;2018;0,040374;747.213;24.460.474
Dec;12;2018;0,043740;1.353.202;26.499.781
Dec;11;2018;0,044401;2.088.451;26.900.253
Dec;10;2018;0,050548;1.856.206;30.623.705
Dec;9;2018;0,048403;667.518;29.322.115
Dec;8;2018;0,047159;1.737.179;28.568.355
Dec;7;2018;0,046383;2.840.024;28.091.063
Dec;6;2018;0,041189;782.394;24.935.050
Dec;5;2018;0,048075;491.870;29.103.440
Dec;4;2018;0,052796;1.046.470;31.961.082
Dec;3;2018;0,051567;1.299.894;31.216.330
Dec;2;2018;0,057374;2.852.402;34.728.677
Dec;1;2018;0,055594;3.135.903;33.651.169
Nov;30;2018;0,051870;1.341.598;31.393.255
Nov;29;2018;0,056078;1.289.306;33.940.182
Nov;28;2018;0,058762;3.517.140;35.561.625
Nov;27;2018;0,048458;1.150.140;29.315.765
Nov;26;2018;0,047135;1.637.510;28.513.545
Nov;25;2018;0,047112;1.178.830;28.492.550
Nov;24;2018;0,046386;1.254.850;28.050.709
Nov;23;2018;0,052146;1.496.720;31.532.812
Nov;22;2018;0,054511;977.688;32.962.646
Nov;21;2018;0,059006;1.279.540;35.647.387
Nov;20;2018;0,056750;1.767.920;34.281.556
Nov;19;2018;0,065113;1.997.200;39.325.887
Nov;18;2018;0,082737;921.357;49.969.469
Nov;17;2018;0,080197;943.348;48.428.668
Nov;16;2018;0,084821;1.214.940;51.221.350
Nov;15;2018;0,088253;2.077.870;53.291.982
Nov;14;2018;0,092488;4.757.920;55.725.418
Nov;13;2018;0,106940;2.771.190;64.424.510
Nov;12;2018;0,113559;3.451.930;68.409.975
Nov;11;2018;0,110621;2.448.750;66.636.742
Nov;10;2018;0,115107;1.194.650;69.338.813
Nov;9;2018;0,111413;2.282.110;67.113.339
Nov;8;2018;0,111924;1.663.300;67.419.500
Nov;7;2018;0,115146;2.370.340;69.360.045
Nov;6;2018;0,112107;1.455.230;67.056.960
Nov;5;2018;0,109920;1.210.930;66.193.755
Nov;4;2018;0,112011;1.129.920;67.437.178
Nov;3;2018;0,113289;1.051.380;68.204.166
Nov;2;2018;0,115113;2.183.530;69.301.673
Nov;1;2018;0,117751;1.548.890;70.887.973
Oct;31;2018;0,116740;7.072.740;70.279.161
Oct;30;2018;0,113727;1.074.820;68.460.858
Oct;29;2018;0,110249;1.986.420;66.358.916
Oct;28;2018;0,119129;2.026.900;71.703.792
Oct;27;2018;0,116981;1.313.170;70.392.893
Oct;26;2018;0,119112;2.038.390;71.674.408
Oct;25;2018;0,119196;2.177.440;71.644.626
Oct;24;2018;0,124717;2.702.790;74.960.861
Oct;23;2018;0,122329;3.576.070;73.521.019
Oct;22;2018;0,126598;3.663.840;76.086.733
Oct;21;2018;0,126122;7.027.390;75.795.762
Oct;20;2018;0,123211;3.746.600;74.043.328
Oct;19;2018;0,119162;3.694.950;71.609.980
Oct;18;2018;0,121915;1.977.210;73.257.981
Oct;17;2018;0,125006;2.562.790;75.112.261
Oct;16;2018;0,125440;4.130.610;74.851.830
Oct;15;2018;0,121604;5.547.360;72.560.278
Oct;14;2018;0,122882;6.389.570;73.317.914
Oct;13;2018;0,127285;7.449.480;75.937.440
Oct;12;2018;0,125823;23.821.600;75.057.128
Oct;11;2018;0,111071;9.462.270;65.969.639
Oct;10;2018;0,136195;16.223.500;80.862.515
Oct;9;2018;0,113363;3.326.300;67.247.160
Oct;8;2018;0,111889;2.257.400;66.370.838
Oct;7;2018;0,111723;4.846.860;66.271.930
Oct;6;2018;0,111534;8.012.770;66.151.484
Oct;5;2018;0,111063;6.060.570;65.855.443
Oct;4;2018;0,101975;3.710.470;60.461.401
Oct;3;2018;0,100859;3.128.310;59.799.720
Oct;2;2018;0,105003;4.123.240;62.249.075
Oct;1;2018;0,106028;5.619.780;62.854.627
Sep;30;2018;0,106433;5.001.540;63.087.719
Sep;29;2018;0,097577;3.507.300;57.821.793
Sep;28;2018;0,095107;3.842.680;56.348.201
Sep;27;2018;0,100459;4.856.760;59.508.667
Sep;26;2018;0,086452;3.639.200;51.204.722
Sep;25;2018;0,085237;2.803.500;50.483.403
Sep;24;2018;0,088182;2.975.030;52.223.386
Sep;23;2018;0,093443;3.173.620;55.334.113
Sep;22;2018;0,090612;4.914.530;53.657.552
Sep;21;2018;0,093004;4.858.100;55.073.499
Sep;20;2018;0,084521;3.288.660;50.037.095
Sep;19;2018;0,080096;3.125.010;47.408.979
Sep;18;2018;0,080170;2.860.570;47.452.957
Sep;17;2018;0,077145;3.658.740;45.661.708
Sep;16;2018;0,082350;4.834.380;48.735.201
Sep;15;2018;0,081136;4.207.960;48.014.113
Sep;14;2018;0,079758;4.832.040;47.198.317
Sep;13;2018;0,082455;5.928.040;48.792.533
Sep;12;2018;0,068617;3.072.130;40.593.948
Sep;11;2018;0,070592;1.525.140;41.759.795
Sep;10;2018;0,075447;1.175.570;44.627.756
Sep;9;2018;0,076375;1.934.260;45.169.414
Sep;8;2018;0,076583;2.455.420;45.291.659
Sep;7;2018;0,086094;2.646.120;50.912.433
Sep;6;2018;0,087493;2.533.290;51.739.565
Sep;5;2018;0,087923;3.265.570;51.990.538
Sep;4;2018;0,115061;2.107.180;68.036.842
Sep;3;2018;0,115800;2.063.880;68.467.483
Sep;2;2018;0,120612;2.338.570;71.257.281
Sep;1;2018;0,125831;2.755.220;74.334.026
Aug;31;2018;0,124749;7.415.450;73.688.057
Aug;30;2018;0,131857;8.101.840;77.867.262
Aug;29;2018;0,109340;4.273.430;64.534.706
Aug;28;2018;0,113739;2.430.650;67.128.892
Aug;27;2018;0,110595;5.171.320;65.271.356
Aug;26;2018;0,103382;3.975.030;61.008.932
Aug;25;2018;0,094322;1.882.920;55.649.783
Aug;24;2018;0,092894;3.578.280;54.794.111
Aug;23;2018;0,085752;894.173;50.560.033
Aug;22;2018;0,081030;1.732.690;47.767.739
Aug;21;2018;0,086344;1.240.600;50.895.306
Aug;20;2018;0,080411;1.684.000;47.397.562
Aug;19;2018;0,087893;1.093.100;51.803.364
Aug;18;2018;0,083419;2.070.360;49.164.112
Aug;17;2018;0,094700;1.744.260;55.803.919
Aug;16;2018;0,079223;1.261.280;46.659.267
Aug;15;2018;0,069538;996.272;40.954.539
Aug;14;2018;0,067241;1.343.900;39.832.650
Aug;13;2018;0,076113;1.245.410;45.023.665
Aug;12;2018;0,091182;1.083.340;53.904.407
Aug;11;2018;0,092777;1.780.250;54.822.542
Aug;10;2018;0,099279;2.032.770;58.448.870
Aug;9;2018;0,111409;2.013.250;65.581.871
Aug;8;2018;0,103650;3.208.470;61.014.237
Aug;7;2018;0,127448;1.447.780;75.017.820
Aug;6;2018;0,132073;1.558.610;77.738.137
Aug;5;2018;0,138234;1.764.850;81.359.721
Aug;4;2018;0,136665;1.851.950;80.432.433
Aug;3;2018;0,147926;2.205.910;87.057.203
Aug;2;2018;0,160279;2.172.270;94.305.294
Aug;1;2018;0,171363;2.791.980;100.825.718
Jul;31;2018;0,166800;2.715.940;98.106.633
Jul;30;2018;0,185694;2.115.330;109.188.956
Jul;29;2018;0,192848;2.025.370;113.310.832
Jul;28;2018;0,198674;2.690.810;116.722.020
Jul;27;2018;0,195632;3.006.630;114.868.176
Jul;26;2018;0,188915;2.868.390;110.906.419
Jul;25;2018;0,201193;5.251.150;118.108.875
Jul;24;2018;0,197537;4.176.660;115.950.316
Jul;23;2018;0,185644;2.856.860;108.964.240
Jul;22;2018;0,197944;3.039.580;116.169.897
Jul;21;2018;0,206954;2.688.870;121.453.769
Jul;20;2018;0,198697;4.476.320;116.605.375
Jul;19;2018;0,230229;4.216.460;135.056.572
Jul;18;2018;0,244795;8.278.800;143.284.200
Jul;17;2018;0,261764;13.069.900;158.311.849
Jul;16;2018;0,223483;4.072.520;135.124.637
Jul;15;2018;0,194320;2.316.170;117.428.137
Jul;14;2018;0,191282;3.097.560;115.590.765
Jul;13;2018;0,185881;3.384.330;112.310.255
Jul;12;2018;0,181064;2.501.400;109.388.660
Jul;11;2018;0,195930;2.861.400;118.358.597
Jul;10;2018;0,194998;3.601.510;117.762.942
Jul;9;2018;0,228836;2.334.400;138.169.226
Jul;8;2018;0,245134;3.406.360;147.975.457
Jul;7;2018;0,250309;11.847.400;151.065.881
Jul;6;2018;0,249865;26.083.500;151.584.483
Jul;5;2018;0,191938;2.876.560;116.379.708
Jul;4;2018;0,206104;3.658.620;124.719.494
Jul;3;2018;0,193497;7.600.750;117.025.320
Jul;2;2018;0,203058;3.994.770;122.749.274
Jul;1;2018;0,173232;1.427.520;104.667.033
Jun;30;2018;0,171545;2.265.170;103.822.821
Jun;29;2018;0,156480;2.221.080;94.675.206
Jun;28;2018;0,138368;1.547.770;83.687.123
Jun;27;2018;0,148628;1.275.600;89.872.015
Jun;26;2018;0,141651;1.356.990;85.638.863
Jun;25;2018;0,158304;3.905.130;95.621.477
Jun;24;2018;0,152240;8.528.490;91.926.334
Jun;23;2018;0,144281;1.914.880;87.069.661
Jun;22;2018;0,148198;2.975.820;89.410.671
Jun;21;2018;0,177823;2.307.710;107.256.092
Jun;20;2018;0,189043;3.461.490;113.958.011
Jun;19;2018;0,199504;3.278.950;120.234.723
Jun;18;2018;0,206489;4.013.650;124.406.310
Jun;17;2018;0,216479;1.625.730;130.414.912
Jun;16;2018;0,216534;1.786.150;130.421.450
Jun;15;2018;0,223748;2.466.750;134.753.823
Jun;14;2018;0,250658;5.016.390;150.899.756
Jun;13;2018;0,210483;6.736.180;126.198.681
Jun;12;2018;0,250309;30.154.000;151.795.455
Jun;11;2018;0,220359;5.661.370;133.677.020
Jun;10;2018;0,213449;7.503.850;129.204.308
Jun;9;2018;0,268650;3.463.320;162.536.712
Jun;8;2018;0,290984;7.117.430;175.803.666
Jun;7;2018;0,315122;4.684.770;190.331.291
Jun;6;2018;0,331153;4.554.990;199.844.000
Jun;5;2018;0,343127;3.825.260;206.995.784
Jun;4;2018;0,348259;4.003.370;210.028.090
Jun;3;2018;0,377985;2.987.570;227.336.761
Jun;2;2018;0,383517;3.853.120;230.356.197
Jun;1;2018;0,363188;3.326.040;218.044.978
May;31;2018;0,357272;3.149.870;214.271.161
May;30;2018;0,346249;3.194.860;208.732.557
May;29;2018;0,355067;3.127.470;213.804.435
May;28;2018;0,321549;3.358.950;193.459.559
May;27;2018;0,369975;2.468.290;222.411.068
May;26;2018;0,383056;1.578.950;230.243.674
May;25;2018;0,397570;2.432.630;238.897.807
May;24;2018;0,408618;7.758.620;245.430.879
May;23;2018;0,386851;8.643.780;234.633.494
May;22;2018;0,443751;4.765.970;264.778.103
May;21;2018;0,480277;4.280.980;285.623.611
May;20;2018;0,503571;5.400.830;294.264.810
May;19;2018;0,470777;4.294.960;274.268.818
May;18;2018;0,482416;8.420.440;280.278.794
May;17;2018;0,486464;7.991.700;282.445.023
May;16;2018;0,504905;5.889.060;293.248.433
May;15;2018;0,496971;12.947.200;287.917.467
May;14;2018;0,508565;6.839.950;294.317.045
May;13;2018;0,528014;7.638.270;305.222.401
May;12;2018;0,501356;12.014.200;290.931.832
May;11;2018;0,478060;13.521.400;276.544.827
May;10;2018;0,549498;18.300.600;317.525.564
May;9;2018;0,593069;18.256.700;342.384.353
