Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;0,076097;29.771.357;63.080.657
Apr;10;2019;0,085681;25.483.841;71.025.463
Apr;9;2019;0,087102;25.364.473;72.203.615
Apr;8;2019;0,093134;18.203.818;77.203.795
Apr;7;2019;0,107296;22.920.038;88.943.414
Apr;6;2019;0,091632;6.814.020;75.958.629
Apr;5;2019;0,086109;3.575.619;71.380.712
Apr;4;2019;0,081312;8.276.414;67.403.555
Apr;3;2019;0,076928;9.490.963;63.769.533
Apr;2;2019;0,073143;4.486.905;60.631.855
Apr;1;2019;0,067836;2.477.300;56.232.711
Mar;31;2019;0,069983;3.645.395;58.012.365
Mar;30;2019;0,066893;5.078.785;55.451.017
Mar;29;2019;0,063936;1.957.864;52.999.731
Mar;28;2019;0,064195;3.360.005;53.214.330
Mar;27;2019;0,063124;3.320.560;52.326.742
Mar;26;2019;0,062008;2.937.394;51.401.950
Mar;25;2019;0,059665;1.799.665;49.459.471
Mar;24;2019;0,061739;1.473.009;51.178.777
Mar;23;2019;0,062366;1.030.250;51.698.301
Mar;22;2019;0,061520;1.032.969;50.997.048
Mar;21;2019;0,061527;2.038.740;51.002.755
Mar;20;2019;0,064903;1.503.196;53.802.029
Mar;19;2019;0,064495;1.163.835;53.463.658
Mar;18;2019;0,063370;1.126.390;52.530.488
Mar;17;2019;0,063961;888.816;53.020.721
Mar;16;2019;0,065337;1.645.337;54.161.413
Mar;15;2019;0,065422;1.341.459;54.232.116
Mar;14;2019;0,065367;2.121.531;54.186.192
Mar;13;2019;0,062494;1.792.955;51.804.576
Mar;12;2019;0,064155;2.641.621;53.181.750
Mar;11;2019;0,062405;2.874.445;51.730.683
Mar;10;2019;0,067628;3.205.545;56.060.289
Mar;9;2019;0,065101;4.391.252;53.965.421
Mar;8;2019;0,057813;2.239.754;47.924.034
Mar;7;2019;0,057762;1.198.901;47.882.159
Mar;6;2019;0,056589;965.742;46.909.307
Mar;5;2019;0,057144;1.223.840;47.369.579
Mar;4;2019;0,055323;1.586.641;45.859.852
Mar;3;2019;0,058241;1.891.221;48.279.322
Mar;2;2019;0,057643;1.114.519;47.783.447
Mar;1;2019;0,057733;1.247.413;45.550.523
Feb;28;2019;0,057359;2.197.225;45.255.597
Feb;27;2019;0,057978;4.616.450;45.744.025
Feb;26;2019;0,055926;2.535.335;44.124.486
Feb;25;2019;0,053332;767.997;42.077.976
Feb;24;2019;0,052811;1.938.463;41.667.105
Feb;23;2019;0,058413;1.625.135;46.087.320
Feb;22;2019;0,056935;959.682;44.920.583
Feb;21;2019;0,055455;1.211.721;43.752.848
Feb;20;2019;0,057912;1.524.719;45.691.814
Feb;19;2019;0,056560;1.642.633;44.624.623
Feb;18;2019;0,058174;1.695.771;45.898.427
Feb;17;2019;0,055768;1.126.017;44.000.244
Feb;16;2019;0,054831;1.007.672;43.260.895
Feb;15;2019;0,054983;2.049.552;43.380.900
Feb;14;2019;0,060041;5.123.256;47.371.283
Feb;13;2019;0,053468;906.239;42.185.329
Feb;12;2019;0,053773;764.100;42.425.924
Feb;11;2019;0,053827;990.393;42.468.467
Feb;10;2019;0,055287;1.016.308;43.620.761
Feb;9;2019;0,054550;891.573;43.039.378
Feb;8;2019;0,055106;959.711;43.478.079
Feb;7;2019;0,051812;594.906;40.878.705
Feb;6;2019;0,051325;859.487;40.494.690
Feb;5;2019;0,053886;610.118;42.515.506
Feb;4;2019;0,055130;823.650;43.496.938
Feb;3;2019;0,056396;1.068.557;44.495.852
Feb;2;2019;0,056983;936.028;44.958.410
Feb;1;2019;0,057745;1.566.584;45.560.253
Jan;31;2019;0,055044;892.443;43.428.748
Jan;30;2019;0,059410;1.173.718;46.873.225
Jan;29;2019;0,059766;2.490.158;47.154.753
Jan;28;2019;0,059490;2.147.431;46.937.009
Jan;27;2019;0,068405;2.401.757;53.970.633
Jan;26;2019;0,072996;1.505.266;57.592.842
Jan;25;2019;0,077150;2.167.065;60.870.401
Jan;24;2019;0,080563;2.839.466;63.562.987
Jan;23;2019;0,085669;7.027.299;67.591.399
Jan;22;2019;0,103905;33.074.631;81.979.754
Jan;21;2019;0,069157;9.888.851;54.564.018
Jan;20;2019;0,068019;4.407.828;53.665.825
Jan;19;2019;0,069249;10.300.895;54.636.670
Jan;18;2019;0,062944;8.967.225;49.661.755
Jan;17;2019;0,058103;10.473.230;45.842.092
Jan;16;2019;0,049242;3.511.774;38.851.512
Jan;15;2019;0,041333;1.481.439;32.611.072
Jan;14;2019;0,041287;344.252;32.574.893
Jan;13;2019;0,038527;317.106;30.397.289
Jan;12;2019;0,040268;565.116;31.770.731
Jan;11;2019;0,040863;298.674;32.239.989
Jan;10;2019;0,039251;564.033;30.968.392
Jan;9;2019;0,044640;918.813;35.220.276
Jan;8;2019;0,043762;1.531.854;34.527.286
Jan;7;2019;0,047345;983.396;37.354.401
Jan;6;2019;0,044521;317.510;35.126.097
Jan;5;2019;0,043327;663.487;34.184.075
Jan;4;2019;0,041609;247.701;32.828.804
Jan;3;2019;0,041366;267.871;32.636.907
Jan;2;2019;0,042844;868.339;33.803.204
Jan;1;2019;0,042122;207.346;33.233.739
Dec;31;2018;0,039934;179.207;31.507.294
Dec;30;2018;0,040687;306.355;32.101.596
Dec;29;2018;0,040776;399.498;32.171.829
Dec;28;2018;0,043157;777.148;34.050.521
Dec;27;2018;0,037302;504.515;29.430.432
Dec;26;2018;0,042381;290.043;33.438.237
Dec;25;2018;0,041635;548.817;32.849.155
Dec;24;2018;0,047210;717.323;37.248.325
Dec;23;2018;0,045683;472.849;36.042.984
Dec;22;2018;0,044451;445.613;35.071.250
Dec;21;2018;0,042448;453.594;33.490.430
Dec;20;2018;0,043272;493.382;34.141.120
Dec;19;2018;0,040359;472.943;31.842.579
Dec;18;2018;0,041109;485.915;32.434.601
Dec;17;2018;0,038034;501.975;30.008.263
Dec;16;2018;0,033317;197.514;26.286.278
Dec;15;2018;0,032600;236.095;25.720.967
Dec;14;2018;0,033554;186.979;26.473.556
Dec;13;2018;0,035061;296.624;27.662.223
Dec;12;2018;0,036466;240.711;28.771.173
Dec;11;2018;0,036543;297.327;28.831.660
Dec;10;2018;0,036698;280.580;28.954.325
Dec;9;2018;0,037199;366.536;29.349.640
Dec;8;2018;0,036168;577.212;28.536.057
Dec;7;2018;0,035505;1.181.877;28.013.013
Dec;6;2018;0,038780;3.736.938;30.596.907
Dec;5;2018;0,045333;3.684.956;35.766.849
Dec;4;2018;0,043626;468.987;34.419.972
Dec;3;2018;0,042738;321.664;33.719.263
Dec;2;2018;0,045472;320.497;35.876.959
Dec;1;2018;0,046897;332.625;37.001.174
Nov;30;2018;0,043789;406.546;34.548.811
Nov;29;2018;0,048789;824.322;38.494.064
Nov;28;2018;0,049615;684.513;39.145.308
Nov;27;2018;0,043805;358.468;34.561.466
Nov;26;2018;0,042259;424.759;33.341.853
Nov;25;2018;0,042695;444.875;33.685.456
Nov;24;2018;0,041609;765.220;32.828.856
Nov;23;2018;0,046762;613.561;36.894.414
Nov;22;2018;0,047229;1.462.610;37.262.791
Nov;21;2018;0,047955;576.236;37.836.067
Nov;20;2018;0,045071;862.743;35.560.162
Nov;19;2018;0,051971;1.102.630;41.004.392
Nov;18;2018;0,069643;553.080;54.947.247
Nov;17;2018;0,068699;520.844;54.202.288
Nov;16;2018;0,071301;875.766;56.255.620
Nov;15;2018;0,074287;1.268.830;58.611.133
Nov;14;2018;0,077726;1.612.700;61.324.845
Nov;13;2018;0,093355;956.556;73.655.489
Nov;12;2018;0,097907;1.018.690;77.246.789
Nov;11;2018;0,099313;1.666.630;78.356.338
Nov;10;2018;0,103121;1.008.980;81.360.870
Nov;9;2018;0,103607;1.309.790;81.744.316
Nov;8;2018;0,106988;1.458.960;84.411.873
Nov;7;2018;0,113303;1.530.940;89.394.310
Nov;6;2018;0,108079;932.098;85.600.872
Nov;5;2018;0,107557;1.383.280;84.860.805
Nov;4;2018;0,110525;1.109.120;87.202.511
Nov;3;2018;0,116859;623.975;92.199.939
Nov;2;2018;0,116832;1.334.790;92.178.636
Nov;1;2018;0,118582;2.131.470;93.559.359
Oct;31;2018;0,113455;1.357.310;89.514.235
Oct;30;2018;0,108060;649.576;85.257.664
Oct;29;2018;0,104644;1.418.430;82.562.493
Oct;28;2018;0,114439;1.040.880;90.290.596
Oct;27;2018;0,113478;1.585.680;89.532.382
Oct;26;2018;0,120252;2.151.640;94.876.963
