Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;635,09;1.665.117;635.090.978
Apr;10;2019;710,10;1.999.655;710.095.529
Apr;9;2019;715,26;2.793.378;715.264.296
Apr;8;2019;723,78;2.343.006;723.784.056
Apr;7;2019;775,04;811.577;775.042.006
Apr;6;2019;771,06;812.646;771.055.752
Apr;5;2019;784,33;866.374;784.331.081
Apr;4;2019;743,57;6.025.124;743.568.317
Apr;3;2019;749,93;3.974.543;749.927.715
Apr;2;2019;787,74;3.116.756;787.738.849
Apr;1;2019;709,79;1.417.341;709.788.274
Mar;31;2019;706,97;1.093.645;706.967.701
Mar;30;2019;711,72;1.761.995;711.722.116
Mar;29;2019;737,52;4.206.224;737.516.289
Mar;28;2019;732,84;6.729.109;732.842.610
Mar;27;2019;742,89;6.683.094;742.894.821
Mar;26;2019;719,60;7.581.851;719.604.755
Mar;25;2019;717,96;4.674.695;717.962.775
Mar;24;2019;732,99;1.620.004;732.994.099
Mar;23;2019;736,81;1.657.500;736.806.079
Mar;22;2019;729,01;2.342.702;729.014.224
Mar;21;2019;711,01;3.655.833;711.011.241
Mar;20;2019;712,68;1.580.035;712.682.847
Mar;19;2019;705,72;1.782.303;705.719.245
Mar;18;2019;699,55;1.665.733;699.552.201
Mar;17;2019;696,15;1.140.519;696.154.122
Mar;16;2019;695,12;1.433.425;695.121.709
Mar;15;2019;682,41;1.442.793;682.414.787
Mar;14;2019;649,63;1.400.109;649.630.179
Mar;13;2019;644,05;1.203.213;644.045.749
Mar;12;2019;659,77;1.238.630;659.765.661
Mar;11;2019;657,61;1.046.398;657.605.622
Mar;10;2019;647,82;898.739;647.820.054
Mar;9;2019;650,78;1.497.538;650.777.180
Mar;8;2019;659,93;1.142.136;659.932.598
Mar;7;2019;685,27;1.466.560;685.266.256
Mar;6;2019;677,52;1.279.850;677.515.627
Mar;5;2019;685,38;1.556.739;685.379.445
Mar;4;2019;624,07;1.408.120;624.069.116
Mar;3;2019;661,23;1.055.971;661.231.892
Mar;2;2019;679,77;1.143.227;679.767.538
Mar;1;2019;667,27;1.240.838;667.265.226
Feb;28;2019;674,74;1.230.041;674.741.787
Feb;27;2019;643,31;1.574.087;643.312.761
Feb;26;2019;684,86;1.989.104;684.855.184
Feb;25;2019;669,08;1.749.508;669.079.104
Feb;24;2019;661,22;2.142.918;661.217.941
Feb;23;2019;737,60;2.469.327;737.599.379
Feb;22;2019;665,80;1.584.472;665.798.408
Feb;21;2019;636,50;1.474.924;636.502.901
Feb;20;2019;658,89;1.612.600;658.892.885
Feb;19;2019;632,14;2.015.073;632.143.351
Feb;18;2019;575,37;1.759.217;575.373.483
Feb;17;2019;536,37;1.092.197;536.371.151
Feb;16;2019;503,75;1.339.904;503.746.410
Feb;15;2019;496,80;2.061.584;496.801.166
Feb;14;2019;517,80;1.560.712;517.803.256
Feb;13;2019;551,88;2.361.905;551.876.775
Feb;12;2019;505,02;1.476.367;505.020.330
Feb;11;2019;493,48;1.140.114;493.475.181
Feb;10;2019;461,14;460.412;461.136.027
Feb;9;2019;449,72;325.740;449.721.338
Feb;8;2019;438,18;773.700;319.093.969
Feb;7;2019;401,87;698.240;292.652.246
Feb;6;2019;397,73;388.334;289.640.364
Feb;5;2019;392,13;758.679;285.556.603
Feb;4;2019;407,62;703.707;296.842.709
Feb;3;2019;376,85;381.244;274.435.056
Feb;2;2019;380,96;712.906;277.427.317
Feb;1;2019;369,97;838.721;269.420.070
Jan;31;2019;369,28;2.093.187;268.918.524
Jan;30;2019;379,24;2.381.289;276.171.125
Jan;29;2019;393,87;1.164.212;286.824.823
Jan;28;2019;398,57;927.284;290.250.826
Jan;27;2019;433,03;6.000.950;315.345.642
Jan;26;2019;449,93;47.978.980;327.650.905
Jan;25;2019;469,10;29.796.841;341.611.137
Jan;24;2019;472,46;17.101.342;344.056.598
Jan;23;2019;459,05;16.066.140;334.295.653
Jan;22;2019;453,68;4.290.642;330.383.708
Jan;21;2019;429,87;6.787.634;313.040.054
Jan;20;2019;447,16;285.725;325.636.995
Jan;19;2019;470,84;476.594;342.882.055
Jan;18;2019;455,09;523.895;331.411.590
Jan;17;2019;461,28;760.109;335.919.514
Jan;16;2019;447,05;1.169.597;325.556.131
Jan;15;2019;426,42;1.228.417;310.529.167
Jan;14;2019;464,07;430.134;337.951.853
Jan;13;2019;423,07;229.375;308.094.622
Jan;12;2019;434,63;255.676;316.509.191
Jan;11;2019;435,95;216.642;317.472.269
Jan;10;2019;437,56;406.264;318.642.020
Jan;9;2019;492,54;89.883;358.682.398
Jan;8;2019;489,26;268.384;356.292.880
Jan;7;2019;492,70;467.088;358.796.725
Jan;6;2019;521,43;397.424;379.720.591
Jan;5;2019;508,89;259.532;370.589.251
Jan;4;2019;498,49;222.554;363.017.440
Jan;3;2019;501,96;286.370;365.544.044
Jan;2;2019;496,91;516.680;361.862.964
Jan;1;2019;461,39;258.609;336.000.438
Dec;31;2018;453,98;139.080;330.600.519
Dec;30;2018;477,15;341.698;347.476.493
Dec;29;2018;471,33;303.075;343.236.124
Dec;28;2018;482,31;219.740;351.231.704
Dec;27;2018;436,37;226.902;317.777.806
Dec;26;2018;444,14;323.363;323.432.948
Dec;25;2018;453,48;386.896;330.235.572
Dec;24;2018;479,11;1.127.943;348.898.701
Dec;23;2018;447,66;1.574.702;326.001.633
Dec;22;2018;424,61;988.534;309.214.629
Dec;21;2018;425,86;791.279;310.126.330
Dec;20;2018;436,46;1.190.159;317.839.729
Dec;19;2018;425,69;1.372.800;309.998.850
Dec;18;2018;435,76;1.268.680;317.330.694
Dec;17;2018;392,01;1.549.312;285.470.174
Dec;16;2018;357,93;824.273;260.655.433
Dec;15;2018;338,84;48.725;246.752.723
Dec;14;2018;339,32;200.476;247.102.019
Dec;13;2018;340,16;368.043;247.717.116
Dec;12;2018;318,53;754.193;231.959.725
Dec;11;2018;325,56;372.517;237.078.769
Dec;10;2018;321,91;169.929;234.426.785
Dec;9;2018;344,36;383.213;250.776.056
Dec;8;2018;342,13;287.983;249.145.917
Dec;7;2018;340,74;816.636;248.134.805
Dec;6;2018;342,99;866.361;249.775.038
Dec;5;2018;367,98;719.847;267.973.166
Dec;4;2018;420,57;405.176;306.272.526
Dec;3;2018;384,91;421.775;280.304.279
Dec;2;2018;397,11;363.979;289.184.554
Dec;1;2018;386,25;488.559;281.276.597
Nov;30;2018;360,04;416.657;262.192.513
Nov;29;2018;377,33;643.689;274.785.542
Nov;28;2018;380,07;1.129.450;276.778.257
Nov;27;2018;328,06;139.401;238.900.946
Nov;26;2018;322,91;427.738;235.154.942
Nov;25;2018;320,10;1.075.150;233.107.166
Nov;24;2018;337,84;709.737;246.025.198
Nov;23;2018;373,80;615.822;272.212.997
Nov;22;2018;403,52;699.442;293.851.557
Nov;21;2018;452,31;449.989;329.387.616
Nov;20;2018;423,24;3.015.730;308.211.480
Nov;19;2018;404,24;3.056.490;294.376.609
Nov;18;2018;571,47;528.217;416.158.867
Nov;17;2018;574,22;605.943;418.160.765
Nov;16;2018;565,02;923.242;411.461.798
Nov;15;2018;552,80;2.045.430;402.561.398
Nov;14;2018;571,85;1.582.030;416.437.779
Nov;13;2018;696,04;820.715;506.874.201
Nov;12;2018;696,47;698.825;507.191.708
