Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;0,066074;15.380.983;108.956.082
Apr;10;2019;0,071123;24.499.325;117.281.095
Apr;9;2019;0,076147;27.552.088;125.566.918
Apr;8;2019;0,071599;28.094.745;118.066.819
Apr;7;2019;0,079704;14.464.386;131.431.963
Apr;6;2019;0,089794;15.329.947;148.070.294
Apr;5;2019;0,104084;21.649.072;171.634.295
Apr;4;2019;0,091448;33.061.642;150.797.398
Apr;3;2019;0,076600;22.884.736;126.313.670
Apr;2;2019;0,147796;19.395.236;243.715.150
Apr;1;2019;0,145788;17.397.854;240.403.867
Mar;31;2019;0,139093;25.181.831;229.364.681
Mar;30;2019;0,137920;19.926.579;227.430.531
Mar;29;2019;0,134604;32.153.209;221.961.390
Mar;28;2019;0,111450;15.734.817;183.781.383
Mar;27;2019;0,105196;21.545.035;173.467.657
Mar;26;2019;0,097556;17.396.008;160.869.754
Mar;25;2019;0,097404;19.307.335;160.618.511
Mar;24;2019;0,074229;13.912.247;122.404.403
Mar;23;2019;0,071417;11.439.310;117.767.274
Mar;22;2019;0,059452;11.494.874;98.035.978
Mar;21;2019;0,056657;8.413.892;93.428.159
Mar;20;2019;0,050395;8.719.689;83.101.630
Mar;19;2019;0,047021;6.831.534;77.537.448
Mar;18;2019;0,043448;7.467.292;71.646.107
Mar;17;2019;0,038352;5.161.153;63.242.186
Mar;16;2019;0,037371;3.488.592;61.624.980
Mar;15;2019;0,034321;3.540.003;56.594.693
Mar;14;2019;0,034235;2.295.439;56.453.614
Mar;13;2019;0,033713;4.376.897;55.592.334
Mar;12;2019;0,032483;5.277.206;53.564.894
Mar;11;2019;0,025714;2.303.622;42.401.659
Mar;10;2019;0,025510;3.163.142;42.066.503
Mar;9;2019;0,022680;3.163.210;37.399.901
Mar;8;2019;0,019954;1.715.793;32.904.219
Mar;7;2019;0,019656;2.299.889;32.412.426
Mar;6;2019;0,020317;2.772.267;33.502.329
Mar;5;2019;0,018125;1.942.711;29.888.501
Mar;4;2019;0,015739;2.113.233;25.953.008
Mar;3;2019;0,015253;2.550.506;25.152.541
Mar;2;2019;0,012921;1.342.225;21.306.318
Mar;1;2019;0,012313;1.639.443;20.303.390
Feb;28;2019;0,011942;1.592.323;19.692.801
Feb;27;2019;0,011942;1.739.417;19.692.216
Feb;26;2019;0,011816;1.479.855;19.483.793
Feb;25;2019;0,011880;1.489.744;17.921.765
Feb;24;2019;0,011563;1.298.262;17.443.577
Feb;23;2019;0,011440;1.214.445;17.257.690
Feb;22;2019;0,011365;786.721;17.145.702
Feb;21;2019;0,011366;963.626;17.146.641
Feb;20;2019;0,011299;681.639;17.046.136
Feb;19;2019;0,011536;1.022.531;17.403.340
Feb;18;2019;0,011632;1.821.061;17.547.705
Feb;17;2019;0,011232;1.630.942;16.944.633
Feb;16;2019;0,010008;1.158.268;15.097.681
Feb;15;2019;0,011365;2.574.818;17.145.494
Feb;14;2019;0,009852;1.645.193;14.862.741
Feb;13;2019;0,007243;1.480.045;10.926.956
Feb;12;2019;0,005691;677.661;8.585.994
Feb;11;2019;0,004819;873.484;7.270.294
Feb;10;2019;0,005191;671.571;7.830.992
Feb;9;2019;0,005305;694.021;8.002.808
Feb;8;2019;0,006143;588.717;9.266.586
Feb;7;2019;0,006543;483.181;9.870.341
Feb;6;2019;0,006690;782.222;10.092.704
Feb;5;2019;0,010162;232.758;15.330.086
Feb;4;2019;0,010199;492.823;15.385.922
Feb;3;2019;0,010276;1.010.408;15.501.713
Feb;2;2019;0,010128;1.044.357;15.278.545
Feb;1;2019;0,010251;964.948;15.464.831
Jan;31;2019;0,010054;1.016.524;15.167.911
Jan;30;2019;0,010299;949.139;15.536.152
Jan;29;2019;0,010183;977.509;15.361.353
Jan;28;2019;0,010437;1.122.736;15.745.705
Jan;27;2019;0,010681;1.107.121;16.112.534
Jan;26;2019;0,010813;1.052.597;16.312.316
Jan;25;2019;0,010735;802.846;16.194.100
Jan;24;2019;0,010694;1.156.601;16.132.411
Jan;23;2019;0,011505;1.121.119;17.356.666
Jan;22;2019;0,011995;1.134.276;18.094.961
Jan;21;2019;0,011891;1.050.252;17.939.066
Jan;20;2019;0,011818;1.040.176;17.827.970
Jan;19;2019;0,011573;727.943;17.459.050
Jan;18;2019;0,011562;754.363;17.442.510
Jan;17;2019;0,011288;924.303;17.028.072
Jan;16;2019;0,010782;723.671;16.265.135
Jan;15;2019;0,010416;675.644;15.713.887
Jan;14;2019;0,010741;778.709;16.204.010
Jan;13;2019;0,010565;604.523;15.937.501
Jan;12;2019;0,010595;593.012;15.982.721
Jan;11;2019;0,010553;591.331;15.919.843
Jan;10;2019;0,010810;1.123.070;16.308.172
Jan;9;2019;0,009764;700.193;39.056.141
Jan;8;2019;0,009820;1.048.155;39.279.665
Jan;7;2019;0,009344;836.870;37.375.827
Jan;6;2019;0,009415;830.412;37.659.322
Jan;5;2019;0,009206;774.587;36.824.854
Jan;4;2019;0,009308;562.586;37.230.573
Jan;3;2019;0,009496;896.288;37.983.733
Jan;2;2019;0,009178;739.688;36.713.454
Jan;1;2019;0,009342;421.542;37.368.369
Dec;31;2018;0,009300;669.391;37.199.520
Dec;30;2018;0,009742;601.841;38.969.974
Dec;29;2018;0,009686;645.313;38.744.942
Dec;28;2018;0,010328;781.406;16.822.702
Dec;27;2018;0,009501;597.871;15.474.823
Dec;26;2018;0,010669;579.071;17.377.376
Dec;25;2018;0,010971;689.506;17.869.050
Dec;24;2018;0,010258;731.891;16.708.655
Dec;23;2018;0,010648;589.576;17.342.402
Dec;22;2018;0,011003;634.736;17.921.794
Dec;21;2018;0,010859;690.135;17.686.961
Dec;20;2018;0,011228;666.575;18.287.544
Dec;19;2018;0,010814;741.474;17.612.858
Dec;18;2018;0,011301;903.766;18.407.519
Dec;17;2018;0,011141;759.817;18.146.549
Dec;16;2018;0,010914;658.772;17.776.524
Dec;15;2018;0,010853;713.900;17.677.713
Dec;14;2018;0,010720;791.627;17.461.176
Dec;13;2018;0,010806;853.644;17.600.562
Dec;12;2018;0,011163;847.229;18.182.108
Dec;11;2018;0,010916;858.648;17.779.649
Dec;10;2018;0,011059;767.202;18.012.152
Dec;9;2018;0,011235;870.134;18.299.232
Dec;8;2018;0,011297;441.630;18.400.219
Dec;7;2018;0,011928;1.113.476;19.427.870
Dec;6;2018;0,011466;1.377.910;18.675.994
Dec;5;2018;0,011596;2.639.653;18.887.666
Dec;4;2018;0,010717;1.183.942;17.455.613
Dec;3;2018;0,009549;1.143.247;-
Dec;2;2018;0,010779;789.221;-
Dec;1;2018;0,010920;838.380;-
Nov;30;2018;0,010606;603.627;-
Nov;29;2018;0,010871;857.905;-
Nov;28;2018;0,011571;1.656.730;-
Nov;27;2018;0,010553;660.373;-
Nov;26;2018;0,010790;648.927;-
Nov;25;2018;0,010610;1.074.470;-
Nov;24;2018;0,010866;1.531.900;-
Nov;23;2018;0,009648;540.005;-
Nov;22;2018;0,009829;578.760;-
Nov;21;2018;0,010017;569.575;-
Nov;20;2018;0,007329;727.871;-
Nov;19;2018;0,008498;515.107;-
